Phenotype,Network_score,z-score,P-value
Abnormal auditory perception,9.021650244696936,25.457587754865834,0
Urinary bladder hematoma,2.7245279864667693,22.163586086295258,0
"uterus; rupture, nonpuerperal, nontraumatic",2.10213355213639,19.55493459789578,0
"Accident due to other cause, NOS",3.370763791690929,25.249305546169982,0
Closed fracture of left pilon,0.8464331966027541,16.167564924506962,0
"FEBRILE CONVULSIONS, FAMILIAL, 1 (disorder)",5.85417210477051,26.37149312486153,0
Hypnopompic paralysis,3.957961380100801,26.64017577779264,0
neoplasm of autonomic brachial nerve,2.684079331595614,19.77266163185385,0
"Tuberculosis of other specified joint, unspecified",4.306524123750367,22.85575876268365,0
Acute pelvic inflammatory disease of the female pelvic organs AND/OR tissues,3.043580537323955,20.800116384529574,0
Cannabis drug dependence NOS,1.4769458599095808,17.05645203945614,0
"Cannabis use disorder, severe, with cannabis-induced sleep disorder",1.4769458599095808,17.05645203945614,0
closed fracture of anterior third of right eleventh rib,5.935714863845053,26.513565736491888,0
"Deafness, Sensorineural, with Hypertrophic Cardiomyopathy",2.661368066015765,22.617863699611174,0
Dissection of left femoral artery,3.209917009228362,24.017596181195604,0
grade 2 follicular lymphoma of renal pelvis,1.565543673318992,15.777763184532697,0
iris bombe of both eyes,4.475861931357947,25.298686330159224,0
Multifactorial gait problem,2.814084960095156,21.05871511477005,0
"Unspecified sprain of right lesser toe(s), initial encounter",2.10213355213639,19.55493459789578,0
"Unspecified fracture of left toe(s), subsequent encounter for fracture with routine healing",5.693573695187451,23.453537848404928,0
"Unspecified B-cell lymphoma, lymph nodes of axilla and upper limb",2.108884787362795,19.53070545496532,0
Uniparental Heterodisomy,2.102390206586121,19.52386686978256,0
Peripheral arteriovenous malformation,3.9113580343644885,26.029187150620352,0
primary malignant neoplasm of sphenoid sinus,2.10213355213639,19.55493459789578,0
protein truncation assay deleterious mutation heterozygous,2.10213355213639,19.55493459789578,0
recent coronary artery thrombosis with subsequent care,2.10213355213639,19.55493459789578,0
recurrent dislocation of right hand,3.0532498261381886,19.628361170426935,0
"retraction of nipple in puerperium as postpartum condition, delivered during previous episode",2.843635331715037,22.402748982321658,0
