Phenotype,Network_score
"Disorder of amniotic fluid and membranes, unspecified, first trimester, other fetus",0.0009977007197894908
"Fracture of unspecified metatarsal bone(s), unspecified foot",0.0009941092157448176
fingernail KOH preparation ectoparasite ova,0.0009936310431810386
"Hemarthrosis, unspecified shoulder",0.0009905714141588756
sciatic radiculopathy,0.0009901072106488407
Recurrent major depressive disorder with catatonic features,0.0009888248937214808
"Diffuse large B-cell lymphoma, lymph nodes of multiple sites",0.0009886136602114367
"Hemorrhagic otitis externa, bilateral",0.0009885608833876624
"benign pigmented nevus of left lower eyelid, including canthus",0.0009882107024293506
Ribotype,0.000988098745587237
"Pedestrian on roller-skates injured in collision with pedal cycle in traffic accident, initial encounter",0.0009880820238907856
dorsal left hand pain over metacarpal,0.0009880812057975925
"Noncollision motor vehicle traffic accident involving accidental poisoning from exhaust gas generated by motor vehicle while in motion, passenger of motor vehicle injured",0.0009880709884105131
High density/low density lipoprotein ratio result,0.0009877837039806421
Angiodermatitis,0.0009875493894521033
Knocked down by rolling stock - pedestrian,0.0009875476357000537
Cerebral anoxia following obstetric surgery or procedures,0.0009873661343058244
neoplasm of vulva in pregnancy with baby delivered,0.0009871090571484473
subluxation of distal interphalangeal joint of finger,0.0009870311418585956
thin blood smear Plasmodium malariae,0.0009870250181772092
Legal intervention involving injury by dynamite,0.0009869896601760796
Supernumerary permanent mandibular right second molar tooth,0.000986948399132002
disorders of globe of both eyes,0.0009868396422599184
"Fracture of ramus of mandible, unspecified side, subsequent encounter for fracture with delayed healing",0.0009866564535364814
"Crushing injury of left thumb, initial encounter",0.0009866254518193292
POIRIER-BIENVENU NEURODEVELOPMENTAL SYNDROME,0.0009866209218573985
BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1,0.0009864645474063959
Cataract in other diseases classified elsewhere,0.000986139769721392
"Follicular lymphoma grade II, lymph nodes of inguinal region and lower limb",0.00098607357982533
Joint Task Force Type 5 Myocardial Infarction,0.0009858558443598753
Fetal stress in labor or delivery due to drug administration,0.000985705480482484
Recurrent severe manic episodes,0.0009855636669137242
Supernumerary permanent mandibular right central incisor tooth,0.0009854656759366643
pneumonia in parasitic diseases classified elsewhere,0.0009854553339029432
Late syphilitic female pelvic inflammatory disease,0.0009853626300736498
"Nondisplaced avulsion fracture of tuberosity of left calcaneus, initial encounter for open fracture",0.0009851521375386734
"Polyhydramnios, first trimester, fetus 5",0.00098511628139963
Perinatal tentorial laceration,0.000985044412833366
CALCIUM PHOSPHOROUS METABOLISM,0.000985028512030555
injury due to firearm discharge and conventional warfare during military operations,0.0009849043073709835
Pacinian tumor,0.0009841828537098462
"Nondisplaced avulsion fracture of tuberosity of left calcaneus, initial encounter for closed fracture",0.0009841517077186178
corneal ulceration bilateral limbal,0.0009841459076598354
"Age-related reticular degeneration of retina, left eye",0.0009841104338422254
late effects of nontraumatic intracerebral hemorrhage: paralysis affecting dominant side,0.0009840284889039775
Burning in watercraft NOS - unspecified person injured,0.0009839823906157453
"Laceration with foreign body, left foot, subsequent encounter",0.000983909157188328
(Agranulocytosis) or (Kostmann's syndrome) or (neutropenia),0.0009838663782808735
Sample organism cultured,0.0009837680565183348
DIARRHEA CHRONIC INTERMITTENT,0.000983732076918361
Maternal care for disproportion due to inlet contraction (pelvis) causing disproportion,0.0009835020485958568
"rhesus; isoimmunization fetus, with kernicterus",0.0009832511628700986
Benign neoplasm of unspecified site of right orbit,0.0009829346376518371
postprocedural nervous system hematoma,0.0009828631854331444
"Terrorism involving other explosions and fragments, terrorist injured, sequela",0.000982852297863222
"Collision of aircraft with bird, while in transit, occupant of spacecraft injured",0.0009827171766586243
Allergy to doxorubicin,0.0009825991322484561
"Subluxation of proximal interphalangeal joint of unspecified finger, sequela",0.0009823034531553222
"Disseminated chorioretinal inflammation, peripheral",0.0009822097704926906
"Moderate bipolar II disorder, most recent episode major depressive",0.0009822050903840894
Accidental ingestion of toxic plant,0.0009818415926631477
"NAIL DISORDER, NONSYNDROMIC CONGENITAL, 9",0.0009817551379726881
phlebitis of the left femoral vein,0.000981739335761725
Parkinson-dementia complex of Guam,0.000981547128165155
fetus breech successful version as antepartum condition,0.0009813620937953436
Allergy to gallamine,0.000981208191656967
"Subluxation of metacarpal (bone), proximal end of left hand, initial encounter",0.0009812053323519328
Supernumerary permanent mandibular right second premolar tooth,0.0009808801639207524
Reactive Hyperemia,0.0009808680779279035
Male sterility due to Y-chromosome deletions,0.0009806492132121921
Oncocytic metaplasia,0.000980639925396701
"War operations involving unspecified fire, conflagration and hot substance, military personnel",0.0009805011548923207
Herpes simplex antibody positive,0.0009804507571153065
neoplasm of falx cerebelli of cerebral meninges,0.000980336806371407
Atrophy of pancreas,0.0009801725438929616
"pregnancy; hemorrhage, with coagulation defect",0.0009797789611729142
"Other injury of extensor muscle, fascia and tendon of left ring finger at wrist and hand level",0.000979674608752145
tympanic membrane perforation of left ear,0.0009793202301932307
