Phenotype,Network_score
fingernail KOH preparation ectoparasite ova,10.535693437381568
melanoma; canthus,10.462642347226883
Disorder of bilirubin metabolism and excretion,10.433656234392815
sciatic radiculopathy,10.282530988402227
Legal intervention involving injury by dynamite,10.048814079739909
"Noncollision motor vehicle traffic accident involving accidental poisoning from exhaust gas generated by motor vehicle while in motion, passenger of motor vehicle injured",10.013692325723426
"Nondisplaced fracture of middle phalanx of right index finger, sequela",9.988948981403443
"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",9.975221915090298
Crushed by rolling stock - other specified person,9.935247476996842
Urine indican level (finding),9.903243024282927
DIARRHEA CHRONIC INTERMITTENT,9.823735186860846
"Disorder of amniotic fluid and membranes, unspecified, first trimester, other fetus",9.807272139043258
"Diffuse large B-cell lymphoma, lymph nodes of multiple sites",9.769547802274515
female genital impairment,9.764337845325556
giant cell type neoplasm of stomach,9.752537424487887
"War operations involving unspecified fire, conflagration and hot substance, military personnel",9.752116872084438
"Subluxation of radiocarpal joint of right wrist, initial encounter",9.739615882549359
Simple partial seizure with autonomic dysfunction,9.72616442983
peripheral autonomic neuropathy due to other disorder,9.718530953996266
caries; ear ossicles,9.716633493368422
"Unspecified amblyopia, bilateral",9.625130698337511
Nonossified fibroma of bone,9.593743843994844
subluxation of distal interphalangeal joint of finger,9.527858957762136
"Disseminated chorioretinal inflammation, peripheral",9.524325707465547
postprocedural nervous system hematoma,9.516114487162197
"Crushing injury of left thumb, initial encounter",9.516018674985851
Accidental ingestion of toxic plant,9.513144297869792
intraocular nonmagnetic foreign body of left eye,9.510795781980836
skin lesion KOH preparation ectoparasite ova,9.505648693642556
"Disorders of visual cortex in (due to) inflammatory disorders, right side of brain",9.502847980565042
Polyuria,9.501136264890492
septic thrombophlebitis of thigh,9.499837393915818
Infantile miliaria profunda,9.491862640731664
"Unspecified injury of flexor muscle, fascia and tendon of other and unspecified finger at wrist and hand level",9.490497657801145
Closed traumatic dislocation of digit of hand,9.487266773886017
Ichthyosis follicularis,9.48193478693243
"Mental and behavioral disorders due to use of cocaine, acute intoxication",9.478856172973448
Enterovirus as the cause of diseases classified to other chapters,9.46726171240517
PSCA Positive,9.459039130444589
"Chronic gout, unspecified, with tophus (tophi)",9.458560756219532
Other corneal scars and opacities,9.452968288691823
Displaced fracture (avulsion) of lateral epicondyle of left humerus,9.450192321314702
"Subluxation of distal interphalangeal joint of left index finger, initial encounter",9.449183602768267
Epidermal necrosis,9.444694269026382
Bile duct cancer stage IV,9.438123757551521
Syringoencephalia,9.397970802441964
ALK-negative anaplastic large cell lymphoma of intrapelvic lymph nodes,9.385502025337935
Allergy to ferrous glycine sulfate,9.382941261095427
Nondependent other drug abuse in remission,9.380316990474434
"Unspecified injury of flexor muscle, fascia and tendon of right middle finger at wrist and hand level, initial encounter",9.376818080460767
Cellulitis of right lower eyelid,9.373810267314417
"Subluxation of metatarsophalangeal joint of right great toe, sequela",9.365425661227412
tuberculosis of bursa bacteriology and histology unknown,9.31889348114269
McCune-Albright Syndrome,9.31043260862084
"Other non-follicular lymphoma, intrathoracic lymph nodes",9.300248611817041
Diabetes + neuropathy (& [amyotrophy]),9.293832001819833
"Fracture of unspecified metatarsal bone(s), unspecified foot",9.289309722313803
Ribotype,9.283432396544718
open fracture of right scapula at apophysis (type II),9.281685407630569
Recurrent major depressive disorder with catatonic features,9.281360832702438
"Hemarthrosis, unspecified shoulder",9.280142666443092
Recurrent severe manic episodes,9.278811274452249
Supernumerary permanent mandibular right second molar tooth,9.27878006796727
Late syphilitic female pelvic inflammatory disease,9.277887334085602
"benign pigmented nevus of left lower eyelid, including canthus",9.277818498011804
"Pedestrian on roller-skates injured in collision with pedal cycle in traffic accident, initial encounter",9.277808744763192
dorsal left hand pain over metacarpal,9.277464453132628
High density/low density lipoprotein ratio result,9.277439980721063
Cerebral anoxia following obstetric surgery or procedures,9.276953290064462
disorders of globe of both eyes,9.276800523310632
thin blood smear Plasmodium malariae,9.276753686162737
Knocked down by rolling stock - pedestrian,9.276750839055234
Angiodermatitis,9.276515708427292
POIRIER-BIENVENU NEURODEVELOPMENTAL SYNDROME,9.276401509451599
"Fracture of ramus of mandible, unspecified side, subsequent encounter for fracture with delayed healing",9.276021296134648
Cataract in other diseases classified elsewhere,9.275612670322525
BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1,9.27539694065923
Joint Task Force Type 5 Myocardial Infarction,9.275309428149226
"Hemorrhagic otitis externa, bilateral",9.274910529235143
"Nondisplaced avulsion fracture of tuberosity of left calcaneus, initial encounter for open fracture",9.274882599556227
Perinatal tentorial laceration,9.274864248780467
"Polyhydramnios, first trimester, fetus 5",9.274747387716621
"Nondisplaced avulsion fracture of tuberosity of left calcaneus, initial encounter for closed fracture",9.274377970367453
neoplasm of vulva in pregnancy with baby delivered,9.27437332896042
Maternal care for disproportion due to inlet contraction (pelvis) causing disproportion,9.274158089984734
pneumonia in parasitic diseases classified elsewhere,9.274129253066842
Pacinian tumor,9.274094430563988
