phenotype name,Synonyms,hpo_id,database_cross_reference
Venous varicosities of celiac and mesenteric vessels,Venous varicosities of coeliac and mesenteric vessels,HP:0002626,UMLS:C1857692
Abnormality of skin adnexa morphology,Abnormal skin appendage,HP:0011138,UMLS:C4023518
Fetal polyuria,Foetal polyuria,HP:0001563,UMLS:C1865279
Prelingual sensorineural hearing impairment,"Prelingual sensorineural deafness|Deafness, sensorineural, prelingual",HP:0000399,UMLS:C4021806
Abnormal lower motor neuron morphology,Lower motor neuron signs|Lower motor neuron manifestations|Lower motor neuron disease,HP:0002366,UMLS:C1865412
Pseudarthrosis of the forearm bones,,HP:0003965,UMLS:C4025474
Postaxial oligodactyly,,HP:0006210,UMLS:C1867927
Hyperkalemia,Elevated serum potassium levels,HP:0002153,MSH:D006947|UMLS:C0020461|SNOMEDCT_US:14140009|SNOMEDCT_US:166689004|SNOMEDCT_US:238142003
Osteolytic defects of the phalanges of the 5th toe,,HP:0010387,UMLS:C4023865
Abnormal nasopharyngeal adenoid morphology,Abnormality of nasopharyngeal tonsil|Abnormality of adenoids|Abnormality of nasopharyngeal adenoids|Abnormality of pharyngeal tonsil,HP:3000033,UMLS:C4073241
Hyperthyroidism,Overactive thyroid,HP:0000836,SNOMEDCT_US:34486009|MSH:D006980|UMLS:C0020550
Ectopia pupillae,Displaced pupil|Corectopia,HP:0009918,SNOMEDCT_US:392461003|MSH:C536185|SNOMEDCT_US:193523008|UMLS:C1271219
Decreased number of vertebrae,,HP:0030305,UMLS:C4022522
Abnormality of the distal phalanges of the toes,Abnormality of the outermost bone of the toes,HP:0010182,UMLS:C4023982
Abnormal atrial septum morphology,Abnormal interatrial septum morphology|Abnormality of the atrial septum,HP:0011994,SNOMEDCT_US:253363004|Fyler:2002|UMLS:C0344722
Positional foot deformity,,HP:0005656,UMLS:C4025161
Congenital macroorchidism,,HP:0008640,UMLS:C4024650
Abnormal muscle fiber alpha sarcoglycan,Abnormal muscle fibre alpha sarcoglycan,HP:0030100,UMLS:C4022645
Abnormal dental pulp morphology,Abnormality of tooth pulp|Abnormality of the dental pulp|Endodontic abnormality,HP:0006479,UMLS:C4025042
Abnormal metacarpal morphology,Abnormal shape of long bones of hand|Abnormal shape of metacarpal bones,HP:0005916,UMLS:C4021615
Polydactyly,More than five fingers or toes on hands or feet,HP:0010442,MSH:D017689|Fyler:4103|UMLS:C0152427|SNOMEDCT_US:367506006
Decreased serum leptin,Reduced circulating leptin level|Decreased serum leptin,HP:0003292,UMLS:C1837802
Abnormal muscle fiber morphology,Abnormal muscle fibre morphology|Abnormal skeletal muscle fiber morphology|Abnormality of muscle fibres|Abnormality of muscle fibers|Abnormal skeletal muscle fibre morphology,HP:0004303,UMLS:C4021663
Food intolerance,Non-allergic food hypersensitivity|Food intolerance,HP:0012537,UMLS:C0149696|SNOMEDCT_US:235719002
Libman-Sacks lesions,,HP:0011714,UMLS:C4023221
APUdoma,amine precursor uptake and decarboxylation tumours,HP:0040192,SNOMEDCT_US:253008000|UMLS:C0003650|MSH:D001079|SNOMEDCT_US:74926005
Abnormality of the brachial nerve plexus,,HP:0045052,UMLS:C4073176
Hyperphosphaturia,Phosphaturia|High urine phosphate levels,HP:0003109,UMLS:C0948023|UMLS:C0268079|SNOMEDCT_US:22450000
Laryngeal calcification,Laryngeal calcifications,HP:0008754,UMLS:C1859158
Oligogenic inheritance,,HP:0010983,MSH:D020412|UMLS:C1136026
Sclerosis of the proximal phalanx of the 3rd finger,Increased bone density in innermost bone of the middle finger,HP:0100909,UMLS:C4021933
Microphthalmia,Decreased size of eyeball|Decreased size of globe of eye|Microphthalmos|Abnormally small globe of eye|Abnormally small eyeball|Nanophthalmos,HP:0000568,MSH:D008850|UMLS:C4280625|Fyler:4877|UMLS:C4280808|SNOMEDCT_US:204108000|SNOMEDCT_US:61142002|UMLS:C0026010
Unicameral bone cyst,,HP:0012064,SNOMEDCT_US:203467005|SNOMEDCT_US:112643007|UMLS:C4082185
Enlarged epiphysis of the distal phalanx of the 2nd finger,Enlarged end part of the outermost bone of the index finger,HP:0009505,UMLS:C4024325
Decreased liver function,"Liver dysfunction|Decreased liver function|Liver dysfunction, mild|Hepatopathy",HP:0001410,UMLS:C0086565|UMLS:C3279149|SNOMEDCT_US:75183008|SNOMEDCT_US:77981007|UMLS:C0232744|MSH:D008107
Widely patent fontanelles and sutures,Widely patent fontanels and sutures,HP:0004492,UMLS:C1849300
Ileal atresia,,HP:0011102,UMLS:C0266176|SNOMEDCT_US:25896009
Aplasia/Hypoplasia of the proximal phalanx of the 4th finger,Absent/small innermost ring finger bone|Absent/underdeveloped innermost ring finger bone,HP:0009300,UMLS:C4020658
Double outlet left ventricle,,HP:0011581,SNOMEDCT_US:7368005|ICD-10:Q20.2|UMLS:C0265809|Fyler:650|Fyler:0650
Partial abdominal muscle agenesis,,HP:0005243,UMLS:C4025228
