Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
3H-proline,CP00117139,P4HA2,9606,associate
3H-proline,CP00117139,P4HA1,9606,associate
3H-proline,CP00117139,EPRS,9606,associate
3H-proline,CP00117139,PLPBP,9606,associate
3H-proline,CP00117139,P5CR2,44056,associate
3H-proline,CP00117139,P4HA3,9606,associate
3H-proline,CP00117139,EGLN1,9606,associate
3H-proline,CP00117139,EGLN2,9606,associate
3H-proline,CP00117139,EGLN3,9606,associate
3H-proline,CP00117139,P4HTM,9606,associate
3H-proline,CP00117139,L3HYPDH,9606,associate
3H-proline,CP00117139,PPIF,9606,associate
3H-proline,CP00117139,PPIA,9606,associate
3H-proline,CP00117139,PPIB,9606,associate
3H-proline,CP00117139,LMNA,9606,associate
3H-proline,CP00117139,PPIG,9606,associate
3H-proline,CP00117139,PARS2,9606,associate
3H-proline,CP00117139,PPIH,9606,associate
3H-proline,CP00117139,Grin1,10116,inhibit
3H-proline,CP00117139,pxo1_107,1392,associate
3H-proline,CP00117139,SLC36A1,9606,inhibit
3H-proline,CP00117139,ACE,9606,inhibit
3H-proline,CP00117139,ACE,9606,associate
3H-proline,CP00117139,SLC36A3,9606,associate
3H-proline,CP00117139,MARS,9606,associate
3H-proline,CP00117139,SLC38A1,9606,associate
3H-proline,CP00117139,P4HB,9606,associate
3H-proline,CP00117139,SPRR3,9606,associate
3H-proline,CP00117139,APPBP2,9606,associate
3H-proline,CP00117139,PRR5,9606,associate
3H-proline,CP00117139,SLC3A2,9606,associate
3H-proline,CP00117139,DCD,9606,associate
3H-proline,CP00117139,ARG1,9606,associate
3H-proline,CP00117139,UBA7,9606,associate
3H-proline,CP00117139,POLR3A,9606,associate
3H-proline,CP00117139,AIMP2,9606,associate
3H-proline,CP00117139,ALDH4A1,9606,associate
3H-proline,CP00117139,NKX2-1,9606,associate
3H-proline,CP00117139,PYCR2,9606,associate
3H-proline,CP00117139,PHEX,9606,associate
3H-proline,CP00117139,KARS,9606,associate
3H-proline,CP00117139,GLA,9606,associate
3H-proline,CP00117139,SIT1,9606,associate
3H-proline,CP00117139,SLC6A7,9606,associate
3H-proline,CP00117139,SLC6A20,9606,associate
3H-proline,CP00117139,IVL,9606,associate
3H-proline,CP00117139,ARG2,9606,associate
3H-proline,CP00117139,PTS,9606,associate
3H-proline,CP00117139,SPRR4,9606,associate
3H-proline,CP00117139,FOXL1,9606,associate
3H-proline,CP00117139,KLKB1,9606,associate
3H-proline,CP00117139,PRB4,9606,associate
3H-proline,CP00117139,AGO3,9606,associate
3H-proline,CP00117139,HACD1,9606,associate
3H-proline,CP00117139,SAT2,9606,associate
3H-proline,CP00117139,PEPD,9606,associate
3H-proline,CP00117139,PRH1,9606,associate
3H-proline,CP00117139,MTTP,9606,associate
3H-proline,CP00117139,PYCR1,9606,associate
3H-proline,CP00117139,HBEGF,9606,associate
3H-proline,CP00117139,XPNPEP3,9606,associate
3H-proline,CP00117139,PYCR3,9606,associate
3H-proline,CP00117139,AIMP1,9606,associate
3H-proline,CP00117139,LARS,9606,associate
3H-proline,CP00117139,SPRR1A,9606,associate
3H-proline,CP00117139,COL10A1,9606,associate
3H-proline,CP00117139,SLC1A4,9606,associate
3H-proline,CP00117139,SLC6A15,9606,associate
3H-proline,CP00117139,TNFRSF1B,9606,associate
3H-proline,CP00117139,PRRG3,9606,associate
3H-proline,CP00117139,PNRC1,9606,associate
3H-proline,CP00117139,PRAP1,9606,associate
3H-proline,CP00117139,PREP,9606,associate
3H-proline,CP00117139,HYPM,9606,associate
3H-proline,CP00117139,SLC6A19,9606,associate
3H-proline,CP00117139,PFN3,9606,associate
3H-proline,CP00117139,SLC3A1,9606,associate
3H-proline,CP00117139,RD3,9606,associate
3H-proline,CP00117139,PRR5L,9606,associate
3H-proline,CP00117139,PIN1,9606,associate
3H-proline,CP00117139,PIPOX,9606,associate
3H-proline,CP00117139,ALDH18A1,9606,associate
3H-proline,CP00117139,ABCC11,9606,associate
3H-proline,CP00117139,PFN4,9606,associate
3H-proline,CP00117139,IL4I1,9606,associate
3H-proline,CP00117139,PPIC,9606,associate
3H-proline,CP00117139,CPS1,9606,associate
3H-proline,CP00117139,MTOR,9606,associate
3H-proline,CP00117139,SPRR1B,9606,associate
3H-proline,CP00117139,GYG2,9606,associate
3H-proline,CP00117139,FOXRED1,9606,associate
3H-proline,CP00117139,PRODH,9606,associate
3H-proline,CP00117139,COMMD7,9606,associate
3H-proline,CP00117139,PNRC2,9606,associate
3H-proline,CP00117139,GGCX,9606,associate
3H-proline,CP00117139,SCAND1,9606,associate
3H-proline,CP00117139,ALDOA,9606,associate
3H-proline,CP00117139,DPP4,9606,associate
3H-proline,CP00117139,UCN3,9606,associate
3H-proline,CP00117139,TAS1R1,9606,associate
3H-proline,CP00117139,TXNDC12,9606,associate
3H-proline,CP00117139,PRRG4,9606,associate
3H-proline,CP00117139,SLC36A1,9606,associate
3H-proline,CP00117139,SIPA1L1,9606,associate
3H-proline,CP00117139,PIGG,9606,associate
3H-proline,CP00117139,CTSD,9606,associate
3H-proline,CP00117139,F2,9606,associate
3H-proline,CP00117139,SLC6A18,9606,associate
3H-proline,CP00117139,NEDD4L,9606,associate
3H-proline,CP00117139,SDK2,9606,associate
3H-proline,CP00117139,PIP,9606,associate
3H-proline,CP00117139,RICTOR,9606,associate
3H-proline,CP00117139,NOCT,9606,associate
3H-proline,CP00117139,STAB2,9606,associate
3H-proline,CP00117139,TNR,9606,associate
3H-proline,CP00117139,SARDH,9606,associate
3H-proline,CP00117139,PIGH,9606,associate
3H-proline,CP00117139,P3H2,9606,associate
3H-proline,CP00117139,SLC16A10,9606,associate
3H-proline,CP00117139,LATS2,9606,associate
3H-proline,CP00117139,DPP9,9606,associate
3H-proline,CP00117139,SLC38A4,9606,associate
3H-proline,CP00117139,OAT,9606,associate
3H-proline,CP00117139,APOB,9606,associate
3H-proline,CP00117139,UBA52,9606,associate
3H-proline,CP00117139,SLC6A11,9606,associate
3H-proline,CP00117139,SLC7A5,9606,associate
3H-proline,CP00117139,DPP8,9606,associate
3H-proline,CP00117139,ATG4C,9606,associate
3H-proline,CP00117139,GET4,9606,associate
3H-proline,CP00117139,PFN2,9606,associate
3H-proline,CP00117139,TAS1R2,9606,associate
3H-proline,CP00117139,ALDOC,9606,associate
3H-proline,CP00117139,LELP1,9606,associate
3H-proline,CP00117139,SLC15A1,9606,associate
3H-proline,CP00117139,LAT2,9606,associate
3H-proline,CP00117139,SLC38A2,9606,associate
3H-proline,CP00117139,C4BPA,9606,associate
3H-proline,CP00117139,TAS1R3,9606,associate
3H-proline,CP00117139,P3H1,9606,associate
3H-proline,CP00117139,RPS6KB1,9606,associate
3H-proline,CP00117139,NACA,9606,associate
3H-proline,CP00117139,CSN1S1,9606,associate
3H-proline,CP00117139,OPRPN,9606,associate
3H-proline,CP00117139,RARS,9606,associate
3H-proline,CP00117139,PRR13,9606,associate
3H-proline,CP00117139,DARS,9606,associate
3H-proline,CP00117139,SLC6A14,9606,associate
3H-proline,CP00117139,CARMIL2,9606,associate
3H-proline,CP00117139,GPR162,9606,associate
