Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
4-p-coumaroylquinic acid,CP04450778,FKBP14,9606,associate
4-p-coumaroylquinic acid,CP04450778,RPL8,9606,associate
4-p-coumaroylquinic acid,CP04450778,LHCGR,9606,associate
4-p-coumaroylquinic acid,CP04450778,TSHR,9606,associate
4-p-coumaroylquinic acid,CP04450778,RXFP2,9606,associate
4-p-coumaroylquinic acid,CP04450778,RXFP1,9606,associate
4-p-coumaroylquinic acid,CP04450778,LGR6,9606,associate
4-p-coumaroylquinic acid,CP04450778,LGR4,9606,associate
4-p-coumaroylquinic acid,CP04450778,FSHR,9606,associate
4-p-coumaroylquinic acid,CP04450778,AKR1B1,9606,associate
4-p-coumaroylquinic acid,CP04450778,AKR1B10,9606,associate
4-p-coumaroylquinic acid,CP04450778,APP,9606,associate
4-p-coumaroylquinic acid,CP04450778,CA5B,9606,associate
4-p-coumaroylquinic acid,CP04450778,ESR2,9606,associate
4-p-coumaroylquinic acid,CP04450778,CA5A,9606,associate
4-p-coumaroylquinic acid,CP04450778,CA2,9606,associate
4-p-coumaroylquinic acid,CP04450778,CA9,9606,associate
4-p-coumaroylquinic acid,CP04450778,CA14,9606,associate
4-p-coumaroylquinic acid,CP04450778,CA7,9606,associate
4-p-coumaroylquinic acid,CP04450778,CA12,9606,associate
4-p-coumaroylquinic acid,CP04450778,ESR1,9606,associate
4-p-coumaroylquinic acid,CP04450778,F3,9606,associate
4-p-coumaroylquinic acid,CP04450778,CA4,9606,associate
4-p-coumaroylquinic acid,CP04450778,CA6,9606,associate
4-p-coumaroylquinic acid,CP04450778,GSK3B,9606,associate
4-p-coumaroylquinic acid,CP04450778,CA3,9606,associate
4-p-coumaroylquinic acid,CP04450778,MAOA,9606,associate
4-p-coumaroylquinic acid,CP04450778,PPARA,9606,associate
4-p-coumaroylquinic acid,CP04450778,ABCB1,9606,associate
4-p-coumaroylquinic acid,CP04450778,CA1,9606,associate
4-p-coumaroylquinic acid,CP04450778,MMP9,9606,associate
4-p-coumaroylquinic acid,CP04450778,SLC6A2,9606,associate
4-p-coumaroylquinic acid,CP04450778,SENP6,9606,associate
4-p-coumaroylquinic acid,CP04450778,TLR9,9606,associate
4-p-coumaroylquinic acid,CP04450778,CYP2D6,9606,associate
4-p-coumaroylquinic acid,CP04450778,CYP2C9,9606,associate
4-p-coumaroylquinic acid,CP04450778,SELP,9606,associate
4-p-coumaroylquinic acid,CP04450778,MMP2,9606,associate
4-p-coumaroylquinic acid,CP04450778,BACE1,9606,associate
4-p-coumaroylquinic acid,CP04450778,MMP13,9606,associate
4-p-coumaroylquinic acid,CP04450778,MMP1,9606,associate
4-p-coumaroylquinic acid,CP04450778,SLCO1B1,9606,associate
4-p-coumaroylquinic acid,CP04450778,PDK2,9606,associate
4-p-coumaroylquinic acid,CP04450778,STS,9606,associate
4-p-coumaroylquinic acid,CP04450778,KIF11,9606,associate
4-p-coumaroylquinic acid,CP04450778,MIF,9606,associate
4-p-coumaroylquinic acid,CP04450778,ITGAL,9606,associate
4-p-coumaroylquinic acid,CP04450778,HTR2C,9606,associate
4-p-coumaroylquinic acid,CP04450778,MAOB,9606,associate
4-p-coumaroylquinic acid,CP04450778,PRKCH,9606,associate
4-p-coumaroylquinic acid,CP04450778,LCK,9606,associate
4-p-coumaroylquinic acid,CP04450778,ACHE,9606,associate
4-p-coumaroylquinic acid,CP04450778,APOBEC3G,9606,associate
4-p-coumaroylquinic acid,CP04450778,FFAR2,9606,associate
4-p-coumaroylquinic acid,CP04450778,MMP12,9606,associate
4-p-coumaroylquinic acid,CP04450778,AR,9606,associate
4-p-coumaroylquinic acid,CP04450778,DRD2,9606,associate
4-p-coumaroylquinic acid,CP04450778,GRM4,9606,associate
4-p-coumaroylquinic acid,CP04450778,SLC6A4,9606,associate
4-p-coumaroylquinic acid,CP04450778,PTGS2,9606,associate
4-p-coumaroylquinic acid,CP04450778,IKBKB,9606,associate
4-p-coumaroylquinic acid,CP04450778,HDAC6,9606,associate
4-p-coumaroylquinic acid,CP04450778,SHBG,9606,associate
4-p-coumaroylquinic acid,CP04450778,CHRM1,9606,associate
4-p-coumaroylquinic acid,CP04450778,TRPV1,9606,associate
4-p-coumaroylquinic acid,CP04450778,CHRM3,9606,associate
4-p-coumaroylquinic acid,CP04450778,MELK,9606,associate
4-p-coumaroylquinic acid,CP04450778,GPR55,9606,associate
4-p-coumaroylquinic acid,CP04450778,NQO2,9606,associate
4-p-coumaroylquinic acid,CP04450778,PREP,9606,associate
4-p-coumaroylquinic acid,CP04450778,HSP90AA1,9606,associate
4-p-coumaroylquinic acid,CP04450778,HSD11B1,9606,associate
4-p-coumaroylquinic acid,CP04450778,GRM2,9606,associate
4-p-coumaroylquinic acid,CP04450778,ABCG2,9606,associate
4-p-coumaroylquinic acid,CP04450778,PLEC,9606,associate
4-p-coumaroylquinic acid,CP04450778,TGFBR2,9606,associate
4-p-coumaroylquinic acid,CP04450778,STK4,9606,associate
4-p-coumaroylquinic acid,CP04450778,VCAM1,9606,associate
4-p-coumaroylquinic acid,CP04450778,ADCY1,9606,associate
4-p-coumaroylquinic acid,CP04450778,ADAMTS4,9606,associate
4-p-coumaroylquinic acid,CP04450778,CFTR,9606,associate
4-p-coumaroylquinic acid,CP04450778,CYP11B2,9606,associate
4-p-coumaroylquinic acid,CP04450778,GGPS1,9606,associate
4-p-coumaroylquinic acid,CP04450778,CACNA1B,9606,associate
4-p-coumaroylquinic acid,CP04450778,FGF1,9606,associate
4-p-coumaroylquinic acid,CP04450778,FCER2,9606,associate
4-p-coumaroylquinic acid,CP04450778,FOLR1,9606,associate
4-p-coumaroylquinic acid,CP04450778,ALOX5AP,9606,associate
4-p-coumaroylquinic acid,CP04450778,PHOSPHO1,9606,associate
4-p-coumaroylquinic acid,CP04450778,TMPRSS11D,9606,associate
4-p-coumaroylquinic acid,CP04450778,TMPRSS6,9606,associate
4-p-coumaroylquinic acid,CP04450778,PRKCE,9606,associate
4-p-coumaroylquinic acid,CP04450778,ITGA4,9606,associate
4-p-coumaroylquinic acid,CP04450778,SSTR3,9606,associate
4-p-coumaroylquinic acid,CP04450778,SSTR5,9606,associate
4-p-coumaroylquinic acid,CP04450778,WNT3A,9606,associate
4-p-coumaroylquinic acid,CP04450778,PDE1B,9606,associate
4-p-coumaroylquinic acid,CP04450778,PLA2G4A,9606,associate
4-p-coumaroylquinic acid,CP04450778,PLA2G2A,9606,associate
4-p-coumaroylquinic acid,CP04450778,RELA,9606,associate
4-p-coumaroylquinic acid,CP04450778,SERPINE1,9606,associate
4-p-coumaroylquinic acid,CP04450778,TXK,9606,associate
4-p-coumaroylquinic acid,CP04450778,NAMPT,9606,associate
4-p-coumaroylquinic acid,CP04450778,CDK8,9606,associate
4-p-coumaroylquinic acid,CP04450778,NR1H4,9606,associate
4-p-coumaroylquinic acid,CP04450778,CHRNA3,9606,associate
4-p-coumaroylquinic acid,CP04450778,CYP51A1,9606,associate
