Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
DL-valine,CP00001100,PCCB,9606,associate
DL-valine,CP00001100,BCAT1,9606,associate
DL-valine,CP00001100,BCAT2,9606,associate
DL-valine,CP00001100,VARS,9606,associate
DL-valine,CP00001100,VARS2,9606,associate
DL-valine,CP00001100,FUCA2,9606,associate
DL-valine,CP00001100,QPCTL,9606,associate
DL-valine,CP00001100,CDH17,9606,associate
DL-valine,CP00001100,STX1B,9606,associate
DL-valine,CP00001100,DMC1,9606,associate
DL-valine,CP00001100,STX1A,9606,associate
DL-valine,CP00001100,RPS6KB1,9606,associate
DL-valine,CP00001100,KCNJ2,9606,associate
DL-valine,CP00001100,PEX1,9606,associate
DL-valine,CP00001100,MLLT1,9606,associate
DL-valine,CP00001100,PTPRE,9606,associate
DL-valine,CP00001100,PREPL,9606,associate
DL-valine,CP00001100,CCNT1,9606,associate
DL-valine,CP00001100,RPS6KA6,9606,associate
DL-valine,CP00001100,ACCS,9606,associate
DL-valine,CP00001100,AKT3,9606,associate
DL-valine,CP00001100,CCNT2,9606,associate
DL-valine,CP00001100,AKT1,9606,associate
DL-valine,CP00001100,UCN2,9606,associate
DL-valine,CP00001100,PSPH,9606,associate
DL-valine,CP00001100,STK32B,9606,associate
DL-valine,CP00001100,CDCP1,9606,associate
DL-valine,CP00001100,RPS23,9606,associate
DL-valine,CP00001100,STK32C,9606,associate
DL-valine,CP00001100,PEX6,9606,associate
DL-valine,CP00001100,RPS6KB2,9606,associate
DL-valine,CP00001100,MRPS12,9606,associate
DL-valine,CP00001100,TYMS,9606,associate
DL-valine,CP00001100,STX4,9606,associate
DL-valine,CP00001100,STX19,9606,associate
DL-valine,CP00001100,CDK20,9606,associate
DL-valine,CP00001100,KCNJ12,9606,associate
DL-valine,CP00001100,LEPR,9606,associate
DL-valine,CP00001100,SLC8A1,9606,associate
DL-valine,CP00001100,RPS6KA4,9606,associate
DL-valine,CP00001100,RAD51C,9606,associate
DL-valine,CP00001100,STX3,9606,associate
DL-valine,CP00001100,SGK2,9606,associate
DL-valine,CP00001100,XRCC3,9606,associate
DL-valine,CP00001100,PEX2,9606,associate
DL-valine,CP00001100,STX11,9606,associate
DL-valine,CP00001100,SGK1,9606,associate
DL-valine,CP00001100,RPL10A,9606,associate
DL-valine,CP00001100,FUCA1,9606,associate
DL-valine,CP00001100,IARS,9606,associate
DL-valine,CP00001100,PLXDC2,9606,associate
DL-valine,CP00001100,ACCSL,9606,associate
DL-valine,CP00001100,RPS6KA3,9606,associate
DL-valine,CP00001100,MLLT3,9606,associate
DL-valine,CP00001100,PTPRA,9606,associate
DL-valine,CP00001100,CARS,9606,associate
DL-valine,CP00001100,SLC8A3,9606,associate
DL-valine,CP00001100,RAD51,9606,associate
DL-valine,CP00001100,AKT2,9606,associate
DL-valine,CP00001100,STX2,9606,associate
DL-valine,CP00001100,ENAM,9606,associate
DL-valine,CP00001100,STK32A,9606,associate
DL-valine,CP00001100,NSF,9606,associate
DL-valine,CP00001100,AIFM3,9606,associate
DL-valine,CP00001100,RPL37A,9606,associate
DL-valine,CP00001100,RAD51B,9606,associate
DL-valine,CP00001100,RPS6KA2,9606,associate
DL-valine,CP00001100,RPS6KA1,9606,associate
DL-valine,CP00001100,RPS13,9606,associate
DL-valine,CP00001100,RAD51D,9606,associate
DL-valine,CP00001100,ffp,871585,associate
DL-valine,CP00001100,SLC1A1,9606,associate
DL-valine,CP00001100,LAP3,9606,associate
DL-valine,CP00001100,GRM6,9606,associate
DL-valine,CP00001100,DPP4,9606,associate
DL-valine,CP00001100,SLC1A2,9606,associate
DL-valine,CP00001100,SLC15A2,9606,associate
DL-valine,CP00001100,GRM2,9606,associate
DL-valine,CP00001100,GRM8,9606,associate
DL-valine,CP00001100,ANPEP,9606,associate
DL-valine,CP00001100,ALOX5,9606,associate
DL-valine,CP00001100,DPP7,9606,associate
DL-valine,CP00001100,NOS2,9606,associate
DL-valine,CP00001100,NOS3,9606,associate
DL-valine,CP00001100,GRIA1,9606,associate
DL-valine,CP00001100,DPP8,9606,associate
DL-valine,CP00001100,DPP9,9606,associate
DL-valine,CP00001100,ENPEP,9606,associate
DL-valine,CP00001100,GRM1,9606,associate
DL-valine,CP00001100,GRM3,9606,associate
DL-valine,CP00001100,CPB2,9606,associate
DL-valine,CP00001100,CA1,9606,associate
DL-valine,CP00001100,GRIK2,9606,associate
DL-valine,CP00001100,PTGS2,9606,associate
DL-valine,CP00001100,NR1I2,9606,associate
DL-valine,CP00001100,ERAP1,9606,associate
DL-valine,CP00001100,FYN,9606,associate
DL-valine,CP00001100,GLO1,9606,associate
DL-valine,CP00001100,ACE,9606,associate
DL-valine,CP00001100,GRM5,9606,associate
DL-valine,CP00001100,TRPA1,9606,associate
DL-valine,CP00001100,RXRA,9606,associate
DL-valine,CP00001100,MAOB,9606,associate
DL-valine,CP00001100,GRIA2,9606,associate
DL-valine,CP00001100,CDC25C,9606,associate
DL-valine,CP00001100,FLT4,9606,associate
DL-valine,CP00001100,CA9,9606,associate
DL-valine,CP00001100,GRIK5,9606,associate
DL-valine,CP00001100,CPB1,9606,associate
DL-valine,CP00001100,ECE1,9606,associate
DL-valine,CP00001100,CYP19A1,9606,associate
