Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
EGCG,CP00049992,BCL2,9606,inhibit
EGCG,CP00049992,PGD,9606,inhibit
EGCG,CP00049992,MMP14,9606,inhibit
EGCG,CP00049992,MMP2,9606,inhibit
EGCG,CP00049992,MET,9606,inhibit
EGCG,CP00049992,ELANE,9606,inhibit
EGCG,CP00049992,MAPK14,9606,inhibit
EGCG,CP00049992,DYRK1A,9606,inhibit
EGCG,CP00049992,BACE1,9606,inhibit
EGCG,CP00049992,TERT,9606,inhibit
EGCG,CP00049992,MAPT,9606,inhibit
EGCG,CP00049992,APP,9606,inhibit
EGCG,CP00049992,DNMT1,9606,inhibit
EGCG,CP00049992,ABCB1,9606,inhibit
EGCG,CP00049992,EP300,9606,inhibit
EGCG,CP00049992,CREBBP,9606,inhibit
EGCG,CP00049992,RECQL,9606,associate
EGCG,CP00049992,KDM4E,9606,associate
EGCG,CP00049992,TDP1,9606,associate
EGCG,CP00049992,PKM,9606,associate
EGCG,CP00049992,GAA,9606,associate
EGCG,CP00049992,POLB,9606,associate
EGCG,CP00049992,AHR,9606,associate
EGCG,CP00049992,Sqle,10116,inhibit
EGCG,CP00049992,fabI,511145,inhibit
EGCG,CP00049992,ZWF1,559292,inhibit
EGCG,CP00049992,DHFR,9606,associate
EGCG,CP00049992,PTGS2,9606,associate
EGCG,CP00049992,PTGS1,9606,associate
EGCG,CP00049992,MMP7,9606,inhibit
EGCG,CP00049992,ELANE,9606,associate
EGCG,CP00049992,FASN,9606,inhibit
EGCG,CP00049992,MAPT,9606,associate
EGCG,CP00049992,mex-5,6239,associate
EGCG,CP00049992,Smp_048430,6183,associate
EGCG,CP00049992,KMT2A,9606,associate
EGCG,CP00049992,pos-1,6239,associate
EGCG,CP00049992,EHMT2,9606,associate
EGCG,CP00049992,BAZ2B,9606,associate
EGCG,CP00049992,THRB,9606,associate
EGCG,CP00049992,PPARG,9606,associate
EGCG,CP00049992,DYRK1A,9606,associate
EGCG,CP00049992,BACE1,9606,associate
EGCG,CP00049992,DNMT1,9606,associate
EGCG,CP00049992,ABCB11,9606,inhibit
