Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
L-malate,CP00176744,FH,9606,associate
L-malate,CP00176744,OTC,9606,associate
L-malate,CP00176744,AQP2,9606,associate
L-malate,CP00176744,NANS,9606,associate
L-malate,CP00176744,SLC25A1,9606,associate
L-malate,CP00176744,HSCB,9606,associate
L-malate,CP00176744,TOMM22,9606,associate
L-malate,CP00176744,MIOX,9606,associate
L-malate,CP00176744,RHBDL1,9606,associate
L-malate,CP00176744,AQP8,9606,associate
L-malate,CP00176744,AQP9,9606,associate
L-malate,CP00176744,FDFT1,9606,associate
L-malate,CP00176744,AGO2,9606,associate
L-malate,CP00176744,DECR1,9606,associate
L-malate,CP00176744,OGDH,9606,associate
L-malate,CP00176744,FIS1,9606,associate
L-malate,CP00176744,SHPK,9606,associate
L-malate,CP00176744,SLC25A11,9606,associate
L-malate,CP00176744,AFM,9606,associate
L-malate,CP00176744,UMPS,9606,associate
L-malate,CP00176744,NEK9,9606,associate
L-malate,CP00176744,TNN,9606,associate
L-malate,CP00176744,CAT,9606,associate
L-malate,CP00176744,MKKS,9606,associate
L-malate,CP00176744,PIN1,9606,associate
L-malate,CP00176744,VIL1,9606,associate
L-malate,CP00176744,ALDH1A2,9606,associate
L-malate,CP00176744,CMA1,9606,associate
L-malate,CP00176744,ACSS2,9606,associate
L-malate,CP00176744,ACLY,9606,associate
L-malate,CP00176744,NR0B2,9606,associate
L-malate,CP00176744,ACY3,9606,associate
L-malate,CP00176744,MTNR1B,9606,associate
L-malate,CP00176744,AVIL,9606,associate
L-malate,CP00176744,CCT7,9606,associate
L-malate,CP00176744,ALDH1L2,9606,associate
L-malate,CP00176744,KDELR2,9606,associate
L-malate,CP00176744,ALDH2,9606,associate
L-malate,CP00176744,RHBDF1,9606,associate
L-malate,CP00176744,ASPA,9606,associate
L-malate,CP00176744,TNR,9606,associate
L-malate,CP00176744,NDUFS3,9606,associate
L-malate,CP00176744,CAPG,9606,associate
L-malate,CP00176744,SDHA,9606,associate
L-malate,CP00176744,TNC,9606,associate
L-malate,CP00176744,ALDH8A1,9606,associate
L-malate,CP00176744,REXO2,9606,associate
L-malate,CP00176744,SUOX,9606,associate
L-malate,CP00176744,VPS33A,9606,associate
L-malate,CP00176744,PTGR2,9606,associate
L-malate,CP00176744,RHBDL3,9606,associate
L-malate,CP00176744,ATP6V1A,9606,associate
L-malate,CP00176744,SLC2A12,9606,associate
L-malate,CP00176744,SLC2A13,9606,associate
L-malate,CP00176744,VILL,9606,associate
L-malate,CP00176744,ATP5PO,9606,associate
L-malate,CP00176744,FLAD1,9606,associate
L-malate,CP00176744,ALDH16A1,9606,associate
L-malate,CP00176744,AQP5,9606,associate
L-malate,CP00176744,ALPPL2,9606,associate
L-malate,CP00176744,ALPI,9606,associate
L-malate,CP00176744,RETSAT,9606,associate
L-malate,CP00176744,ALB,9606,associate
L-malate,CP00176744,METAP1,9606,associate
L-malate,CP00176744,SCIN,9606,associate
L-malate,CP00176744,ALDH1A1,9606,associate
L-malate,CP00176744,AQP7,9606,associate
L-malate,CP00176744,AQP3,9606,associate
L-malate,CP00176744,GPR22,9606,associate
L-malate,CP00176744,MTNR1A,9606,associate
L-malate,CP00176744,PA2G4,9606,associate
L-malate,CP00176744,TRABD,9606,associate
L-malate,CP00176744,RBKS,9606,associate
L-malate,CP00176744,CYB5B,9606,associate
L-malate,CP00176744,GPD2,9606,associate
L-malate,CP00176744,ACO1,9606,associate
L-malate,CP00176744,AQP1,9606,associate
L-malate,CP00176744,METAP1D,9606,associate
L-malate,CP00176744,ACSS1,9606,associate
L-malate,CP00176744,TCP1,9606,associate
L-malate,CP00176744,AQP10,9606,associate
L-malate,CP00176744,RPS15A,9606,associate
L-malate,CP00176744,PCK1,9606,associate
L-malate,CP00176744,AQP6,9606,associate
L-malate,CP00176744,ME2,9606,associate
L-malate,CP00176744,RHOT2,9606,associate
L-malate,CP00176744,RHBDF2,9606,associate
L-malate,CP00176744,METAP2,9606,associate
L-malate,CP00176744,PARL,9606,associate
L-malate,CP00176744,NADSYN1,9606,associate
L-malate,CP00176744,MDH2,9606,associate
L-malate,CP00176744,KDELR1,9606,associate
L-malate,CP00176744,ALDH1A3,9606,associate
L-malate,CP00176744,URAD,9606,associate
L-malate,CP00176744,OPRL1,9606,associate
L-malate,CP00176744,RPLP0,9606,associate
L-malate,CP00176744,ACACB,9606,associate
L-malate,CP00176744,CYB5A,9606,associate
L-malate,CP00176744,BPGM,9606,associate
L-malate,CP00176744,CS,9606,associate
L-malate,CP00176744,PPA2,9606,associate
L-malate,CP00176744,SLC25A10,9606,associate
L-malate,CP00176744,ENOSF1,9606,associate
L-malate,CP00176744,RPS3A,9606,associate
L-malate,CP00176744,ALDH9A1,9606,associate
L-malate,CP00176744,ASNA1,9606,associate
L-malate,CP00176744,GAD1,9606,associate
L-malate,CP00176744,RHOT1,9606,associate
L-malate,CP00176744,GK2,9606,associate
L-malate,CP00176744,SLC2A10,9606,associate
L-malate,CP00176744,TFRC,9606,associate
L-malate,CP00176744,TOPORS,9606,associate
L-malate,CP00176744,SMURF1,9606,associate
L-malate,CP00176744,ND1,9606,associate
L-malate,CP00176744,ND4,9606,associate
L-malate,CP00176744,SELENON,9606,associate
L-malate,CP00176744,WDTC1,9606,associate
L-malate,CP00176744,SDHC,9606,associate
L-malate,CP00176744,OAT,9606,associate
L-malate,CP00176744,CTSS,9606,associate
L-malate,CP00176744,ME1,9606,associate
L-malate,CP00176744,PYROXD2,9606,associate
L-malate,CP00176744,PGAM1,9606,associate
L-malate,CP00176744,AGO3,9606,associate
L-malate,CP00176744,AGO1,9606,associate
L-malate,CP00176744,AGO4,9606,associate
L-malate,CP00176744,PPA1,9606,associate
L-malate,CP00176744,GSN,9606,associate
L-malate,CP00176744,GALE,9606,associate
L-malate,CP00176744,ALPL,9606,associate
L-malate,CP00176744,MRTO4,9606,associate
L-malate,CP00176744,SDHB,9606,associate
L-malate,CP00176744,SDHD,9606,associate
L-malate,CP00176744,ACOD1,9606,associate
L-malate,CP00176744,ALDH1B1,9606,associate
L-malate,CP00176744,GK,9606,associate
L-malate,CP00176744,PCNA,9606,associate
L-malate,CP00176744,VPS16,9606,associate
L-malate,CP00176744,HADHA,9606,associate
L-malate,CP00176744,AMACR,9606,associate
L-malate,CP00176744,AQP4,9606,associate
L-malate,CP00176744,ALPP,9606,associate
L-malate,CP00176744,ALDH1L1,9606,associate
L-malate,CP00176744,PC,9606,associate
L-malate,CP00176744,AFP,9606,associate
L-malate,CP00176744,NDUFAF6,9606,associate
L-malate,CP00176744,MOCS2,9606,associate
L-malate,CP00176744,SAR1B,9606,associate
L-malate,CP00176744,TOP2B,9606,associate
L-malate,CP00176744,TENM1,9606,associate
L-malate,CP00176744,LMLN,9606,associate
L-malate,CP00176744,TOP2A,9606,associate
L-malate,CP00176744,GK5,9606,associate
L-malate,CP00176744,NACAD,9606,associate
L-malate,CP00176744,NACA2,9606,associate
L-malate,CP00176744,TENM2,9606,associate
L-malate,CP00176744,MDH1,9606,associate
L-malate,CP00176744,NACA,9606,associate
L-malate,CP00176744,CA2,9606,inhibit
L-malate,CP00176744,NCE103,237561,inhibit
L-malate,CP00176744,CA4,9606,associate
L-malate,CP00176744,FOLH1,9606,associate
L-malate,CP00176744,HMGCR,9606,associate
L-malate,CP00176744,CPB2,9606,associate
L-malate,CP00176744,CA2,9606,associate
L-malate,CP00176744,FYN,9606,associate
L-malate,CP00176744,ANPEP,9606,associate
L-malate,CP00176744,CA9,9606,associate
L-malate,CP00176744,FFAR1,9606,associate
L-malate,CP00176744,GRM6,9606,associate
L-malate,CP00176744,GRIA1,9606,associate
L-malate,CP00176744,CPB1,9606,associate
L-malate,CP00176744,ADORA3,9606,associate
L-malate,CP00176744,ENPEP,9606,associate
L-malate,CP00176744,MME,9606,associate
L-malate,CP00176744,LAP3,9606,associate
L-malate,CP00176744,TRPA1,9606,associate
L-malate,CP00176744,SLC22A6,9606,associate
L-malate,CP00176744,CA12,9606,associate
L-malate,CP00176744,SLCO1B3,9606,associate
L-malate,CP00176744,GRIA2,9606,associate
L-malate,CP00176744,GRM1,9606,associate
L-malate,CP00176744,CPA1,9606,associate
L-malate,CP00176744,KMO,9606,associate
L-malate,CP00176744,CA7,9606,associate
L-malate,CP00176744,CA3,9606,associate
L-malate,CP00176744,EGLN1,9606,associate
L-malate,CP00176744,HCAR2,9606,associate
L-malate,CP00176744,NOS3,9606,associate
L-malate,CP00176744,AKR1B1,9606,associate
L-malate,CP00176744,GRIA4,9606,associate
L-malate,CP00176744,MMP12,9606,associate
L-malate,CP00176744,GRM8,9606,associate
L-malate,CP00176744,SLCO1B1,9606,associate
L-malate,CP00176744,CA1,9606,associate
L-malate,CP00176744,PTGER2,9606,associate
L-malate,CP00176744,GRIK2,9606,associate
L-malate,CP00176744,PTGDR,9606,associate
L-malate,CP00176744,FABP3,9606,associate
L-malate,CP00176744,GRIK5,9606,associate
L-malate,CP00176744,PTGDR2,9606,associate
L-malate,CP00176744,SLC1A2,9606,associate
L-malate,CP00176744,ACE,9606,associate
L-malate,CP00176744,FUCA1,9606,associate
L-malate,CP00176744,MGLL,9606,associate
L-malate,CP00176744,GRIK1,9606,associate
L-malate,CP00176744,CES2,9606,associate
L-malate,CP00176744,GRM2,9606,associate
L-malate,CP00176744,TGFBR2,9606,associate
L-malate,CP00176744,STK4,9606,associate
L-malate,CP00176744,VCAM1,9606,associate
L-malate,CP00176744,ADCY1,9606,associate
L-malate,CP00176744,ADAMTS4,9606,associate
L-malate,CP00176744,CFTR,9606,associate
L-malate,CP00176744,CYP11B2,9606,associate
L-malate,CP00176744,GGPS1,9606,associate
L-malate,CP00176744,CACNA1B,9606,associate
L-malate,CP00176744,FGF1,9606,associate
L-malate,CP00176744,FCER2,9606,associate
L-malate,CP00176744,FOLR1,9606,associate
L-malate,CP00176744,ALOX5AP,9606,associate
L-malate,CP00176744,PDK2,9606,associate
L-malate,CP00176744,PHOSPHO1,9606,associate
L-malate,CP00176744,TMPRSS11D,9606,associate
L-malate,CP00176744,TMPRSS6,9606,associate
L-malate,CP00176744,PRKCE,9606,associate
L-malate,CP00176744,ITGA4,9606,associate
L-malate,CP00176744,SSTR3,9606,associate
L-malate,CP00176744,STS,9606,associate
L-malate,CP00176744,SSTR5,9606,associate
L-malate,CP00176744,WNT3A,9606,associate
L-malate,CP00176744,PDE1B,9606,associate
L-malate,CP00176744,PLA2G4A,9606,associate
L-malate,CP00176744,PLA2G2A,9606,associate
L-malate,CP00176744,RELA,9606,associate
L-malate,CP00176744,KIF11,9606,associate
L-malate,CP00176744,SERPINE1,9606,associate
L-malate,CP00176744,TXK,9606,associate
L-malate,CP00176744,NAMPT,9606,associate
L-malate,CP00176744,CDK8,9606,associate
L-malate,CP00176744,NR1H4,9606,associate
L-malate,CP00176744,CHRNA3,9606,associate
L-malate,CP00176744,CYP51A1,9606,associate
L-malate,CP00176744,PKN2,9606,associate
L-malate,CP00176744,POLB,9606,associate
L-malate,CP00176744,EP300,9606,associate
L-malate,CP00176744,TPSAB1,9606,associate
L-malate,CP00176744,PIP4K2B,9606,associate
L-malate,CP00176744,DLG4,9606,associate
L-malate,CP00176744,MIF,9606,associate
L-malate,CP00176744,CD74,9606,associate
L-malate,CP00176744,PRF1,9606,associate
L-malate,CP00176744,KDM4C,9606,associate
L-malate,CP00176744,HTR7,9606,associate
L-malate,CP00176744,GSK3B,9606,associate
L-malate,CP00176744,BMP4,9606,associate
L-malate,CP00176744,NEK4,9606,associate
L-malate,CP00176744,GALR1,9606,associate
L-malate,CP00176744,AKT1,9606,associate
