Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
adenosine,CP00046861,GAPDH,9606,inhibit
adenosine,CP00046861,ADK,9606,associate
adenosine,CP00046861,ADORA2A,9606,associate
adenosine,CP00046861,ADORA2B,9606,associate
adenosine,CP00046861,SLC28A3,9606,inhibit
adenosine,CP00046861,SLC28A2,9606,inhibit
adenosine,CP00046861,SLC28A1,9606,inhibit
adenosine,CP00046861,ADORA1,9606,inhibit
adenosine,CP00046861,ADORA3,9606,inhibit
adenosine,CP00046861,LOC110245663,1720309,associate
adenosine,CP00046861,MAPK1,9606,associate
adenosine,CP00046861,STAT6,9606,associate
adenosine,CP00046861,ADA,9606,associate
adenosine,CP00046861,ADORA1,9606,associate
adenosine,CP00046861,PNP,9606,associate
adenosine,CP00046861,DCK,9606,associate
adenosine,CP00046861,NT5C3A,9606,associate
adenosine,CP00046861,SLC35B2,9606,associate
adenosine,CP00046861,ADORA2A,9606,activate
adenosine,CP00046861,Adora1,10116,inhibit
adenosine,CP00046861,Adora2a,10116,inhibit
adenosine,CP00046861,ADA,9913,associate
adenosine,CP00046861,Adora2a,10116,associate
adenosine,CP00046861,PGK2,9606,inhibit
adenosine,CP00046861,Adcy5,10116,inhibit
adenosine,CP00046861,PRKAR2A,9913,inhibit
adenosine,CP00046861,PRKAR2A,9913,associate
adenosine,CP00046861,PI4KA,9606,inhibit
adenosine,CP00046861,EGFR,9606,inhibit
adenosine,CP00046861,ERBB2,9606,inhibit
adenosine,CP00046861,Adora1,10141,associate
adenosine,CP00046861,Ak2,10116,inhibit
adenosine,CP00046861,Ak1,10116,inhibit
adenosine,CP00046861,PRKCB,9606,inhibit
adenosine,CP00046861,ADA,9606,inhibit
adenosine,CP00046861,ADORA3,9606,associate
adenosine,CP00046861,IMPDH1,9606,inhibit
adenosine,CP00046861,IMPDH2,9606,inhibit
adenosine,CP00046861,KMT2A,9606,associate
adenosine,CP00046861,Rorc,10090,associate
adenosine,CP00046861,SLC5A7,9606,inhibit
adenosine,CP00046861,FEN1,9606,associate
adenosine,CP00046861,RGS4,9606,associate
adenosine,CP00046861,ADORA2A,9606,inhibit
adenosine,CP00046861,Pmp22,10116,associate
adenosine,CP00046861,AVD,9031,associate
adenosine,CP00046861,IDH1,9606,associate
adenosine,CP00046861,SLCO1B3,9606,associate
adenosine,CP00046861,SLCO1B1,9606,associate
