Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
alpha-isopropylmalate,CP04449895,MAP4K5,9606,associate
alpha-isopropylmalate,CP04449895,FAR2,9606,associate
alpha-isopropylmalate,CP04449895,IDH3G,9606,associate
alpha-isopropylmalate,CP04449895,SFXN3,9606,associate
alpha-isopropylmalate,CP04449895,SLC25A11,9606,associate
alpha-isopropylmalate,CP04449895,LDHB,9606,associate
alpha-isopropylmalate,CP04449895,GOT2,9606,associate
alpha-isopropylmalate,CP04449895,JUND,9606,associate
alpha-isopropylmalate,CP04449895,MAP3K8,9606,associate
alpha-isopropylmalate,CP04449895,ILVBL,9606,associate
alpha-isopropylmalate,CP04449895,MAP4K3,9606,associate
alpha-isopropylmalate,CP04449895,SFXN5,9606,associate
alpha-isopropylmalate,CP04449895,GLUD1,9606,associate
alpha-isopropylmalate,CP04449895,LDHC,9606,associate
alpha-isopropylmalate,CP04449895,LDHAL6A,9606,associate
alpha-isopropylmalate,CP04449895,MAP4K2,9606,associate
alpha-isopropylmalate,CP04449895,SLC25A34,9606,associate
alpha-isopropylmalate,CP04449895,IDH3A,9606,associate
alpha-isopropylmalate,CP04449895,LDHAL6B,9606,associate
alpha-isopropylmalate,CP04449895,GOT1L1,9606,associate
alpha-isopropylmalate,CP04449895,JUNB,9606,associate
alpha-isopropylmalate,CP04449895,AKR1A1,9606,associate
alpha-isopropylmalate,CP04449895,SFXN1,9606,associate
alpha-isopropylmalate,CP04449895,FARSA,9606,associate
alpha-isopropylmalate,CP04449895,HACL1,9606,associate
alpha-isopropylmalate,CP04449895,TRIM55,9606,associate
alpha-isopropylmalate,CP04449895,STK25,9606,associate
alpha-isopropylmalate,CP04449895,MDH2,9606,associate
alpha-isopropylmalate,CP04449895,GLUD2,9606,associate
alpha-isopropylmalate,CP04449895,ADI1,9606,associate
alpha-isopropylmalate,CP04449895,DMKN,9606,associate
alpha-isopropylmalate,CP04449895,CS,9606,associate
alpha-isopropylmalate,CP04449895,FAR1,9606,associate
alpha-isopropylmalate,CP04449895,SFXN4,9606,associate
alpha-isopropylmalate,CP04449895,C7orf50,9606,associate
alpha-isopropylmalate,CP04449895,SFXN2,9606,associate
alpha-isopropylmalate,CP04449895,GOT1,9606,associate
alpha-isopropylmalate,CP04449895,JUN,9606,associate
alpha-isopropylmalate,CP04449895,STK4,9606,associate
alpha-isopropylmalate,CP04449895,MDH1B,9606,associate
alpha-isopropylmalate,CP04449895,HMGCL,9606,associate
alpha-isopropylmalate,CP04449895,STK24,9606,associate
alpha-isopropylmalate,CP04449895,SLC25A35,9606,associate
alpha-isopropylmalate,CP04449895,IDH3B,9606,associate
