Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
astragalin,CP04451007,CA2,9606,inhibit
astragalin,CP04451007,CA4,9606,inhibit
astragalin,CP04451007,CA7,9606,inhibit
astragalin,CP04451007,CA12,9606,inhibit
astragalin,CP04451007,P4HB,9606,associate
astragalin,CP04451007,Ace,10116,associate
astragalin,CP04451007,Ace,10116,inhibit
astragalin,CP04451007,Akr1b1,10116,inhibit
astragalin,CP04451007,ATAD5,9606,associate
astragalin,CP04451007,POLI,9606,associate
astragalin,CP04451007,Dyrk1a,10116,associate
astragalin,CP04451007,AKR1B1,9606,inhibit
astragalin,CP04451007,CGA,9606,associate
astragalin,CP04451007,Gaa,10116,associate
astragalin,CP04451007,PTPN1,9606,associate
astragalin,CP04451007,PTH1R,9606,associate
astragalin,CP04451007,APEX1,9606,associate
astragalin,CP04451007,RAPGEF3,9606,associate
astragalin,CP04451007,EPHX2,9606,associate
astragalin,CP04451007,EPHX2,9606,inhibit
astragalin,CP04451007,CA1,9606,inhibit
astragalin,CP04451007,LOC101971467,43179,inhibit
astragalin,CP04451007,PANA_RS06665,706191,inhibit
astragalin,CP04451007,STAM2,9606,associate
astragalin,CP04451007,SPIC,9606,associate
astragalin,CP04451007,FOXL2,9606,associate
astragalin,CP04451007,RBL1,9606,associate
astragalin,CP04451007,HSD11B2,9606,associate
astragalin,CP04451007,GRHPR,9606,associate
astragalin,CP04451007,ECI1,9606,associate
astragalin,CP04451007,BRIX1,9606,associate
astragalin,CP04451007,H6PD,9606,associate
astragalin,CP04451007,CASP4,9606,associate
astragalin,CP04451007,CCL27,9606,associate
astragalin,CP04451007,TNFRSF10C,9606,associate
astragalin,CP04451007,CCL2,9796,associate
astragalin,CP04451007,CCL3,60711,associate
astragalin,CP04451007,LOC103151753,48698,associate
astragalin,CP04451007,IL6,9978,associate
astragalin,CP04451007,NFKBIA,9238,associate
astragalin,CP04451007,NOS2,9365,associate
astragalin,CP04451007,PTGS2,100784,associate
astragalin,CP04451007,RELA,9606,associate
astragalin,CP04451007,Tnf,885580,associate
astragalin,CP04451007,ENO2,9606,associate
astragalin,CP04451007,ENO1,9606,associate
astragalin,CP04451007,CCNI,9606,associate
astragalin,CP04451007,SLC35A2,9606,associate
astragalin,CP04451007,CCNB1,9606,associate
astragalin,CP04451007,NT5E,9606,associate
astragalin,CP04451007,SLC7A11,9606,associate
astragalin,CP04451007,CCNO,9606,associate
astragalin,CP04451007,CCNB2,9606,associate
astragalin,CP04451007,FEN1,9606,associate
astragalin,CP04451007,CCNG2,9606,associate
astragalin,CP04451007,GEN1,9606,associate
astragalin,CP04451007,ACSF3,9606,associate
astragalin,CP04451007,ENO3,9606,associate
astragalin,CP04451007,UPP1,9606,associate
astragalin,CP04451007,SLC25A26,9606,associate
astragalin,CP04451007,CCNG1,9606,associate
astragalin,CP04451007,ENO4,9606,associate
astragalin,CP04451007,DCLRE1A,9606,associate
astragalin,CP04451007,COG2,9606,associate
astragalin,CP04451007,PTGS2,9606,associate
astragalin,CP04451007,DCLRE1C,9606,associate
astragalin,CP04451007,CCNI2,9606,associate
astragalin,CP04451007,TKFC,9606,associate
astragalin,CP04451007,CNTD2,9606,associate
astragalin,CP04451007,ALG2,9606,associate
astragalin,CP04451007,TYR,9606,associate
astragalin,CP04451007,Prkaa2,10090,associate
astragalin,CP04451007,Pparg,10090,associate
astragalin,CP04451007,SNUPN,9606,associate
astragalin,CP04451007,Gaa,10116,inhibit
astragalin,CP04451007,PNLIP,9823,inhibit
astragalin,CP04451007,PTPN1,9606,inhibit
astragalin,CP04451007,CA7,9606,associate
astragalin,CP04451007,CA12,9606,associate
astragalin,CP04451007,CA2,9606,associate
astragalin,CP04451007,CA4,9606,associate
astragalin,CP04451007,ACHE,9606,associate
astragalin,CP04451007,RPS6KA3,9606,associate
astragalin,CP04451007,AKR1B1,9606,associate
astragalin,CP04451007,NOX4,9606,associate
astragalin,CP04451007,ADRA2C,9606,associate
astragalin,CP04451007,CYP3A4,9606,associate
astragalin,CP04451007,ALPI,9606,associate
