Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
benzoic acid,CP00000230,CA2,9606,inhibit
benzoic acid,CP00000230,DAO,9606,inhibit
benzoic acid,CP00000230,TSHR,9606,associate
benzoic acid,CP00000230,CES1,9606,associate
benzoic acid,CP00000230,LIPA,9606,associate
benzoic acid,CP00000230,CES5A,9606,associate
benzoic acid,CP00000230,CES2,9606,associate
benzoic acid,CP00000230,ACYP2,9606,associate
benzoic acid,CP00000230,ACYP1,9606,associate
benzoic acid,CP00000230,DAO,9606,associate
benzoic acid,CP00000230,CA4,9606,inhibit
benzoic acid,CP00000230,CA5A,9606,inhibit
benzoic acid,CP00000230,CA9,9606,inhibit
benzoic acid,CP00000230,NCE103,237561,inhibit
benzoic acid,CP00000230,CA1,9606,inhibit
benzoic acid,CP00000230,NEU3,9606,associate
benzoic acid,CP00000230,Mmp9,10090,associate
benzoic acid,CP00000230,Slc22a6,10090,inhibit
benzoic acid,CP00000230,Slc22a20,10090,inhibit
benzoic acid,CP00000230,pxo1_107,1392,associate
benzoic acid,CP00000230,UGT1A6,9606,associate
benzoic acid,CP00000230,UGT1A9,9606,associate
benzoic acid,CP00000230,Slc22a8,10116,associate
benzoic acid,CP00000230,SLCO2B1,9606,associate
benzoic acid,CP00000230,AOX1,9986,associate
benzoic acid,CP00000230,CAT,9913,inhibit
benzoic acid,CP00000230,AOX1,9986,inhibit
benzoic acid,CP00000230,SRR,9606,inhibit
benzoic acid,CP00000230,DDO,9606,inhibit
benzoic acid,CP00000230,GRM5,9606,associate
benzoic acid,CP00000230,PANA_RS06665,706191,inhibit
benzoic acid,CP00000230,CDK5RAP1,9606,associate
benzoic acid,CP00000230,YWHAZ,9606,associate
benzoic acid,CP00000230,ME1,9606,associate
benzoic acid,CP00000230,IL1RL1,9606,associate
benzoic acid,CP00000230,GPR35,9606,associate
benzoic acid,CP00000230,SUCLA2,9606,associate
benzoic acid,CP00000230,OTC,9606,associate
benzoic acid,CP00000230,SCN2A,9606,associate
benzoic acid,CP00000230,PFKM,9606,associate
benzoic acid,CP00000230,RXRB,9606,associate
benzoic acid,CP00000230,CAVIN3,9606,associate
benzoic acid,CP00000230,PCMT1,9606,associate
benzoic acid,CP00000230,LTF,9606,associate
benzoic acid,CP00000230,AHR,9606,activate
benzoic acid,CP00000230,DUSP13,9606,associate
benzoic acid,CP00000230,TXN,9606,associate
benzoic acid,CP00000230,GCLM,9606,associate
benzoic acid,CP00000230,MT2A,9606,associate
benzoic acid,CP00000230,RARS,9606,associate
benzoic acid,CP00000230,CRABP1,9606,associate
benzoic acid,CP00000230,UROD,9606,associate
benzoic acid,CP00000230,HSD17B2,9606,associate
benzoic acid,CP00000230,SMC3,9606,associate
benzoic acid,CP00000230,VDAC1,9606,associate
benzoic acid,CP00000230,SLC16A1,9606,associate
benzoic acid,CP00000230,MCRIP2,9606,associate
benzoic acid,CP00000230,HCFC2,9606,associate
benzoic acid,CP00000230,RARRES3,9606,associate
benzoic acid,CP00000230,CA2,9606,associate
benzoic acid,CP00000230,GCSH,9606,associate
benzoic acid,CP00000230,FBXO7,9606,associate
benzoic acid,CP00000230,PDHB,9606,associate
benzoic acid,CP00000230,ABCC8,9606,associate
benzoic acid,CP00000230,ZKSCAN5,9606,associate
benzoic acid,CP00000230,PTGS2,9606,associate
benzoic acid,CP00000230,VEGFA,9606,associate
