Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
beta-alanine betaine,CP00154678,ALDH3A1,9606,associate
beta-alanine betaine,CP00154678,PXN,9606,associate
beta-alanine betaine,CP00154678,MSX2,9606,associate
beta-alanine betaine,CP00154678,PDLIM4,9606,associate
beta-alanine betaine,CP00154678,AOC2,9606,associate
beta-alanine betaine,CP00154678,GLUD1,9606,associate
beta-alanine betaine,CP00154678,PDLIM3,9606,associate
beta-alanine betaine,CP00154678,AOC3,9606,associate
beta-alanine betaine,CP00154678,PDLIM2,9606,associate
beta-alanine betaine,CP00154678,CHDH,9606,associate
beta-alanine betaine,CP00154678,PDLIM5,9606,associate
beta-alanine betaine,CP00154678,GLUD2,9606,associate
beta-alanine betaine,CP00154678,ALDH3A2,9606,associate
beta-alanine betaine,CP00154678,ALDH9A1,9606,associate
beta-alanine betaine,CP00154678,PDLIM7,9606,associate
beta-alanine betaine,CP00154678,PDLIM1,9606,associate
beta-alanine betaine,CP00154678,NTMT1,9606,associate
beta-alanine betaine,CP00154678,FGR,9606,associate
beta-alanine betaine,CP00154678,ASMT,9606,associate
beta-alanine betaine,CP00154678,ASMTL,9606,associate
beta-alanine betaine,CP00154678,MSX1,9606,associate
beta-alanine betaine,CP00154678,TGFB1I1,9606,associate
beta-alanine betaine,CP00154678,ALDH7A1,9606,associate
beta-alanine betaine,CP00154678,LDB3,9606,associate
beta-alanine betaine,CP00154678,METTL11B,9606,associate
beta-alanine betaine,CP00154678,LPXN,9606,associate
beta-alanine betaine,CP00154678,BBOX1,9606,associate
beta-alanine betaine,CP00154678,SLC22A6,9606,associate
beta-alanine betaine,CP00154678,EGLN1,9606,associate
beta-alanine betaine,CP00154678,KDM2A,9606,associate
beta-alanine betaine,CP00154678,CHRM2,9606,associate
beta-alanine betaine,CP00154678,CHRM4,9606,associate
beta-alanine betaine,CP00154678,CHRM5,9606,associate
beta-alanine betaine,CP00154678,CHRM3,9606,associate
beta-alanine betaine,CP00154678,CHRM1,9606,associate
beta-alanine betaine,CP00154678,ACHE,9606,associate
beta-alanine betaine,CP00154678,KDM4E,9606,associate
beta-alanine betaine,CP00154678,TERT,9606,associate
beta-alanine betaine,CP00154678,FABP3,9606,associate
beta-alanine betaine,CP00154678,FFAR1,9606,associate
beta-alanine betaine,CP00154678,HDAC3,9606,associate
beta-alanine betaine,CP00154678,KDM5C,9606,associate
beta-alanine betaine,CP00154678,FABP4,9606,associate
beta-alanine betaine,CP00154678,TBXA2R,9606,associate
beta-alanine betaine,CP00154678,GALR3,9606,associate
beta-alanine betaine,CP00154678,FOLH1,9606,associate
beta-alanine betaine,CP00154678,THRA,9606,associate
beta-alanine betaine,CP00154678,OXER1,9606,associate
beta-alanine betaine,CP00154678,HMGCR,9606,associate
beta-alanine betaine,CP00154678,HRH3,9606,associate
beta-alanine betaine,CP00154678,GRM1,9606,associate
beta-alanine betaine,CP00154678,CA2,9606,associate
beta-alanine betaine,CP00154678,GRIK5,9606,associate
beta-alanine betaine,CP00154678,GRIA1,9606,associate
