Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
caffeic acid,CP00002310,NFE2L2,9606,associate
caffeic acid,CP00002310,PPARD,9606,associate
caffeic acid,CP00002310,AR,9606,associate
caffeic acid,CP00002310,LDHA,9606,associate
caffeic acid,CP00002310,CCR2,9606,inhibit
caffeic acid,CP00002310,PRKCA,9606,associate
caffeic acid,CP00002310,CA4,9606,associate
caffeic acid,CP00002310,SLC2A4,9606,activate
caffeic acid,CP00002310,ALOX5,9606,associate
caffeic acid,CP00002310,IL2,9606,associate
caffeic acid,CP00002310,MRPL45,9606,associate
caffeic acid,CP00002310,FRK,9606,associate
caffeic acid,CP00002310,SPOPL,9606,associate
caffeic acid,CP00002310,PRKD3,9606,associate
caffeic acid,CP00002310,TNF,9606,activate
caffeic acid,CP00002310,SULT1A3,9606,activate
caffeic acid,CP00002310,CCR4,9606,inhibit
caffeic acid,CP00002310,PRKCI,9606,associate
caffeic acid,CP00002310,PTPN1,9606,associate
caffeic acid,CP00002310,PTX3,9606,associate
caffeic acid,CP00002310,FLRT2,9606,associate
caffeic acid,CP00002310,LPO,9606,associate
caffeic acid,CP00002310,IL21R,9606,associate
caffeic acid,CP00002310,CA9,9606,associate
caffeic acid,CP00002310,CXCL8,9606,associate
caffeic acid,CP00002310,TNF,9606,associate
caffeic acid,CP00002310,HAVCR2,9606,inhibit
caffeic acid,CP00002310,SOD2,9606,associate
caffeic acid,CP00002310,ARSH,9606,associate
caffeic acid,CP00002310,CYP20A1,9606,associate
caffeic acid,CP00002310,ALOX5,9606,inhibit
caffeic acid,CP00002310,LOX,9606,associate
caffeic acid,CP00002310,CAVIN3,9606,associate
caffeic acid,CP00002310,PTGS2,9606,associate
caffeic acid,CP00002310,PDCD10,9606,associate
caffeic acid,CP00002310,PPOX,9606,associate
caffeic acid,CP00002310,GSR,9606,inhibit
caffeic acid,CP00002310,OXA1L,9606,associate
caffeic acid,CP00002310,TOP1,9606,associate
caffeic acid,CP00002310,DLD,9606,associate
caffeic acid,CP00002310,PTGS1,9606,associate
caffeic acid,CP00002310,CA7,9606,associate
caffeic acid,CP00002310,MIF,9606,associate
caffeic acid,CP00002310,BDNF,9606,associate
caffeic acid,CP00002310,SULT1A2,9606,activate
caffeic acid,CP00002310,FARSA,9606,associate
caffeic acid,CP00002310,KCNK2,9606,associate
caffeic acid,CP00002310,ATP6V0D2,9606,associate
caffeic acid,CP00002310,CAT,9606,inhibit
caffeic acid,CP00002310,UBE2C,9606,activate
caffeic acid,CP00002310,FGF14,9606,associate
caffeic acid,CP00002310,H6PD,9606,inhibit
caffeic acid,CP00002310,ALOX12B,9606,associate
caffeic acid,CP00002310,PLK1,9606,activate
caffeic acid,CP00002310,FAF1,9606,associate
caffeic acid,CP00002310,CGA,9606,associate
caffeic acid,CP00002310,DECR1,9606,associate
caffeic acid,CP00002310,TP53,9606,associate
caffeic acid,CP00002310,UGT1A7,9606,activate
caffeic acid,CP00002310,KIF15,9606,activate
caffeic acid,CP00002310,IL26,9606,associate
caffeic acid,CP00002310,MPO,9606,associate
caffeic acid,CP00002310,CTBS,9606,associate
caffeic acid,CP00002310,STK32A,9606,inhibit
caffeic acid,CP00002310,SFXN4,9606,associate
caffeic acid,CP00002310,NOS3,9606,activate
caffeic acid,CP00002310,MTOR,9606,associate
caffeic acid,CP00002310,GSTP1,9606,associate
caffeic acid,CP00002310,PRDX5,9606,associate
caffeic acid,CP00002310,NDP,9606,activate
caffeic acid,CP00002310,ALOX15,9606,associate
caffeic acid,CP00002310,HEXB,9606,associate
caffeic acid,CP00002310,KIF20B,9606,activate
caffeic acid,CP00002310,PRKD1,9606,associate
caffeic acid,CP00002310,TYR,9606,activate
caffeic acid,CP00002310,HEXA,9606,associate
caffeic acid,CP00002310,EDN1,9606,inhibit
caffeic acid,CP00002310,SMC2,9606,associate
caffeic acid,CP00002310,KIF2C,9606,associate
caffeic acid,CP00002310,CCL4,9606,inhibit
caffeic acid,CP00002310,CA2,9606,associate
caffeic acid,CP00002310,PRKCG,9606,associate
caffeic acid,CP00002310,CYP4B1,9606,associate
caffeic acid,CP00002310,CASP3,9606,inhibit
caffeic acid,CP00002310,FASN,9606,associate
caffeic acid,CP00002310,ALOX15B,9606,associate
caffeic acid,CP00002310,PLA2G1B,9606,associate
caffeic acid,CP00002310,CYP2E1,9606,associate
caffeic acid,CP00002310,UGT1A10,9606,activate
caffeic acid,CP00002310,PROK1,9606,associate
caffeic acid,CP00002310,HSPE1,9606,activate
caffeic acid,CP00002310,PRKCE,9606,associate
caffeic acid,CP00002310,CALM1,9606,associate
caffeic acid,CP00002310,CA6,9606,associate
caffeic acid,CP00002310,PENK,9606,associate
caffeic acid,CP00002310,HMGCR,9606,associate
caffeic acid,CP00002310,RNF103,9606,associate
caffeic acid,CP00002310,GSTM1,9606,associate
caffeic acid,CP00002310,ETFB,9606,associate
caffeic acid,CP00002310,DNAJB11,9606,associate
caffeic acid,CP00002310,UGT1A8,9606,activate
caffeic acid,CP00002310,CYCS,9606,associate
caffeic acid,CP00002310,PRKCH,9606,associate
caffeic acid,CP00002310,NF1,9606,associate
caffeic acid,CP00002310,CD68,9606,inhibit
caffeic acid,CP00002310,DPYSL4,9606,activate
caffeic acid,CP00002310,CTSB,9606,associate
caffeic acid,CP00002310,CA3,9606,associate
caffeic acid,CP00002310,SNCA,9606,inhibit
caffeic acid,CP00002310,MAP2K5,9606,inhibit
