Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
caffeine,CP00002311,ADORA2B,9606,inhibit
caffeine,CP00002311,ADORA3,9606,inhibit
caffeine,CP00002311,GDA,9606,inhibit
caffeine,CP00002311,KCNH2,9606,inhibit
caffeine,CP00002311,ADORA1,9606,inhibit
caffeine,CP00002311,ACHE,9606,inhibit
caffeine,CP00002311,ADORA2A,9606,inhibit
caffeine,CP00002311,CYP1A1,9606,associate
caffeine,CP00002311,ADORA1,9606,associate
caffeine,CP00002311,ADORA2A,9606,associate
caffeine,CP00002311,PLCB4,9606,associate
caffeine,CP00002311,CYP4F8,9606,associate
caffeine,CP00002311,PLD1,9606,associate
caffeine,CP00002311,PDE3B,9606,associate
caffeine,CP00002311,CYP2R1,9606,associate
caffeine,CP00002311,CYP2C9,9606,associate
caffeine,CP00002311,CYP2B6,9606,associate
caffeine,CP00002311,PDE9A,9606,associate
caffeine,CP00002311,P2RY11,9606,associate
caffeine,CP00002311,P2RY2,9606,associate
caffeine,CP00002311,CYP3A7,9606,associate
caffeine,CP00002311,CYP4A22,9606,associate
caffeine,CP00002311,PDE6D,9606,associate
caffeine,CP00002311,CYP8B1,9606,associate
caffeine,CP00002311,P2RY13,9606,associate
caffeine,CP00002311,CYP11B1,9606,associate
caffeine,CP00002311,PDE6G,9606,associate
caffeine,CP00002311,PDE2A,9606,associate
caffeine,CP00002311,PDE7B,9606,associate
caffeine,CP00002311,CYP4Z1,9606,associate
caffeine,CP00002311,CYP1A2,9606,associate
caffeine,CP00002311,ENPP7,9606,associate
caffeine,CP00002311,P2RY14,9606,associate
caffeine,CP00002311,PDE4B,9606,associate
caffeine,CP00002311,P2RY4,9606,associate
caffeine,CP00002311,P2RY1,9606,associate
caffeine,CP00002311,CYP4X1,9606,associate
caffeine,CP00002311,ADORA2B,9606,associate
caffeine,CP00002311,P2RY12,9606,associate
caffeine,CP00002311,PDE10A,9606,associate
caffeine,CP00002311,PLCH1,9606,associate
caffeine,CP00002311,PLCD1,9606,associate
caffeine,CP00002311,CYP11B2,9606,associate
caffeine,CP00002311,PDE4C,9606,associate
caffeine,CP00002311,P2RX4,9606,associate
caffeine,CP00002311,SMPD1,9606,associate
caffeine,CP00002311,P2RX6,9606,associate
caffeine,CP00002311,PLCB1,9606,associate
caffeine,CP00002311,CYP3A4,9606,associate
caffeine,CP00002311,SMPD2,9606,associate
caffeine,CP00002311,LPAR6,9606,associate
