Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
canavanin,CP00000259,LMNA,9606,associate
canavanin,CP00000259,NFKB1,9606,associate
canavanin,CP00000259,RECQL,9606,associate
canavanin,CP00000259,LOC110245663,1720309,associate
canavanin,CP00000259,BLM,9606,associate
canavanin,CP00000259,CYP3A4,9606,associate
canavanin,CP00000259,nfo,511145,associate
canavanin,CP00000259,Chrm1,10116,associate
canavanin,CP00000259,EHMT2,9606,associate
canavanin,CP00000259,ARSA,9606,associate
canavanin,CP00000259,APEX1,9606,associate
canavanin,CP00000259,RNF213,9606,associate
canavanin,CP00000259,CHMP6,9606,associate
canavanin,CP00000259,ASL,9606,associate
canavanin,CP00000259,OTC,9606,associate
canavanin,CP00000259,NTHL1,9606,associate
canavanin,CP00000259,SUMO3,9606,associate
canavanin,CP00000259,WDHD1,9606,associate
canavanin,CP00000259,SUMO2,9606,associate
canavanin,CP00000259,LRRC4B,9606,associate
canavanin,CP00000259,DNA2,9606,associate
canavanin,CP00000259,REV1,9606,associate
canavanin,CP00000259,GLDC,9606,associate
canavanin,CP00000259,CHMP2A,9606,associate
canavanin,CP00000259,PSMB4,9606,associate
canavanin,CP00000259,NOS1,9606,associate
canavanin,CP00000259,PMS1,9606,associate
canavanin,CP00000259,HOPX,9606,associate
canavanin,CP00000259,CGB3,9606,associate
canavanin,CP00000259,DECR1,9606,associate
canavanin,CP00000259,RARS,9606,associate
canavanin,CP00000259,MMAA,9606,associate
canavanin,CP00000259,APOBEC3F,9606,associate
canavanin,CP00000259,NSMCE2,9606,associate
canavanin,CP00000259,GAA,9606,associate
canavanin,CP00000259,RNF103-CHMP3,9606,associate
canavanin,CP00000259,ARG1,9606,associate
canavanin,CP00000259,NEDD4L,9606,associate
canavanin,CP00000259,PFAS,9606,associate
canavanin,CP00000259,EIF4B,9606,associate
canavanin,CP00000259,HBG2,9606,associate
canavanin,CP00000259,UBE2D2,9606,associate
canavanin,CP00000259,PTRH1,9606,associate
canavanin,CP00000259,ASS1,9606,associate
canavanin,CP00000259,USP14,9606,associate
canavanin,CP00000259,ARG2,9606,associate
canavanin,CP00000259,PSMD8,9606,associate
canavanin,CP00000259,GATM,9606,associate
canavanin,CP00000259,RPL27A,9606,associate
canavanin,CP00000259,HBZ,9606,associate
canavanin,CP00000259,HBE1,9606,associate
canavanin,CP00000259,TTR,9606,associate
canavanin,CP00000259,HBD,9606,associate
canavanin,CP00000259,CHMP4B,9606,associate
canavanin,CP00000259,VIM,9606,associate
canavanin,CP00000259,STIP1,9606,associate
canavanin,CP00000259,PSMD4,9606,associate
canavanin,CP00000259,ICMT,9606,associate
canavanin,CP00000259,FH,9606,associate
canavanin,CP00000259,HBA1,9606,associate
canavanin,CP00000259,PUS1,9606,associate
canavanin,CP00000259,RAD50,9606,associate
canavanin,CP00000259,ODC1,9606,associate
canavanin,CP00000259,PMS2,9606,associate
canavanin,CP00000259,BEAN1,9606,associate
canavanin,CP00000259,MLYCD,9606,associate
canavanin,CP00000259,AZIN2,9606,associate
canavanin,CP00000259,RAD52,9606,associate
canavanin,CP00000259,UCHL3,9606,associate
canavanin,CP00000259,UBE2H,9606,associate
canavanin,CP00000259,KARS,9606,associate
canavanin,CP00000259,PSMD11,9606,associate
canavanin,CP00000259,NSFL1C,9606,associate
canavanin,CP00000259,HBM,9606,associate
canavanin,CP00000259,NOS2,9606,associate
canavanin,CP00000259,HBB,9606,associate
canavanin,CP00000259,RHEB,9606,associate
canavanin,CP00000259,UBA52,9606,associate
canavanin,CP00000259,BTAF1,9606,associate
canavanin,CP00000259,NOS3,9606,associate
canavanin,CP00000259,EXO1,9606,associate
canavanin,CP00000259,NANOS3,9606,associate
canavanin,CP00000259,FEN1,9606,associate
canavanin,CP00000259,UNG,9606,associate
canavanin,CP00000259,POMP,9606,associate
canavanin,CP00000259,PSMB2,9606,associate
canavanin,CP00000259,KYAT1,9606,associate
canavanin,CP00000259,DMXL2,9606,associate
canavanin,CP00000259,HBG1,9606,associate
canavanin,CP00000259,PSMD14,9606,associate
canavanin,CP00000259,MGEA5,9606,associate
canavanin,CP00000259,UPF1,9606,associate
canavanin,CP00000259,POLR2I,9606,associate
canavanin,CP00000259,HBQ1,9606,associate
canavanin,CP00000259,MAP3K14,9606,associate
canavanin,CP00000259,CIT,9606,associate
canavanin,CP00000259,HEXB,9606,associate
canavanin,CP00000259,LIG1,9606,associate
canavanin,CP00000259,OGG1,9606,associate
canavanin,CP00000259,USP4,9606,associate
canavanin,CP00000259,NANOS2,9606,associate
canavanin,CP00000259,AAGAB,9606,associate
canavanin,CP00000259,NANOS1,9606,associate
canavanin,CP00000259,NEUROD2,9606,associate
canavanin,CP00000259,ISYNA1,9606,associate
canavanin,CP00000259,TNS1,9606,associate
canavanin,CP00000259,HAS1,9606,associate
canavanin,CP00000259,DUSP3,9606,associate
canavanin,CP00000259,SERPINB10,9606,associate
