Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
choline,CP00000285,CHAT,9606,associate
choline,CP00000285,PLD2,9606,associate
choline,CP00000285,ACHE,9606,associate
choline,CP00000285,BCHE,9606,associate
choline,CP00000285,PCYT1B,9606,associate
choline,CP00000285,PCYT1A,9606,associate
choline,CP00000285,CHKB,9606,associate
choline,CP00000285,CHKA,9606,associate
choline,CP00000285,PLD3,9606,associate
choline,CP00000285,PLD4,9606,associate
choline,CP00000285,PLD6,9606,associate
choline,CP00000285,Chrnb2,10116,inhibit
choline,CP00000285,Chrnb4,10116,inhibit
choline,CP00000285,Chrna7,10116,inhibit
choline,CP00000285,Slc5a7,10090,inhibit
choline,CP00000285,ACHE,9606,inhibit
choline,CP00000285,Slc6a8,10116,inhibit
choline,CP00000285,SLC22A1,9606,associate
choline,CP00000285,Chrm1,10116,associate
choline,CP00000285,EHMT2,9606,associate
choline,CP00000285,SLC22A5,9606,associate
choline,CP00000285,SLC22A4,9606,associate
choline,CP00000285,Slc22a5,10116,associate
choline,CP00000285,Slc22a3,10116,associate
choline,CP00000285,Slc22a5,10090,associate
choline,CP00000285,Slc22a2,10116,inhibit
choline,CP00000285,Slc22a1,10116,inhibit
choline,CP00000285,Slc22a2,10090,inhibit
choline,CP00000285,Slc22a1,10090,inhibit
choline,CP00000285,LOC110236298,1720309,inhibit
choline,CP00000285,LOC110235716,1720309,inhibit
choline,CP00000285,AARD,9555,associate
choline,CP00000285,ABAT,9555,associate
choline,CP00000285,ABCA5,9233,associate
choline,CP00000285,Abca8a,10090,associate
choline,CP00000285,ABCB1,9823,associate
choline,CP00000285,abcb10,48698,associate
choline,CP00000285,ABCB11,60711,associate
choline,CP00000285,Abcb1a,28588,associate
choline,CP00000285,Abcb1b,10090,associate
choline,CP00000285,ABCC1,60711,associate
choline,CP00000285,Abcc2,885580,associate
choline,CP00000285,ABCC3,60711,associate
choline,CP00000285,ABCC4,54374,associate
choline,CP00000285,ABCC5,57412,associate
choline,CP00000285,ABCF2,9606,associate
choline,CP00000285,Abcg2,10029,associate
choline,CP00000285,abhd11,48698,associate
choline,CP00000285,Abhd12,10020,associate
choline,CP00000285,ABHD2,9606,associate
choline,CP00000285,ABLIM3,9606,associate
choline,CP00000285,Abr,10181,associate
choline,CP00000285,ABTB1,9244,associate
choline,CP00000285,ACACA,9606,associate
choline,CP00000285,ACACA,9606,inhibit
choline,CP00000285,acacb,48698,associate
choline,CP00000285,acad9,48698,associate
choline,CP00000285,ACADL,94827,associate
choline,CP00000285,acadm,48698,associate
choline,CP00000285,acads,48698,associate
choline,CP00000285,ACAP3,9555,associate
choline,CP00000285,Acbd5,64838,associate
choline,CP00000285,ACBD6,175836,associate
choline,CP00000285,acer2,48698,associate
choline,CP00000285,ACHE,60711,associate
choline,CP00000285,ACHE,60711,inhibit
choline,CP00000285,ACLY,9606,associate
choline,CP00000285,Acnat2,10116,associate
choline,CP00000285,LOC103143296,48698,associate
choline,CP00000285,ACOT1,9606,associate
choline,CP00000285,Acot10,10090,associate
choline,CP00000285,ACOT2,9913,associate
choline,CP00000285,Acot5,10116,associate
choline,CP00000285,ACOT9,9555,associate
choline,CP00000285,acox1,48698,associate
choline,CP00000285,Acsl1,885580,activate
choline,CP00000285,ACSL4,9233,associate
choline,CP00000285,acss1,48698,associate
choline,CP00000285,Acta1,885580,associate
choline,CP00000285,ACTA2,9233,associate
choline,CP00000285,actc1,48698,associate
choline,CP00000285,Actr1a,885580,associate
choline,CP00000285,ACTR5,9555,associate
choline,CP00000285,Acvr1c,885580,associate
choline,CP00000285,acvr2b,48698,associate
choline,CP00000285,ADAM11,60711,associate
choline,CP00000285,ADAM12,54380,associate
choline,CP00000285,Adam15,10020,associate
choline,CP00000285,ADAM19,9209,associate
choline,CP00000285,ADAM8,9555,associate
choline,CP00000285,ADAMTS12,9555,associate
choline,CP00000285,Adamts15,885580,associate
choline,CP00000285,ADAMTS16,8496,associate
choline,CP00000285,ADAMTS2,9365,associate
choline,CP00000285,Adamts7,10116,associate
choline,CP00000285,ADAMTS9,9555,associate
choline,CP00000285,ADAMTSL2,60711,associate
choline,CP00000285,adamtsl5,48698,associate
choline,CP00000285,LOC103141720,48698,associate
choline,CP00000285,Adcy2,64838,associate
choline,CP00000285,Adcy3,885580,associate
choline,CP00000285,adcy7,48698,associate
choline,CP00000285,ADD3,9233,associate
choline,CP00000285,ADGRB1,9365,associate
choline,CP00000285,ADGRB2,9555,associate
choline,CP00000285,ADGRE1,9365,associate
choline,CP00000285,Adgrf1,10020,associate
choline,CP00000285,ADGRG2,9365,associate
choline,CP00000285,ADGRG6,60711,associate
choline,CP00000285,ADGRL2,85066,associate
choline,CP00000285,ADGRV1,60711,associate
choline,CP00000285,Adh5,10029,associate
choline,CP00000285,ADH7,9555,associate
choline,CP00000285,ADHFE1,9233,associate
choline,CP00000285,ADIPOR2,100784,associate
choline,CP00000285,ADNP2,9606,associate
choline,CP00000285,Adora2b,885580,associate
choline,CP00000285,LOC103152348,48698,associate
choline,CP00000285,ADRA2A,54380,associate
choline,CP00000285,ADRB2,60711,associate
choline,CP00000285,ADRB3,60711,associate
choline,CP00000285,adssl1,8030,associate
choline,CP00000285,AEN,9365,associate
choline,CP00000285,Afg3l1,10116,associate
choline,CP00000285,AFP,60711,associate
choline,CP00000285,AGAP2,9606,associate
choline,CP00000285,LOC103139283,48698,associate
choline,CP00000285,AGPAT4,9233,associate
choline,CP00000285,agt,48698,associate
choline,CP00000285,AGTPBP1,9606,associate
choline,CP00000285,AGXT,60711,associate
choline,CP00000285,ahcy,48698,associate
choline,CP00000285,Ahnak,10116,associate
choline,CP00000285,Ahrr,10090,associate
choline,CP00000285,ahsa1,48698,associate
choline,CP00000285,aig1,48698,associate
choline,CP00000285,LOC103145984,48698,associate
choline,CP00000285,LOC104924181,215358,associate
choline,CP00000285,ak2,48698,associate
choline,CP00000285,ak4,215358,associate
choline,CP00000285,Ak7,885580,associate
choline,CP00000285,AKAP1,441894,associate
choline,CP00000285,Akap5,885580,associate
choline,CP00000285,AKNA,9555,associate
choline,CP00000285,Akr1b3,10090,associate
choline,CP00000285,Akr1b7,10090,associate
choline,CP00000285,Akr1b8,10029,associate
choline,CP00000285,Akr1c18,10090,associate
choline,CP00000285,AKR1D1,9555,associate
choline,CP00000285,AKTIP,9606,associate
choline,CP00000285,ALB,37040,associate
choline,CP00000285,Aldh18a1,10029,associate
choline,CP00000285,aldh1a2,48698,associate
choline,CP00000285,ALDH1A3,9606,associate
choline,CP00000285,ALDH1B1,60711,associate
choline,CP00000285,aldh1l2,48698,associate
choline,CP00000285,aldh2,48698,associate
