Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
cis-aconitate,CP00547717,ACO2,9606,associate
cis-aconitate,CP00547717,Acly,10116,inhibit
cis-aconitate,CP00547717,LARP6,9606,inhibit
cis-aconitate,CP00547717,FTO,9606,inhibit
cis-aconitate,CP00547717,UROD,9606,associate
cis-aconitate,CP00547717,CS,9606,associate
cis-aconitate,CP00547717,L3HYPDH,9606,associate
cis-aconitate,CP00547717,KLK15,9606,associate
cis-aconitate,CP00547717,OGDH,9606,associate
cis-aconitate,CP00547717,Slco1a4,10090,associate
cis-aconitate,CP00547717,TMEM11,9606,associate
cis-aconitate,CP00547717,IREB2,9606,associate
cis-aconitate,CP00547717,CIT,9606,associate
cis-aconitate,CP00547717,LDHB,9606,associate
cis-aconitate,CP00547717,ACO1,9606,associate
cis-aconitate,CP00547717,LDHAL6B,9606,associate
cis-aconitate,CP00547717,IDH3G,9606,associate
cis-aconitate,CP00547717,SKAP2,9606,associate
cis-aconitate,CP00547717,TXN,9606,associate
cis-aconitate,CP00547717,VDAC1,9606,associate
cis-aconitate,CP00547717,PRODH,9606,associate
cis-aconitate,CP00547717,LDHA,9606,associate
cis-aconitate,CP00547717,LYRM4,9606,associate
cis-aconitate,CP00547717,B9D2,9606,associate
cis-aconitate,CP00547717,FBXO7,9606,associate
cis-aconitate,CP00547717,MT4,9606,associate
cis-aconitate,CP00547717,IDH3B,9606,associate
cis-aconitate,CP00547717,HSPD1,9606,associate
cis-aconitate,CP00547717,CEBPG,9606,associate
cis-aconitate,CP00547717,FARSA,9606,associate
cis-aconitate,CP00547717,LDHC,9606,associate
cis-aconitate,CP00547717,UBR5,9606,associate
cis-aconitate,CP00547717,ALB,9606,associate
cis-aconitate,CP00547717,WNT2,9606,associate
cis-aconitate,CP00547717,IDH2,9606,associate
cis-aconitate,CP00547717,DEF6,9606,associate
cis-aconitate,CP00547717,L1CAM,9606,associate
cis-aconitate,CP00547717,GTF2E1,9606,associate
cis-aconitate,CP00547717,TFPT,9606,associate
cis-aconitate,CP00547717,LDHAL6A,9606,associate
cis-aconitate,CP00547717,IDH3A,9606,associate
cis-aconitate,CP00547717,SLC25A10,9606,associate
cis-aconitate,CP00547717,SLC13A3,9606,associate
cis-aconitate,CP00547717,PDK4,9606,associate
cis-aconitate,CP00547717,TIGAR,9606,associate
cis-aconitate,CP00547717,STRADB,9606,associate
cis-aconitate,CP00547717,OXCT1,9606,associate
cis-aconitate,CP00547717,ADH1A,9606,associate
cis-aconitate,CP00547717,PLA2G15,9606,associate
cis-aconitate,CP00547717,BCKDK,9606,associate
cis-aconitate,CP00547717,PSMA2,9606,associate
cis-aconitate,CP00547717,COX6A1,9606,associate
cis-aconitate,CP00547717,NUDT12,9606,associate
cis-aconitate,CP00547717,UMPS,9606,associate
cis-aconitate,CP00547717,SERPINB10,9606,associate
cis-aconitate,CP00547717,SLC25A2,9606,associate
cis-aconitate,CP00547717,MOCS3,9606,associate
cis-aconitate,CP00547717,UBA2,9606,associate
cis-aconitate,CP00547717,EIF3G,9606,associate
cis-aconitate,CP00547717,RHPN2,9606,associate
cis-aconitate,CP00547717,HSPBP1,9606,associate
cis-aconitate,CP00547717,RSBN1,9606,associate
cis-aconitate,CP00547717,RBM19,9606,associate
cis-aconitate,CP00547717,MARS,9606,associate
cis-aconitate,CP00547717,CAPZA1,9606,associate
cis-aconitate,CP00547717,LCAT,9606,associate
cis-aconitate,CP00547717,SERPINI2,9606,associate
cis-aconitate,CP00547717,SIL1,9606,associate
cis-aconitate,CP00547717,ADH4,9606,associate
cis-aconitate,CP00547717,PTPN23,9606,associate
cis-aconitate,CP00547717,HPX,9606,associate
cis-aconitate,CP00547717,NOP9,9606,associate
cis-aconitate,CP00547717,SERPINB12,9606,associate
cis-aconitate,CP00547717,BCKDHA,9606,associate
cis-aconitate,CP00547717,PSPH,9606,associate
cis-aconitate,CP00547717,OXSM,9606,associate
cis-aconitate,CP00547717,PDK1,9606,associate
cis-aconitate,CP00547717,MARS2,9606,associate
cis-aconitate,CP00547717,HHEX,9606,associate
cis-aconitate,CP00547717,SERPINB3,9606,associate
cis-aconitate,CP00547717,COX6A2,9606,associate
cis-aconitate,CP00547717,RHPN1,9606,associate
cis-aconitate,CP00547717,SLC39A14,9606,associate
cis-aconitate,CP00547717,C21orf33,9606,associate
cis-aconitate,CP00547717,ZNF583,9606,associate
cis-aconitate,CP00547717,PDHA2,9606,associate
cis-aconitate,CP00547717,CCT3,9606,associate
cis-aconitate,CP00547717,SERPINI1,9606,associate
cis-aconitate,CP00547717,EIF5A2,9606,associate
cis-aconitate,CP00547717,ADH5,9606,associate
cis-aconitate,CP00547717,ETNPPL,9606,associate
cis-aconitate,CP00547717,SERPINB2,9606,associate
cis-aconitate,CP00547717,SMYD4,9606,associate
cis-aconitate,CP00547717,PGK2,9606,associate
cis-aconitate,CP00547717,CAMTA1,9606,associate
cis-aconitate,CP00547717,ADH1B,9606,associate
cis-aconitate,CP00547717,ASL,9606,associate
cis-aconitate,CP00547717,ISCU,9606,associate
cis-aconitate,CP00547717,PHYKPL,9606,associate
cis-aconitate,CP00547717,OXSR1,9606,associate
cis-aconitate,CP00547717,PAM16,9606,associate
cis-aconitate,CP00547717,ZFP3,9606,associate
cis-aconitate,CP00547717,PSEN1,9606,associate
cis-aconitate,CP00547717,MDH2,9606,associate
cis-aconitate,CP00547717,SERPINB8,9606,associate
cis-aconitate,CP00547717,FES,9606,associate
cis-aconitate,CP00547717,ZNF570,9606,associate
cis-aconitate,CP00547717,ADI1,9606,associate
cis-aconitate,CP00547717,STRADA,9606,associate
cis-aconitate,CP00547717,EIF5A,9606,associate
cis-aconitate,CP00547717,SLC25A26,9606,associate
cis-aconitate,CP00547717,SLC39A9,9606,associate
cis-aconitate,CP00547717,ISYNA1,9606,associate
cis-aconitate,CP00547717,SERPINB13,9606,associate
cis-aconitate,CP00547717,SLC25A15,9606,associate
cis-aconitate,CP00547717,SERPINB4,9606,associate
cis-aconitate,CP00547717,SLC25A40,9606,associate
cis-aconitate,CP00547717,PFKM,9606,associate
cis-aconitate,CP00547717,DPAGT1,9606,associate
cis-aconitate,CP00547717,STK39,9606,associate
cis-aconitate,CP00547717,SLC39A8,9606,associate
cis-aconitate,CP00547717,NUDT13,9606,associate
cis-aconitate,CP00547717,RPE,9606,associate
cis-aconitate,CP00547717,PHOSPHO2,9606,associate
cis-aconitate,CP00547717,PSEN2,9606,associate
cis-aconitate,CP00547717,SMYD2,9606,associate
cis-aconitate,CP00547717,UROS,9606,associate
cis-aconitate,CP00547717,AFG1L,9606,associate
cis-aconitate,CP00547717,SUFU,9606,associate
cis-aconitate,CP00547717,PIGK,9606,associate
cis-aconitate,CP00547717,OXCT2,9606,associate
cis-aconitate,CP00547717,SF3A3,9606,associate
cis-aconitate,CP00547717,PGK1,9606,associate
cis-aconitate,CP00547717,ZNF79,9606,associate
cis-aconitate,CP00547717,PEF1,9606,associate
cis-aconitate,CP00547717,NFS1,9606,associate
cis-aconitate,CP00547717,PADI2,9606,associate
cis-aconitate,CP00547717,SDHB,9606,associate
cis-aconitate,CP00547717,SLC25A39,9606,associate
cis-aconitate,CP00547717,ACOD1,9606,associate
cis-aconitate,CP00547717,SAT1,9606,associate
cis-aconitate,CP00547717,PDHA1,9606,associate
cis-aconitate,CP00547717,ITPA,9606,associate
cis-aconitate,CP00547717,SERPINB9,9606,associate
cis-aconitate,CP00547717,SERPINB1,9606,associate
cis-aconitate,CP00547717,GYG2,9606,associate
cis-aconitate,CP00547717,HYKK,9606,associate
cis-aconitate,CP00547717,SMYD5,9606,associate
cis-aconitate,CP00547717,ADH6,9606,associate
cis-aconitate,CP00547717,SLC30A5,9606,associate
cis-aconitate,CP00547717,MAPK4,9606,associate
cis-aconitate,CP00547717,PSMD14,9606,associate
cis-aconitate,CP00547717,NDUFS1,9606,associate
cis-aconitate,CP00547717,RPS18,9606,associate
cis-aconitate,CP00547717,SMYD1,9606,associate
cis-aconitate,CP00547717,DHFR,9606,associate
cis-aconitate,CP00547717,HLA-B,9606,associate
cis-aconitate,CP00547717,PHOSPHO1,9606,associate
cis-aconitate,CP00547717,PDCD6IP,9606,associate
cis-aconitate,CP00547717,CAMTA2,9606,associate
cis-aconitate,CP00547717,SDHAF3,9606,associate
cis-aconitate,CP00547717,ADH7,9606,associate
cis-aconitate,CP00547717,PDK2,9606,associate
cis-aconitate,CP00547717,SATL1,9606,associate
cis-aconitate,CP00547717,EIF5AL1,9606,associate
cis-aconitate,CP00547717,ALDH6A1,9606,associate
cis-aconitate,CP00547717,CA4,9606,associate
cis-aconitate,CP00547717,CA9,9606,associate
cis-aconitate,CP00547717,RXRA,9606,associate
cis-aconitate,CP00547717,CA12,9606,associate
cis-aconitate,CP00547717,CA1,9606,associate
cis-aconitate,CP00547717,KDM4E,9606,associate
cis-aconitate,CP00547717,RXRB,9606,associate
