Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
citric acid,CP00000291,ALDH1A1,9606,associate
citric acid,CP00000291,ACLY,9606,associate
citric acid,CP00000291,CS,9606,associate
citric acid,CP00000291,ACO2,9606,associate
citric acid,CP00000291,SRC,9606,associate
citric acid,CP00000291,CTDSP1,9606,associate
citric acid,CP00000291,CPB1,9606,associate
citric acid,CP00000291,APRT,9606,associate
citric acid,CP00000291,RNASE1,9606,associate
citric acid,CP00000291,MIF,9606,associate
citric acid,CP00000291,HS3ST3A1,9606,associate
citric acid,CP00000291,ANG,9606,associate
citric acid,CP00000291,RNASE3,9606,associate
citric acid,CP00000291,fumC,511145,inhibit
citric acid,CP00000291,SRC,9606,inhibit
citric acid,CP00000291,HP1038,85962,associate
citric acid,CP00000291,SCO1961,100226,associate
citric acid,CP00000291,aroD,83332,associate
citric acid,CP00000291,HDAC10,9606,associate
citric acid,CP00000291,KDM4A,9606,associate
citric acid,CP00000291,THRB,9606,associate
citric acid,CP00000291,NR3C1,9606,associate
citric acid,CP00000291,PPARG,9606,associate
citric acid,CP00000291,ESR1,9606,associate
citric acid,CP00000291,NR1H4,9606,associate
citric acid,CP00000291,SLCO2B1,9606,associate
citric acid,CP00000291,NFE2L2,9606,associate
citric acid,CP00000291,HNF4A,9606,inhibit
citric acid,CP00000291,PLIN1,9606,inhibit
citric acid,CP00000291,FTO,9606,inhibit
citric acid,CP00000291,ALKBH5,9606,inhibit
citric acid,CP00000291,PPIF,9606,associate
citric acid,CP00000291,ZP3,9606,associate
citric acid,CP00000291,TERT,9606,associate
citric acid,CP00000291,SLC13A2,9606,associate
citric acid,CP00000291,TF,9606,associate
citric acid,CP00000291,CASP12,9606,associate
citric acid,CP00000291,SDHB,9606,associate
citric acid,CP00000291,CLDN16,9606,associate
citric acid,CP00000291,CASP3,9606,associate
citric acid,CP00000291,FDX1,9606,associate
citric acid,CP00000291,GLUD1,9606,associate
citric acid,CP00000291,IREB2,9606,associate
citric acid,CP00000291,ADAM17,9606,associate
citric acid,CP00000291,MDH1,9606,associate
citric acid,CP00000291,UCK2,9606,associate
citric acid,CP00000291,NAAA,9606,associate
citric acid,CP00000291,GLS2,9606,associate
citric acid,CP00000291,ASGR1,9606,associate
citric acid,CP00000291,NFU1,9606,associate
citric acid,CP00000291,PDCD11,9606,associate
citric acid,CP00000291,SCAI,9606,associate
citric acid,CP00000291,COX6B1,9606,associate
citric acid,CP00000291,BCL2,9606,associate
citric acid,CP00000291,PRKAB1,9606,associate
citric acid,CP00000291,ATP5PD,9606,associate
citric acid,CP00000291,GDPD1,9606,associate
citric acid,CP00000291,PRKAB2,9606,associate
citric acid,CP00000291,Slco1a4,10090,associate
citric acid,CP00000291,LDHAL6B,9606,associate
citric acid,CP00000291,MUC5AC,9606,associate
citric acid,CP00000291,S100A9,9606,associate
citric acid,CP00000291,FOXRED1,9606,associate
citric acid,CP00000291,PPAN,9606,associate
citric acid,CP00000291,SLC25A10,9606,associate
citric acid,CP00000291,MMD,9606,associate
citric acid,CP00000291,NDUFAF4,9606,associate
citric acid,CP00000291,HK2,9606,associate
citric acid,CP00000291,TRPV1,9606,associate
citric acid,CP00000291,RPIA,9606,associate
citric acid,CP00000291,SLC25A19,9606,associate
citric acid,CP00000291,ALPL,9606,associate
citric acid,CP00000291,COX7B,9606,associate
citric acid,CP00000291,GMPS,9606,associate
citric acid,CP00000291,IDH3G,9606,associate
citric acid,CP00000291,PAPOLA,9606,associate
citric acid,CP00000291,NAGA,9606,associate
citric acid,CP00000291,AGXT,9606,associate
citric acid,CP00000291,KLK5,9606,associate
citric acid,CP00000291,SOD2,9606,associate
citric acid,CP00000291,SCRN3,9606,associate
citric acid,CP00000291,NFS1,9606,associate
citric acid,CP00000291,DNER,9606,associate
citric acid,CP00000291,GSTO1,9606,associate
citric acid,CP00000291,TRPV2,9606,associate
citric acid,CP00000291,C8G,9606,associate
citric acid,CP00000291,PCK1,9606,associate
citric acid,CP00000291,BCL2L1,9606,associate
citric acid,CP00000291,CDKN1A,9606,associate
citric acid,CP00000291,F8,9606,associate
citric acid,CP00000291,CLIC1,9606,associate
citric acid,CP00000291,KRAS,9606,associate
citric acid,CP00000291,ACMSD,9606,associate
citric acid,CP00000291,DLD,9606,associate
citric acid,CP00000291,D2HGDH,9606,associate
citric acid,CP00000291,BRIX1,9606,associate
citric acid,CP00000291,SERPINA10,9606,associate
citric acid,CP00000291,YWHAH,9606,associate
citric acid,CP00000291,ME3,9606,associate
citric acid,CP00000291,MARS,9606,associate
citric acid,CP00000291,LIME1,9606,associate
citric acid,CP00000291,PFKM,9606,associate
citric acid,CP00000291,CIT,9606,associate
citric acid,CP00000291,LDHAL6A,9606,associate
citric acid,CP00000291,CD79B,9606,associate
citric acid,CP00000291,TXN,9606,associate
citric acid,CP00000291,RNH1,9606,associate
citric acid,CP00000291,VAX1,9606,associate
citric acid,CP00000291,AKR1C2,9606,associate
citric acid,CP00000291,CPOX,9606,associate
citric acid,CP00000291,COX8C,9606,associate
citric acid,CP00000291,DDX39B,9606,associate
citric acid,CP00000291,KCNK18,9606,associate
citric acid,CP00000291,GTF2E1,9606,associate
citric acid,CP00000291,ATP6V1B2,9606,associate
citric acid,CP00000291,INS-IGF2,9606,associate
citric acid,CP00000291,ASPDH,9606,associate
citric acid,CP00000291,WNT2,9606,associate
citric acid,CP00000291,PUM2,9606,associate
citric acid,CP00000291,S100A12,9606,associate
citric acid,CP00000291,TACR2,9606,associate
citric acid,CP00000291,PGAM1,9606,associate
citric acid,CP00000291,TXNIP,9606,associate
citric acid,CP00000291,HSPA9,9606,associate
citric acid,CP00000291,PGC,9606,associate
citric acid,CP00000291,DGCR2,9606,associate
citric acid,CP00000291,PEPD,9606,associate
citric acid,CP00000291,PGD,9606,associate
citric acid,CP00000291,BET1L,9606,associate
citric acid,CP00000291,INTS11,9606,associate
citric acid,CP00000291,AKR1B1,9606,associate
citric acid,CP00000291,ME1,9606,associate
citric acid,CP00000291,PTH,9606,associate
citric acid,CP00000291,COX7A2,9606,associate
citric acid,CP00000291,ACSS2,9606,associate
citric acid,CP00000291,PRKAG1,9606,associate
citric acid,CP00000291,SERPINC1,9606,associate
citric acid,CP00000291,DLST,9606,associate
citric acid,CP00000291,PDSS1,9606,associate
citric acid,CP00000291,ATP7B,9606,associate
citric acid,CP00000291,ICAM1,9606,associate
citric acid,CP00000291,BAX,9606,associate
citric acid,CP00000291,KAT2B,9606,associate
citric acid,CP00000291,SUCNR1,9606,associate
citric acid,CP00000291,PTPRG,9606,associate
citric acid,CP00000291,OTC,9606,associate
citric acid,CP00000291,PAPOLB,9606,associate
citric acid,CP00000291,TSPO,9606,associate
citric acid,CP00000291,VEGFA,9606,associate
citric acid,CP00000291,AFP,9606,associate
citric acid,CP00000291,ACAT1,9606,associate
citric acid,CP00000291,PFKP,9606,associate
citric acid,CP00000291,GLUD2,9606,associate
citric acid,CP00000291,FARSA,9606,associate
citric acid,CP00000291,CRLS1,9606,associate
citric acid,CP00000291,SPP1,9606,associate
citric acid,CP00000291,BRAP,9606,associate
citric acid,CP00000291,MAT2A,9606,associate
citric acid,CP00000291,RIDA,9606,associate
citric acid,CP00000291,ACCS,9606,associate
citric acid,CP00000291,MLYCD,9606,associate
citric acid,CP00000291,GPI,9606,associate
citric acid,CP00000291,CEBPG,9606,associate
citric acid,CP00000291,DECR1,9606,associate
citric acid,CP00000291,VHL,9606,associate
citric acid,CP00000291,NDUFAF2,9606,associate
citric acid,CP00000291,QSOX1,9606,associate
citric acid,CP00000291,CPD,9606,associate
