Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
citrullin,CP00000779,DDAH2,9606,associate
citrullin,CP00000779,ASS1,9606,associate
citrullin,CP00000779,NOS1,9606,associate
citrullin,CP00000779,OTC,9606,associate
citrullin,CP00000779,NOX3,9606,associate
citrullin,CP00000779,GNPNAT1,9606,associate
citrullin,CP00000779,AKR7A2,9606,associate
citrullin,CP00000779,SEC61A1,9606,associate
citrullin,CP00000779,AANAT,9606,associate
citrullin,CP00000779,CARS2,9606,associate
citrullin,CP00000779,ARG2,9606,associate
citrullin,CP00000779,NOX4,9606,associate
citrullin,CP00000779,ABCB1,9606,associate
citrullin,CP00000779,DDAH1,9606,associate
citrullin,CP00000779,NOS3,9606,associate
citrullin,CP00000779,SEC61A2,9606,associate
citrullin,CP00000779,KCNAB3,9606,associate
citrullin,CP00000779,DUOX1,9606,associate
citrullin,CP00000779,NOS2,9606,associate
citrullin,CP00000779,MB,9606,associate
citrullin,CP00000779,AKR7A3,9606,associate
citrullin,CP00000779,PTGS2,9606,associate
citrullin,CP00000779,NTMT1,9606,associate
citrullin,CP00000779,NOX1,9606,associate
citrullin,CP00000779,KCNAB2,9606,associate
citrullin,CP00000779,CYBB,9606,associate
citrullin,CP00000779,SAT1,9606,associate
citrullin,CP00000779,MBTPS2,9606,associate
citrullin,CP00000779,CARS,9606,associate
citrullin,CP00000779,ASMT,9606,associate
citrullin,CP00000779,ASMTL,9606,associate
citrullin,CP00000779,NOX5,9606,associate
citrullin,CP00000779,DUOX2,9606,associate
citrullin,CP00000779,BCL2L11,9606,associate
citrullin,CP00000779,SUPT5H,9606,associate
citrullin,CP00000779,METTL11B,9606,associate
citrullin,CP00000779,GPHN,9606,associate
citrullin,CP00000779,KCNAB1,9606,associate
citrullin,CP00000779,SATL1,9606,associate
citrullin,CP00000779,SLC1A1,9606,associate
citrullin,CP00000779,GRIA1,9606,associate
citrullin,CP00000779,GRM1,9606,associate
citrullin,CP00000779,GRM4,9606,associate
citrullin,CP00000779,GRIK1,9606,associate
citrullin,CP00000779,FOLH1,9606,associate
citrullin,CP00000779,GRIA4,9606,associate
citrullin,CP00000779,GRM6,9606,associate
citrullin,CP00000779,DPP7,9606,associate
citrullin,CP00000779,DPP8,9606,associate
citrullin,CP00000779,CHRM2,9606,associate
citrullin,CP00000779,HTR7,9606,associate
citrullin,CP00000779,HTR2A,9606,associate
citrullin,CP00000779,MAOB,9606,associate
citrullin,CP00000779,ATR,9606,associate
citrullin,CP00000779,PPARG,9606,associate
citrullin,CP00000779,GRIK2,9606,associate
citrullin,CP00000779,ANPEP,9606,associate
citrullin,CP00000779,MTNR1A,9606,associate
citrullin,CP00000779,GRIK5,9606,associate
citrullin,CP00000779,TLR9,9606,associate
citrullin,CP00000779,KDR,9606,associate
citrullin,CP00000779,DPP4,9606,associate
citrullin,CP00000779,GRM5,9606,associate
citrullin,CP00000779,CPB2,9606,associate
citrullin,CP00000779,PRSS1,9606,associate
citrullin,CP00000779,CA12,9606,associate
citrullin,CP00000779,TGFBR2,9606,associate
citrullin,CP00000779,SLCO1B1,9606,associate
citrullin,CP00000779,STK4,9606,associate
citrullin,CP00000779,VCAM1,9606,associate
citrullin,CP00000779,ADCY1,9606,associate
citrullin,CP00000779,ADAMTS4,9606,associate
citrullin,CP00000779,CFTR,9606,associate
citrullin,CP00000779,CYP11B2,9606,associate
citrullin,CP00000779,GGPS1,9606,associate
citrullin,CP00000779,CACNA1B,9606,associate
citrullin,CP00000779,FGF1,9606,associate
citrullin,CP00000779,FCER2,9606,associate
citrullin,CP00000779,FOLR1,9606,associate
citrullin,CP00000779,ALOX5AP,9606,associate
citrullin,CP00000779,PDK2,9606,associate
citrullin,CP00000779,PHOSPHO1,9606,associate
citrullin,CP00000779,TMPRSS11D,9606,associate
citrullin,CP00000779,TMPRSS6,9606,associate
citrullin,CP00000779,PRKCE,9606,associate
citrullin,CP00000779,ITGA4,9606,associate
citrullin,CP00000779,SSTR3,9606,associate
citrullin,CP00000779,STS,9606,associate
citrullin,CP00000779,SSTR5,9606,associate
citrullin,CP00000779,WNT3A,9606,associate
citrullin,CP00000779,PDE1B,9606,associate
citrullin,CP00000779,PLA2G4A,9606,associate
citrullin,CP00000779,PLA2G2A,9606,associate
citrullin,CP00000779,RELA,9606,associate
citrullin,CP00000779,KIF11,9606,associate
citrullin,CP00000779,SERPINE1,9606,associate
citrullin,CP00000779,TXK,9606,associate
citrullin,CP00000779,NAMPT,9606,associate
citrullin,CP00000779,CDK8,9606,associate
citrullin,CP00000779,NR1H4,9606,associate
citrullin,CP00000779,CHRNA3,9606,associate
citrullin,CP00000779,CYP51A1,9606,associate
citrullin,CP00000779,PKN2,9606,associate
citrullin,CP00000779,POLB,9606,associate
citrullin,CP00000779,EP300,9606,associate
citrullin,CP00000779,TPSAB1,9606,associate
citrullin,CP00000779,PIP4K2B,9606,associate
citrullin,CP00000779,DLG4,9606,associate
citrullin,CP00000779,MIF,9606,associate
citrullin,CP00000779,CD74,9606,associate
citrullin,CP00000779,PRF1,9606,associate
citrullin,CP00000779,KDM4C,9606,associate
citrullin,CP00000779,GSK3B,9606,associate
citrullin,CP00000779,BMP4,9606,associate
citrullin,CP00000779,NEK4,9606,associate
citrullin,CP00000779,CA1,9606,associate
citrullin,CP00000779,GALR1,9606,associate
citrullin,CP00000779,AKT1,9606,associate
