Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
coumarin,CP00000302,CA12,9606,inhibit
coumarin,CP00000302,CA14,9606,inhibit
coumarin,CP00000302,CA9,9606,inhibit
coumarin,CP00000302,CA7,9606,inhibit
coumarin,CP00000302,CA6,9606,inhibit
coumarin,CP00000302,CA5B,9606,inhibit
coumarin,CP00000302,CA5A,9606,inhibit
coumarin,CP00000302,CA4,9606,inhibit
coumarin,CP00000302,CA3,9606,inhibit
coumarin,CP00000302,CA1,9606,inhibit
coumarin,CP00000302,CA2,9606,inhibit
coumarin,CP00000302,LMNA,9606,associate
coumarin,CP00000302,TDP1,9606,associate
coumarin,CP00000302,CYP2A6,9606,associate
coumarin,CP00000302,SORD,9606,inhibit
coumarin,CP00000302,Maob,10116,inhibit
coumarin,CP00000302,PRSS1,9606,associate
coumarin,CP00000302,CTRB1,9606,associate
coumarin,CP00000302,LOX1.1,3847,associate
coumarin,CP00000302,SIR2,559292,inhibit
coumarin,CP00000302,SIR2,559292,associate
coumarin,CP00000302,Cryz,10090,associate
coumarin,CP00000302,GAPDH,9606,inhibit
coumarin,CP00000302,PTGS2,9606,associate
coumarin,CP00000302,Car13,10090,inhibit
coumarin,CP00000302,Car15,10090,inhibit
coumarin,CP00000302,XPO1,9606,inhibit
coumarin,CP00000302,AKR1B1,9606,inhibit
coumarin,CP00000302,ampC,511145,associate
coumarin,CP00000302,CBFB,9606,associate
coumarin,CP00000302,ESR1,9606,associate
coumarin,CP00000302,POLI,9606,associate
coumarin,CP00000302,NR3C1,9606,associate
coumarin,CP00000302,THRB,9606,associate
coumarin,CP00000302,AR,9606,associate
coumarin,CP00000302,NR1H4,9606,associate
coumarin,CP00000302,USP1,9606,associate
coumarin,CP00000302,BACE1,9606,inhibit
coumarin,CP00000302,BACE1,9606,associate
coumarin,CP00000302,CA13,9606,inhibit
coumarin,CP00000302,LARP6,9606,inhibit
coumarin,CP00000302,Pmp22,10116,associate
coumarin,CP00000302,NFE2L2,9606,associate
coumarin,CP00000302,Nr1i2,10116,associate
coumarin,CP00000302,SLCO2B1,9606,associate
coumarin,CP00000302,SLCO1B3,9606,associate
coumarin,CP00000302,SLCO1B1,9606,associate
coumarin,CP00000302,MBNL1,9606,associate
coumarin,CP00000302,LOC110237936,1720309,inhibit
coumarin,CP00000302,PANA_RS06665,706191,inhibit
coumarin,CP00000302,AASS,100784,inhibit
coumarin,CP00000302,ABCB11,60711,associate
coumarin,CP00000302,ABCC3,60711,activate
coumarin,CP00000302,ACAA1,9606,activate
coumarin,CP00000302,acaa2,48698,associate
coumarin,CP00000302,ACHE,60711,associate
coumarin,CP00000302,ACLY,9606,associate
coumarin,CP00000302,ACO1,9233,associate
coumarin,CP00000302,ACOT4,9555,activate
coumarin,CP00000302,LOC104852412,885580,activate
coumarin,CP00000302,Akr1b8,10029,activate
coumarin,CP00000302,Akr1c6,10090,inhibit
coumarin,CP00000302,AKR1D1,9555,associate
coumarin,CP00000302,LOC107385281,105023,activate
coumarin,CP00000302,ALDH1A1,60711,activate
coumarin,CP00000302,Alox5,885580,activate
coumarin,CP00000302,ANXA7,100784,activate
coumarin,CP00000302,apbb3,48698,inhibit
coumarin,CP00000302,Apcs,885580,inhibit
coumarin,CP00000302,Arg1,885580,associate
coumarin,CP00000302,ASNS,9233,activate
coumarin,CP00000302,Atpif1,10090,activate
coumarin,CP00000302,ATRN,60711,inhibit
coumarin,CP00000302,AVPR1A,9555,inhibit
coumarin,CP00000302,AZGP1,9555,associate
coumarin,CP00000302,Bak1,885580,activate
coumarin,CP00000302,BAX,9925,activate
coumarin,CP00000302,LOC107379778,105023,activate
coumarin,CP00000302,bbox1,48698,inhibit
coumarin,CP00000302,BCL2,9606,inhibit
coumarin,CP00000302,bhlha15,48698,activate
coumarin,CP00000302,Bhmt,10020,associate
coumarin,CP00000302,Bhmt,10020,inhibit
coumarin,CP00000302,CA1,60711,inhibit
coumarin,CP00000302,CA2,9555,inhibit
coumarin,CP00000302,CA2,9555,activate
coumarin,CP00000302,CA3,9233,inhibit
coumarin,CP00000302,CAT,118200,associate
coumarin,CP00000302,CBR1,57412,activate
coumarin,CP00000302,LOC103151127,48698,inhibit
coumarin,CP00000302,ccne1,48698,activate
coumarin,CP00000302,CCNE2,9606,activate
coumarin,CP00000302,cdkn3,48698,inhibit
coumarin,CP00000302,cdo1,48698,associate
coumarin,CP00000302,CES1,9365,activate
coumarin,CP00000302,cisd3,48698,activate
coumarin,CP00000302,coq6,48698,activate
coumarin,CP00000302,LOC103155264,48698,inhibit
coumarin,CP00000302,CREG,7227,activate
coumarin,CP00000302,creld2,48698,activate
coumarin,CP00000302,CRYAB,9606,inhibit
coumarin,CP00000302,cryl1,48698,activate
coumarin,CP00000302,CSAD,9606,inhibit
coumarin,CP00000302,CSRP1,9233,inhibit
coumarin,CP00000302,CTF1,9555,activate
coumarin,CP00000302,cth,48698,associate
coumarin,CP00000302,Cxcl12,10181,inhibit
coumarin,CP00000302,CYB561,60711,activate
coumarin,CP00000302,CYP1A2,9685,associate
coumarin,CP00000302,CYP1A2,9685,inhibit
coumarin,CP00000302,LOC103249340,1868482,associate
coumarin,CP00000302,CYP2A19,9823,associate
coumarin,CP00000302,Cyp2a5,10090,associate
coumarin,CP00000302,CYP2A6,9606,inhibit
