Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
dihydromyricetin,CP00129832,PDGFB,9606,associate
dihydromyricetin,CP00129832,CYP4V2,9606,associate
dihydromyricetin,CP00129832,MT4,9606,associate
dihydromyricetin,CP00129832,TNFRSF25,9606,associate
dihydromyricetin,CP00129832,BCAM,9606,associate
dihydromyricetin,CP00129832,SPHK1,9606,associate
dihydromyricetin,CP00129832,LYST,9606,associate
dihydromyricetin,CP00129832,PDGFRB,9606,associate
dihydromyricetin,CP00129832,MMP3,9606,associate
dihydromyricetin,CP00129832,MAPK3,9606,associate
dihydromyricetin,CP00129832,MAPK1,9606,associate
dihydromyricetin,CP00129832,PLCG1,9606,associate
dihydromyricetin,CP00129832,MTOR,9606,associate
dihydromyricetin,CP00129832,BECN1,9606,associate
dihydromyricetin,CP00129832,MAPK1,8839,associate
dihydromyricetin,CP00129832,MAPK3,60711,associate
dihydromyricetin,CP00129832,PDGFB,128390,associate
dihydromyricetin,CP00129832,PDGFRB,60711,associate
dihydromyricetin,CP00129832,Plcg1,885580,associate
dihydromyricetin,CP00129832,SPHK1,9555,inhibit
dihydromyricetin,CP00129832,Bcl2l2,64838,inhibit
dihydromyricetin,CP00129832,BECN1,9606,activate
dihydromyricetin,CP00129832,Casp3,885580,associate
dihydromyricetin,CP00129832,casp7,48698,associate
dihydromyricetin,CP00129832,CASP9,9555,associate
dihydromyricetin,CP00129832,LOC103265545,1868482,associate
dihydromyricetin,CP00129832,Gpt,885580,associate
dihydromyricetin,CP00129832,HMOX1,60711,associate
dihydromyricetin,CP00129832,LOC103151753,48698,associate
dihydromyricetin,CP00129832,IL6,9978,associate
dihydromyricetin,CP00129832,KEAP1,9606,associate
dihydromyricetin,CP00129832,MAPK8,9233,associate
dihydromyricetin,CP00129832,MAPK9,9233,associate
dihydromyricetin,CP00129832,MC1R,9915,inhibit
dihydromyricetin,CP00129832,MMP2,9606,inhibit
dihydromyricetin,CP00129832,mtor,48698,associate
dihydromyricetin,CP00129832,PARP1,9606,associate
dihydromyricetin,CP00129832,sqstm1,48698,associate
dihydromyricetin,CP00129832,Tyr,29159,associate
dihydromyricetin,CP00129832,TYRP1,345164,inhibit
dihydromyricetin,CP00129832,HMOX1,9606,associate
dihydromyricetin,CP00129832,MYBL2,9606,associate
dihydromyricetin,CP00129832,EDF1,9606,associate
dihydromyricetin,CP00129832,CCL2,9606,associate
dihydromyricetin,CP00129832,LTA4H,9606,associate
dihydromyricetin,CP00129832,LNPEP,9606,associate
dihydromyricetin,CP00129832,BCO1,9606,associate
dihydromyricetin,CP00129832,TRHDE,9606,associate
dihydromyricetin,CP00129832,CDH1,9606,associate
dihydromyricetin,CP00129832,ENPEP,9606,associate
dihydromyricetin,CP00129832,RNPEPL1,9606,associate
dihydromyricetin,CP00129832,PSPH,9606,associate
dihydromyricetin,CP00129832,DPYS,9606,associate
dihydromyricetin,CP00129832,HAUS1,9606,associate
dihydromyricetin,CP00129832,DPYSL5,9606,associate
dihydromyricetin,CP00129832,GABRG1,9606,associate
dihydromyricetin,CP00129832,RNPEP,9606,associate
dihydromyricetin,CP00129832,ERAP1,9606,associate
dihydromyricetin,CP00129832,SNAPC4,9606,associate
