Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
epiafzelechin,CP00370251,PTGS1,9606,inhibit
epiafzelechin,CP00370251,PTGS2,9606,inhibit
epiafzelechin,CP00370251,SLCO1B1,9606,associate
epiafzelechin,CP00370251,SLCO1B3,9606,associate
epiafzelechin,CP00370251,PTGS1,9606,associate
epiafzelechin,CP00370251,GTF3A,9606,associate
epiafzelechin,CP00370251,HEXA,9606,associate
epiafzelechin,CP00370251,SGCB,9606,associate
epiafzelechin,CP00370251,NOTCH1,9606,associate
epiafzelechin,CP00370251,PPAT,9606,associate
epiafzelechin,CP00370251,FLT1,9606,associate
epiafzelechin,CP00370251,C8A,9606,associate
epiafzelechin,CP00370251,ADRA1A,9606,associate
epiafzelechin,CP00370251,SLCO1B1,9606,inhibit
epiafzelechin,CP00370251,SLCO1B3,9606,inhibit
epiafzelechin,CP00370251,CA4,9606,associate
epiafzelechin,CP00370251,CA2,9606,associate
epiafzelechin,CP00370251,CA9,9606,associate
epiafzelechin,CP00370251,CA12,9606,associate
epiafzelechin,CP00370251,CA7,9606,associate
epiafzelechin,CP00370251,CA5B,9606,associate
epiafzelechin,CP00370251,CA1,9606,associate
epiafzelechin,CP00370251,CA3,9606,associate
epiafzelechin,CP00370251,CA5A,9606,associate
epiafzelechin,CP00370251,CA6,9606,associate
epiafzelechin,CP00370251,VEGFA,9606,associate
epiafzelechin,CP00370251,BACE1,9606,associate
epiafzelechin,CP00370251,ESR1,9606,associate
epiafzelechin,CP00370251,ESR2,9606,associate
epiafzelechin,CP00370251,PGF,9606,associate
epiafzelechin,CP00370251,ALPL,9606,associate
epiafzelechin,CP00370251,BCL2,9606,associate
epiafzelechin,CP00370251,SLC6A3,9606,associate
epiafzelechin,CP00370251,SIGMAR1,9606,associate
epiafzelechin,CP00370251,DRD1,9606,associate
epiafzelechin,CP00370251,MMP14,9606,associate
epiafzelechin,CP00370251,CYP1A1,9606,associate
epiafzelechin,CP00370251,PTGS2,9606,associate
epiafzelechin,CP00370251,MAPK14,9606,associate
epiafzelechin,CP00370251,CYP19A1,9606,associate
epiafzelechin,CP00370251,HSD17B1,9606,associate
epiafzelechin,CP00370251,AKR1C3,9606,associate
epiafzelechin,CP00370251,DYRK1A,9606,associate
epiafzelechin,CP00370251,TGFBR2,9606,associate
epiafzelechin,CP00370251,STK4,9606,associate
epiafzelechin,CP00370251,VCAM1,9606,associate
epiafzelechin,CP00370251,ADCY1,9606,associate
epiafzelechin,CP00370251,ADAMTS4,9606,associate
epiafzelechin,CP00370251,CFTR,9606,associate
epiafzelechin,CP00370251,CYP11B2,9606,associate
epiafzelechin,CP00370251,GGPS1,9606,associate
epiafzelechin,CP00370251,CACNA1B,9606,associate
epiafzelechin,CP00370251,FGF1,9606,associate
epiafzelechin,CP00370251,FCER2,9606,associate
epiafzelechin,CP00370251,FOLR1,9606,associate
epiafzelechin,CP00370251,ALOX5AP,9606,associate
epiafzelechin,CP00370251,PDK2,9606,associate
epiafzelechin,CP00370251,PHOSPHO1,9606,associate
epiafzelechin,CP00370251,TMPRSS11D,9606,associate
epiafzelechin,CP00370251,TMPRSS6,9606,associate
epiafzelechin,CP00370251,PRKCE,9606,associate
epiafzelechin,CP00370251,ITGA4,9606,associate
epiafzelechin,CP00370251,SSTR3,9606,associate
epiafzelechin,CP00370251,STS,9606,associate
epiafzelechin,CP00370251,SSTR5,9606,associate
epiafzelechin,CP00370251,WNT3A,9606,associate
epiafzelechin,CP00370251,PDE1B,9606,associate
epiafzelechin,CP00370251,PLA2G4A,9606,associate
epiafzelechin,CP00370251,PLA2G2A,9606,associate
epiafzelechin,CP00370251,RELA,9606,associate
epiafzelechin,CP00370251,KIF11,9606,associate
epiafzelechin,CP00370251,SERPINE1,9606,associate
epiafzelechin,CP00370251,TXK,9606,associate
epiafzelechin,CP00370251,NAMPT,9606,associate
epiafzelechin,CP00370251,CDK8,9606,associate
epiafzelechin,CP00370251,NR1H4,9606,associate
epiafzelechin,CP00370251,CHRNA3,9606,associate
epiafzelechin,CP00370251,CYP51A1,9606,associate
epiafzelechin,CP00370251,PKN2,9606,associate
epiafzelechin,CP00370251,POLB,9606,associate
epiafzelechin,CP00370251,EP300,9606,associate
epiafzelechin,CP00370251,TPSAB1,9606,associate
epiafzelechin,CP00370251,PIP4K2B,9606,associate
epiafzelechin,CP00370251,DLG4,9606,associate
epiafzelechin,CP00370251,MIF,9606,associate
epiafzelechin,CP00370251,CD74,9606,associate
epiafzelechin,CP00370251,PRF1,9606,associate
epiafzelechin,CP00370251,KDM4C,9606,associate
epiafzelechin,CP00370251,HTR7,9606,associate
epiafzelechin,CP00370251,GSK3B,9606,associate
epiafzelechin,CP00370251,BMP4,9606,associate
epiafzelechin,CP00370251,NEK4,9606,associate
epiafzelechin,CP00370251,GALR1,9606,associate
epiafzelechin,CP00370251,AKT1,9606,associate
epiafzelechin,CP00370251,FES,9606,associate
epiafzelechin,CP00370251,PRKCQ,9606,associate
epiafzelechin,CP00370251,KCNA5,9606,associate
epiafzelechin,CP00370251,LDHB,9606,associate
epiafzelechin,CP00370251,SCARB1,9606,associate
epiafzelechin,CP00370251,MLYCD,9606,associate
epiafzelechin,CP00370251,CDC42BPA,9606,associate
epiafzelechin,CP00370251,S1PR4,9606,associate
epiafzelechin,CP00370251,FPR1,9606,associate
epiafzelechin,CP00370251,HLA-A,9606,associate
epiafzelechin,CP00370251,P2RY14,9606,associate
epiafzelechin,CP00370251,TNFRSF1A,9606,associate
epiafzelechin,CP00370251,TAOK3,9606,associate
epiafzelechin,CP00370251,DCTPP1,9606,associate
epiafzelechin,CP00370251,RAD51,9606,associate
epiafzelechin,CP00370251,F10,9606,associate
epiafzelechin,CP00370251,PDGFRB,9606,associate
