Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
epicatechin gallate (ECG,CP00307121,ACHE,9606,inhibit
epicatechin gallate (ECG,CP00307121,PDK4,9606,associate
epicatechin gallate (ECG,CP00307121,NME8,9606,associate
epicatechin gallate (ECG,CP00307121,NME3,9606,associate
epicatechin gallate (ECG,CP00307121,NME4,9606,associate
epicatechin gallate (ECG,CP00307121,DECR2,9606,associate
epicatechin gallate (ECG,CP00307121,BCKDK,9606,associate
epicatechin gallate (ECG,CP00307121,DECR1,9606,associate
epicatechin gallate (ECG,CP00307121,CKM,9606,associate
epicatechin gallate (ECG,CP00307121,SCGB2A2,9606,associate
epicatechin gallate (ECG,CP00307121,LTA4H,9606,associate
epicatechin gallate (ECG,CP00307121,LNPEP,9606,associate
epicatechin gallate (ECG,CP00307121,ABCG2,9606,associate
epicatechin gallate (ECG,CP00307121,RDH10,9606,associate
epicatechin gallate (ECG,CP00307121,CAT,9606,associate
epicatechin gallate (ECG,CP00307121,SCGB2A1,9606,associate
epicatechin gallate (ECG,CP00307121,GDF15,9606,associate
epicatechin gallate (ECG,CP00307121,CKMT2,9606,associate
epicatechin gallate (ECG,CP00307121,TRHDE,9606,associate
epicatechin gallate (ECG,CP00307121,HSD17B14,9606,associate
epicatechin gallate (ECG,CP00307121,AGPS,9606,associate
epicatechin gallate (ECG,CP00307121,SRD5A3,9606,associate
epicatechin gallate (ECG,CP00307121,CAD,9606,associate
epicatechin gallate (ECG,CP00307121,ENPEP,9606,associate
epicatechin gallate (ECG,CP00307121,NME5,9606,associate
epicatechin gallate (ECG,CP00307121,PECR,9606,associate
epicatechin gallate (ECG,CP00307121,RNPEPL1,9606,associate
epicatechin gallate (ECG,CP00307121,DHRS12,9606,associate
epicatechin gallate (ECG,CP00307121,PDK1,9606,associate
epicatechin gallate (ECG,CP00307121,TMPRSS11D,9606,associate
epicatechin gallate (ECG,CP00307121,NAT2,9606,associate
epicatechin gallate (ECG,CP00307121,PDF,9606,associate
epicatechin gallate (ECG,CP00307121,DHRS1,9606,associate
epicatechin gallate (ECG,CP00307121,CBR1,9606,associate
epicatechin gallate (ECG,CP00307121,CBR3,9606,associate
epicatechin gallate (ECG,CP00307121,C2orf81,9606,associate
epicatechin gallate (ECG,CP00307121,RNPEP,9606,associate
epicatechin gallate (ECG,CP00307121,BDH2,9606,associate
epicatechin gallate (ECG,CP00307121,HPGD,9606,associate
epicatechin gallate (ECG,CP00307121,ERAP1,9606,associate
epicatechin gallate (ECG,CP00307121,HPRT1,9606,associate
epicatechin gallate (ECG,CP00307121,CKB,9606,associate
epicatechin gallate (ECG,CP00307121,IDH3A,9606,associate
epicatechin gallate (ECG,CP00307121,ANPEP,9606,associate
epicatechin gallate (ECG,CP00307121,CKMT1B,9606,associate
epicatechin gallate (ECG,CP00307121,CBR4,9606,associate
epicatechin gallate (ECG,CP00307121,LRTOMT,9606,associate
epicatechin gallate (ECG,CP00307121,SDR16C5,9606,associate
epicatechin gallate (ECG,CP00307121,PRTFDC1,9606,associate
epicatechin gallate (ECG,CP00307121,NPEPPS,9606,associate
epicatechin gallate (ECG,CP00307121,DHRS4,9606,associate
epicatechin gallate (ECG,CP00307121,MDH2,9606,associate
epicatechin gallate (ECG,CP00307121,DHRS7C,9606,associate
epicatechin gallate (ECG,CP00307121,HSD17B13,9606,associate
epicatechin gallate (ECG,CP00307121,DHRSX,9606,associate
epicatechin gallate (ECG,CP00307121,DHRS4L2,9606,associate
epicatechin gallate (ECG,CP00307121,CARD14,9606,associate
epicatechin gallate (ECG,CP00307121,DHRS2,9606,associate
epicatechin gallate (ECG,CP00307121,RPSA,9606,associate
epicatechin gallate (ECG,CP00307121,LVRN,9606,associate
epicatechin gallate (ECG,CP00307121,HSD17B11,9606,associate
epicatechin gallate (ECG,CP00307121,DNMT1,9606,associate
epicatechin gallate (ECG,CP00307121,COMT,9606,associate
epicatechin gallate (ECG,CP00307121,NME7,9606,associate
epicatechin gallate (ECG,CP00307121,CYP17A1,9606,associate
