Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
ferulic acid,CP00000663,ACHE,60711,associate
ferulic acid,CP00000663,ALAD,9606,associate
ferulic acid,CP00000663,ALB,37040,associate
ferulic acid,CP00000663,APOB,60711,inhibit
ferulic acid,CP00000663,BACE1,9606,associate
ferulic acid,CP00000663,BAX,9925,associate
ferulic acid,CP00000663,Bche,10029,associate
ferulic acid,CP00000663,Casp3,885580,associate
ferulic acid,CP00000663,CAT,118200,activate
ferulic acid,CP00000663,CAT,118200,associate
ferulic acid,CP00000663,CCND1,9233,inhibit
ferulic acid,CP00000663,CDKN1A,9606,activate
ferulic acid,CP00000663,LOC103155220,48698,associate
ferulic acid,CP00000663,LOC101001307,9555,inhibit
ferulic acid,CP00000663,CYP1A2,9685,inhibit
ferulic acid,CP00000663,Dhfr,10181,inhibit
ferulic acid,CP00000663,LOC103134422,48698,associate
ferulic acid,CP00000663,Fasn,885580,inhibit
ferulic acid,CP00000663,G6pd,885580,inhibit
ferulic acid,CP00000663,Gal,10181,associate
ferulic acid,CP00000663,gsr,48698,activate
ferulic acid,CP00000663,gsr,48698,associate
ferulic acid,CP00000663,Gusb,10029,associate
ferulic acid,CP00000663,HLCS,97097,inhibit
ferulic acid,CP00000663,HMGCR,9606,inhibit
ferulic acid,CP00000663,Il11,10020,associate
ferulic acid,CP00000663,Il11ra1,10090,associate
ferulic acid,CP00000663,IL12B,9233,associate
ferulic acid,CP00000663,LOC103140605,48698,associate
ferulic acid,CP00000663,IL17A,9555,associate
ferulic acid,CP00000663,IL17B,60711,associate
ferulic acid,CP00000663,IL17RA,60711,associate
ferulic acid,CP00000663,IL17RB,9555,associate
ferulic acid,CP00000663,IL18,9606,associate
ferulic acid,CP00000663,Il18rap,885580,associate
ferulic acid,CP00000663,Il1a,885580,associate
ferulic acid,CP00000663,LOC103151753,48698,associate
ferulic acid,CP00000663,IL1F10,60711,associate
ferulic acid,CP00000663,Il1f6,10090,associate
ferulic acid,CP00000663,Il1f8,10090,associate
ferulic acid,CP00000663,Il1f9,10090,associate
ferulic acid,CP00000663,Il20,10029,associate
ferulic acid,CP00000663,IL20RB,60711,associate
ferulic acid,CP00000663,Il22ra1,885580,associate
ferulic acid,CP00000663,Il23a,885580,associate
ferulic acid,CP00000663,IL27,60711,associate
ferulic acid,CP00000663,IL33,60711,associate
ferulic acid,CP00000663,IL36RN,9606,associate
ferulic acid,CP00000663,IL6,9978,activate
ferulic acid,CP00000663,IL7,9555,associate
ferulic acid,CP00000663,IL7R,9233,associate
ferulic acid,CP00000663,IL9R,9555,associate
ferulic acid,CP00000663,IRAK2,8496,associate
ferulic acid,CP00000663,IRAK3,9555,associate
ferulic acid,CP00000663,LOC103137045,48698,associate
ferulic acid,CP00000663,MAPK1,8839,inhibit
ferulic acid,CP00000663,MAPK1,8839,associate
ferulic acid,CP00000663,MAPK3,60711,inhibit
ferulic acid,CP00000663,MAPK3,60711,associate
ferulic acid,CP00000663,MAPK8,9233,associate
ferulic acid,CP00000663,MAPK8,9233,inhibit
ferulic acid,CP00000663,MFN2,9233,associate
ferulic acid,CP00000663,MIR10A,9606,associate
ferulic acid,CP00000663,MIR181C,9606,associate
ferulic acid,CP00000663,MIR200A,9606,associate
ferulic acid,CP00000663,MIR20B,9606,associate
ferulic acid,CP00000663,MIR21,9606,associate
ferulic acid,CP00000663,MIR21,9606,activate
ferulic acid,CP00000663,MIR214,9606,associate
ferulic acid,CP00000663,MIR25,9606,associate
ferulic acid,CP00000663,MIR27B,9606,associate
ferulic acid,CP00000663,MIR29C,9606,associate
ferulic acid,CP00000663,MIR30A,9606,associate
ferulic acid,CP00000663,MIR324,9606,associate
ferulic acid,CP00000663,MIR339,9606,associate
ferulic acid,CP00000663,MIR450A1,9606,associate
ferulic acid,CP00000663,MIR760,9606,associate
ferulic acid,CP00000663,NFE2L2,8839,associate
ferulic acid,CP00000663,NFE2L2,8839,activate
ferulic acid,CP00000663,NOS2,9365,associate
ferulic acid,CP00000663,pgd,105023,inhibit
ferulic acid,CP00000663,PIK3R1,9233,activate
ferulic acid,CP00000663,PPARG,60711,activate
ferulic acid,CP00000663,PPARGC1A,9606,associate
ferulic acid,CP00000663,PPARGC1A,9606,inhibit
ferulic acid,CP00000663,PTGS1,9606,inhibit
ferulic acid,CP00000663,PTGS2,100784,inhibit
ferulic acid,CP00000663,PTGS2,100784,associate
ferulic acid,CP00000663,RB1,9606,associate
ferulic acid,CP00000663,RELA,9606,associate
ferulic acid,CP00000663,LOC103142291,48698,inhibit
ferulic acid,CP00000663,slc2a4,48698,activate
ferulic acid,CP00000663,SMAD3,9606,associate
ferulic acid,CP00000663,star,8022,associate
ferulic acid,CP00000663,star,8022,activate
ferulic acid,CP00000663,Sult1a1,10116,activate
ferulic acid,CP00000663,SULT2A1,60711,activate
ferulic acid,CP00000663,TGFB1,9555,associate
ferulic acid,CP00000663,tlr2,48698,associate
ferulic acid,CP00000663,Tlr4,885580,associate
ferulic acid,CP00000663,Tnf,885580,associate
ferulic acid,CP00000663,Tnf,885580,activate
ferulic acid,CP00000663,Tyr,29159,associate
ferulic acid,CP00000663,Ugt1a10,10090,associate
ferulic acid,CP00000663,UGT1A3,9555,associate
ferulic acid,CP00000663,ugt1a7,7955,associate
ferulic acid,CP00000663,UGT1A8,9555,associate
ferulic acid,CP00000663,XDH,9233,inhibit
