Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
gallic acid,CP00000347,CA14,9606,inhibit
gallic acid,CP00000347,CA12,9606,inhibit
gallic acid,CP00000347,CA9,9606,inhibit
gallic acid,CP00000347,CA7,9606,inhibit
gallic acid,CP00000347,CA6,9606,inhibit
gallic acid,CP00000347,CA5B,9606,inhibit
gallic acid,CP00000347,CA5A,9606,inhibit
gallic acid,CP00000347,CA4,9606,inhibit
gallic acid,CP00000347,CA3,9606,inhibit
gallic acid,CP00000347,CA2,9606,inhibit
gallic acid,CP00000347,CA1,9606,inhibit
gallic acid,CP00000347,FUT7,9606,inhibit
gallic acid,CP00000347,LMNA,9606,associate
gallic acid,CP00000347,HSD17B10,9606,associate
gallic acid,CP00000347,KDM4E,9606,associate
gallic acid,CP00000347,GAPDH,9606,associate
gallic acid,CP00000347,LOC110245663,1720309,associate
gallic acid,CP00000347,TDP1,9606,associate
gallic acid,CP00000347,MAPT,9606,associate
gallic acid,CP00000347,ALDH1A1,9606,associate
gallic acid,CP00000347,MAPK1,9606,associate
gallic acid,CP00000347,HPGD,9606,associate
gallic acid,CP00000347,TP53,9606,associate
gallic acid,CP00000347,SELL,9606,inhibit
gallic acid,CP00000347,SELP,9606,inhibit
gallic acid,CP00000347,SELE,9606,inhibit
gallic acid,CP00000347,ACE,9606,inhibit
gallic acid,CP00000347,Sqle,10116,inhibit
gallic acid,CP00000347,PTGS2,9606,associate
gallic acid,CP00000347,Nos2,10090,inhibit
gallic acid,CP00000347,AKR1B1,9606,inhibit
gallic acid,CP00000347,Car13,10090,inhibit
gallic acid,CP00000347,TTN1,3702,associate
gallic acid,CP00000347,Rorc,10090,associate
gallic acid,CP00000347,ALDOA,9986,associate
gallic acid,CP00000347,pxo1_107,1392,associate
gallic acid,CP00000347,KAT2A,9606,associate
gallic acid,CP00000347,EHMT2,9606,associate
gallic acid,CP00000347,VDR,9606,associate
gallic acid,CP00000347,ESR1,9606,associate
gallic acid,CP00000347,POLK,9606,associate
gallic acid,CP00000347,NR3C1,9606,associate
gallic acid,CP00000347,UGT1A1,9606,associate
gallic acid,CP00000347,NFE2L2,9606,associate
gallic acid,CP00000347,GLS,9606,associate
gallic acid,CP00000347,CXCL8,9606,associate
gallic acid,CP00000347,Tb927.8.6820,185431,associate
gallic acid,CP00000347,ADAM17,9606,associate
gallic acid,CP00000347,Nfe2l2,10090,associate
gallic acid,CP00000347,SLCO1B3,9606,associate
gallic acid,CP00000347,SLCO1B1,9606,associate
gallic acid,CP00000347,AR,9606,associate
gallic acid,CP00000347,HSPB1,9606,associate
gallic acid,CP00000347,APEX1,9606,associate
gallic acid,CP00000347,CYP19A1,9606,associate
gallic acid,CP00000347,JUN,9606,associate
