Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
gallocatechin,CP00050011,BACE1,9606,inhibit
gallocatechin,CP00050011,PTGS1,9606,inhibit
gallocatechin,CP00050011,PTGS2,9606,associate
gallocatechin,CP00050011,LARP6,9606,inhibit
gallocatechin,CP00050011,BCL2,9606,inhibit
gallocatechin,CP00050011,LOC110236778,1720309,inhibit
gallocatechin,CP00050011,LOC110237936,1720309,inhibit
gallocatechin,CP00050011,Sod1,7227,inhibit
gallocatechin,CP00050011,SLC35A2,9606,associate
gallocatechin,CP00050011,NR1H4,9606,activate
gallocatechin,CP00050011,CAT,9606,inhibit
gallocatechin,CP00050011,Sod1,7227,activate
gallocatechin,CP00050011,PNLIP,9606,associate
gallocatechin,CP00050011,CYP1A1,9606,activate
gallocatechin,CP00050011,GCG,9606,associate
gallocatechin,CP00050011,AHR,9606,associate
gallocatechin,CP00050011,STK11,9606,associate
gallocatechin,CP00050011,SOD2,9606,activate
gallocatechin,CP00050011,ABCC1,9606,associate
gallocatechin,CP00050011,ABCB11,9606,activate
gallocatechin,CP00050011,NR0B2,9606,activate
gallocatechin,CP00050011,SLC45A2,9606,associate
gallocatechin,CP00050011,DYRK3,9606,associate
gallocatechin,CP00050011,ACE,9606,associate
gallocatechin,CP00050011,CLC,9606,associate
gallocatechin,CP00050011,PREP,9606,associate
gallocatechin,CP00050011,IVNS1ABP,9606,associate
gallocatechin,CP00050011,RP9,9606,associate
gallocatechin,CP00050011,CAT,9606,activate
gallocatechin,CP00050011,DPEP1,9606,associate
gallocatechin,CP00050011,NR1I3,9606,associate
gallocatechin,CP00050011,CTSG,9606,associate
gallocatechin,CP00050011,BACE1,9606,associate
gallocatechin,CP00050011,PTGS1,9606,associate
gallocatechin,CP00050011,CYP2B6,9606,associate
gallocatechin,CP00050011,NR1I2,9606,associate
gallocatechin,CP00050011,AADAC,9606,associate
gallocatechin,CP00050011,GALE,9606,associate
gallocatechin,CP00050011,ARSH,9606,associate
gallocatechin,CP00050011,EPCAM,9606,associate
gallocatechin,CP00050011,CALCOCO1,9606,associate
gallocatechin,CP00050011,ALPL,9606,associate
gallocatechin,CP00050011,OTP,9606,associate
gallocatechin,CP00050011,TCFL5,9606,associate
gallocatechin,CP00050011,SALL4,9606,associate
gallocatechin,CP00050011,SEC61B,9606,associate
gallocatechin,CP00050011,PPIF,9606,associate
gallocatechin,CP00050011,MPHOSPH10,9606,associate
gallocatechin,CP00050011,SALL1,9606,associate
gallocatechin,CP00050011,HDAC4,9606,associate
gallocatechin,CP00050011,SDHA,9606,associate
gallocatechin,CP00050011,MRPL49,9606,associate
gallocatechin,CP00050011,ACAD8,9606,associate
gallocatechin,CP00050011,OXNAD1,9606,associate
gallocatechin,CP00050011,PPARG,9606,associate
gallocatechin,CP00050011,CYB5R2,9606,associate
gallocatechin,CP00050011,FASN,9606,associate
gallocatechin,CP00050011,LRTOMT,9606,associate
gallocatechin,CP00050011,TCP1,9606,associate
gallocatechin,CP00050011,SOCS3,9606,associate
gallocatechin,CP00050011,CAMK2D,9606,associate
gallocatechin,CP00050011,PES1,9606,associate
gallocatechin,CP00050011,CYB5R3,9606,associate
gallocatechin,CP00050011,COMT,9606,associate
gallocatechin,CP00050011,PPP1R14C,9606,associate
gallocatechin,CP00050011,TSNAX,9606,associate
gallocatechin,CP00050011,CYB5R1,9606,associate
gallocatechin,CP00050011,CYB5R4,9606,associate
gallocatechin,CP00050011,COMTD1,9606,associate
gallocatechin,CP00050011,SP2,9606,associate
gallocatechin,CP00050011,GATM,9606,associate
gallocatechin,CP00050011,DGKB,9606,associate
gallocatechin,CP00050011,ACADM,9606,associate
gallocatechin,CP00050011,PPIA,9606,associate
gallocatechin,CP00050011,SALL3,9606,associate
gallocatechin,CP00050011,PTGS2,9606,inhibit
gallocatechin,CP00050011,CA2,9606,associate
gallocatechin,CP00050011,CA1,9606,associate
gallocatechin,CP00050011,CA9,9606,associate
gallocatechin,CP00050011,CA4,9606,associate
gallocatechin,CP00050011,CA7,9606,associate
gallocatechin,CP00050011,BCL2,9606,associate
gallocatechin,CP00050011,CA12,9606,associate
gallocatechin,CP00050011,CA6,9606,associate
gallocatechin,CP00050011,CA5A,9606,associate
gallocatechin,CP00050011,CA5B,9606,associate
gallocatechin,CP00050011,CA3,9606,associate
gallocatechin,CP00050011,STAT1,9606,associate
gallocatechin,CP00050011,MET,9606,associate
gallocatechin,CP00050011,SLCO1B1,9606,associate
gallocatechin,CP00050011,MMP14,9606,associate
gallocatechin,CP00050011,MAPK14,9606,associate
gallocatechin,CP00050011,TERT,9606,associate
gallocatechin,CP00050011,MAPT,9606,associate
gallocatechin,CP00050011,MMP2,9606,associate
gallocatechin,CP00050011,SLCO1B3,9606,associate
gallocatechin,CP00050011,ABCB1,9606,associate
gallocatechin,CP00050011,KCNH2,9606,associate
gallocatechin,CP00050011,APP,9606,associate
gallocatechin,CP00050011,DNMT1,9606,associate
gallocatechin,CP00050011,MMP13,9606,associate
gallocatechin,CP00050011,ESR1,9606,associate
gallocatechin,CP00050011,DYRK1A,9606,associate
gallocatechin,CP00050011,PGF,9606,associate
gallocatechin,CP00050011,CYP1A2,9606,associate
gallocatechin,CP00050011,CYP1B1,9606,associate
gallocatechin,CP00050011,NQO1,9606,associate
gallocatechin,CP00050011,OPRK1,9606,associate
gallocatechin,CP00050011,SIGMAR1,9606,associate
gallocatechin,CP00050011,DRD1,9606,associate
gallocatechin,CP00050011,VEGFA,9606,associate
gallocatechin,CP00050011,AKR1C3,9606,associate
gallocatechin,CP00050011,TOP2A,9606,associate
gallocatechin,CP00050011,TGFBR2,9606,associate
gallocatechin,CP00050011,STK4,9606,associate
gallocatechin,CP00050011,VCAM1,9606,associate
gallocatechin,CP00050011,ADCY1,9606,associate
gallocatechin,CP00050011,ADAMTS4,9606,associate
gallocatechin,CP00050011,CFTR,9606,associate
gallocatechin,CP00050011,CYP11B2,9606,associate
gallocatechin,CP00050011,GGPS1,9606,associate
gallocatechin,CP00050011,CACNA1B,9606,associate
gallocatechin,CP00050011,FGF1,9606,associate
gallocatechin,CP00050011,FCER2,9606,associate
gallocatechin,CP00050011,FOLR1,9606,associate
gallocatechin,CP00050011,ALOX5AP,9606,associate
gallocatechin,CP00050011,PDK2,9606,associate
gallocatechin,CP00050011,PHOSPHO1,9606,associate
gallocatechin,CP00050011,TMPRSS11D,9606,associate
gallocatechin,CP00050011,TMPRSS6,9606,associate
gallocatechin,CP00050011,PRKCE,9606,associate
gallocatechin,CP00050011,ITGA4,9606,associate
gallocatechin,CP00050011,SSTR3,9606,associate
gallocatechin,CP00050011,STS,9606,associate
gallocatechin,CP00050011,SSTR5,9606,associate
gallocatechin,CP00050011,WNT3A,9606,associate
gallocatechin,CP00050011,PDE1B,9606,associate
gallocatechin,CP00050011,PLA2G4A,9606,associate
gallocatechin,CP00050011,PLA2G2A,9606,associate
gallocatechin,CP00050011,RELA,9606,associate
gallocatechin,CP00050011,KIF11,9606,associate
gallocatechin,CP00050011,SERPINE1,9606,associate
gallocatechin,CP00050011,TXK,9606,associate
gallocatechin,CP00050011,NAMPT,9606,associate
gallocatechin,CP00050011,CDK8,9606,associate
gallocatechin,CP00050011,NR1H4,9606,associate
gallocatechin,CP00050011,CHRNA3,9606,associate
gallocatechin,CP00050011,CYP51A1,9606,associate
