Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
glutamine,CP00005410,KMT2A,9606,associate
glutamine,CP00005410,ALOX15,9606,associate
glutamine,CP00005410,BLM,9606,associate
glutamine,CP00005410,CTPS1,9606,inhibit
glutamine,CP00005410,PMP22,9606,associate
glutamine,CP00005410,EHMT2,9606,associate
glutamine,CP00005410,FEN1,9606,associate
glutamine,CP00005410,ARSA,9606,associate
glutamine,CP00005410,ada,48698,associate
glutamine,CP00005410,G6pd,885580,associate
glutamine,CP00005410,XDH,9233,associate
glutamine,CP00005410,FKBP4,9606,associate
glutamine,CP00005410,FUCA2,9606,associate
glutamine,CP00005410,CFTR,9606,associate
glutamine,CP00005410,USP28,9606,associate
glutamine,CP00005410,CD9,9606,associate
glutamine,CP00005410,MGST1,9606,associate
glutamine,CP00005410,CPA1,9606,associate
glutamine,CP00005410,CD4,9606,associate
glutamine,CP00005410,TSPAN9,9606,associate
glutamine,CP00005410,SNAI2,9606,associate
glutamine,CP00005410,GABARAPL2,9606,associate
glutamine,CP00005410,OTC,9606,associate
glutamine,CP00005410,PSMA4,9606,associate
glutamine,CP00005410,LCP2,9606,associate
glutamine,CP00005410,GRN,9606,associate
glutamine,CP00005410,SLC2A3,9606,associate
glutamine,CP00005410,PSMC4,9606,associate
glutamine,CP00005410,TNFRSF1A,9606,associate
glutamine,CP00005410,FGF4,9606,associate
glutamine,CP00005410,REXO1,9606,associate
glutamine,CP00005410,IL4R,9606,associate
glutamine,CP00005410,NGFR,9606,associate
glutamine,CP00005410,MNT,9606,associate
glutamine,CP00005410,ASNS,9606,associate
glutamine,CP00005410,TBX21,9606,associate
glutamine,CP00005410,CPB2,9606,associate
glutamine,CP00005410,TMEM131,9606,associate
glutamine,CP00005410,SLC13A1,9606,associate
glutamine,CP00005410,OXCT1,9606,associate
glutamine,CP00005410,RPS5,9606,associate
glutamine,CP00005410,SIRT4,9606,associate
glutamine,CP00005410,MLF2,9606,associate
glutamine,CP00005410,ESR1,9606,associate
glutamine,CP00005410,TGM1,9606,associate
glutamine,CP00005410,PSMD5,9606,associate
glutamine,CP00005410,GSTA3,9606,associate
glutamine,CP00005410,VCL,9606,associate
glutamine,CP00005410,SIRT1,9606,associate
glutamine,CP00005410,POLR2E,9606,associate
glutamine,CP00005410,MADCAM1,9606,associate
glutamine,CP00005410,MAPK1,9606,associate
glutamine,CP00005410,TOMM22,9606,associate
glutamine,CP00005410,XBP1,9606,associate
glutamine,CP00005410,JOSD1,9606,associate
glutamine,CP00005410,HMOX1,9606,associate
glutamine,CP00005410,ST13,9606,associate
glutamine,CP00005410,ACO2,9606,associate
glutamine,CP00005410,GZMB,9606,associate
glutamine,CP00005410,GNPNAT1,9606,associate
glutamine,CP00005410,PSMA3,9606,associate
glutamine,CP00005410,PABPN1,9606,associate
glutamine,CP00005410,PCK2,9606,associate
glutamine,CP00005410,NFKBIA,9606,associate
glutamine,CP00005410,PSME2,9606,associate
glutamine,CP00005410,EEF1A2,9606,associate
glutamine,CP00005410,SLC32A1,9606,associate
glutamine,CP00005410,TAF9,9606,associate
glutamine,CP00005410,PSMD10,9606,associate
glutamine,CP00005410,TLR8,9606,associate
glutamine,CP00005410,F9,9606,associate
glutamine,CP00005410,PQBP1,9606,associate
glutamine,CP00005410,TIMP1,9606,associate
glutamine,CP00005410,MMP2,9606,associate
glutamine,CP00005410,CCL22,9606,associate
glutamine,CP00005410,CCL17,9606,associate
glutamine,CP00005410,POLR2C,9606,associate
glutamine,CP00005410,PSMD7,9606,associate
glutamine,CP00005410,SLC7A6,9606,associate
glutamine,CP00005410,TSC2,9606,associate
glutamine,CP00005410,STUB1,9606,associate
glutamine,CP00005410,AGO2,9606,associate
glutamine,CP00005410,DECR1,9606,associate
glutamine,CP00005410,GSR,9606,associate
glutamine,CP00005410,TNFRSF10A,9606,associate
glutamine,CP00005410,PPP2CB,9606,associate
glutamine,CP00005410,DHDH,9606,associate
glutamine,CP00005410,RELB,9606,associate
glutamine,CP00005410,SLC17A7,9606,associate
glutamine,CP00005410,RNASEH2A,9606,associate
glutamine,CP00005410,AES,9606,associate
glutamine,CP00005410,SGTA,9606,associate
glutamine,CP00005410,TGFB1,9606,associate
glutamine,CP00005410,CD79A,9606,associate
glutamine,CP00005410,CRX,9606,associate
glutamine,CP00005410,GCDH,9606,associate
glutamine,CP00005410,DNASE2,9606,associate
glutamine,CP00005410,RAB3A,9606,associate
glutamine,CP00005410,HGF,9606,associate
glutamine,CP00005410,CPA2,9606,associate
glutamine,CP00005410,CPA4,9606,associate
glutamine,CP00005410,OGDH,9606,associate
glutamine,CP00005410,AIMP2,9606,associate
glutamine,CP00005410,SERPINE1,9606,associate
glutamine,CP00005410,SEC61B,9606,associate
glutamine,CP00005410,EDF1,9606,associate
glutamine,CP00005410,SETX,9606,associate
glutamine,CP00005410,VIM,9606,associate
glutamine,CP00005410,CSF3,9606,associate
glutamine,CP00005410,SHPK,9606,associate
glutamine,CP00005410,RPS6KB1,9606,associate
glutamine,CP00005410,CCL2,9606,associate
glutamine,CP00005410,CCL1,9606,associate
glutamine,CP00005410,KAT2A,9606,associate
glutamine,CP00005410,COL1A1,9606,associate
glutamine,CP00005410,HDAC5,9606,associate
glutamine,CP00005410,RCVRN,9606,associate
glutamine,CP00005410,MYH1,9606,associate
glutamine,CP00005410,VTN,9606,associate
glutamine,CP00005410,CD38,9606,associate
glutamine,CP00005410,NFKB1,9606,associate
glutamine,CP00005410,IL2,9606,associate
glutamine,CP00005410,CD82,9606,associate
glutamine,CP00005410,SPI1,9606,associate
glutamine,CP00005410,HSPA8,9606,associate
glutamine,CP00005410,CCND1,9606,associate
glutamine,CP00005410,BIRC2,9606,associate
glutamine,CP00005410,PXN,9606,associate
glutamine,CP00005410,POLR3B,9606,associate
glutamine,CP00005410,CD69,9606,associate
glutamine,CP00005410,MYF5,9606,associate
glutamine,CP00005410,GLI1,9606,associate
glutamine,CP00005410,CDKN1B,9606,associate
glutamine,CP00005410,IFNG,9606,associate
glutamine,CP00005410,GAPDH,9606,associate
glutamine,CP00005410,ACRBP,9606,associate
glutamine,CP00005410,ENO2,9606,associate
glutamine,CP00005410,APOBEC1,9606,associate
glutamine,CP00005410,NANOG,9606,associate
glutamine,CP00005410,LDHB,9606,associate
glutamine,CP00005410,CMAS,9606,associate
glutamine,CP00005410,MAPK14,9606,associate
glutamine,CP00005410,FIG4,9606,associate
glutamine,CP00005410,ISL1,9606,associate
glutamine,CP00005410,HBEGF,9606,associate
glutamine,CP00005410,LOX,9606,associate
glutamine,CP00005410,IL12B,9606,associate
glutamine,CP00005410,IRX4,9606,associate
glutamine,CP00005410,LNPEP,9606,associate
glutamine,CP00005410,IL4,9606,associate
glutamine,CP00005410,IL5,9606,associate
glutamine,CP00005410,NR3C1,9606,associate
glutamine,CP00005410,RARS,9606,associate
glutamine,CP00005410,CDX1,9606,associate
glutamine,CP00005410,LTF,9606,associate
glutamine,CP00005410,BCL6,9606,associate
glutamine,CP00005410,UMPS,9606,associate
glutamine,CP00005410,HEMK1,9606,associate
glutamine,CP00005410,MSH2,9606,associate
glutamine,CP00005410,APOB,9606,associate
glutamine,CP00005410,SLC30A3,9606,associate
glutamine,CP00005410,IGFBP5,9606,associate
glutamine,CP00005410,ODC1,9606,associate
glutamine,CP00005410,PLEK,9606,associate
glutamine,CP00005410,ENO1,9606,associate
glutamine,CP00005410,SELL,9606,associate
glutamine,CP00005410,CTSD,9606,associate
glutamine,CP00005410,ATIC,9606,associate
glutamine,CP00005410,TTR,9606,associate
glutamine,CP00005410,ABCG2,9606,associate
glutamine,CP00005410,SERPINB10,9606,associate
glutamine,CP00005410,DUSP1,9606,associate
glutamine,CP00005410,PRRX1,9606,associate
glutamine,CP00005410,EGR1,9606,associate
glutamine,CP00005410,PFN2,9606,associate
glutamine,CP00005410,TARDBP,9606,associate
glutamine,CP00005410,IAPP,9606,associate
glutamine,CP00005410,CAT,9606,associate
glutamine,CP00005410,TNFSF10,9606,associate
glutamine,CP00005410,POLK,9606,associate
glutamine,CP00005410,FLT3,9606,associate
glutamine,CP00005410,MYOG,9606,associate
glutamine,CP00005410,TWIST1,9606,associate
glutamine,CP00005410,UNG,9606,associate
glutamine,CP00005410,ADGRE5,9606,associate
glutamine,CP00005410,ATP7B,9606,associate
glutamine,CP00005410,ORMDL2,9606,associate
glutamine,CP00005410,FAAH,9606,associate
glutamine,CP00005410,SEC61A1,9606,associate
glutamine,CP00005410,SNRPA,9606,associate
glutamine,CP00005410,CTCFL,9606,associate
glutamine,CP00005410,PI3,9606,associate
glutamine,CP00005410,PLCG1,9606,associate
glutamine,CP00005410,SNAI1,9606,associate
glutamine,CP00005410,PEPD,9606,associate
glutamine,CP00005410,CDKN1A,9606,associate
glutamine,CP00005410,ATXN1,9606,associate
glutamine,CP00005410,GOT2,9606,associate
glutamine,CP00005410,IRF1,9606,associate
glutamine,CP00005410,BMP4,9606,associate
glutamine,CP00005410,SOX9,9606,associate
glutamine,CP00005410,MYH2,9606,associate
glutamine,CP00005410,C3,9606,associate
glutamine,CP00005410,TLE6,9606,associate
glutamine,CP00005410,PLAGL2,9606,associate
glutamine,CP00005410,UROD,9606,associate
glutamine,CP00005410,CCR7,9606,associate
glutamine,CP00005410,SBDS,9606,associate
glutamine,CP00005410,MLX,9606,associate
glutamine,CP00005410,DNASE1,9606,associate
glutamine,CP00005410,HSPA2,9606,associate
glutamine,CP00005410,CANX,9606,associate
glutamine,CP00005410,HSPB1,9606,associate
