Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
hyperoside,CP04450663,AKR1B1,9606,inhibit
hyperoside,CP04450663,EPHX2,9606,inhibit
hyperoside,CP04450663,LMNA,9606,associate
hyperoside,CP04450663,KDM4E,9606,associate
hyperoside,CP04450663,MAPT,9606,associate
hyperoside,CP04450663,GAA,9606,associate
hyperoside,CP04450663,MAPK1,9606,associate
hyperoside,CP04450663,GLA,9606,associate
hyperoside,CP04450663,POLB,9606,associate
hyperoside,CP04450663,XDH,9913,associate
hyperoside,CP04450663,Adora1,10116,associate
hyperoside,CP04450663,HTR1A,9606,inhibit
hyperoside,CP04450663,PANA_RS16120,706191,inhibit
hyperoside,CP04450663,GBA,9606,associate
hyperoside,CP04450663,EHMT2,9606,associate
hyperoside,CP04450663,BAZ2B,9606,associate
hyperoside,CP04450663,Gaa,10116,associate
hyperoside,CP04450663,CDK5R1,9606,inhibit
hyperoside,CP04450663,MBNL1,9606,associate
hyperoside,CP04450663,APEX1,9606,associate
hyperoside,CP04450663,EPHX2,9606,associate
hyperoside,CP04450663,PTPN1,9606,associate
hyperoside,CP04450663,ESR1,9606,associate
hyperoside,CP04450663,OXA1L,9606,associate
hyperoside,CP04450663,VIT,9606,associate
hyperoside,CP04450663,PTH1R,9606,associate
hyperoside,CP04450663,IDE,9606,associate
hyperoside,CP04450663,TUBB4A,9606,associate
hyperoside,CP04450663,AFM,9606,associate
hyperoside,CP04450663,BAX,9606,inhibit
hyperoside,CP04450663,CACFD1,9606,associate
hyperoside,CP04450663,MTOR,9606,associate
hyperoside,CP04450663,TYR,9606,associate
hyperoside,CP04450663,GRIN2A,9606,associate
hyperoside,CP04450663,AKR1B1,9606,associate
hyperoside,CP04450663,ELANE,9606,associate
hyperoside,CP04450663,CYCS,9606,inhibit
hyperoside,CP04450663,ID1,9606,associate
hyperoside,CP04450663,ADRB2,9606,associate
hyperoside,CP04450663,GRIN2B,9606,associate
hyperoside,CP04450663,ECI1,9606,associate
