Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
isocitrate,CP00001113,ACO2,9606,associate
isocitrate,CP00001113,EGLN1,9606,inhibit
isocitrate,CP00001113,PYGM,9606,associate
isocitrate,CP00001113,P4HA2,9606,associate
isocitrate,CP00001113,NMRK2,9606,associate
isocitrate,CP00001113,FAR2,9606,associate
isocitrate,CP00001113,FMO2,9606,associate
isocitrate,CP00001113,FOXRED2,9606,associate
isocitrate,CP00001113,PYGB,9606,associate
isocitrate,CP00001113,IDH3G,9606,associate
isocitrate,CP00001113,PDIA2,9606,associate
isocitrate,CP00001113,DECR1,9606,associate
isocitrate,CP00001113,GSR,9606,associate
isocitrate,CP00001113,GCDH,9606,associate
isocitrate,CP00001113,GAPDHS,9606,associate
isocitrate,CP00001113,OGDH,9606,associate
isocitrate,CP00001113,GCK,9606,associate
isocitrate,CP00001113,MPO,9606,associate
isocitrate,CP00001113,ALDOC,9606,associate
isocitrate,CP00001113,AFM,9606,associate
isocitrate,CP00001113,SPI1,9606,associate
isocitrate,CP00001113,GAPDH,9606,associate
isocitrate,CP00001113,ENO2,9606,associate
isocitrate,CP00001113,EHHADH,9606,associate
isocitrate,CP00001113,UMPS,9606,associate
isocitrate,CP00001113,HSPE1,9606,associate
isocitrate,CP00001113,ENO1,9606,associate
isocitrate,CP00001113,CAT,9606,associate
isocitrate,CP00001113,GOT2,9606,associate
isocitrate,CP00001113,CAPNS1,9606,associate
isocitrate,CP00001113,CDY2A,9606,associate
isocitrate,CP00001113,TOMM40,9606,associate
isocitrate,CP00001113,EPO,9606,associate
isocitrate,CP00001113,ACSS2,9606,associate
isocitrate,CP00001113,ACLY,9606,associate
isocitrate,CP00001113,FMO5,9606,associate
isocitrate,CP00001113,AMPD2,9606,associate
isocitrate,CP00001113,SDS,9606,associate
isocitrate,CP00001113,KMT2E,9606,associate
isocitrate,CP00001113,IREB2,9606,associate
isocitrate,CP00001113,IDH1,9606,associate
isocitrate,CP00001113,HAL,9606,associate
isocitrate,CP00001113,ILVBL,9606,associate
isocitrate,CP00001113,P4HA1,9606,associate
isocitrate,CP00001113,POLR1A,9606,associate
isocitrate,CP00001113,NNT,9606,associate
isocitrate,CP00001113,CAD,9606,associate
isocitrate,CP00001113,PDCD6,9606,associate
isocitrate,CP00001113,GRPEL1,9606,associate
isocitrate,CP00001113,SRI,9606,associate
isocitrate,CP00001113,RB1,9606,associate
isocitrate,CP00001113,L2HGDH,9606,associate
isocitrate,CP00001113,SORD,9606,associate
isocitrate,CP00001113,TP53,9606,associate
isocitrate,CP00001113,PFKL,9606,associate
isocitrate,CP00001113,PGD,9606,associate
isocitrate,CP00001113,ACP1,9606,associate
isocitrate,CP00001113,EPHX1,9606,associate
isocitrate,CP00001113,PSPH,9606,associate
isocitrate,CP00001113,TMED7-TICAM2,9606,associate
isocitrate,CP00001113,PDIA4,9606,associate
isocitrate,CP00001113,HK2,9606,associate
isocitrate,CP00001113,HK3,9606,associate
isocitrate,CP00001113,CAPN13,9606,associate
isocitrate,CP00001113,COX18,9606,associate
isocitrate,CP00001113,ALB,9606,associate
isocitrate,CP00001113,ALDH1A1,9606,associate
isocitrate,CP00001113,IDH3A,9606,associate
isocitrate,CP00001113,TMED3,9606,associate
isocitrate,CP00001113,PDIA3,9606,associate
isocitrate,CP00001113,ECI1,9606,associate
isocitrate,CP00001113,AGXT,9606,associate
isocitrate,CP00001113,SLC23A1,9606,associate
isocitrate,CP00001113,HSPA4,9606,associate
isocitrate,CP00001113,CDY1,9606,associate
isocitrate,CP00001113,CDY1B,9606,associate
isocitrate,CP00001113,SMYD4,9606,associate
isocitrate,CP00001113,GLUL,9606,associate
isocitrate,CP00001113,ACO1,9606,associate
isocitrate,CP00001113,PGA5,9606,associate
isocitrate,CP00001113,ATG4D,9606,associate
isocitrate,CP00001113,AIFM2,9606,associate
isocitrate,CP00001113,CRAT,9606,associate
isocitrate,CP00001113,D2HGDH,9606,associate
isocitrate,CP00001113,DHFR2,9606,associate
isocitrate,CP00001113,GCSH,9606,associate
isocitrate,CP00001113,PKM,9606,associate
isocitrate,CP00001113,ME2,9606,associate
isocitrate,CP00001113,ATG4C,9606,associate
isocitrate,CP00001113,PGA3,9606,associate
isocitrate,CP00001113,MTG1,9606,associate
isocitrate,CP00001113,HACL1,9606,associate
isocitrate,CP00001113,ENO3,9606,associate
isocitrate,CP00001113,PSEN1,9606,associate
isocitrate,CP00001113,MDH2,9606,associate
isocitrate,CP00001113,P4HB,9606,associate
isocitrate,CP00001113,GLRX5,9606,associate
isocitrate,CP00001113,GRPEL2,9606,associate
isocitrate,CP00001113,IDH2,9606,associate
isocitrate,CP00001113,P4HA3,9606,associate
isocitrate,CP00001113,SHMT2,9606,associate
isocitrate,CP00001113,SLC25A26,9606,associate
isocitrate,CP00001113,SRR,9606,associate
isocitrate,CP00001113,PKLR,9606,associate
isocitrate,CP00001113,ACACB,9606,associate
isocitrate,CP00001113,SDSL,9606,associate
isocitrate,CP00001113,P4HTM,9606,associate
isocitrate,CP00001113,CS,9606,associate
isocitrate,CP00001113,UBE4B,9606,associate
isocitrate,CP00001113,SLC23A2,9606,associate
isocitrate,CP00001113,ENO4,9606,associate
isocitrate,CP00001113,SLC25A10,9606,associate
isocitrate,CP00001113,PFKM,9606,associate
isocitrate,CP00001113,UCKL1,9606,associate
isocitrate,CP00001113,ETFB,9606,associate
isocitrate,CP00001113,HKDC1,9606,associate
