Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
isoleucine,CP00000740,BCAT1,9606,associate
isoleucine,CP00000740,BCAT2,9606,associate
isoleucine,CP00000740,IARS,9606,associate
isoleucine,CP00000740,IARS2,9606,associate
isoleucine,CP00000740,CYP51A1,9606,associate
isoleucine,CP00000740,RPAP3,9606,associate
isoleucine,CP00000740,IFRD1,9606,associate
isoleucine,CP00000740,CX3CL1,9606,associate
isoleucine,CP00000740,RPUSD1,9606,associate
isoleucine,CP00000740,CD4,9606,associate
isoleucine,CP00000740,HSD17B10,9606,associate
isoleucine,CP00000740,ST6GAL1,9606,associate
isoleucine,CP00000740,TIGAR,9606,associate
isoleucine,CP00000740,ADH1A,9606,associate
isoleucine,CP00000740,GSTA3,9606,associate
isoleucine,CP00000740,PNPLA3,9606,associate
isoleucine,CP00000740,POLR2C,9606,associate
isoleucine,CP00000740,SLC38A7,9606,associate
isoleucine,CP00000740,AQP9,9606,associate
isoleucine,CP00000740,DECR1,9606,associate
isoleucine,CP00000740,DCTN6,9606,associate
isoleucine,CP00000740,KCTD9,9606,associate
isoleucine,CP00000740,FCGRT,9606,associate
isoleucine,CP00000740,RSPH6A,9606,associate
isoleucine,CP00000740,OGDH,9606,associate
isoleucine,CP00000740,HOXA2,9606,associate
isoleucine,CP00000740,RPL19,9606,associate
isoleucine,CP00000740,MRPL27,9606,associate
isoleucine,CP00000740,SPI1,9606,associate
isoleucine,CP00000740,GLI1,9606,associate
isoleucine,CP00000740,LTBR,9606,associate
isoleucine,CP00000740,CNOT2,9606,associate
isoleucine,CP00000740,NANOG,9606,associate
isoleucine,CP00000740,CMAS,9606,associate
isoleucine,CP00000740,TMEM30A,9606,associate
isoleucine,CP00000740,NR3C1,9606,associate
isoleucine,CP00000740,UMPS,9606,associate
isoleucine,CP00000740,TNNC1,9606,associate
isoleucine,CP00000740,SLC30A3,9606,associate
isoleucine,CP00000740,HSPE1,9606,associate
isoleucine,CP00000740,CDC7,9606,associate
isoleucine,CP00000740,TTR,9606,associate
isoleucine,CP00000740,GSC,9606,associate
isoleucine,CP00000740,CAT,9606,associate
isoleucine,CP00000740,POLM,9606,associate
isoleucine,CP00000740,TWIST1,9606,associate
isoleucine,CP00000740,SNRPA,9606,associate
isoleucine,CP00000740,ATP5F1E,9606,associate
isoleucine,CP00000740,PTGIS,9606,associate
isoleucine,CP00000740,TCF15,9606,associate
isoleucine,CP00000740,TRAP1,9606,associate
isoleucine,CP00000740,TBPL2,9606,associate
isoleucine,CP00000740,STRIP2,9606,associate
isoleucine,CP00000740,HOXD3,9606,associate
isoleucine,CP00000740,RPS16,9606,associate
isoleucine,CP00000740,KRT1,9606,associate
isoleucine,CP00000740,JUND,9606,associate
isoleucine,CP00000740,ABCB7,9606,associate
isoleucine,CP00000740,MRPS9,9606,associate
isoleucine,CP00000740,CBWD2,9606,associate
isoleucine,CP00000740,RPL35,9606,associate
isoleucine,CP00000740,HLA-F,9606,associate
isoleucine,CP00000740,BLMH,9606,associate
isoleucine,CP00000740,ARG2,9606,associate
isoleucine,CP00000740,SLC30A4,9606,associate
isoleucine,CP00000740,MEOX2,9606,associate
isoleucine,CP00000740,RPL8,9606,associate
isoleucine,CP00000740,ASPA,9606,associate
isoleucine,CP00000740,ILVBL,9606,associate
isoleucine,CP00000740,LCN1,9606,associate
isoleucine,CP00000740,MECR,9606,associate
isoleucine,CP00000740,GATB,9606,associate
isoleucine,CP00000740,LCAT,9606,associate
isoleucine,CP00000740,GPSM2,9606,associate
isoleucine,CP00000740,IL1RL2,9606,associate
isoleucine,CP00000740,IL11,9606,associate
isoleucine,CP00000740,STAT3,9606,associate
isoleucine,CP00000740,ABCB6,9606,associate
isoleucine,CP00000740,POLB,9606,associate
isoleucine,CP00000740,ADH4,9606,associate
isoleucine,CP00000740,EXOSC7,9606,associate
isoleucine,CP00000740,MCCC1,9606,associate
