Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
loliolide,CP00080459,CYP19A1,9606,inhibit
loliolide,CP00080459,PLK2,9606,associate
loliolide,CP00080459,ARHGEF1,9606,associate
loliolide,CP00080459,ENPP3,9606,associate
loliolide,CP00080459,MYO6,9606,associate
loliolide,CP00080459,RELA,9606,inhibit
loliolide,CP00080459,NR3C1,9606,associate
loliolide,CP00080459,SLCO1B1,9606,associate
loliolide,CP00080459,PGR,9606,associate
loliolide,CP00080459,SLCO1B3,9606,associate
loliolide,CP00080459,HSD11B1,9606,associate
loliolide,CP00080459,AR,9606,associate
loliolide,CP00080459,ALOX5,9606,associate
loliolide,CP00080459,CES2,9606,associate
loliolide,CP00080459,RARA,9606,associate
loliolide,CP00080459,ACHE,9606,associate
loliolide,CP00080459,RXRA,9606,associate
loliolide,CP00080459,JUN,9606,associate
loliolide,CP00080459,PTGS1,9606,associate
loliolide,CP00080459,XBP1,9606,associate
loliolide,CP00080459,CES1,9606,associate
loliolide,CP00080459,PTGS2,9606,associate
loliolide,CP00080459,CNR2,9606,associate
loliolide,CP00080459,NR3C2,9606,associate
loliolide,CP00080459,CA7,9606,associate
loliolide,CP00080459,CYP1B1,9606,associate
loliolide,CP00080459,HCAR2,9606,associate
loliolide,CP00080459,CNR1,9606,associate
loliolide,CP00080459,AKR1B1,9606,associate
loliolide,CP00080459,MAPK13,9606,associate
loliolide,CP00080459,APOBEC3G,9606,associate
loliolide,CP00080459,HSD11B2,9606,associate
loliolide,CP00080459,ESR1,9606,associate
loliolide,CP00080459,PTPN1,9606,associate
loliolide,CP00080459,CA9,9606,associate
loliolide,CP00080459,DRD2,9606,associate
loliolide,CP00080459,SLC6A4,9606,associate
loliolide,CP00080459,BCHE,9606,associate
loliolide,CP00080459,IDO1,9606,associate
loliolide,CP00080459,CHRM1,9606,associate
loliolide,CP00080459,CYP19A1,9606,associate
loliolide,CP00080459,CA4,9606,associate
loliolide,CP00080459,ABCB1,9606,associate
loliolide,CP00080459,CHRM4,9606,associate
loliolide,CP00080459,GPR55,9606,associate
loliolide,CP00080459,CDC25A,9606,associate
loliolide,CP00080459,PLA2G2A,9606,associate
loliolide,CP00080459,RELA,9606,associate
loliolide,CP00080459,EP300,9606,associate
loliolide,CP00080459,TPSAB1,9606,associate
loliolide,CP00080459,NEK4,9606,associate
loliolide,CP00080459,AKT1,9606,associate
loliolide,CP00080459,PRKCQ,9606,associate
loliolide,CP00080459,SLC47A1,9606,associate
loliolide,CP00080459,MMP9,9606,associate
loliolide,CP00080459,NR1H3,9606,associate
loliolide,CP00080459,ACKR3,9606,associate
loliolide,CP00080459,MAOB,9606,associate
loliolide,CP00080459,ACVR1B,9606,associate
loliolide,CP00080459,TERT,9606,associate
loliolide,CP00080459,CTDSP1,9606,associate
loliolide,CP00080459,ELOVL6,9606,associate
loliolide,CP00080459,SLC6A3,9606,associate
loliolide,CP00080459,STAT1,9606,associate
loliolide,CP00080459,ALPI,9606,associate
loliolide,CP00080459,DRD3,9606,associate
loliolide,CP00080459,OPRK1,9606,associate
loliolide,CP00080459,HMGCR,9606,associate
loliolide,CP00080459,SIGMAR1,9606,associate
loliolide,CP00080459,SLC5A1,9606,associate
loliolide,CP00080459,RARG,9606,associate
loliolide,CP00080459,VEGFA,9606,associate
loliolide,CP00080459,MAP3K7,9606,associate
loliolide,CP00080459,RARB,9606,associate
loliolide,CP00080459,PPP1CA,9606,associate
loliolide,CP00080459,SRD5A1,9606,associate
loliolide,CP00080459,CA13,9606,associate
loliolide,CP00080459,PLA2G1B,9606,associate
loliolide,CP00080459,MAP4K4,9606,associate
loliolide,CP00080459,EIF4H,9606,associate
loliolide,CP00080459,CHEK2,9606,associate
loliolide,CP00080459,KLF5,9606,associate
loliolide,CP00080459,CDC25B,9606,associate
loliolide,CP00080459,CYP2C9,9606,associate
loliolide,CP00080459,TOP1,9606,associate
loliolide,CP00080459,SENP7,9606,associate
loliolide,CP00080459,MARK2,9606,associate
loliolide,CP00080459,ABCB11,9606,associate
loliolide,CP00080459,TBXAS1,9606,associate
loliolide,CP00080459,CHRM3,9606,associate
loliolide,CP00080459,RET,9606,associate
loliolide,CP00080459,GBA,9606,associate
loliolide,CP00080459,NCOA1,9606,associate
loliolide,CP00080459,SMAD3,9606,associate
loliolide,CP00080459,HSP90AA1,9606,associate
loliolide,CP00080459,DAPK1,9606,associate
loliolide,CP00080459,GLRA1,9606,associate
loliolide,CP00080459,CA12,9606,associate
loliolide,CP00080459,TGFBR2,9606,associate
loliolide,CP00080459,STK4,9606,associate
loliolide,CP00080459,VCAM1,9606,associate
loliolide,CP00080459,ADCY1,9606,associate
loliolide,CP00080459,ADAMTS4,9606,associate
loliolide,CP00080459,CFTR,9606,associate
loliolide,CP00080459,CYP11B2,9606,associate
