Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
malate,CP00000492,ampC,511145,associate
malate,CP00000492,KDM4A,9606,associate
malate,CP00000492,EHMT2,9606,associate
malate,CP00000492,BAZ2B,9606,associate
malate,CP00000492,FTO,9606,inhibit
malate,CP00000492,PTH1R,9606,associate
malate,CP00000492,APEX1,9606,associate
malate,CP00000492,COX15,9606,associate
malate,CP00000492,CA11,9606,associate
malate,CP00000492,CA12,9606,associate
malate,CP00000492,SLC13A1,9606,associate
malate,CP00000492,ACO2,9606,associate
malate,CP00000492,ATP6V1D,9606,associate
malate,CP00000492,PCK2,9606,associate
malate,CP00000492,PTK6,9606,associate
malate,CP00000492,SRMS,9606,associate
malate,CP00000492,NUTF2,9606,associate
malate,CP00000492,CRYM,9606,associate
malate,CP00000492,CSK,9606,associate
malate,CP00000492,DECR1,9606,associate
malate,CP00000492,GSR,9606,associate
malate,CP00000492,SLC1A6,9606,associate
malate,CP00000492,GCDH,9606,associate
malate,CP00000492,OGDH,9606,associate
malate,CP00000492,PPIF,9606,associate
malate,CP00000492,SLC25A11,9606,associate
malate,CP00000492,ALDOC,9606,associate
malate,CP00000492,CLEC2B,9606,associate
malate,CP00000492,GAPDH,9606,associate
malate,CP00000492,ENO2,9606,associate
malate,CP00000492,LDHB,9606,associate
malate,CP00000492,EHHADH,9606,associate
malate,CP00000492,SLC30A3,9606,associate
malate,CP00000492,NDUFS7,9606,associate
malate,CP00000492,SLC1A4,9606,associate
malate,CP00000492,ENO1,9606,associate
malate,CP00000492,CAT,9606,associate
malate,CP00000492,GOT2,9606,associate
malate,CP00000492,FFAR1,9606,associate
malate,CP00000492,L3HYPDH,9606,associate
malate,CP00000492,CDY2A,9606,associate
malate,CP00000492,NDUFA2,9606,associate
malate,CP00000492,ACSS2,9606,associate
malate,CP00000492,COX4I1,9606,associate
malate,CP00000492,ACLY,9606,associate
malate,CP00000492,ATP6V0A4,9606,associate
malate,CP00000492,CLEC10A,9606,associate
malate,CP00000492,SLC14A2,9606,associate
malate,CP00000492,AMPD2,9606,associate
malate,CP00000492,BLK,9606,associate
malate,CP00000492,STX17,9606,associate
malate,CP00000492,IDH1,9606,associate
malate,CP00000492,HAL,9606,associate
malate,CP00000492,SLC30A4,9606,associate
malate,CP00000492,SLC1A1,9606,associate
malate,CP00000492,PHLPP1,9606,associate
malate,CP00000492,EPAS1,9606,associate
malate,CP00000492,NDUFS3,9606,associate
malate,CP00000492,MUL1,9606,associate
malate,CP00000492,TXK,9606,associate
malate,CP00000492,ATP6V0A1,9606,associate
malate,CP00000492,NNT,9606,associate
malate,CP00000492,NSUN2,9606,associate
malate,CP00000492,TYK2,9606,associate
malate,CP00000492,PPARGC1A,9606,associate
malate,CP00000492,SDHA,9606,associate
malate,CP00000492,MCM2,9606,associate
malate,CP00000492,SLC1A3,9606,associate
malate,CP00000492,VDAC1,9606,associate
malate,CP00000492,SRF,9606,associate
malate,CP00000492,CPT1A,9606,associate
malate,CP00000492,TCIRG1,9606,associate
malate,CP00000492,HPX,9606,associate
malate,CP00000492,KRT71,9606,associate
malate,CP00000492,ERBB2,9606,associate
malate,CP00000492,PGD,9606,associate
malate,CP00000492,GALM,9606,associate
malate,CP00000492,DNPEP,9606,associate
malate,CP00000492,ATP6V1A,9606,associate
malate,CP00000492,NDUFS6,9606,associate
malate,CP00000492,EGFR,9606,associate
malate,CP00000492,GLUD1,9606,associate
malate,CP00000492,SLC1A2,9606,associate
malate,CP00000492,FADS3,9606,associate
malate,CP00000492,FADS2,9606,associate
malate,CP00000492,SLC13A3,9606,associate
malate,CP00000492,LDHC,9606,associate
malate,CP00000492,NUBPL,9606,associate
malate,CP00000492,SLC25A4,9606,associate
malate,CP00000492,GPD1L,9606,associate
malate,CP00000492,RPIA,9606,associate
malate,CP00000492,CA10,9606,associate
malate,CP00000492,CA2,9606,associate
malate,CP00000492,CA3,9606,associate
malate,CP00000492,ATP6V0D2,9606,associate
malate,CP00000492,ADCY8,9606,associate
malate,CP00000492,WIF1,9606,associate
malate,CP00000492,ATP5PO,9606,associate
malate,CP00000492,HK2,9606,associate
malate,CP00000492,ATP6V0D1,9606,associate
malate,CP00000492,FTCD,9606,associate
malate,CP00000492,FLAD1,9606,associate
malate,CP00000492,ATP5MF,9606,associate
malate,CP00000492,FGF19,9606,associate
malate,CP00000492,ALPPL2,9606,associate
malate,CP00000492,ALPI,9606,associate
malate,CP00000492,ALB,9606,associate
malate,CP00000492,METAP1,9606,associate
malate,CP00000492,NDUFAF2,9606,associate
malate,CP00000492,NDUFS4,9606,associate
malate,CP00000492,SLC13A4,9606,associate
malate,CP00000492,PGAM2,9606,associate
malate,CP00000492,ADCY1,9606,associate
malate,CP00000492,PGM2L1,9606,associate
malate,CP00000492,SCG5,9606,associate
malate,CP00000492,GCN1,9606,associate
malate,CP00000492,CA4,9606,associate
malate,CP00000492,CACNB3,9606,associate
malate,CP00000492,ECI1,9606,associate
malate,CP00000492,GUSB,9606,associate
malate,CP00000492,CDY1,9606,associate
malate,CP00000492,CDY1B,9606,associate
malate,CP00000492,TSNARE1,9606,associate
malate,CP00000492,NUP62,9606,associate
malate,CP00000492,KRT74,9606,associate
malate,CP00000492,CYCS,9606,associate
malate,CP00000492,GLUL,9606,associate
malate,CP00000492,BTK,9606,associate
malate,CP00000492,BMX,9606,associate
malate,CP00000492,NSUN5,9606,associate
malate,CP00000492,ACO1,9606,associate
malate,CP00000492,GLS2,9606,associate
malate,CP00000492,CTSF,9606,associate
malate,CP00000492,ATP8B3,9606,associate
malate,CP00000492,ADCY6,9606,associate
malate,CP00000492,UCP2,9606,associate
malate,CP00000492,CPT1B,9606,associate
malate,CP00000492,AIFM2,9606,associate
malate,CP00000492,LEP,9606,associate
malate,CP00000492,CA5B,9606,associate
malate,CP00000492,CA8,9606,associate
malate,CP00000492,CRAT,9606,associate
malate,CP00000492,METAP1D,9606,associate
malate,CP00000492,GLS,9606,associate
malate,CP00000492,MPI,9606,associate
malate,CP00000492,CA13,9606,associate
malate,CP00000492,NSUN3,9606,associate
malate,CP00000492,PCK1,9606,associate
malate,CP00000492,CACNB2,9606,associate
malate,CP00000492,PKM,9606,associate
malate,CP00000492,ME2,9606,associate
malate,CP00000492,TALDO1,9606,associate
malate,CP00000492,MSC,9606,associate
malate,CP00000492,FADS1,9606,associate
malate,CP00000492,NDUFV1,9606,associate
malate,CP00000492,NDUFAF3,9606,associate
malate,CP00000492,UCP3,9606,associate
malate,CP00000492,ENO3,9606,associate
malate,CP00000492,POLR2L,9606,associate
malate,CP00000492,YES1,9606,associate
malate,CP00000492,MDH2,9606,associate
malate,CP00000492,NDUFV2,9606,associate
malate,CP00000492,TSPO,9606,associate
malate,CP00000492,ATP6V0C,9606,associate
malate,CP00000492,IDH2,9606,associate
malate,CP00000492,ATP6V0A2,9606,associate
malate,CP00000492,PTK2B,9606,associate
malate,CP00000492,DNAH8,9606,associate
malate,CP00000492,SHMT2,9606,associate
malate,CP00000492,SLC39A9,9606,associate
malate,CP00000492,ISYNA1,9606,associate
malate,CP00000492,LCK,9606,associate
malate,CP00000492,HIF1A,9606,associate
malate,CP00000492,PUM2,9606,associate
malate,CP00000492,UGP2,9606,associate
malate,CP00000492,CRYZ,9606,associate
malate,CP00000492,PKLR,9606,associate
malate,CP00000492,ACACB,9606,associate
malate,CP00000492,BPGM,9606,associate
malate,CP00000492,CS,9606,associate
malate,CP00000492,ADCY2,9606,associate
malate,CP00000492,UBE4B,9606,associate
malate,CP00000492,PPCDC,9606,associate
malate,CP00000492,JAK1,9606,associate
malate,CP00000492,ENO4,9606,associate
malate,CP00000492,SLC25A10,9606,associate
malate,CP00000492,CA7,9606,associate
malate,CP00000492,PFKM,9606,associate
malate,CP00000492,RPS3A,9606,associate
malate,CP00000492,FYN,9606,associate
malate,CP00000492,NPAS3,9606,associate
malate,CP00000492,SLC30A7,9606,associate
malate,CP00000492,GAD1,9606,associate
malate,CP00000492,PRDM10,9606,associate
malate,CP00000492,ATP6V1H,9606,associate
malate,CP00000492,HIBCH,9606,associate
malate,CP00000492,COX1,9606,associate
malate,CP00000492,CYTB,9606,associate
malate,CP00000492,ND1,9606,associate
malate,CP00000492,ND5,9606,associate
malate,CP00000492,ND4,9606,associate
malate,CP00000492,PER3,9606,associate
malate,CP00000492,ND2,9606,associate
malate,CP00000492,ND3,9606,associate
malate,CP00000492,WDTC1,9606,associate
malate,CP00000492,SLC26A11,9606,associate
malate,CP00000492,KMO,9606,associate
malate,CP00000492,FH,9606,associate
malate,CP00000492,SLC30A10,9606,associate
malate,CP00000492,SLC30A1,9606,associate
malate,CP00000492,SOD2,9606,associate
malate,CP00000492,STX7,9606,associate
malate,CP00000492,SDHC,9606,associate
malate,CP00000492,NDUFS2,9606,associate
malate,CP00000492,ECHS1,9606,associate
malate,CP00000492,OAT,9606,associate
malate,CP00000492,CA14,9606,associate
malate,CP00000492,NDUFAF4,9606,associate
malate,CP00000492,ME1,9606,associate
malate,CP00000492,DBT,9606,associate
malate,CP00000492,DPYD,9606,associate
malate,CP00000492,GOT1,9606,associate
malate,CP00000492,PGAM1,9606,associate
malate,CP00000492,NDUFA1,9606,associate
malate,CP00000492,SLC1A7,9606,associate
malate,CP00000492,ECHDC2,9606,associate
malate,CP00000492,SLC25A5,9606,associate
malate,CP00000492,ABL1,9606,associate
malate,CP00000492,STX12,9606,associate
malate,CP00000492,FGR,9606,associate
malate,CP00000492,SLC30A2,9606,associate
malate,CP00000492,ALPL,9606,associate
malate,CP00000492,FBP1,9606,associate
malate,CP00000492,SDHB,9606,associate
malate,CP00000492,AUH,9606,associate
malate,CP00000492,HCK,9606,associate
malate,CP00000492,BAG6,9606,associate
malate,CP00000492,NSUN6,9606,associate
malate,CP00000492,H6PD,9606,associate
malate,CP00000492,CA6,9606,associate
malate,CP00000492,HIF3A,9606,associate
malate,CP00000492,NDUFAF5,9606,associate
malate,CP00000492,CA9,9606,associate
