Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
p-coumaric acid,CP00000301,TSR3,9606,associate
p-coumaric acid,CP00000301,SNAI2,9606,associate
p-coumaric acid,CP00000301,OXCT1,9606,associate
p-coumaric acid,CP00000301,DLD,9606,associate
p-coumaric acid,CP00000301,ADSL,9606,associate
p-coumaric acid,CP00000301,PMM1,9606,associate
p-coumaric acid,CP00000301,SLC32A1,9606,associate
p-coumaric acid,CP00000301,DECR1,9606,associate
p-coumaric acid,CP00000301,DKK4,9606,associate
p-coumaric acid,CP00000301,GSR,9606,associate
p-coumaric acid,CP00000301,GCDH,9606,associate
p-coumaric acid,CP00000301,SLC25A11,9606,associate
p-coumaric acid,CP00000301,MRPL27,9606,associate
p-coumaric acid,CP00000301,NUDT12,9606,associate
p-coumaric acid,CP00000301,AGXT2,9606,associate
p-coumaric acid,CP00000301,RARS,9606,associate
p-coumaric acid,CP00000301,SLC9A2,9606,associate
p-coumaric acid,CP00000301,TP53I3,9606,associate
p-coumaric acid,CP00000301,CAT,9606,associate
p-coumaric acid,CP00000301,MRPS2,9606,associate
p-coumaric acid,CP00000301,ACADS,9606,associate
p-coumaric acid,CP00000301,SNAI1,9606,associate
p-coumaric acid,CP00000301,SLC35A2,9606,associate
p-coumaric acid,CP00000301,UGT2A3,9606,associate
p-coumaric acid,CP00000301,TACO1,9606,associate
p-coumaric acid,CP00000301,SLC31A2,9606,associate
p-coumaric acid,CP00000301,ATP2B1,9606,associate
p-coumaric acid,CP00000301,HAL,9606,associate
p-coumaric acid,CP00000301,ARVCF,9606,associate
p-coumaric acid,CP00000301,DESI1,9606,associate
p-coumaric acid,CP00000301,TYR,9606,associate
p-coumaric acid,CP00000301,MECR,9606,associate
p-coumaric acid,CP00000301,SLC9A1,9606,associate
p-coumaric acid,CP00000301,SLC9A3,9606,associate
p-coumaric acid,CP00000301,ZAP70,9606,associate
p-coumaric acid,CP00000301,UGT2B10,9606,associate
p-coumaric acid,CP00000301,ABAT,9606,associate
p-coumaric acid,CP00000301,PMM2,9606,associate
p-coumaric acid,CP00000301,PGPEP1,9606,associate
p-coumaric acid,CP00000301,UGT3A1,9606,associate
p-coumaric acid,CP00000301,ADRA2A,9606,associate
p-coumaric acid,CP00000301,SLC25A31,9606,associate
p-coumaric acid,CP00000301,ACAD8,9606,associate
p-coumaric acid,CP00000301,SLC25A4,9606,associate
p-coumaric acid,CP00000301,TCF7L1,9606,associate
p-coumaric acid,CP00000301,ZFP36L2,9606,associate
p-coumaric acid,CP00000301,UGT3A2,9606,associate
p-coumaric acid,CP00000301,TMPRSS11D,9606,associate
p-coumaric acid,CP00000301,FRRS1,9606,associate
p-coumaric acid,CP00000301,ACOX1,9606,associate
p-coumaric acid,CP00000301,SLC9A4,9606,associate
p-coumaric acid,CP00000301,GLB1L,9606,associate
p-coumaric acid,CP00000301,RHO,9606,associate
p-coumaric acid,CP00000301,SLC9B1,9606,associate
p-coumaric acid,CP00000301,ETNPPL,9606,associate
p-coumaric acid,CP00000301,GPR85,9606,associate
p-coumaric acid,CP00000301,SLC9A5,9606,associate
p-coumaric acid,CP00000301,VAT1L,9606,associate
p-coumaric acid,CP00000301,TMEM37,9606,associate
p-coumaric acid,CP00000301,GPR27,9606,associate
p-coumaric acid,CP00000301,UGT1A6,9606,associate
p-coumaric acid,CP00000301,FASN,9606,associate
p-coumaric acid,CP00000301,UGT2B7,9606,associate
p-coumaric acid,CP00000301,UGT1A1,9606,associate
p-coumaric acid,CP00000301,UGT2B4,9606,associate
p-coumaric acid,CP00000301,DESI2,9606,associate
p-coumaric acid,CP00000301,SLC9C1,9606,associate
p-coumaric acid,CP00000301,GLB1,9606,associate
p-coumaric acid,CP00000301,ACOX2,9606,associate
p-coumaric acid,CP00000301,VPS41,9606,associate
p-coumaric acid,CP00000301,PHYKPL,9606,associate
p-coumaric acid,CP00000301,UGT8,9606,associate
p-coumaric acid,CP00000301,ACAD9,9606,associate
p-coumaric acid,CP00000301,PFAS,9606,associate
p-coumaric acid,CP00000301,MRPL1,9606,associate
p-coumaric acid,CP00000301,LCP1,9606,associate
p-coumaric acid,CP00000301,LACC1,9606,associate
p-coumaric acid,CP00000301,SLC9A9,9606,associate
p-coumaric acid,CP00000301,UGT2B17,9606,associate
p-coumaric acid,CP00000301,CRELD1,9606,associate
p-coumaric acid,CP00000301,FOXK1,9606,associate
p-coumaric acid,CP00000301,SLC9A7,9606,associate
p-coumaric acid,CP00000301,GPR173,9606,associate
p-coumaric acid,CP00000301,UGT2B28,9606,associate
p-coumaric acid,CP00000301,FOXK2,9606,associate
p-coumaric acid,CP00000301,PLS1,9606,associate
p-coumaric acid,CP00000301,ZFP36L1,9606,associate
p-coumaric acid,CP00000301,CRYZ,9606,associate
p-coumaric acid,CP00000301,TCF7,9606,associate
p-coumaric acid,CP00000301,UGT2B15,9606,associate
p-coumaric acid,CP00000301,UGT1A10,9606,associate
p-coumaric acid,CP00000301,GLB1L2,9606,associate
p-coumaric acid,CP00000301,DALRD3,9606,associate
p-coumaric acid,CP00000301,SLC25A10,9606,associate
p-coumaric acid,CP00000301,ENOSF1,9606,associate
p-coumaric acid,CP00000301,RPSA,9606,associate
p-coumaric acid,CP00000301,ETFB,9606,associate
p-coumaric acid,CP00000301,UGT1A9,9606,associate
p-coumaric acid,CP00000301,MORN3,9606,associate
p-coumaric acid,CP00000301,VAT1,9606,associate
p-coumaric acid,CP00000301,PLS3,9606,associate
p-coumaric acid,CP00000301,ACOX3,9606,associate
p-coumaric acid,CP00000301,ACADVL,9606,associate
p-coumaric acid,CP00000301,NUDT13,9606,associate
p-coumaric acid,CP00000301,ATP2B4,9606,associate
p-coumaric acid,CP00000301,CACNA1G,9606,associate
p-coumaric acid,CP00000301,SLC9B2,9606,associate
p-coumaric acid,CP00000301,NFE2L1,9606,associate
p-coumaric acid,CP00000301,SLC9A8,9606,associate
p-coumaric acid,CP00000301,SLC9C2,9606,associate
p-coumaric acid,CP00000301,OLIG3,9606,associate
p-coumaric acid,CP00000301,ACADSB,9606,associate
p-coumaric acid,CP00000301,RTN4IP1,9606,associate
p-coumaric acid,CP00000301,RARS2,9606,associate
p-coumaric acid,CP00000301,RPL5,9606,associate
p-coumaric acid,CP00000301,SLC9A6,9606,associate
p-coumaric acid,CP00000301,SLC25A5,9606,associate
p-coumaric acid,CP00000301,SURF4,9606,associate
p-coumaric acid,CP00000301,OXCT2,9606,associate
p-coumaric acid,CP00000301,UGT1A4,9606,associate
p-coumaric acid,CP00000301,UGT1A5,9606,associate
p-coumaric acid,CP00000301,UGT1A7,9606,associate
p-coumaric acid,CP00000301,UGT1A8,9606,associate
p-coumaric acid,CP00000301,RPL10A,9606,associate
p-coumaric acid,CP00000301,SLC31A1,9606,associate
p-coumaric acid,CP00000301,AOX1,9606,associate
p-coumaric acid,CP00000301,SYK,9606,associate
p-coumaric acid,CP00000301,FLOT1,9606,associate
p-coumaric acid,CP00000301,ACOD1,9606,associate
p-coumaric acid,CP00000301,OLAH,9606,associate
p-coumaric acid,CP00000301,PGPEP1L,9606,associate
p-coumaric acid,CP00000301,XDH,9606,associate
p-coumaric acid,CP00000301,MTIF3,9606,associate
p-coumaric acid,CP00000301,SLC25A6,9606,associate
p-coumaric acid,CP00000301,CRYZL1,9606,associate
p-coumaric acid,CP00000301,GART,9606,associate
p-coumaric acid,CP00000301,GTF2F1,9606,associate
p-coumaric acid,CP00000301,FLOT2,9606,associate
p-coumaric acid,CP00000301,ADHFE1,9606,associate
p-coumaric acid,CP00000301,CTNND1,9606,associate
p-coumaric acid,CP00000301,TXNRD2,9606,associate
p-coumaric acid,CP00000301,CRELD2,9606,associate
p-coumaric acid,CP00000301,ADRA2C,9606,associate
p-coumaric acid,CP00000301,UGT2B11,9606,associate
p-coumaric acid,CP00000301,GLB1L3,9606,associate
p-coumaric acid,CP00000301,ACOXL,9606,associate
p-coumaric acid,CP00000301,ACADM,9606,associate
p-coumaric acid,CP00000301,UGT1A3,9606,associate
p-coumaric acid,CP00000301,TXNRD3,9606,associate
p-coumaric acid,CP00000301,ACER3,9606,associate
p-coumaric acid,CP00000301,TXNRD1,9606,associate
p-coumaric acid,CP00000301,CNOT4,9606,associate
p-coumaric acid,CP00000301,ETFA,9606,associate
p-coumaric acid,CP00000301,CA12,9606,associate
p-coumaric acid,CP00000301,CA7,9606,associate
p-coumaric acid,CP00000301,ESR2,9606,associate
p-coumaric acid,CP00000301,CA1,9606,associate
p-coumaric acid,CP00000301,CA3,9606,associate
p-coumaric acid,CP00000301,CA5A,9606,associate
p-coumaric acid,CP00000301,AKR1B1,9606,associate
p-coumaric acid,CP00000301,CA5B,9606,associate
p-coumaric acid,CP00000301,CA2,9606,associate
p-coumaric acid,CP00000301,CA9,9606,associate
p-coumaric acid,CP00000301,CA14,9606,associate
p-coumaric acid,CP00000301,CA4,9606,associate
p-coumaric acid,CP00000301,CA6,9606,associate
p-coumaric acid,CP00000301,ESR1,9606,associate
p-coumaric acid,CP00000301,HCAR2,9606,associate
p-coumaric acid,CP00000301,F3,9606,associate
p-coumaric acid,CP00000301,MAOA,9606,associate
p-coumaric acid,CP00000301,CYP2C9,9606,associate
p-coumaric acid,CP00000301,MMP9,9606,associate
p-coumaric acid,CP00000301,MMP1,9606,associate
p-coumaric acid,CP00000301,MAOB,9606,associate
p-coumaric acid,CP00000301,AKR1B10,9606,associate
p-coumaric acid,CP00000301,CYP2D6,9606,associate
p-coumaric acid,CP00000301,HSD11B1,9606,associate
p-coumaric acid,CP00000301,TLR9,9606,associate
p-coumaric acid,CP00000301,ALOX5,9606,associate
p-coumaric acid,CP00000301,PTPN1,9606,associate
p-coumaric acid,CP00000301,MMP2,9606,associate
p-coumaric acid,CP00000301,MIF,9606,associate
p-coumaric acid,CP00000301,APP,9606,associate
p-coumaric acid,CP00000301,GSK3B,9606,associate
p-coumaric acid,CP00000301,CYP1A2,9606,associate
p-coumaric acid,CP00000301,PGR,9606,associate
p-coumaric acid,CP00000301,SENP6,9606,associate
p-coumaric acid,CP00000301,RARB,9606,associate
p-coumaric acid,CP00000301,SENP7,9606,associate
p-coumaric acid,CP00000301,ALDH2,9606,associate
p-coumaric acid,CP00000301,PTGS2,9606,associate
p-coumaric acid,CP00000301,SENP8,9606,associate
p-coumaric acid,CP00000301,PTPN11,9606,associate
p-coumaric acid,CP00000301,TGFBR2,9606,associate
p-coumaric acid,CP00000301,SLCO1B1,9606,associate
p-coumaric acid,CP00000301,STK4,9606,associate
p-coumaric acid,CP00000301,VCAM1,9606,associate
p-coumaric acid,CP00000301,ADCY1,9606,associate
p-coumaric acid,CP00000301,ADAMTS4,9606,associate
p-coumaric acid,CP00000301,CFTR,9606,associate
p-coumaric acid,CP00000301,CYP11B2,9606,associate
p-coumaric acid,CP00000301,GGPS1,9606,associate
p-coumaric acid,CP00000301,CACNA1B,9606,associate
p-coumaric acid,CP00000301,FGF1,9606,associate
p-coumaric acid,CP00000301,FCER2,9606,associate
p-coumaric acid,CP00000301,FOLR1,9606,associate
p-coumaric acid,CP00000301,ALOX5AP,9606,associate
p-coumaric acid,CP00000301,PDK2,9606,associate
p-coumaric acid,CP00000301,PHOSPHO1,9606,associate
p-coumaric acid,CP00000301,TMPRSS6,9606,associate
p-coumaric acid,CP00000301,PRKCE,9606,associate
p-coumaric acid,CP00000301,ITGA4,9606,associate
p-coumaric acid,CP00000301,SSTR3,9606,associate
p-coumaric acid,CP00000301,STS,9606,associate
p-coumaric acid,CP00000301,SSTR5,9606,associate
p-coumaric acid,CP00000301,WNT3A,9606,associate
p-coumaric acid,CP00000301,PDE1B,9606,associate
p-coumaric acid,CP00000301,PLA2G4A,9606,associate
p-coumaric acid,CP00000301,PLA2G2A,9606,associate
p-coumaric acid,CP00000301,RELA,9606,associate
p-coumaric acid,CP00000301,KIF11,9606,associate
p-coumaric acid,CP00000301,SERPINE1,9606,associate
p-coumaric acid,CP00000301,TXK,9606,associate
p-coumaric acid,CP00000301,NAMPT,9606,associate
p-coumaric acid,CP00000301,CDK8,9606,associate
p-coumaric acid,CP00000301,NR1H4,9606,associate
p-coumaric acid,CP00000301,CHRNA3,9606,associate
p-coumaric acid,CP00000301,CYP51A1,9606,associate
p-coumaric acid,CP00000301,PKN2,9606,associate
p-coumaric acid,CP00000301,POLB,9606,associate
p-coumaric acid,CP00000301,EP300,9606,associate
p-coumaric acid,CP00000301,TPSAB1,9606,associate
