Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
p-coumaroylquinic acid,CP05102274,GCDH,9606,associate
p-coumaroylquinic acid,CP05102274,FKBP14,9606,associate
p-coumaroylquinic acid,CP05102274,ENO2,9606,associate
p-coumaroylquinic acid,CP05102274,ENO1,9606,associate
p-coumaroylquinic acid,CP05102274,VPS4B,9606,associate
p-coumaroylquinic acid,CP05102274,VPS4A,9606,associate
p-coumaroylquinic acid,CP05102274,HMGCR,9606,associate
p-coumaroylquinic acid,CP05102274,LRTOMT,9606,associate
p-coumaroylquinic acid,CP05102274,ENO3,9606,associate
p-coumaroylquinic acid,CP05102274,ENO4,9606,associate
p-coumaroylquinic acid,CP05102274,FDPS,9606,associate
p-coumaroylquinic acid,CP05102274,COMT,9606,associate
p-coumaroylquinic acid,CP05102274,RUSC1,9606,associate
p-coumaroylquinic acid,CP05102274,CGAS,9606,associate
p-coumaroylquinic acid,CP05102274,COMTD1,9606,associate
p-coumaroylquinic acid,CP05102274,SLC35B2,9606,associate
p-coumaroylquinic acid,CP05102274,AKR1B1,9606,associate
p-coumaroylquinic acid,CP05102274,AKR1B10,9606,associate
p-coumaroylquinic acid,CP05102274,APP,9606,associate
p-coumaroylquinic acid,CP05102274,CA5B,9606,associate
p-coumaroylquinic acid,CP05102274,CA2,9606,associate
p-coumaroylquinic acid,CP05102274,CA7,9606,associate
p-coumaroylquinic acid,CP05102274,CA4,9606,associate
p-coumaroylquinic acid,CP05102274,CA12,9606,associate
p-coumaroylquinic acid,CP05102274,ESR2,9606,associate
p-coumaroylquinic acid,CP05102274,ESR1,9606,associate
p-coumaroylquinic acid,CP05102274,CA14,9606,associate
p-coumaroylquinic acid,CP05102274,MMP13,9606,associate
p-coumaroylquinic acid,CP05102274,CA5A,9606,associate
p-coumaroylquinic acid,CP05102274,CA9,9606,associate
p-coumaroylquinic acid,CP05102274,MMP12,9606,associate
p-coumaroylquinic acid,CP05102274,CA6,9606,associate
p-coumaroylquinic acid,CP05102274,MMP2,9606,associate
p-coumaroylquinic acid,CP05102274,F3,9606,associate
p-coumaroylquinic acid,CP05102274,CA1,9606,associate
p-coumaroylquinic acid,CP05102274,ABCB1,9606,associate
p-coumaroylquinic acid,CP05102274,CHRM3,9606,associate
p-coumaroylquinic acid,CP05102274,GBA,9606,associate
p-coumaroylquinic acid,CP05102274,GSK3B,9606,associate
p-coumaroylquinic acid,CP05102274,MAOB,9606,associate
p-coumaroylquinic acid,CP05102274,TLR9,9606,associate
p-coumaroylquinic acid,CP05102274,HDAC3,9606,associate
p-coumaroylquinic acid,CP05102274,CYP2D6,9606,associate
p-coumaroylquinic acid,CP05102274,CYP2C9,9606,associate
p-coumaroylquinic acid,CP05102274,SELP,9606,associate
p-coumaroylquinic acid,CP05102274,PPARA,9606,associate
p-coumaroylquinic acid,CP05102274,BACE1,9606,associate
p-coumaroylquinic acid,CP05102274,MMP1,9606,associate
p-coumaroylquinic acid,CP05102274,PDK2,9606,associate
p-coumaroylquinic acid,CP05102274,MIF,9606,associate
p-coumaroylquinic acid,CP05102274,ITGAL,9606,associate
p-coumaroylquinic acid,CP05102274,SLCO1B3,9606,associate
p-coumaroylquinic acid,CP05102274,MMP9,9606,associate
p-coumaroylquinic acid,CP05102274,CA3,9606,associate
p-coumaroylquinic acid,CP05102274,SLC6A2,9606,associate
p-coumaroylquinic acid,CP05102274,LCK,9606,associate
p-coumaroylquinic acid,CP05102274,GCGR,9606,associate
p-coumaroylquinic acid,CP05102274,PTGES,9606,associate
p-coumaroylquinic acid,CP05102274,MAOA,9606,associate
p-coumaroylquinic acid,CP05102274,SLC5A1,9606,associate
p-coumaroylquinic acid,CP05102274,SENP6,9606,associate
p-coumaroylquinic acid,CP05102274,CYSLTR1,9606,associate
p-coumaroylquinic acid,CP05102274,FFAR2,9606,associate
p-coumaroylquinic acid,CP05102274,GRM4,9606,associate
p-coumaroylquinic acid,CP05102274,SLC6A4,9606,associate
p-coumaroylquinic acid,CP05102274,PTGS2,9606,associate
p-coumaroylquinic acid,CP05102274,OPRM1,9606,associate
p-coumaroylquinic acid,CP05102274,OPRD1,9606,associate
p-coumaroylquinic acid,CP05102274,HDAC6,9606,associate
p-coumaroylquinic acid,CP05102274,SHBG,9606,associate
p-coumaroylquinic acid,CP05102274,CHRM1,9606,associate
p-coumaroylquinic acid,CP05102274,CNR2,9606,associate
p-coumaroylquinic acid,CP05102274,CYP19A1,9606,associate
p-coumaroylquinic acid,CP05102274,CHEK1,9606,associate
p-coumaroylquinic acid,CP05102274,CPT2,9606,associate
p-coumaroylquinic acid,CP05102274,TRPV1,9606,associate
p-coumaroylquinic acid,CP05102274,FUCA1,9606,associate
p-coumaroylquinic acid,CP05102274,CHRM5,9606,associate
p-coumaroylquinic acid,CP05102274,ADAM17,9606,associate
p-coumaroylquinic acid,CP05102274,NQO2,9606,associate
p-coumaroylquinic acid,CP05102274,HSD11B1,9606,associate
p-coumaroylquinic acid,CP05102274,DRD5,9606,associate
p-coumaroylquinic acid,CP05102274,GRM2,9606,associate
p-coumaroylquinic acid,CP05102274,CHRM2,9606,associate
