Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
pantothenic acid,CP00000923,PANK4,9606,associate
pantothenic acid,CP00000923,PANK1,9606,associate
pantothenic acid,CP00000923,PANK3,9606,associate
pantothenic acid,CP00000923,VNN1,9606,associate
pantothenic acid,CP00000923,PDK4,9606,associate
pantothenic acid,CP00000923,OXCT1,9606,associate
pantothenic acid,CP00000923,ADSL,9606,associate
pantothenic acid,CP00000923,VRK1,9606,associate
pantothenic acid,CP00000923,PQBP1,9606,associate
pantothenic acid,CP00000923,ACSM2A,9606,associate
pantothenic acid,CP00000923,BCKDK,9606,associate
pantothenic acid,CP00000923,FDFT1,9606,associate
pantothenic acid,CP00000923,FKBP14,9606,associate
pantothenic acid,CP00000923,TVP23C,9606,associate
pantothenic acid,CP00000923,DAO,9606,associate
pantothenic acid,CP00000923,CAT,9606,associate
pantothenic acid,CP00000923,FKBP9,9606,associate
pantothenic acid,CP00000923,SLC36A1,9606,associate
pantothenic acid,CP00000923,AARS2,9606,associate
pantothenic acid,CP00000923,GOT2,9606,associate
pantothenic acid,CP00000923,TRAP1,9606,associate
pantothenic acid,CP00000923,UGT2A3,9606,associate
pantothenic acid,CP00000923,ACSS2,9606,associate
pantothenic acid,CP00000923,SCLY,9606,associate
pantothenic acid,CP00000923,HSPBP1,9606,associate
pantothenic acid,CP00000923,C2orf49,9606,associate
pantothenic acid,CP00000923,TTBK1,9606,associate
pantothenic acid,CP00000923,HAL,9606,associate
pantothenic acid,CP00000923,AARS,9606,associate
pantothenic acid,CP00000923,ATP2C2,9606,associate
pantothenic acid,CP00000923,UCP1,9606,associate
pantothenic acid,CP00000923,LIG1,9606,associate
pantothenic acid,CP00000923,EED,9606,associate
pantothenic acid,CP00000923,KYNU,9606,associate
pantothenic acid,CP00000923,NNT,9606,associate
pantothenic acid,CP00000923,HIBADH,9606,associate
pantothenic acid,CP00000923,UGT2B10,9606,associate
pantothenic acid,CP00000923,PRKAR2A,9606,associate
pantothenic acid,CP00000923,MCCC1,9606,associate
pantothenic acid,CP00000923,PRKAR2B,9606,associate
pantothenic acid,CP00000923,KRT71,9606,associate
pantothenic acid,CP00000923,SORD,9606,associate
pantothenic acid,CP00000923,TTBK2,9606,associate
pantothenic acid,CP00000923,AFG3L2,9606,associate
pantothenic acid,CP00000923,ABCG8,9606,associate
pantothenic acid,CP00000923,AMT,9606,associate
pantothenic acid,CP00000923,UGT3A1,9606,associate
pantothenic acid,CP00000923,MUT,9606,associate
pantothenic acid,CP00000923,TATDN1,9606,associate
pantothenic acid,CP00000923,SLC25A31,9606,associate
pantothenic acid,CP00000923,SLC25A4,9606,associate
pantothenic acid,CP00000923,PDK1,9606,associate
pantothenic acid,CP00000923,UGT3A2,9606,associate
pantothenic acid,CP00000923,CD8A,9606,associate
pantothenic acid,CP00000923,TMPRSS11D,9606,associate
pantothenic acid,CP00000923,SMC2,9606,associate
pantothenic acid,CP00000923,ACSM3,9606,associate
pantothenic acid,CP00000923,PDXK,9606,associate
pantothenic acid,CP00000923,KRT72,9606,associate
pantothenic acid,CP00000923,ALB,9606,associate
pantothenic acid,CP00000923,HSP90B1,9606,associate
pantothenic acid,CP00000923,TVP23A,9606,associate
pantothenic acid,CP00000923,ACSM1,9606,associate
pantothenic acid,CP00000923,UGT1A6,9606,associate
pantothenic acid,CP00000923,UGT2B7,9606,associate
pantothenic acid,CP00000923,UGT1A1,9606,associate
pantothenic acid,CP00000923,UGT2B4,9606,associate
pantothenic acid,CP00000923,CXCL10,9606,associate
pantothenic acid,CP00000923,TVP23B,9606,associate
pantothenic acid,CP00000923,CXCL11,9606,associate
