Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
phenylalanine,CP00000929,DDC,9606,associate
phenylalanine,CP00000929,TH,9606,associate
phenylalanine,CP00000929,TAT,9606,associate
phenylalanine,CP00000929,PAH,9606,associate
phenylalanine,CP00000929,GOT1,9606,associate
phenylalanine,CP00000929,GOT2,9606,associate
phenylalanine,CP00000929,PRDX6,9606,associate
phenylalanine,CP00000929,KYAT1,9606,associate
phenylalanine,CP00000929,FARS2,9606,associate
phenylalanine,CP00000929,FARSB,9606,associate
phenylalanine,CP00000929,FARSA,9606,associate
phenylalanine,CP00000929,LARP6,9606,inhibit
phenylalanine,CP00000929,CFTR,9606,associate
phenylalanine,CP00000929,CD4,9606,associate
phenylalanine,CP00000929,OTC,9606,associate
phenylalanine,CP00000929,HDAC7,9606,associate
phenylalanine,CP00000929,APPBP2,9606,associate
phenylalanine,CP00000929,FGF4,9606,associate
phenylalanine,CP00000929,ASNS,9606,associate
phenylalanine,CP00000929,TBX21,9606,associate
phenylalanine,CP00000929,CA12,9606,associate
phenylalanine,CP00000929,FGF20,9606,associate
phenylalanine,CP00000929,SLC8B1,9606,associate
phenylalanine,CP00000929,DLD,9606,associate
phenylalanine,CP00000929,TGM1,9606,associate
phenylalanine,CP00000929,XYLB,9606,associate
phenylalanine,CP00000929,CDC6,9606,associate
phenylalanine,CP00000929,GSTA3,9606,associate
phenylalanine,CP00000929,FGF22,9606,associate
phenylalanine,CP00000929,PDXP,9606,associate
phenylalanine,CP00000929,HSCB,9606,associate
phenylalanine,CP00000929,ADSL,9606,associate
phenylalanine,CP00000929,ACO2,9606,associate
phenylalanine,CP00000929,GNPNAT1,9606,associate
phenylalanine,CP00000929,PDYN,9606,associate
phenylalanine,CP00000929,TXNL1,9606,associate
phenylalanine,CP00000929,GUCY2F,9606,associate
phenylalanine,CP00000929,F9,9606,associate
phenylalanine,CP00000929,ABCD1,9606,associate
phenylalanine,CP00000929,TG,9606,associate
phenylalanine,CP00000929,DECR1,9606,associate
phenylalanine,CP00000929,RNASEH2A,9606,associate
phenylalanine,CP00000929,SGTA,9606,associate
phenylalanine,CP00000929,SERPINE1,9606,associate
phenylalanine,CP00000929,ACTA2,9606,associate
phenylalanine,CP00000929,STN1,9606,associate
phenylalanine,CP00000929,CRYBA1,9606,associate
phenylalanine,CP00000929,SLC25A11,9606,associate
phenylalanine,CP00000929,GOSR1,9606,associate
phenylalanine,CP00000929,COL1A1,9606,associate
phenylalanine,CP00000929,FGF6,9606,associate
phenylalanine,CP00000929,MYL2,9606,associate
phenylalanine,CP00000929,CDKN1B,9606,associate
phenylalanine,CP00000929,MAPK14,9606,associate
phenylalanine,CP00000929,SNX3,9606,associate
phenylalanine,CP00000929,HARS2,9606,associate
phenylalanine,CP00000929,IRX4,9606,associate
phenylalanine,CP00000929,SKP1,9606,associate
phenylalanine,CP00000929,RARS,9606,associate
phenylalanine,CP00000929,UMPS,9606,associate
phenylalanine,CP00000929,MSH2,9606,associate
phenylalanine,CP00000929,ODC1,9606,associate
phenylalanine,CP00000929,SARS,9606,associate
phenylalanine,CP00000929,WARS2,9606,associate
phenylalanine,CP00000929,EEF1B2,9606,associate
phenylalanine,CP00000929,TBPL1,9606,associate
phenylalanine,CP00000929,FGF23,9606,associate
phenylalanine,CP00000929,TWIST1,9606,associate
phenylalanine,CP00000929,MC3R,9606,associate
phenylalanine,CP00000929,DST,9606,associate
phenylalanine,CP00000929,UROD,9606,associate
phenylalanine,CP00000929,SBDS,9606,associate
phenylalanine,CP00000929,STATH,9606,associate
phenylalanine,CP00000929,L3HYPDH,9606,associate
phenylalanine,CP00000929,TBPL2,9606,associate
phenylalanine,CP00000929,HSPB1,9606,associate
phenylalanine,CP00000929,CMA1,9606,associate
phenylalanine,CP00000929,EGLN3,9606,associate
phenylalanine,CP00000929,AANAT,9606,associate
phenylalanine,CP00000929,ANGEL1,9606,associate
phenylalanine,CP00000929,TUBG1,9606,associate
phenylalanine,CP00000929,ALOX12,9606,associate
phenylalanine,CP00000929,HBA2,9606,associate
phenylalanine,CP00000929,SPAG1,9606,associate
phenylalanine,CP00000929,TYMP,9606,associate
phenylalanine,CP00000929,JUND,9606,associate
phenylalanine,CP00000929,GUCY2D,9606,associate
phenylalanine,CP00000929,EIF2S1,9606,associate
phenylalanine,CP00000929,VHL,9606,associate
phenylalanine,CP00000929,NARS,9606,associate
phenylalanine,CP00000929,GRP,9606,associate
phenylalanine,CP00000929,CARS2,9606,associate
phenylalanine,CP00000929,NMBR,9606,associate
phenylalanine,CP00000929,REPS1,9606,associate
phenylalanine,CP00000929,NPL,9606,associate
phenylalanine,CP00000929,IREB2,9606,associate
phenylalanine,CP00000929,BRIP1,9606,associate
phenylalanine,CP00000929,KLC4,9606,associate
phenylalanine,CP00000929,TMEM63B,9606,associate
phenylalanine,CP00000929,SORL1,9606,associate
phenylalanine,CP00000929,KYAT3,9606,associate
phenylalanine,CP00000929,ADCY3,9606,associate
phenylalanine,CP00000929,SIX3,9606,associate
phenylalanine,CP00000929,SLC40A1,9606,associate
phenylalanine,CP00000929,DIRC2,9606,associate
phenylalanine,CP00000929,GUCY2C,9606,associate
phenylalanine,CP00000929,LYZ,9606,associate
phenylalanine,CP00000929,PPWD1,9606,associate
phenylalanine,CP00000929,MOCOS,9606,associate
phenylalanine,CP00000929,TTC19,9606,associate
phenylalanine,CP00000929,AARS,9606,associate
phenylalanine,CP00000929,ARG2,9606,associate
phenylalanine,CP00000929,SPAG9,9606,associate
phenylalanine,CP00000929,MARS,9606,associate
phenylalanine,CP00000929,ELOB,9606,associate
phenylalanine,CP00000929,RPL8,9606,associate
phenylalanine,CP00000929,IMPAD1,9606,associate
phenylalanine,CP00000929,LIG1,9606,associate
phenylalanine,CP00000929,TYR,9606,associate
phenylalanine,CP00000929,VPS26A,9606,associate
phenylalanine,CP00000929,SLC9A1,9606,associate
phenylalanine,CP00000929,DNAJC10,9606,associate
phenylalanine,CP00000929,DARS,9606,associate
phenylalanine,CP00000929,POLQ,9606,associate
phenylalanine,CP00000929,BCHE,9606,associate
phenylalanine,CP00000929,GUCY1B1,9606,associate
phenylalanine,CP00000929,ADD2,9606,associate
phenylalanine,CP00000929,FGF2,9606,associate
phenylalanine,CP00000929,GZMM,9606,associate
phenylalanine,CP00000929,THRA,9606,associate
phenylalanine,CP00000929,PSMD3,9606,associate
phenylalanine,CP00000929,NNT,9606,associate
phenylalanine,CP00000929,FGF10,9606,associate
phenylalanine,CP00000929,POMC,9606,associate
phenylalanine,CP00000929,COL5A3,9606,associate
phenylalanine,CP00000929,PI4K2B,9606,associate
phenylalanine,CP00000929,SDHA,9606,associate
phenylalanine,CP00000929,ZAP70,9606,associate
phenylalanine,CP00000929,NPR3,9606,associate
phenylalanine,CP00000929,THOC3,9606,associate
phenylalanine,CP00000929,RPL26L1,9606,associate
phenylalanine,CP00000929,PAPSS1,9606,associate
phenylalanine,CP00000929,SSBP1,9606,associate
phenylalanine,CP00000929,EXOSC7,9606,associate
phenylalanine,CP00000929,OPRK1,9606,associate
phenylalanine,CP00000929,MCCC1,9606,associate
phenylalanine,CP00000929,EIF4H,9606,associate
phenylalanine,CP00000929,ACAT1,9606,associate
phenylalanine,CP00000929,ITIH4,9606,associate
phenylalanine,CP00000929,TMTC3,9606,associate
phenylalanine,CP00000929,SSTR1,9606,associate
phenylalanine,CP00000929,FANCM,9606,associate
phenylalanine,CP00000929,FGF7,9606,associate
phenylalanine,CP00000929,TPM1,9606,associate
phenylalanine,CP00000929,BBS4,9606,associate
phenylalanine,CP00000929,CDR2,9606,associate
phenylalanine,CP00000929,TP53,9606,associate
phenylalanine,CP00000929,ELAC1,9606,associate
phenylalanine,CP00000929,PGPEP1,9606,associate
phenylalanine,CP00000929,CALM2,9606,associate
phenylalanine,CP00000929,RPS27A,9606,associate
phenylalanine,CP00000929,MRPS5,9606,associate
phenylalanine,CP00000929,RAB5A,9606,associate
phenylalanine,CP00000929,FGF18,9606,associate
phenylalanine,CP00000929,PM20D2,9606,associate
phenylalanine,CP00000929,TATDN1,9606,associate
phenylalanine,CP00000929,GLUD1,9606,associate
phenylalanine,CP00000929,AASDHPPT,9606,associate
phenylalanine,CP00000929,PTS,9606,associate
phenylalanine,CP00000929,NARS2,9606,associate
phenylalanine,CP00000929,VPS26B,9606,associate
phenylalanine,CP00000929,QDPR,9606,associate
