Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
phloroglucinol,CP00000338,BACE1,9606,inhibit
phloroglucinol,CP00000338,POLK,9606,associate
phloroglucinol,CP00000338,TYR,9606,associate
phloroglucinol,CP00000338,LOC110237936,1720309,inhibit
phloroglucinol,CP00000338,BCL2,9606,activate
phloroglucinol,CP00000338,CASP9,9606,associate
phloroglucinol,CP00000338,CASP3,9606,activate
phloroglucinol,CP00000338,DPEP1,9606,associate
phloroglucinol,CP00000338,GCLC,9606,activate
phloroglucinol,CP00000338,GSK3B,9606,inhibit
phloroglucinol,CP00000338,CASP3,9606,associate
phloroglucinol,CP00000338,MAP2K4,9606,associate
phloroglucinol,CP00000338,PARP1,9606,associate
phloroglucinol,CP00000338,AKT1,9606,inhibit
phloroglucinol,CP00000338,PARP1,9606,activate
phloroglucinol,CP00000338,BCL2,9606,associate
phloroglucinol,CP00000338,BAX,9606,activate
phloroglucinol,CP00000338,CASP9,9606,activate
phloroglucinol,CP00000338,SIRT2,9606,associate
phloroglucinol,CP00000338,OR10A4,9606,associate
phloroglucinol,CP00000338,GDF15,9606,activate
phloroglucinol,CP00000338,FOLH1,9606,associate
phloroglucinol,CP00000338,BDKRB2,9606,associate
phloroglucinol,CP00000338,ACSL1,9606,associate
phloroglucinol,CP00000338,ALPL,9606,associate
phloroglucinol,CP00000338,CCL16,9606,associate
phloroglucinol,CP00000338,TRPC6,9606,associate
phloroglucinol,CP00000338,SIRT1,9606,associate
phloroglucinol,CP00000338,TNF,9606,associate
phloroglucinol,CP00000338,CD9,9606,associate
phloroglucinol,CP00000338,TSPAN9,9606,associate
phloroglucinol,CP00000338,SNAI2,9606,associate
phloroglucinol,CP00000338,XYLB,9606,associate
phloroglucinol,CP00000338,SLC5A5,9606,associate
phloroglucinol,CP00000338,GSK3A,9606,associate
phloroglucinol,CP00000338,TSPAN12,9606,associate
phloroglucinol,CP00000338,CD82,9606,associate
phloroglucinol,CP00000338,PRPH2,9606,associate
phloroglucinol,CP00000338,ATP6V1B1,9606,associate
phloroglucinol,CP00000338,MTERF2,9606,associate
phloroglucinol,CP00000338,CAT,9606,associate
phloroglucinol,CP00000338,TSPAN8,9606,associate
phloroglucinol,CP00000338,MTERF1,9606,associate
phloroglucinol,CP00000338,ACLY,9606,associate
phloroglucinol,CP00000338,CCNA1,9606,associate
phloroglucinol,CP00000338,CD63,9606,associate
phloroglucinol,CP00000338,TSPAN31,9606,associate
phloroglucinol,CP00000338,HTRA2,9606,associate
phloroglucinol,CP00000338,TSPAN11,9606,associate
phloroglucinol,CP00000338,TSPAN13,9606,associate
