Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
pipecolic acid,CP00000795,SCO6292,100226,associate
pipecolic acid,CP00000795,PTGS2,9606,associate
pipecolic acid,CP00000795,INPP5J,9606,associate
pipecolic acid,CP00000795,PIPOX,9606,activate
pipecolic acid,CP00000795,PEX14,9606,associate
pipecolic acid,CP00000795,PEX16,9606,associate
pipecolic acid,CP00000795,ACAA2,9606,associate
pipecolic acid,CP00000795,ECHS1,9606,associate
pipecolic acid,CP00000795,POLL,9606,associate
pipecolic acid,CP00000795,MC5R,9606,associate
pipecolic acid,CP00000795,PIPOX,9606,associate
pipecolic acid,CP00000795,ACOX2,9606,associate
pipecolic acid,CP00000795,FKBP1A,9606,associate
pipecolic acid,CP00000795,FKBP3,9606,associate
pipecolic acid,CP00000795,AASDH,9606,associate
pipecolic acid,CP00000795,ADI1,9606,associate
pipecolic acid,CP00000795,AP3D1,9606,associate
pipecolic acid,CP00000795,ACOX1,9606,associate
pipecolic acid,CP00000795,SLC36A2,9606,associate
pipecolic acid,CP00000795,PCYT2,9606,associate
pipecolic acid,CP00000795,SLC6A20,9606,associate
pipecolic acid,CP00000795,CAT,9606,associate
pipecolic acid,CP00000795,PEX19,9606,associate
pipecolic acid,CP00000795,LBP,9606,associate
pipecolic acid,CP00000795,MED25,9606,associate
pipecolic acid,CP00000795,DMGDH,9606,associate
pipecolic acid,CP00000795,EHHADH,9606,associate
pipecolic acid,CP00000795,PEX12,9606,associate
pipecolic acid,CP00000795,SUGCT,9606,associate
pipecolic acid,CP00000795,AADAT,9606,associate
pipecolic acid,CP00000795,GNPAT,9606,associate
pipecolic acid,CP00000795,PEX2,9606,associate
pipecolic acid,CP00000795,SLC36A1,9606,associate
pipecolic acid,CP00000795,CYP20A1,9606,associate
pipecolic acid,CP00000795,SUOX,9606,associate
pipecolic acid,CP00000795,PEX26,9606,associate
pipecolic acid,CP00000795,PHEX,9606,associate
pipecolic acid,CP00000795,ALDH18A1,9606,associate
pipecolic acid,CP00000795,ALDH7A1,9606,associate
pipecolic acid,CP00000795,AASS,9606,associate
pipecolic acid,CP00000795,AASDHPPT,9606,associate
pipecolic acid,CP00000795,ABCD1,9606,associate
pipecolic acid,CP00000795,PYCR1,9606,associate
pipecolic acid,CP00000795,HGS,9606,associate
pipecolic acid,CP00000795,PEX13,9606,associate
pipecolic acid,CP00000795,MATN1,9606,associate
pipecolic acid,CP00000795,ACAA1,9606,associate
pipecolic acid,CP00000795,NDP,9606,associate
pipecolic acid,CP00000795,OPRM1,9606,associate
pipecolic acid,CP00000795,BOK,9606,associate
pipecolic acid,CP00000795,SIT1,9606,associate
pipecolic acid,CP00000795,SCCPDH,9606,associate
pipecolic acid,CP00000795,PEX10,9606,associate
pipecolic acid,CP00000795,DDO,9606,associate
pipecolic acid,CP00000795,PEX7,9606,associate
pipecolic acid,CP00000795,LAT,9606,associate
pipecolic acid,CP00000795,RASSF5,9606,associate
pipecolic acid,CP00000795,DAB2,9606,associate
pipecolic acid,CP00000795,DPP4,9606,associate
pipecolic acid,CP00000795,PSTPIP1,9606,associate
pipecolic acid,CP00000795,HSD17B4,9606,associate
pipecolic acid,CP00000795,FKBP14,9606,associate
