Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
procyanidin B1,CP09137603,CYP3A4,9606,associate
procyanidin B1,CP09137603,PDGFB,9606,associate
procyanidin B1,CP09137603,TFRC,9606,associate
procyanidin B1,CP09137603,CTLA4,9606,associate
procyanidin B1,CP09137603,GUSB,9606,associate
procyanidin B1,CP09137603,ARSH,9606,associate
procyanidin B1,CP09137603,POLB,9606,associate
procyanidin B1,CP09137603,USP28,9606,associate
procyanidin B1,CP09137603,TRO,9606,associate
procyanidin B1,CP09137603,PCDHB4,9606,associate
procyanidin B1,CP09137603,USP18,9606,associate
procyanidin B1,CP09137603,IL2RB,9606,associate
procyanidin B1,CP09137603,FERMT1,9606,associate
procyanidin B1,CP09137603,ACOT8,9606,associate
procyanidin B1,CP09137603,CPQ,9606,associate
procyanidin B1,CP09137603,TFR2,9606,associate
procyanidin B1,CP09137603,NEK9,9606,associate
procyanidin B1,CP09137603,MAGEA9,9606,associate
procyanidin B1,CP09137603,MAGEA10,9606,associate
procyanidin B1,CP09137603,PDGFRL,9606,associate
procyanidin B1,CP09137603,FOLH1,9606,associate
procyanidin B1,CP09137603,RCBTB1,9606,associate
procyanidin B1,CP09137603,HERC2,9606,associate
procyanidin B1,CP09137603,ALS2,9606,associate
procyanidin B1,CP09137603,SERGEF,9606,associate
procyanidin B1,CP09137603,MAGEA4,9606,associate
procyanidin B1,CP09137603,FERMT3,9606,associate
procyanidin B1,CP09137603,USP25,9606,associate
procyanidin B1,CP09137603,MAGEC1,9606,associate
procyanidin B1,CP09137603,MAGEA8,9606,associate
procyanidin B1,CP09137603,CCT3,9606,associate
procyanidin B1,CP09137603,MAGEC3,9606,associate
procyanidin B1,CP09137603,CD2BP2,9606,associate
procyanidin B1,CP09137603,USP48,9606,associate
procyanidin B1,CP09137603,MAGEB18,9606,associate
procyanidin B1,CP09137603,MAGEF1,9606,associate
procyanidin B1,CP09137603,POLE,9606,associate
procyanidin B1,CP09137603,MAF,9606,associate
procyanidin B1,CP09137603,MAGEA6,9606,associate
procyanidin B1,CP09137603,NSMCE3,9606,associate
procyanidin B1,CP09137603,MAGEA2B,9606,associate
procyanidin B1,CP09137603,PRDX6,9606,associate
procyanidin B1,CP09137603,FERMT2,9606,associate
procyanidin B1,CP09137603,USP7,9606,associate
procyanidin B1,CP09137603,MAGEH1,9606,associate
procyanidin B1,CP09137603,RCBTB2,9606,associate
procyanidin B1,CP09137603,MAFF,9606,associate
procyanidin B1,CP09137603,MAGEA11,9606,associate
procyanidin B1,CP09137603,MAGEA1,9606,associate
procyanidin B1,CP09137603,SCRIB,9606,associate
procyanidin B1,CP09137603,MAGEA12,9606,associate
procyanidin B1,CP09137603,NAALADL1,9606,associate
procyanidin B1,CP09137603,MAGEC2,9606,associate
procyanidin B1,CP09137603,MAGEE1,9606,associate
procyanidin B1,CP09137603,MAGEB3,9606,associate
procyanidin B1,CP09137603,TRAF3IP2,9606,associate
procyanidin B1,CP09137603,OAT,9606,associate
procyanidin B1,CP09137603,MAGEA3,9606,associate
procyanidin B1,CP09137603,MAFB,9606,associate
procyanidin B1,CP09137603,MAGEE2,9606,associate
procyanidin B1,CP09137603,RCC1,9606,associate
procyanidin B1,CP09137603,MAGED4,9606,associate
procyanidin B1,CP09137603,MAGED1,9606,associate
procyanidin B1,CP09137603,MAGEB1,9606,associate
procyanidin B1,CP09137603,MAGEB4,9606,associate
procyanidin B1,CP09137603,MAGEB2,9606,associate
procyanidin B1,CP09137603,MAGEB10,9606,associate
procyanidin B1,CP09137603,MAGEB6,9606,associate
procyanidin B1,CP09137603,POLA1,9606,associate
procyanidin B1,CP09137603,S100G,9606,associate
procyanidin B1,CP09137603,RCCD1,9606,associate
procyanidin B1,CP09137603,NAGA,9606,associate
procyanidin B1,CP09137603,NRL,9606,associate
procyanidin B1,CP09137603,MAGEB16,9606,associate
procyanidin B1,CP09137603,MAGEB17,9606,associate
procyanidin B1,CP09137603,HERC1,9606,associate
procyanidin B1,CP09137603,NAALADL2,9606,associate
procyanidin B1,CP09137603,NAALAD2,9606,associate
procyanidin B1,CP09137603,HECTD4,9606,associate
procyanidin B1,CP09137603,MMP9,9606,associate
procyanidin B1,CP09137603,MMP2,9606,associate
procyanidin B1,CP09137603,VEGFA,9606,associate
procyanidin B1,CP09137603,PGF,9606,associate
procyanidin B1,CP09137603,CA12,9606,associate
procyanidin B1,CP09137603,CA5B,9606,associate
procyanidin B1,CP09137603,CA2,9606,associate
procyanidin B1,CP09137603,CA1,9606,associate
procyanidin B1,CP09137603,ALPL,9606,associate
procyanidin B1,CP09137603,CA7,9606,associate
procyanidin B1,CP09137603,CA5A,9606,associate
procyanidin B1,CP09137603,CA9,9606,associate
procyanidin B1,CP09137603,CA3,9606,associate
procyanidin B1,CP09137603,CA4,9606,associate
procyanidin B1,CP09137603,CA6,9606,associate
procyanidin B1,CP09137603,PTGS1,9606,associate
procyanidin B1,CP09137603,BACE1,9606,associate
procyanidin B1,CP09137603,SLCO1B1,9606,associate
procyanidin B1,CP09137603,BCL2,9606,associate
procyanidin B1,CP09137603,CYP19A1,9606,associate
procyanidin B1,CP09137603,HSP90AA1,9606,associate
procyanidin B1,CP09137603,FUCA1,9606,associate
procyanidin B1,CP09137603,GBA,9606,associate
procyanidin B1,CP09137603,ALOX12,9606,associate
procyanidin B1,CP09137603,RBP4,9606,associate
procyanidin B1,CP09137603,NR1I2,9606,associate
procyanidin B1,CP09137603,PTGER2,9606,associate
procyanidin B1,CP09137603,TLR7,9606,associate
procyanidin B1,CP09137603,ESR1,9606,associate
procyanidin B1,CP09137603,DRD2,9606,associate
procyanidin B1,CP09137603,SLC5A2,9606,associate
procyanidin B1,CP09137603,GRM5,9606,associate
procyanidin B1,CP09137603,HTR1A,9606,associate
procyanidin B1,CP09137603,AURKB,9606,associate
procyanidin B1,CP09137603,HSD11B1,9606,associate
procyanidin B1,CP09137603,MMP1,9606,associate
procyanidin B1,CP09137603,TGFBR2,9606,associate
procyanidin B1,CP09137603,STK4,9606,associate
procyanidin B1,CP09137603,VCAM1,9606,associate
procyanidin B1,CP09137603,ADCY1,9606,associate
procyanidin B1,CP09137603,ADAMTS4,9606,associate
procyanidin B1,CP09137603,CFTR,9606,associate
procyanidin B1,CP09137603,CYP11B2,9606,associate
procyanidin B1,CP09137603,GGPS1,9606,associate
procyanidin B1,CP09137603,CACNA1B,9606,associate
procyanidin B1,CP09137603,FGF1,9606,associate
procyanidin B1,CP09137603,FCER2,9606,associate
procyanidin B1,CP09137603,FOLR1,9606,associate
procyanidin B1,CP09137603,ALOX5AP,9606,associate
procyanidin B1,CP09137603,PDK2,9606,associate
