Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
quercetin 7-O-glucoside,CP04451041,XDH,9913,associate
quercetin 7-O-glucoside,CP04451041,CA11,9606,associate
quercetin 7-O-glucoside,CP04451041,CA12,9606,associate
quercetin 7-O-glucoside,CP04451041,UMPS,9606,associate
quercetin 7-O-glucoside,CP04451041,GCM1,9606,associate
quercetin 7-O-glucoside,CP04451041,CA10,9606,associate
quercetin 7-O-glucoside,CP04451041,CA2,9606,associate
quercetin 7-O-glucoside,CP04451041,CA3,9606,associate
quercetin 7-O-glucoside,CP04451041,MRPS18C,9606,associate
quercetin 7-O-glucoside,CP04451041,CA4,9606,associate
quercetin 7-O-glucoside,CP04451041,CA5B,9606,associate
quercetin 7-O-glucoside,CP04451041,CA8,9606,associate
quercetin 7-O-glucoside,CP04451041,CA13,9606,associate
quercetin 7-O-glucoside,CP04451041,CA7,9606,associate
quercetin 7-O-glucoside,CP04451041,TAT,9606,associate
quercetin 7-O-glucoside,CP04451041,CA14,9606,associate
quercetin 7-O-glucoside,CP04451041,MRPS18A,9606,associate
quercetin 7-O-glucoside,CP04451041,CA6,9606,associate
quercetin 7-O-glucoside,CP04451041,CA9,9606,associate
quercetin 7-O-glucoside,CP04451041,GCM2,9606,associate
quercetin 7-O-glucoside,CP04451041,PTPRZ1,9606,associate
quercetin 7-O-glucoside,CP04451041,BRD2,9606,associate
quercetin 7-O-glucoside,CP04451041,PTPRG,9606,associate
quercetin 7-O-glucoside,CP04451041,XDH,9913,inhibit
quercetin 7-O-glucoside,CP04451041,XDH,9606,associate
quercetin 7-O-glucoside,CP04451041,AKR1B1,9606,associate
quercetin 7-O-glucoside,CP04451041,NOX4,9606,associate
quercetin 7-O-glucoside,CP04451041,TNF,9606,associate
quercetin 7-O-glucoside,CP04451041,ADRA2C,9606,associate
quercetin 7-O-glucoside,CP04451041,ACHE,9606,associate
quercetin 7-O-glucoside,CP04451041,AKT1,9606,associate
quercetin 7-O-glucoside,CP04451041,ALPI,9606,associate
quercetin 7-O-glucoside,CP04451041,PYGL,9606,associate
quercetin 7-O-glucoside,CP04451041,DRD4,9606,associate
quercetin 7-O-glucoside,CP04451041,PTK2,9606,associate
quercetin 7-O-glucoside,CP04451041,F2,9606,associate
quercetin 7-O-glucoside,CP04451041,CCR4,9606,associate
quercetin 7-O-glucoside,CP04451041,MMP2,9606,associate
quercetin 7-O-glucoside,CP04451041,MMP9,9606,associate
quercetin 7-O-glucoside,CP04451041,CYP19A1,9606,associate
quercetin 7-O-glucoside,CP04451041,SRC,9606,associate
quercetin 7-O-glucoside,CP04451041,PKN1,9606,associate
quercetin 7-O-glucoside,CP04451041,EGFR,9606,associate
quercetin 7-O-glucoside,CP04451041,ALK,9606,associate
quercetin 7-O-glucoside,CP04451041,AXL,9606,associate
quercetin 7-O-glucoside,CP04451041,NUAK1,9606,associate
