Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
quercetin,CP04449797,LCK,9606,inhibit
quercetin,CP04449797,EGFR,9606,inhibit
quercetin,CP04449797,ADORA3,9606,inhibit
quercetin,CP04449797,XDH,9606,inhibit
quercetin,CP04449797,ABCC1,9606,inhibit
quercetin,CP04449797,PTPN1,9606,inhibit
quercetin,CP04449797,CSNK2A1,9606,inhibit
quercetin,CP04449797,CDK6,9606,inhibit
quercetin,CP04449797,PIM1,9606,inhibit
quercetin,CP04449797,CDK2,9606,inhibit
quercetin,CP04449797,ALOX5,9606,inhibit
quercetin,CP04449797,PTGS2,9606,inhibit
quercetin,CP04449797,ALOX12,9606,inhibit
quercetin,CP04449797,ALOX15,9606,inhibit
quercetin,CP04449797,PIK3R1,9606,inhibit
quercetin,CP04449797,PLA2G1B,9606,inhibit
quercetin,CP04449797,AKR1B1,9606,inhibit
quercetin,CP04449797,GLO1,9606,inhibit
quercetin,CP04449797,HSD17B2,9606,inhibit
quercetin,CP04449797,PREP,9606,inhibit
quercetin,CP04449797,DPP4,9606,inhibit
quercetin,CP04449797,PLK1,9606,inhibit
quercetin,CP04449797,SRC,9606,inhibit
quercetin,CP04449797,MAOA,9606,inhibit
quercetin,CP04449797,CA4,9606,inhibit
quercetin,CP04449797,CA3,9606,inhibit
quercetin,CP04449797,CA2,9606,inhibit
quercetin,CP04449797,CA1,9606,inhibit
quercetin,CP04449797,CA5A,9606,inhibit
quercetin,CP04449797,CA5B,9606,inhibit
quercetin,CP04449797,CA6,9606,inhibit
quercetin,CP04449797,CA7,9606,inhibit
quercetin,CP04449797,CA9,9606,inhibit
quercetin,CP04449797,CA12,9606,inhibit
quercetin,CP04449797,CA14,9606,inhibit
quercetin,CP04449797,DRD4,9606,inhibit
quercetin,CP04449797,CYP19A1,9606,inhibit
quercetin,CP04449797,CDK1,9606,inhibit
quercetin,CP04449797,CYP1A2,9606,inhibit
quercetin,CP04449797,CYP1A1,9606,inhibit
quercetin,CP04449797,CYP1B1,9606,inhibit
quercetin,CP04449797,NOX4,9606,inhibit
quercetin,CP04449797,ABCG2,9606,inhibit
quercetin,CP04449797,CD38,9606,inhibit
quercetin,CP04449797,CAMK2B,9606,inhibit
quercetin,CP04449797,SYK,9606,inhibit
quercetin,CP04449797,CYP2D6,9606,inhibit
quercetin,CP04449797,CYP2C19,9606,inhibit
quercetin,CP04449797,CYP2C9,9606,inhibit
quercetin,CP04449797,CYP3A4,9606,inhibit
quercetin,CP04449797,CYP2C8,9606,inhibit
quercetin,CP04449797,MMP2,9606,inhibit
quercetin,CP04449797,MMP3,9606,inhibit
quercetin,CP04449797,MMP9,9606,inhibit
quercetin,CP04449797,MMP12,9606,inhibit
quercetin,CP04449797,MMP13,9606,inhibit
quercetin,CP04449797,MPO,9606,inhibit
quercetin,CP04449797,FLT3,9606,inhibit
quercetin,CP04449797,CXCR1,9606,inhibit
quercetin,CP04449797,KDR,9606,inhibit
quercetin,CP04449797,PKN1,9606,inhibit
quercetin,CP04449797,NEK6,9606,inhibit
quercetin,CP04449797,NEK2,9606,inhibit
quercetin,CP04449797,MET,9606,inhibit
quercetin,CP04449797,IGF1R,9606,inhibit
quercetin,CP04449797,PTK2,9606,inhibit
quercetin,CP04449797,AXL,9606,inhibit
quercetin,CP04449797,AURKB,9606,inhibit
quercetin,CP04449797,NUAK1,9606,inhibit
quercetin,CP04449797,ALK,9606,inhibit
quercetin,CP04449797,AKT1,9606,inhibit
quercetin,CP04449797,F2,9606,inhibit
quercetin,CP04449797,EPHX2,9606,inhibit
quercetin,CP04449797,GPR35,9606,inhibit
quercetin,CP04449797,PIK3CG,9606,inhibit
quercetin,CP04449797,PYGL,9606,inhibit
quercetin,CP04449797,BACE1,9606,inhibit
quercetin,CP04449797,DAPK1,9606,inhibit
quercetin,CP04449797,APP,9606,inhibit
quercetin,CP04449797,GSK3B,9606,inhibit
quercetin,CP04449797,ACHE,9606,inhibit
quercetin,CP04449797,LMNA,9606,associate
quercetin,CP04449797,NFKB1,9606,associate
quercetin,CP04449797,RECQL,9606,associate
quercetin,CP04449797,GALK1,9606,associate
quercetin,CP04449797,KDM4E,9606,associate
quercetin,CP04449797,KMT2A,9606,associate
quercetin,CP04449797,LOC110245663,1720309,associate
quercetin,CP04449797,TSHR,9606,associate
quercetin,CP04449797,TDP1,9606,associate
quercetin,CP04449797,MAPT,9606,associate
quercetin,CP04449797,THRB,9606,associate
quercetin,CP04449797,ALDH1A1,9606,associate
quercetin,CP04449797,HIF1A,9606,associate
quercetin,CP04449797,PMP22,9606,associate
quercetin,CP04449797,MAPK1,9606,associate
quercetin,CP04449797,USP2,9606,associate
quercetin,CP04449797,STAT6,9606,associate
quercetin,CP04449797,APEX1,9606,associate
quercetin,CP04449797,BLM,9606,associate
quercetin,CP04449797,HPGD,9606,associate
quercetin,CP04449797,HSD17B10,9606,associate
quercetin,CP04449797,TP53,9606,associate
quercetin,CP04449797,NPSR1,9606,associate
quercetin,CP04449797,POLB,9606,associate
quercetin,CP04449797,GAA,9606,associate
quercetin,CP04449797,HCK,9606,associate
quercetin,CP04449797,FTL,9796,associate
quercetin,CP04449797,OXTR,9606,associate
quercetin,CP04449797,ampC,511145,associate
quercetin,CP04449797,PfM18AAP,36329,inhibit
quercetin,CP04449797,CTSL,9606,inhibit
quercetin,CP04449797,KDM4A,9606,associate
quercetin,CP04449797,SV40gp6,1891767,associate
quercetin,CP04449797,SV40gp6,1891767,inhibit
quercetin,CP04449797,BAZ2B,9606,associate
quercetin,CP04449797,ATAD5,9606,associate
quercetin,CP04449797,FEN1,9606,associate
quercetin,CP04449797,POLI,9606,associate
quercetin,CP04449797,POLH,9606,associate
quercetin,CP04449797,POLK,9606,associate
quercetin,CP04449797,LMP1,10376,associate
quercetin,CP04449797,GMNN,9606,associate
quercetin,CP04449797,WRN,9606,associate
quercetin,CP04449797,PIN1,9606,associate
quercetin,CP04449797,ERG,9606,associate
quercetin,CP04449797,IDH1,9606,associate
quercetin,CP04449797,PGKC,185431,associate
quercetin,CP04449797,USP1,9606,associate
quercetin,CP04449797,PTH1R,9606,associate
quercetin,CP04449797,MBNL1,9606,associate
quercetin,CP04449797,RAPGEF3,9606,associate
quercetin,CP04449797,FGFR2,9606,associate
quercetin,CP04449797,MPG,9606,associate
quercetin,CP04449797,Akr1b1,10116,inhibit
quercetin,CP04449797,Akr1a1,10116,inhibit
quercetin,CP04449797,SORD,9606,inhibit
quercetin,CP04449797,GLR1,559292,inhibit
quercetin,CP04449797,ANPEP,9823,associate
quercetin,CP04449797,Mme,10116,associate
quercetin,CP04449797,Egfr,10090,associate
quercetin,CP04449797,Alox5,10116,inhibit
quercetin,CP04449797,GSR,9606,inhibit
quercetin,CP04449797,Akr7a3,10116,associate
quercetin,CP04449797,ALOX5,9606,associate
quercetin,CP04449797,CCND1,9606,inhibit
quercetin,CP04449797,CCNB1,9606,inhibit
quercetin,CP04449797,Pde1b,10116,inhibit
quercetin,CP04449797,Pde2a,10116,inhibit
quercetin,CP04449797,AKR1B1,9606,associate
quercetin,CP04449797,PTGS1,9606,associate
quercetin,CP04449797,ampC,511145,inhibit
quercetin,CP04449797,CTRB1,9606,inhibit
quercetin,CP04449797,Adora1,10116,inhibit
quercetin,CP04449797,Adora2a,10116,inhibit
quercetin,CP04449797,TYR,9606,associate
quercetin,CP04449797,AKR1B1,9986,associate
quercetin,CP04449797,gyrA,511145,inhibit
quercetin,CP04449797,TOP2B,9606,associate
quercetin,CP04449797,CTRC,9606,inhibit
quercetin,CP04449797,CDK5R1,9606,inhibit
quercetin,CP04449797,CCNB2,9606,inhibit
quercetin,CP04449797,PIM1,9606,associate
quercetin,CP04449797,fabI,511145,inhibit
quercetin,CP04449797,ALOX15B,9606,inhibit
quercetin,CP04449797,Akr1c21,10090,inhibit
quercetin,CP04449797,PDE5A,9606,associate
quercetin,CP04449797,AKR1B1,9823,inhibit
quercetin,CP04449797,XDH,9606,associate
quercetin,CP04449797,PTGS2,9606,associate
quercetin,CP04449797,Cdk5,10116,associate
quercetin,CP04449797,ABCC2,9606,associate
quercetin,CP04449797,TOP2A,9606,associate
quercetin,CP04449797,TOP2A,9606,inhibit
quercetin,CP04449797,HSD17B1,9606,associate
quercetin,CP04449797,HSD17B2,9606,associate
quercetin,CP04449797,AKR1A1,9823,inhibit
quercetin,CP04449797,CYP2C8,9606,associate
quercetin,CP04449797,MAOA,9913,inhibit
quercetin,CP04449797,MAOB,9913,inhibit
quercetin,CP04449797,HTR1A,9606,associate
quercetin,CP04449797,XDH,9913,associate
quercetin,CP04449797,XDH,9913,inhibit
quercetin,CP04449797,orf1ab,227859,inhibit
quercetin,CP04449797,BCHE,9606,inhibit
quercetin,CP04449797,PPARG,9606,associate
quercetin,CP04449797,HIF1AN,9606,inhibit
quercetin,CP04449797,MAOB,9606,inhibit
quercetin,CP04449797,Car13,10090,inhibit
quercetin,CP04449797,NEU2,9606,inhibit
quercetin,CP04449797,NA,211044,inhibit
quercetin,CP04449797,VC1784,243277,associate
quercetin,CP04449797,HSD11B1,9606,associate
quercetin,CP04449797,NOX4,9606,associate
quercetin,CP04449797,PIK3CA,9913,associate
quercetin,CP04449797,CHEK1,9606,associate
quercetin,CP04449797,LCK,9606,associate
quercetin,CP04449797,CSNK2A2,9606,associate
quercetin,CP04449797,Rock2,10116,associate
quercetin,CP04449797,GSK3B,9606,associate
quercetin,CP04449797,RPS6KB1,9606,associate
quercetin,CP04449797,SGK1,9606,associate
quercetin,CP04449797,AKT1,9606,associate
quercetin,CP04449797,PDK1,9606,associate
quercetin,CP04449797,PRKCA,9606,associate
quercetin,CP04449797,MAPKAPK5,9606,associate
quercetin,CP04449797,RPS6KA5,9606,associate
quercetin,CP04449797,MAPKAPK2,9606,associate
quercetin,CP04449797,MAPK13,9606,associate
quercetin,CP04449797,MAPK12,9606,associate
quercetin,CP04449797,MAPK11,9606,associate
quercetin,CP04449797,MAPK14,9606,associate
quercetin,CP04449797,MAPK8,9606,associate
quercetin,CP04449797,CD38,9606,associate
quercetin,CP04449797,CYP2C19,9606,associate
quercetin,CP04449797,Impa1,10116,associate
