Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
rutin,CP04450096,ADRA2C,9606,inhibit
rutin,CP04450096,ADRA2A,9606,inhibit
rutin,CP04450096,EPHX2,9606,inhibit
rutin,CP04450096,NMUR2,9606,associate
rutin,CP04450096,ACHE,9606,inhibit
rutin,CP04450096,KDM4E,9606,associate
rutin,CP04450096,MAPT,9606,associate
rutin,CP04450096,MAPK1,9606,associate
rutin,CP04450096,POLB,9606,associate
rutin,CP04450096,GAA,9606,associate
rutin,CP04450096,P4HB,9606,associate
rutin,CP04450096,AKR1C3,9606,associate
rutin,CP04450096,PTGS2,9606,associate
rutin,CP04450096,Adora1,10116,associate
rutin,CP04450096,XDH,9606,inhibit
rutin,CP04450096,Akr1b1,10116,inhibit
rutin,CP04450096,CYP3A4,9606,inhibit
rutin,CP04450096,PREP,9606,inhibit
rutin,CP04450096,DPP4,9606,inhibit
rutin,CP04450096,BCHE,9606,inhibit
rutin,CP04450096,NA,211044,inhibit
rutin,CP04450096,Smp_048430,6183,associate
rutin,CP04450096,MBNL1,9606,associate
rutin,CP04450096,EHMT2,9606,associate
rutin,CP04450096,POLK,9606,associate
rutin,CP04450096,ESR1,9606,associate
rutin,CP04450096,ABCG2,9606,associate
rutin,CP04450096,ABCC1,9606,associate
rutin,CP04450096,ACP1,9913,associate
rutin,CP04450096,PRSS3,9606,inhibit
rutin,CP04450096,PRSS3,9606,associate
rutin,CP04450096,ALB,9913,inhibit
rutin,CP04450096,Acp5,10090,associate
rutin,CP04450096,NFE2L2,9606,associate
rutin,CP04450096,APEX1,9606,associate
rutin,CP04450096,EPHX2,9606,associate
rutin,CP04450096,CBX1,9606,associate
rutin,CP04450096,Dyrk1a,10116,associate
rutin,CP04450096,GMNN,9606,associate
rutin,CP04450096,GLS,9606,associate
rutin,CP04450096,ATXN2,9606,associate
rutin,CP04450096,LOC110236778,1720309,inhibit
rutin,CP04450096,LOC108260662,7998,inhibit
rutin,CP04450096,LOC105263134,64838,inhibit
rutin,CP04450096,LOC110237507,1720309,inhibit
rutin,CP04450096,drd5.S,8355,inhibit
rutin,CP04450096,PRSS21,9606,associate
rutin,CP04450096,KLK14,9606,associate
rutin,CP04450096,PRSS22,9606,associate
