Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
theogallin,CP00369758,MYL12A,9606,associate
theogallin,CP00369758,MYL9,9606,associate
theogallin,CP00369758,MYLPF,9606,associate
theogallin,CP00369758,SERPINE1,9606,associate
theogallin,CP00369758,SLCO1B1,9606,associate
theogallin,CP00369758,SLCO1B3,9606,associate
theogallin,CP00369758,AKR1B1,9606,associate
theogallin,CP00369758,SELP,9606,associate
theogallin,CP00369758,ABCB1,9606,associate
theogallin,CP00369758,AKR1B10,9606,associate
theogallin,CP00369758,PRKCE,9606,associate
theogallin,CP00369758,SELL,9606,associate
theogallin,CP00369758,CHRM3,9606,associate
theogallin,CP00369758,CA9,9606,associate
theogallin,CP00369758,MMP2,9606,associate
theogallin,CP00369758,CA4,9606,associate
theogallin,CP00369758,GRM2,9606,associate
theogallin,CP00369758,POLB,9606,associate
theogallin,CP00369758,CYP3A4,9606,associate
theogallin,CP00369758,TERT,9606,associate
theogallin,CP00369758,CA5A,9606,associate
theogallin,CP00369758,GRM1,9606,associate
theogallin,CP00369758,FYN,9606,associate
theogallin,CP00369758,CA2,9606,associate
theogallin,CP00369758,MMP12,9606,associate
theogallin,CP00369758,OPRD1,9606,associate
theogallin,CP00369758,DNMT1,9606,associate
theogallin,CP00369758,BACE1,9606,associate
theogallin,CP00369758,MMP13,9606,associate
theogallin,CP00369758,CHRM2,9606,associate
theogallin,CP00369758,PDK2,9606,associate
theogallin,CP00369758,STS,9606,associate
theogallin,CP00369758,NR1H4,9606,associate
theogallin,CP00369758,CA1,9606,associate
theogallin,CP00369758,CA7,9606,associate
theogallin,CP00369758,F10,9606,associate
theogallin,CP00369758,RIPK1,9606,associate
theogallin,CP00369758,PRKCD,9606,associate
theogallin,CP00369758,NR1I2,9606,associate
theogallin,CP00369758,PTGS1,9606,associate
theogallin,CP00369758,KIT,9606,associate
theogallin,CP00369758,MGAM,9606,associate
theogallin,CP00369758,PTGIR,9606,associate
theogallin,CP00369758,PTGFR,9606,associate
theogallin,CP00369758,STAT1,9606,associate
theogallin,CP00369758,BCL2,9606,associate
theogallin,CP00369758,FGFR1,9606,associate
theogallin,CP00369758,ESR2,9606,associate
theogallin,CP00369758,CA5B,9606,associate
theogallin,CP00369758,PTPN1,9606,associate
theogallin,CP00369758,AR,9606,associate
theogallin,CP00369758,ALPPL2,9606,associate
theogallin,CP00369758,NPY5R,9606,associate
theogallin,CP00369758,SLC6A4,9606,associate
theogallin,CP00369758,OPRM1,9606,associate
theogallin,CP00369758,CYP2C9,9606,associate
theogallin,CP00369758,SELE,9606,associate
theogallin,CP00369758,MAPK14,9606,associate
theogallin,CP00369758,CHRM1,9606,associate
theogallin,CP00369758,TOP1,9606,associate
theogallin,CP00369758,CYP19A1,9606,associate
theogallin,CP00369758,ABCC1,9606,associate
theogallin,CP00369758,SENP7,9606,associate
theogallin,CP00369758,KCNH2,9606,associate
theogallin,CP00369758,PPARA,9606,associate
theogallin,CP00369758,PRKCZ,9606,associate
theogallin,CP00369758,PRKCA,9606,associate
theogallin,CP00369758,SI,9606,associate
theogallin,CP00369758,FUCA1,9606,associate
theogallin,CP00369758,MET,9606,associate
theogallin,CP00369758,MMP3,9606,associate
theogallin,CP00369758,GPR55,9606,associate
theogallin,CP00369758,POLA1,9606,associate
theogallin,CP00369758,RARA,9606,associate
theogallin,CP00369758,ABL1,9606,associate
theogallin,CP00369758,GBA,9606,associate
theogallin,CP00369758,DYRK1A,9606,associate
theogallin,CP00369758,ALOX5,9606,associate
theogallin,CP00369758,PTPN2,9606,associate
theogallin,CP00369758,AVPR2,9606,associate
theogallin,CP00369758,CA12,9606,associate
theogallin,CP00369758,TGFBR2,9606,associate
theogallin,CP00369758,STK4,9606,associate
theogallin,CP00369758,VCAM1,9606,associate
theogallin,CP00369758,ADCY1,9606,associate
theogallin,CP00369758,ADAMTS4,9606,associate
theogallin,CP00369758,CFTR,9606,associate
theogallin,CP00369758,CYP11B2,9606,associate
theogallin,CP00369758,GGPS1,9606,associate
theogallin,CP00369758,CACNA1B,9606,associate
theogallin,CP00369758,FGF1,9606,associate
theogallin,CP00369758,FCER2,9606,associate
theogallin,CP00369758,FOLR1,9606,associate
theogallin,CP00369758,ALOX5AP,9606,associate
theogallin,CP00369758,PHOSPHO1,9606,associate
theogallin,CP00369758,TMPRSS11D,9606,associate
theogallin,CP00369758,TMPRSS6,9606,associate
theogallin,CP00369758,ITGA4,9606,associate
theogallin,CP00369758,SSTR3,9606,associate
theogallin,CP00369758,SSTR5,9606,associate
theogallin,CP00369758,WNT3A,9606,associate
theogallin,CP00369758,PDE1B,9606,associate
