Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
theophylline,CP00001981,ADORA2B,9606,inhibit
theophylline,CP00001981,ADA,9606,associate
theophylline,CP00001981,ADORA1,9606,associate
theophylline,CP00001981,ADORA2A,9606,associate
theophylline,CP00001981,ADORA2B,9606,associate
theophylline,CP00001981,ADORA1,9606,inhibit
theophylline,CP00001981,ADORA2A,9606,inhibit
theophylline,CP00001981,HIF1A,9606,associate
theophylline,CP00001981,Pde4a,10116,inhibit
theophylline,CP00001981,PDE4C,9606,associate
theophylline,CP00001981,Adora1,10116,inhibit
theophylline,CP00001981,Adora2a,10116,inhibit
theophylline,CP00001981,PDE1C,9606,inhibit
theophylline,CP00001981,PDE3B,9606,inhibit
theophylline,CP00001981,PDE4C,9606,inhibit
theophylline,CP00001981,Adora1,10141,inhibit
theophylline,CP00001981,PDE1B,9913,associate
theophylline,CP00001981,PDE1C,9606,associate
theophylline,CP00001981,PDE2A,9913,associate
theophylline,CP00001981,PDE3B,9606,associate
theophylline,CP00001981,PDE5A,9606,associate
theophylline,CP00001981,Adora1,10141,associate
theophylline,CP00001981,Adora2a,10141,inhibit
theophylline,CP00001981,ADORA1,9913,inhibit
theophylline,CP00001981,SCN3A,9606,associate
theophylline,CP00001981,ADORA3,9606,inhibit
theophylline,CP00001981,Adora1,10116,associate
theophylline,CP00001981,Adora2a,10116,associate
theophylline,CP00001981,Adora2b,10090,associate
theophylline,CP00001981,Adora2b,10116,inhibit
theophylline,CP00001981,PDE2A,9606,inhibit
theophylline,CP00001981,ADCY1,9606,associate
theophylline,CP00001981,PDE1A,9913,inhibit
theophylline,CP00001981,ADORA3,9606,associate
theophylline,CP00001981,ALPL,9606,inhibit
theophylline,CP00001981,PTGS2,9606,associate
theophylline,CP00001981,SLC22A1,9606,associate
theophylline,CP00001981,PLAA,9606,inhibit
theophylline,CP00001981,ALPI,9606,inhibit
theophylline,CP00001981,Impa1,10116,associate
theophylline,CP00001981,pxo1_107,1392,associate
theophylline,CP00001981,EHMT2,9606,associate
theophylline,CP00001981,BAZ2B,9606,associate
theophylline,CP00001981,LARP6,9606,inhibit
theophylline,CP00001981,Pmp22,10116,associate
theophylline,CP00001981,GMNN,9606,associate
theophylline,CP00001981,RORC,9606,associate
theophylline,CP00001981,ERG,9606,associate
theophylline,CP00001981,SLCO2B1,9606,associate
theophylline,CP00001981,SLCO1B3,9606,associate
theophylline,CP00001981,SLCO1B1,9606,associate
theophylline,CP00001981,PDE7B,9913,associate
theophylline,CP00001981,PDE7B,9913,inhibit
theophylline,CP00001981,TARDBP,9606,associate
theophylline,CP00001981,IDH1,9606,associate
theophylline,CP00001981,USP1,9606,associate
theophylline,CP00001981,AR,9606,associate
theophylline,CP00001981,NFE2L2,9606,associate
theophylline,CP00001981,ARSA,9606,associate
theophylline,CP00001981,GNAS,9606,associate
theophylline,CP00001981,PIK3CD,9606,inhibit
theophylline,CP00001981,PIK3CA,9606,inhibit
theophylline,CP00001981,PIK3CB,9606,inhibit
theophylline,CP00001981,PIK3CG,9606,inhibit
theophylline,CP00001981,TMIGD3,9606,inhibit
theophylline,CP00001981,ABCC2,9986,inhibit
theophylline,CP00001981,PDE4B,9606,associate
theophylline,CP00001981,PDE4A,9606,associate
theophylline,CP00001981,PDE3A,9606,associate
theophylline,CP00001981,HDAC2,9606,associate
theophylline,CP00001981,PRSS21,9606,associate
theophylline,CP00001981,CD4,9606,associate
theophylline,CP00001981,KLK14,9606,associate
theophylline,CP00001981,PRSS22,9606,associate
theophylline,CP00001981,HSD17B10,9606,associate
theophylline,CP00001981,DRD4,9606,associate
theophylline,CP00001981,RPL6,9606,associate
theophylline,CP00001981,ESR1,9606,associate
theophylline,CP00001981,TPSD1,9606,associate
theophylline,CP00001981,SNRPD3,9606,associate
theophylline,CP00001981,TCN2,9606,associate
theophylline,CP00001981,DMC1,9606,associate
theophylline,CP00001981,ACR,9606,associate
theophylline,CP00001981,ADSL,9606,associate
theophylline,CP00001981,UPK3A,9606,associate
theophylline,CP00001981,CTSG,9606,associate
theophylline,CP00001981,GZMH,9606,associate
theophylline,CP00001981,GZMB,9606,associate
theophylline,CP00001981,EIF5,9606,associate
theophylline,CP00001981,NFKBIA,9606,associate
theophylline,CP00001981,F9,9606,associate
theophylline,CP00001981,ATP12A,9606,associate
theophylline,CP00001981,NUTF2,9606,associate
theophylline,CP00001981,PRSS54,9606,associate
theophylline,CP00001981,PLAT,9606,associate
theophylline,CP00001981,EIF3E,9606,associate
theophylline,CP00001981,SLC5A5,9606,associate
theophylline,CP00001981,HGF,9606,associate
theophylline,CP00001981,BLNK,9606,associate
theophylline,CP00001981,MPO,9606,associate
theophylline,CP00001981,CSF3,9606,associate
theophylline,CP00001981,RANGRF,9606,associate
theophylline,CP00001981,ALDOC,9606,associate
theophylline,CP00001981,JADE1,9606,associate
theophylline,CP00001981,IFNG,9606,associate
theophylline,CP00001981,IYD,9606,associate
theophylline,CP00001981,GZMK,9606,associate
theophylline,CP00001981,IL12B,9606,associate
theophylline,CP00001981,IL4,9606,associate
theophylline,CP00001981,IL5,9606,associate
theophylline,CP00001981,NR3C1,9606,associate
theophylline,CP00001981,LTF,9606,associate
theophylline,CP00001981,UMPS,9606,associate
theophylline,CP00001981,IGFBP5,9606,associate
theophylline,CP00001981,AZU1,9606,associate
theophylline,CP00001981,PROC,9606,associate
theophylline,CP00001981,PRTN3,9606,associate
theophylline,CP00001981,SARS,9606,associate
theophylline,CP00001981,TPSG1,9606,associate
theophylline,CP00001981,RDH10,9606,associate
theophylline,CP00001981,GSTM2,9606,associate
theophylline,CP00001981,MRPS2,9606,associate
theophylline,CP00001981,PDE1B,9606,associate
theophylline,CP00001981,SEC61A1,9606,associate
theophylline,CP00001981,LIPE,9606,associate
theophylline,CP00001981,SSR1,9606,associate
theophylline,CP00001981,HSPA2,9606,associate
theophylline,CP00001981,MON1B,9606,associate
theophylline,CP00001981,KLK12,9606,associate
theophylline,CP00001981,CMA1,9606,associate
theophylline,CP00001981,INS,9606,associate
theophylline,CP00001981,ALOX12,9606,associate
theophylline,CP00001981,CYP2E1,9606,associate
theophylline,CP00001981,EIF2S3,9606,associate
theophylline,CP00001981,F12,9606,associate
theophylline,CP00001981,GFPT2,9606,associate
theophylline,CP00001981,SNRPA1,9606,associate
theophylline,CP00001981,PTPRE,9606,associate
theophylline,CP00001981,POPDC3,9606,associate
theophylline,CP00001981,CRP,9606,associate
theophylline,CP00001981,CHI3L1,9606,associate
theophylline,CP00001981,IPO8,9606,associate
theophylline,CP00001981,IRAK2,9606,associate
theophylline,CP00001981,LPIN1,9606,associate
theophylline,CP00001981,SDS,9606,associate
theophylline,CP00001981,NMBR,9606,associate
theophylline,CP00001981,HTRA2,9606,associate
theophylline,CP00001981,IL6,9606,associate
theophylline,CP00001981,HUS1,9606,associate
theophylline,CP00001981,RPL35,9606,associate
theophylline,CP00001981,CYP2C9,9606,associate
theophylline,CP00001981,PPIG,9606,associate
theophylline,CP00001981,IRAK3,9606,associate
theophylline,CP00001981,MAN2A1,9606,associate
theophylline,CP00001981,LPIN2,9606,associate
theophylline,CP00001981,CHRNB4,9606,associate
theophylline,CP00001981,ARG2,9606,associate
theophylline,CP00001981,NEO1,9606,associate
theophylline,CP00001981,EIF4B,9606,associate
theophylline,CP00001981,PITPNM3,9606,associate
theophylline,CP00001981,ATP4A,9606,associate
theophylline,CP00001981,HPN,9606,associate
theophylline,CP00001981,CAPZA1,9606,associate
theophylline,CP00001981,ACTR3,9606,associate
theophylline,CP00001981,TYR,9606,associate
theophylline,CP00001981,EED,9606,associate
theophylline,CP00001981,ELANE,9606,associate
theophylline,CP00001981,OSBP,9606,associate
theophylline,CP00001981,POLR1A,9606,associate
theophylline,CP00001981,PIK3CA,9606,associate
theophylline,CP00001981,BCHE,9606,associate
theophylline,CP00001981,GZMM,9606,associate
theophylline,CP00001981,STAT3,9606,associate
theophylline,CP00001981,KLKB1,9606,associate
theophylline,CP00001981,POMC,9606,associate
theophylline,CP00001981,SSR3,9606,associate
theophylline,CP00001981,LEF1,9606,associate
theophylline,CP00001981,AHI1,9606,associate
theophylline,CP00001981,SMARCA2,9606,associate
theophylline,CP00001981,C1RL,9606,associate
theophylline,CP00001981,TMEM19,9606,associate
theophylline,CP00001981,KRT71,9606,associate
theophylline,CP00001981,SORD,9606,associate
theophylline,CP00001981,PRSS36,9606,associate
theophylline,CP00001981,AFG3L2,9606,associate
theophylline,CP00001981,TP53,9606,associate
theophylline,CP00001981,REN,9606,associate
theophylline,CP00001981,CALM2,9606,associate
theophylline,CP00001981,CLEC4F,9606,associate
theophylline,CP00001981,CORIN,9606,associate
theophylline,CP00001981,TRMT10A,9606,associate
theophylline,CP00001981,GZMA,9606,associate
theophylline,CP00001981,FARS2,9606,associate
theophylline,CP00001981,CHRNA6,9606,associate
theophylline,CP00001981,IFNA1,9606,associate
theophylline,CP00001981,NACC2,9606,associate
theophylline,CP00001981,HABP2,9606,associate
theophylline,CP00001981,BTBD10,9606,associate
theophylline,CP00001981,SERPING1,9606,associate
theophylline,CP00001981,ST14,9606,associate
theophylline,CP00001981,MS4A2,9606,associate
theophylline,CP00001981,GPM6A,9606,associate
theophylline,CP00001981,IL18,9606,associate
theophylline,CP00001981,TKTL2,9606,associate
theophylline,CP00001981,PRSS53,9606,associate
theophylline,CP00001981,CYSLTR2,9606,associate
theophylline,CP00001981,ATP5F1A,9606,associate
theophylline,CP00001981,YAP1,9606,associate
theophylline,CP00001981,ATG3,9606,associate
theophylline,CP00001981,ZDHHC11,9606,associate
theophylline,CP00001981,CD8A,9606,associate
theophylline,CP00001981,RPIA,9606,associate
theophylline,CP00001981,TMPRSS11D,9606,associate
theophylline,CP00001981,TMPRSS15,9606,associate
theophylline,CP00001981,MAN2B2,9606,associate
theophylline,CP00001981,LONP2,9606,associate
theophylline,CP00001981,TIAM1,9606,associate
theophylline,CP00001981,RPL30,9606,associate
theophylline,CP00001981,TYSND1,9606,associate
theophylline,CP00001981,SST,9606,associate
theophylline,CP00001981,PPARG,9606,associate
theophylline,CP00001981,CELA3A,9606,associate
theophylline,CP00001981,ACE,9606,associate
theophylline,CP00001981,PTGIR,9606,associate
theophylline,CP00001981,PDXK,9606,associate
theophylline,CP00001981,LTC4S,9606,associate
theophylline,CP00001981,CELA1,9606,associate
theophylline,CP00001981,KRT72,9606,associate
theophylline,CP00001981,PRSS33,9606,associate
theophylline,CP00001981,CLPB,9606,associate
theophylline,CP00001981,PKDCC,9606,associate
theophylline,CP00001981,ARHGAP15,9606,associate
theophylline,CP00001981,IHH,9606,associate
theophylline,CP00001981,ALB,9606,associate
theophylline,CP00001981,LZTFL1,9606,associate
theophylline,CP00001981,RHO,9606,associate
theophylline,CP00001981,MASP1,9606,associate
theophylline,CP00001981,PRSS12,9606,associate
theophylline,CP00001981,ADAD1,9606,associate
theophylline,CP00001981,UTP15,9606,associate
theophylline,CP00001981,IL3,9606,associate
theophylline,CP00001981,CSF2,9606,associate
theophylline,CP00001981,SBSPON,9606,associate
theophylline,CP00001981,GPER1,9606,associate
theophylline,CP00001981,PRSS37,9606,associate
theophylline,CP00001981,RXFP2,9606,associate
