Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
threonate,CP04590769,LOC101971467,43179,inhibit
threonate,CP04590769,SPATA20,9606,associate
threonate,CP04590769,GRN,9606,associate
threonate,CP04590769,PSMC4,9606,associate
threonate,CP04590769,ADH1A,9606,associate
threonate,CP04590769,HSCB,9606,associate
threonate,CP04590769,RTCB,9606,associate
threonate,CP04590769,MIOX,9606,associate
threonate,CP04590769,FDFT1,9606,associate
threonate,CP04590769,APLP1,9606,associate
threonate,CP04590769,CD79A,9606,associate
threonate,CP04590769,PSENEN,9606,associate
threonate,CP04590769,OGDH,9606,associate
threonate,CP04590769,MPO,9606,associate
threonate,CP04590769,EPX,9606,associate
threonate,CP04590769,SHPK,9606,associate
threonate,CP04590769,SLC25A11,9606,associate
threonate,CP04590769,ALDOC,9606,associate
threonate,CP04590769,PDHX,9606,associate
threonate,CP04590769,MVK,9606,associate
threonate,CP04590769,IFNG,9606,associate
threonate,CP04590769,IL5,9606,associate
threonate,CP04590769,TMEM59,9606,associate
threonate,CP04590769,GLRX,9606,associate
threonate,CP04590769,LUC7L3,9606,associate
threonate,CP04590769,CAT,9606,associate
threonate,CP04590769,MCEE,9606,associate
threonate,CP04590769,MKKS,9606,associate
threonate,CP04590769,UBA2,9606,associate
threonate,CP04590769,PXDN,9606,associate
threonate,CP04590769,ACLY,9606,associate
threonate,CP04590769,CCNA1,9606,associate
threonate,CP04590769,KIDINS220,9606,associate
threonate,CP04590769,CCT7,9606,associate
threonate,CP04590769,IDH1,9606,associate
threonate,CP04590769,TRMT5,9606,associate
threonate,CP04590769,RTRAF,9606,associate
threonate,CP04590769,LPO,9606,associate
threonate,CP04590769,DHTKD1,9606,associate
threonate,CP04590769,MAP3K13,9606,associate
threonate,CP04590769,PAPSS1,9606,associate
threonate,CP04590769,LSG1,9606,associate
threonate,CP04590769,PRDX5,9606,associate
threonate,CP04590769,ADH4,9606,associate
threonate,CP04590769,REXO2,9606,associate
threonate,CP04590769,MAN2C1,9606,associate
threonate,CP04590769,GEMIN7,9606,associate
threonate,CP04590769,CCNA2,9606,associate
threonate,CP04590769,DLAT,9606,associate
threonate,CP04590769,TKTL2,9606,associate
threonate,CP04590769,GLT1D1,9606,associate
threonate,CP04590769,GEMIN6,9606,associate
threonate,CP04590769,RABGEF1,9606,associate
threonate,CP04590769,TSEN2,9606,associate
threonate,CP04590769,GEMIN5,9606,associate
threonate,CP04590769,LUC7L,9606,associate
threonate,CP04590769,RETSAT,9606,associate
threonate,CP04590769,ADH5,9606,associate
threonate,CP04590769,DCTN5,9606,associate
threonate,CP04590769,PCSK9,9606,associate
threonate,CP04590769,ADH1B,9606,associate
threonate,CP04590769,RBKS,9606,associate
threonate,CP04590769,MCM7,9606,associate
threonate,CP04590769,CYB5B,9606,associate
threonate,CP04590769,ACO1,9606,associate
threonate,CP04590769,RASGRP1,9606,associate
threonate,CP04590769,GLS2,9606,associate
threonate,CP04590769,TPMT,9606,associate
threonate,CP04590769,PRMT9,9606,associate
threonate,CP04590769,TCP1,9606,associate
threonate,CP04590769,GLS,9606,associate
threonate,CP04590769,PSAPL1,9606,associate
threonate,CP04590769,MPI,9606,associate
threonate,CP04590769,SUMO4,9606,associate
threonate,CP04590769,TPO,9606,associate
threonate,CP04590769,TALDO1,9606,associate
threonate,CP04590769,ADGRL2,9606,associate
threonate,CP04590769,OTOS,9606,associate
threonate,CP04590769,C18orf32,9606,associate
threonate,CP04590769,NFATC2IP,9606,associate
threonate,CP04590769,FTSJ1,9606,associate
threonate,CP04590769,MDH2,9606,associate
threonate,CP04590769,XPOT,9606,associate
threonate,CP04590769,RNF135,9606,associate
threonate,CP04590769,PYCR1,9606,associate
threonate,CP04590769,SUMO3,9606,associate
threonate,CP04590769,TMEM173,9606,associate
threonate,CP04590769,IDH2,9606,associate
threonate,CP04590769,RIPK4,9606,associate
threonate,CP04590769,DLST,9606,associate
threonate,CP04590769,EZR,9606,associate
threonate,CP04590769,GIPC1,9606,associate
threonate,CP04590769,CYB5A,9606,associate
threonate,CP04590769,PYCR2,9606,associate
threonate,CP04590769,MAFK,9606,associate
threonate,CP04590769,SLC25A10,9606,associate
threonate,CP04590769,RPS3A,9606,associate
threonate,CP04590769,GPX4,9606,associate
threonate,CP04590769,LRMP,9606,associate
threonate,CP04590769,LUC7L2,9606,associate
threonate,CP04590769,PXDNL,9606,associate
threonate,CP04590769,LSS,9606,associate
threonate,CP04590769,MAN1A2,9606,associate
threonate,CP04590769,GK2,9606,associate
threonate,CP04590769,CTPS2,9606,associate
threonate,CP04590769,MSN,9606,associate
threonate,CP04590769,MICU1,9606,associate
threonate,CP04590769,GPX6,9606,associate
threonate,CP04590769,PTGS1,9606,associate
threonate,CP04590769,GPX7,9606,associate
threonate,CP04590769,TOX,9606,associate
threonate,CP04590769,WDR64,9606,associate
threonate,CP04590769,IRF2BP2,9606,associate
threonate,CP04590769,GLRX2,9606,associate
threonate,CP04590769,RGS1,9606,associate
threonate,CP04590769,RGS18,9606,associate
threonate,CP04590769,PTGS2,9606,associate
threonate,CP04590769,TPR,9606,associate
threonate,CP04590769,KLHDC9,9606,associate
threonate,CP04590769,MAN1A1,9606,associate
threonate,CP04590769,PSMD4,9606,associate
threonate,CP04590769,RNGTT,9606,associate
threonate,CP04590769,TKTL1,9606,associate
threonate,CP04590769,DBT,9606,associate
threonate,CP04590769,PYROXD2,9606,associate
threonate,CP04590769,GIPC2,9606,associate
threonate,CP04590769,ALDH18A1,9606,associate
threonate,CP04590769,CTPS1,9606,associate
threonate,CP04590769,DKK1,9606,associate
threonate,CP04590769,OGDHL,9606,associate
threonate,CP04590769,MTFR1L,9606,associate
threonate,CP04590769,HMGCL,9606,associate
threonate,CP04590769,WDR46,9606,associate
threonate,CP04590769,SLC22A12,9606,associate
threonate,CP04590769,GK,9606,associate
threonate,CP04590769,NYNRIN,9606,associate
threonate,CP04590769,GPX3,9606,associate
threonate,CP04590769,GPX2,9606,associate
threonate,CP04590769,RGS13,9606,associate
threonate,CP04590769,SUMO1,9606,associate
threonate,CP04590769,ADH6,9606,associate
threonate,CP04590769,PSAP,9606,associate
threonate,CP04590769,MOCS2,9606,associate
threonate,CP04590769,CCNF,9606,associate
threonate,CP04590769,FAM98B,9606,associate
threonate,CP04590769,HMGCLL1,9606,associate
threonate,CP04590769,GIN1,9606,associate
threonate,CP04590769,GPX5,9606,associate
threonate,CP04590769,RPS18,9606,associate
threonate,CP04590769,ZBED9,9606,associate
threonate,CP04590769,BAHD1,9606,associate
threonate,CP04590769,ZDHHC13,9606,associate
threonate,CP04590769,MYD88,9606,associate
threonate,CP04590769,ZDHHC17,9606,associate
threonate,CP04590769,LTA,9606,associate
threonate,CP04590769,MBD1,9606,associate
threonate,CP04590769,TKT,9606,associate
threonate,CP04590769,GPI,9606,associate
threonate,CP04590769,SUMO2,9606,associate
threonate,CP04590769,PAPSS2,9606,associate
threonate,CP04590769,GPX1,9606,associate
threonate,CP04590769,IL10,9606,associate
threonate,CP04590769,GK5,9606,associate
threonate,CP04590769,SUCLG2,9606,associate
threonate,CP04590769,ADH7,9606,associate
threonate,CP04590769,PLCXD2,9606,associate
threonate,CP04590769,GPX8,9606,associate
threonate,CP04590769,TXNRD3,9606,associate
threonate,CP04590769,TXNRD1,9606,associate
threonate,CP04590769,STH,9606,associate
threonate,CP04590769,APAF1,9606,associate
threonate,CP04590769,MAP3K12,9606,associate
threonate,CP04590769,PNLIP,9823,inhibit
threonate,CP04590769,CPB2,9606,associate
threonate,CP04590769,AKR1B1,9606,associate
threonate,CP04590769,FOLH1,9606,associate
threonate,CP04590769,CA4,9606,associate
threonate,CP04590769,MME,9606,associate
threonate,CP04590769,CA9,9606,associate
threonate,CP04590769,PTPN1,9606,associate
threonate,CP04590769,GRIA1,9606,associate
threonate,CP04590769,CA1,9606,associate
threonate,CP04590769,DUSP3,9606,associate
threonate,CP04590769,GRM6,9606,associate
threonate,CP04590769,LAP3,9606,associate
threonate,CP04590769,CPB1,9606,associate
threonate,CP04590769,PRKCA,9606,associate
threonate,CP04590769,CPA1,9606,associate
threonate,CP04590769,CES2,9606,associate
threonate,CP04590769,KIF11,9606,associate
threonate,CP04590769,CA7,9606,associate
threonate,CP04590769,CA3,9606,associate
threonate,CP04590769,GRIA2,9606,associate
threonate,CP04590769,CTDSP1,9606,associate
threonate,CP04590769,PPARG,9606,associate
threonate,CP04590769,GRM1,9606,associate
