Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
tryptophan,CP00005657,KDM4E,9606,associate
tryptophan,CP00005657,TSHR,9606,associate
tryptophan,CP00005657,MAPT,9606,associate
tryptophan,CP00005657,HIF1A,9606,associate
tryptophan,CP00005657,LMNA,9606,associate
tryptophan,CP00005657,DDC,9606,associate
tryptophan,CP00005657,TPH1,9606,associate
tryptophan,CP00005657,TPH2,9606,associate
tryptophan,CP00005657,WARS,9606,associate
tryptophan,CP00005657,WARS2,9606,associate
tryptophan,CP00005657,WARS2,9606,inhibit
tryptophan,CP00005657,PLAA,9606,inhibit
tryptophan,CP00005657,ALPL,9606,inhibit
tryptophan,CP00005657,MMP3,9606,inhibit
tryptophan,CP00005657,ABCC2,9606,associate
tryptophan,CP00005657,AFUA_8G00210,330879,associate
tryptophan,CP00005657,ALPI,9606,inhibit
tryptophan,CP00005657,KMT2A,9606,associate
tryptophan,CP00005657,Smp_048430,6183,associate
tryptophan,CP00005657,PMP22,9606,associate
tryptophan,CP00005657,BLM,9606,associate
tryptophan,CP00005657,MPHOSPH8,9606,associate
tryptophan,CP00005657,EHMT2,9606,associate
tryptophan,CP00005657,BAZ2B,9606,associate
tryptophan,CP00005657,ALB,9606,associate
tryptophan,CP00005657,TDO2,9606,inhibit
tryptophan,CP00005657,FEN1,9606,associate
tryptophan,CP00005657,POLI,9606,associate
tryptophan,CP00005657,Slc16a2,10116,associate
tryptophan,CP00005657,Slc16a10,10116,associate
tryptophan,CP00005657,SLCO1B1,9606,associate
tryptophan,CP00005657,SLCO1B3,9606,associate
tryptophan,CP00005657,ARSA,9606,associate
tryptophan,CP00005657,IDO1,9606,associate
tryptophan,CP00005657,TDO2,9606,associate
tryptophan,CP00005657,LOC110236829,1720309,inhibit
tryptophan,CP00005657,NGF,9606,associate
tryptophan,CP00005657,HSD17B6,9606,associate
tryptophan,CP00005657,RINL,9606,associate
tryptophan,CP00005657,SOD2,9606,associate
tryptophan,CP00005657,MSRB1,9606,associate
tryptophan,CP00005657,TNFRSF18,9606,associate
tryptophan,CP00005657,SLC16A10,9606,associate
tryptophan,CP00005657,MAOA,9606,associate
tryptophan,CP00005657,PIPOX,9606,associate
tryptophan,CP00005657,ACMSD,9606,associate
