Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
tyrosine,CP00001073,DDC,9606,associate
tyrosine,CP00001073,TH,9606,associate
tyrosine,CP00001073,TAT,9606,associate
tyrosine,CP00001073,PAH,9606,associate
tyrosine,CP00001073,GOT1,9606,associate
tyrosine,CP00001073,GOT2,9606,associate
tyrosine,CP00001073,YARS,9606,associate
tyrosine,CP00001073,YARS2,9606,associate
tyrosine,CP00001073,FGFR1,9606,associate
tyrosine,CP00001073,EGFR,9606,associate
tyrosine,CP00001073,Gria1,10116,associate
tyrosine,CP00001073,DYRK2,9606,associate
tyrosine,CP00001073,TPH1,9606,associate
tyrosine,CP00001073,TACSTD2,9606,associate
tyrosine,CP00001073,ITGA2,9606,associate
tyrosine,CP00001073,ITPR2,9606,associate
tyrosine,CP00001073,NTF3,9606,associate
tyrosine,CP00001073,GSTZ1,9606,associate
tyrosine,CP00001073,GCH1,9606,associate
tyrosine,CP00001073,PCBD1,9606,associate
tyrosine,CP00001073,ARHGDIB,9606,associate
tyrosine,CP00001073,CAT,9606,associate
tyrosine,CP00001073,HIPK3,9606,associate
tyrosine,CP00001073,TXNDC17,9606,associate
tyrosine,CP00001073,SLC7A8,9606,associate
tyrosine,CP00001073,PLA2G1B,9606,associate
tyrosine,CP00001073,ST3GAL6,9606,associate
tyrosine,CP00001073,FCER1G,9606,associate
tyrosine,CP00001073,KLRB1,9606,associate
tyrosine,CP00001073,MB,9606,associate
tyrosine,CP00001073,ALPI,9606,associate
tyrosine,CP00001073,YWHAQ,9606,associate
tyrosine,CP00001073,SGPL1,9606,associate
tyrosine,CP00001073,CXCL13,9606,associate
tyrosine,CP00001073,DCT,9606,associate
tyrosine,CP00001073,MUSK,9606,associate
tyrosine,CP00001073,PDGFRB,9606,associate
tyrosine,CP00001073,IRS1,9606,associate
tyrosine,CP00001073,NOS3,9606,associate
tyrosine,CP00001073,IL4I1,9606,associate
tyrosine,CP00001073,TACR3,9606,associate
tyrosine,CP00001073,NTRK2,9606,associate
tyrosine,CP00001073,CNTN2,9606,associate
tyrosine,CP00001073,ALB,9606,associate
tyrosine,CP00001073,MLXIPL,9606,associate
tyrosine,CP00001073,LBR,9606,associate
tyrosine,CP00001073,HPCA,9606,associate
tyrosine,CP00001073,PNMT,9606,associate
tyrosine,CP00001073,FARSA,9606,associate
tyrosine,CP00001073,EMX2,9606,associate
tyrosine,CP00001073,SLC3A2,9606,associate
tyrosine,CP00001073,RILP,9606,associate
tyrosine,CP00001073,HNF1A,9606,associate
tyrosine,CP00001073,MLN,9606,associate
tyrosine,CP00001073,ENPP3,9606,associate
tyrosine,CP00001073,NPY,9606,associate
tyrosine,CP00001073,FAM20C,9606,associate
tyrosine,CP00001073,ARTN,9606,associate
tyrosine,CP00001073,TYR,9606,associate
tyrosine,CP00001073,GSK3B,9606,associate
tyrosine,CP00001073,SP1,9606,associate
tyrosine,CP00001073,UGGT1,9606,associate
tyrosine,CP00001073,DYRK1A,9606,associate
tyrosine,CP00001073,CADPS2,9606,associate
tyrosine,CP00001073,BRAF,9606,associate
tyrosine,CP00001073,UROD,9606,associate
tyrosine,CP00001073,QDPR,9606,associate
tyrosine,CP00001073,CAVIN2,9606,associate
tyrosine,CP00001073,SLC6A3,9606,associate
tyrosine,CP00001073,NELFCD,9606,associate
tyrosine,CP00001073,TRIM47,9606,associate
tyrosine,CP00001073,AVP,9606,associate
tyrosine,CP00001073,OXT,9606,associate
tyrosine,CP00001073,PKMYT1,9606,associate
tyrosine,CP00001073,CPA1,9606,associate
tyrosine,CP00001073,LPO,9606,associate
tyrosine,CP00001073,PPARA,9606,associate
tyrosine,CP00001073,PRND,9606,associate
tyrosine,CP00001073,BCAT1,9606,associate
tyrosine,CP00001073,DLD,9606,associate
tyrosine,CP00001073,TUSC5,9606,associate
tyrosine,CP00001073,NRTN,9606,associate
tyrosine,CP00001073,TIMM22,9606,associate
tyrosine,CP00001073,SFN,9606,associate
tyrosine,CP00001073,YWHAH,9606,associate
tyrosine,CP00001073,RAB8A,9606,associate
tyrosine,CP00001073,PENK,9606,associate
tyrosine,CP00001073,BCAT2,9606,associate
tyrosine,CP00001073,HPGDS,9606,associate
tyrosine,CP00001073,AGTR1,9606,associate
tyrosine,CP00001073,AOC3,9606,associate
tyrosine,CP00001073,ELOVL2,9606,associate
tyrosine,CP00001073,DBH,9606,associate
tyrosine,CP00001073,SLC16A2,9606,associate
tyrosine,CP00001073,NTRK1,9606,associate
tyrosine,CP00001073,HPD,9606,associate
tyrosine,CP00001073,SUCLG2,9606,associate
tyrosine,CP00001073,HAL,9606,associate
tyrosine,CP00001073,FLT1,9606,associate
tyrosine,CP00001073,AGTR2,9606,associate
tyrosine,CP00001073,DYRK3,9606,associate
tyrosine,CP00001073,YWHAB,9606,associate
tyrosine,CP00001073,RPL7A,9606,associate
tyrosine,CP00001073,P4HTM,9606,associate
tyrosine,CP00001073,KDR,9606,associate
tyrosine,CP00001073,TYRP1,9606,associate
tyrosine,CP00001073,GSK3A,9606,associate
tyrosine,CP00001073,SRC,9606,associate
tyrosine,CP00001073,EVPL,9606,associate
tyrosine,CP00001073,IRAK2,9606,associate
tyrosine,CP00001073,PRDX5,9606,associate
tyrosine,CP00001073,KLK7,9606,associate
tyrosine,CP00001073,PSPN,9606,associate
tyrosine,CP00001073,SYP,9606,associate
tyrosine,CP00001073,PCBD2,9606,associate
tyrosine,CP00001073,RHO,9606,associate
tyrosine,CP00001073,FETUB,9606,associate
tyrosine,CP00001073,FAH,9606,associate
tyrosine,CP00001073,FUCA1,9606,associate
tyrosine,CP00001073,DYRK4,9606,associate
tyrosine,CP00001073,LTF,9606,associate
tyrosine,CP00001073,NRAS,9606,associate
tyrosine,CP00001073,SLC15A1,9606,associate
tyrosine,CP00001073,HGD,9606,associate
tyrosine,CP00001073,PCSK1,9606,associate
tyrosine,CP00001073,YWHAG,9606,associate
tyrosine,CP00001073,NKX2-1,9606,associate
tyrosine,CP00001073,KIT,9606,associate
tyrosine,CP00001073,YWHAZ,9606,associate
tyrosine,CP00001073,TBPL1,9606,associate
tyrosine,CP00001073,DMBT1,9606,associate
tyrosine,CP00001073,TRPC7,9606,associate
tyrosine,CP00001073,LRP1B,9606,associate
tyrosine,CP00001073,GRK4,9606,associate
tyrosine,CP00001073,FKTN,9606,associate
tyrosine,CP00001073,ZHX2,9606,associate
tyrosine,CP00001073,DYRK1B,9606,associate
tyrosine,CP00001073,LAD1,9606,associate
tyrosine,CP00001073,MAATS1,9606,associate
tyrosine,CP00001073,RET,9606,associate
tyrosine,CP00001073,TTL,9606,associate
tyrosine,CP00001073,GMEB2,9606,associate
tyrosine,CP00001073,GFRA2,9606,associate
tyrosine,CP00001073,RAF1,9606,associate
tyrosine,CP00001073,SLC16A10,9606,associate
tyrosine,CP00001073,MYT1,9606,associate
tyrosine,CP00001073,SLC3A1,9606,associate
tyrosine,CP00001073,SLC6A19,9606,associate
tyrosine,CP00001073,BAD,9606,associate
tyrosine,CP00001073,BHLHA9,9606,associate
tyrosine,CP00001073,SCG2,9606,associate
tyrosine,CP00001073,YWHAE,9606,associate
tyrosine,CP00001073,ADD1,9606,associate
tyrosine,CP00001073,SOD2,9606,associate
tyrosine,CP00001073,DDR1,9606,associate
tyrosine,CP00001073,VGF,9606,associate
tyrosine,CP00001073,DTD1,9606,associate
tyrosine,CP00001073,ACER3,9606,associate
tyrosine,CP00001073,HMMR,9606,associate
tyrosine,CP00001073,VEGFD,9606,associate
tyrosine,CP00001073,PPARG,9606,associate
tyrosine,CP00001073,TDO2,9606,associate
tyrosine,CP00001073,SNCA,9606,associate
tyrosine,CP00001073,TPO,9606,associate
tyrosine,CP00001073,MPO,9606,associate
tyrosine,CP00001073,GLYAT,9606,associate
tyrosine,CP00001073,RIPK2,9606,associate
tyrosine,CP00001073,HCK,9606,associate
tyrosine,CP00001073,GMEB1,9606,associate
tyrosine,CP00001073,NTRK3,9606,associate
tyrosine,CP00001073,CMC1,9606,associate
tyrosine,CP00001073,GDNF,9606,associate
tyrosine,CP00001073,AK3,9606,associate
tyrosine,CP00001073,BCR,9606,associate
tyrosine,CP00001073,KIN,9606,associate
tyrosine,CP00001073,PTPN11,9606,associate
tyrosine,CP00001073,ALPL,9606,associate
tyrosine,CP00001073,CSNK1A1,9606,associate
tyrosine,CP00001073,NRGN,9606,associate
tyrosine,CP00001073,ERBIN,9606,associate
tyrosine,CP00001073,CD1E,9606,associate
tyrosine,CP00001073,MPL,9606,associate
tyrosine,CP00001073,CHRFAM7A,9606,associate
tyrosine,CP00001073,GCN1,9606,associate
tyrosine,CP00001073,NFATC2,9606,associate
tyrosine,CP00001073,FARS2,9606,associate
tyrosine,CP00001073,CHDH,9606,associate
tyrosine,CP00001073,CSN1S1,9606,associate
tyrosine,CP00001073,ELN,9606,associate
tyrosine,CP00001073,AANAT,9606,associate
tyrosine,CP00001073,SDS,9606,associate
tyrosine,CP00001073,FTCD,9606,associate
tyrosine,CP00001073,PPOX,9606,associate
tyrosine,CP00001073,SLC45A4,9606,associate
tyrosine,CP00001073,GSC2,9606,associate
tyrosine,CP00001073,KIF22,9606,associate
tyrosine,CP00001073,GPATCH1,9606,associate
tyrosine,CP00001073,RRN3,9606,associate
tyrosine,CP00001073,OSGEP,9606,associate
tyrosine,CP00001073,CTSZ,9606,associate
tyrosine,CP00001073,RHOXF1,9606,associate
tyrosine,CP00001073,HSDL1,9606,associate
tyrosine,CP00001073,CTSH,9606,associate
tyrosine,CP00001073,CTSC,9606,associate
tyrosine,CP00001073,ISL1,9606,associate
tyrosine,CP00001073,MLH1,9606,associate
tyrosine,CP00001073,GSC,9606,associate
tyrosine,CP00001073,PRRX1,9606,associate
tyrosine,CP00001073,ALG5,9606,associate
