Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
vitamin B,CP00000874,PNP,9606,associate
vitamin B,CP00000874,toxA,208964,associate
vitamin B,CP00000874,PARP1,9606,inhibit
vitamin B,CP00000874,SIRT1,9606,inhibit
vitamin B,CP00000874,panE,511145,associate
vitamin B,CP00000874,SIRT1,9606,associate
vitamin B,CP00000874,SIRT2,9606,inhibit
vitamin B,CP00000874,SIRT3,9606,inhibit
vitamin B,CP00000874,HST2,559292,inhibit
vitamin B,CP00000874,SIRT3,9606,associate
vitamin B,CP00000874,SIRT2,9606,associate
vitamin B,CP00000874,KAT2A,9606,associate
vitamin B,CP00000874,GMNN,9606,associate
vitamin B,CP00000874,SIRT5,9606,inhibit
vitamin B,CP00000874,SIR2RP1,435258,inhibit
vitamin B,CP00000874,APEX1,9606,associate
vitamin B,CP00000874,SIRT6,9606,inhibit
vitamin B,CP00000874,SIRT6,9606,associate
vitamin B,CP00000874,F3,9606,inhibit
vitamin B,CP00000874,CYP2E1,9606,associate
vitamin B,CP00000874,LOC100185251,7719,inhibit
vitamin B,CP00000874,SIRT1,9031,inhibit
vitamin B,CP00000874,LDHA,9606,associate
vitamin B,CP00000874,PARP1,9606,associate
vitamin B,CP00000874,SIRT5,9606,associate
vitamin B,CP00000874,BST1,9606,associate
vitamin B,CP00000874,FKBP4,9606,associate
vitamin B,CP00000874,PRSS21,9606,associate
vitamin B,CP00000874,CRY1,9606,associate
vitamin B,CP00000874,KLK14,9606,associate
vitamin B,CP00000874,PRSS22,9606,associate
vitamin B,CP00000874,PPP2R5B,9606,associate
vitamin B,CP00000874,ASNS,9606,associate
vitamin B,CP00000874,SIRT4,9606,associate
vitamin B,CP00000874,AASDH,9606,associate
vitamin B,CP00000874,XYLB,9606,associate
vitamin B,CP00000874,ADH1A,9606,associate
vitamin B,CP00000874,CDC6,9606,associate
vitamin B,CP00000874,TPSD1,9606,associate
vitamin B,CP00000874,TCN2,9606,associate
vitamin B,CP00000874,TOMM22,9606,associate
vitamin B,CP00000874,ACR,9606,associate
vitamin B,CP00000874,CTSG,9606,associate
vitamin B,CP00000874,GZMH,9606,associate
vitamin B,CP00000874,GZMB,9606,associate
vitamin B,CP00000874,GNPNAT1,9606,associate
vitamin B,CP00000874,TAF9,9606,associate
vitamin B,CP00000874,F9,9606,associate
vitamin B,CP00000874,PRSS54,9606,associate
vitamin B,CP00000874,DECR1,9606,associate
vitamin B,CP00000874,PLAT,9606,associate
vitamin B,CP00000874,GML,9606,associate
vitamin B,CP00000874,GSR,9606,associate
vitamin B,CP00000874,SLC5A5,9606,associate
vitamin B,CP00000874,HGF,9606,associate
vitamin B,CP00000874,NAMPT,9606,associate
vitamin B,CP00000874,HOXA5,9606,associate
vitamin B,CP00000874,RLN1,9606,associate
vitamin B,CP00000874,DDX5,9606,associate
vitamin B,CP00000874,ASIC2,9606,associate
vitamin B,CP00000874,CCL2,9606,associate
vitamin B,CP00000874,CD38,9606,associate
vitamin B,CP00000874,AADAT,9606,associate
vitamin B,CP00000874,HSPA8,9606,associate
vitamin B,CP00000874,ASIC1,9606,associate
vitamin B,CP00000874,MVK,9606,associate
vitamin B,CP00000874,PARP11,9606,associate
vitamin B,CP00000874,ART4,9606,associate
vitamin B,CP00000874,ASF1A,9606,associate
vitamin B,CP00000874,GZMK,9606,associate
vitamin B,CP00000874,LTF,9606,associate
vitamin B,CP00000874,MORC1,9606,associate
vitamin B,CP00000874,AZU1,9606,associate
vitamin B,CP00000874,PROC,9606,associate
vitamin B,CP00000874,PRTN3,9606,associate
vitamin B,CP00000874,TPSG1,9606,associate
vitamin B,CP00000874,FGF23,9606,associate
vitamin B,CP00000874,CAT,9606,associate
vitamin B,CP00000874,ZC3HAV1,9606,associate
vitamin B,CP00000874,CDKN1A,9606,associate
vitamin B,CP00000874,SOX9,9606,associate
vitamin B,CP00000874,HSPB1,9606,associate
vitamin B,CP00000874,ALDH1A2,9606,associate
vitamin B,CP00000874,KLK12,9606,associate
vitamin B,CP00000874,CMA1,9606,associate
vitamin B,CP00000874,PARP2,9606,associate
vitamin B,CP00000874,ART1,9606,associate
vitamin B,CP00000874,TOMM40,9606,associate
vitamin B,CP00000874,SCO2,9606,associate
vitamin B,CP00000874,F12,9606,associate
vitamin B,CP00000874,DNAJB1,9606,associate
vitamin B,CP00000874,RRP8,9606,associate
vitamin B,CP00000874,CRP,9606,associate
vitamin B,CP00000874,EMP1,9606,associate
vitamin B,CP00000874,GIF,9606,associate
vitamin B,CP00000874,TCN1,9606,associate
vitamin B,CP00000874,SDS,9606,associate
vitamin B,CP00000874,SLC19A3,9606,associate
vitamin B,CP00000874,IL6,9606,associate
vitamin B,CP00000874,GAD2,9606,associate
vitamin B,CP00000874,PPP2R5A,9606,associate
vitamin B,CP00000874,RBM19,9606,associate
vitamin B,CP00000874,PARP16,9606,associate
vitamin B,CP00000874,MMD,9606,associate
vitamin B,CP00000874,SMAD2,9606,associate
vitamin B,CP00000874,DNAJB6,9606,associate
vitamin B,CP00000874,AXIN1,9606,associate
vitamin B,CP00000874,SLC4A1,9606,associate
vitamin B,CP00000874,DOK5,9606,associate
vitamin B,CP00000874,HPN,9606,associate
vitamin B,CP00000874,TYR,9606,associate
vitamin B,CP00000874,IL1B,9606,associate
vitamin B,CP00000874,PARP12,9606,associate
vitamin B,CP00000874,ELANE,9606,associate
vitamin B,CP00000874,TAF1B,9606,associate
vitamin B,CP00000874,CBL,9606,associate
vitamin B,CP00000874,SLC5A7,9606,associate
vitamin B,CP00000874,ORC4,9606,associate
vitamin B,CP00000874,KYNU,9606,associate
vitamin B,CP00000874,GZMM,9606,associate
vitamin B,CP00000874,NNT,9606,associate
vitamin B,CP00000874,MTRR,9606,associate
vitamin B,CP00000874,KLKB1,9606,associate
vitamin B,CP00000874,CAD,9606,associate
vitamin B,CP00000874,PPARGC1A,9606,associate
vitamin B,CP00000874,VCAN,9606,associate
vitamin B,CP00000874,ADH4,9606,associate
vitamin B,CP00000874,SQLE,9606,associate
vitamin B,CP00000874,C1RL,9606,associate
vitamin B,CP00000874,CSAD,9606,associate
vitamin B,CP00000874,PTGR2,9606,associate
vitamin B,CP00000874,HDC,9606,associate
vitamin B,CP00000874,SEPT12,9606,associate
vitamin B,CP00000874,PRSS36,9606,associate
vitamin B,CP00000874,TP53,9606,associate
vitamin B,CP00000874,SOD1,9606,associate
vitamin B,CP00000874,RPS27A,9606,associate
vitamin B,CP00000874,SLC4A3,9606,associate
vitamin B,CP00000874,ATP6V1A,9606,associate
vitamin B,CP00000874,CORIN,9606,associate
vitamin B,CP00000874,GZMA,9606,associate
vitamin B,CP00000874,HIST1H2BA,9606,associate
vitamin B,CP00000874,HABP2,9606,associate
vitamin B,CP00000874,SSRP1,9606,associate
vitamin B,CP00000874,ST14,9606,associate
vitamin B,CP00000874,MTA2,9606,associate
vitamin B,CP00000874,PRSS53,9606,associate
vitamin B,CP00000874,PARP8,9606,associate
vitamin B,CP00000874,PTH,9606,associate
vitamin B,CP00000874,GADL1,9606,associate
vitamin B,CP00000874,FEZF2,9606,associate
vitamin B,CP00000874,RPIA,9606,associate
vitamin B,CP00000874,TMPRSS11D,9606,associate
vitamin B,CP00000874,TMPRSS15,9606,associate
vitamin B,CP00000874,APP,9606,associate
vitamin B,CP00000874,PPEF2,9606,associate
vitamin B,CP00000874,PARP6,9606,associate
vitamin B,CP00000874,NMNAT2,9606,associate
vitamin B,CP00000874,FUK,9606,associate
vitamin B,CP00000874,HIST1H2BD,9606,associate
vitamin B,CP00000874,CELA3A,9606,associate
vitamin B,CP00000874,MCAT,9606,associate
vitamin B,CP00000874,HK2,9606,associate
vitamin B,CP00000874,CTBP1,9606,associate
vitamin B,CP00000874,PDXK,9606,associate
vitamin B,CP00000874,S100B,9606,associate
vitamin B,CP00000874,BAX,9606,associate
vitamin B,CP00000874,CELA1,9606,associate
vitamin B,CP00000874,PRSS33,9606,associate
vitamin B,CP00000874,SLC4A7,9606,associate
vitamin B,CP00000874,ALB,9606,associate
vitamin B,CP00000874,TIPARP,9606,associate
vitamin B,CP00000874,MASP1,9606,associate
vitamin B,CP00000874,MELTF,9606,associate
vitamin B,CP00000874,ADH5,9606,associate
vitamin B,CP00000874,PRSS12,9606,associate
vitamin B,CP00000874,TNFRSF21,9606,associate
vitamin B,CP00000874,ORC5,9606,associate
vitamin B,CP00000874,NOS3,9606,associate
vitamin B,CP00000874,ASIC3,9606,associate
vitamin B,CP00000874,HSD3B7,9606,associate
vitamin B,CP00000874,PRSS37,9606,associate
vitamin B,CP00000874,ALDH1A1,9606,associate
vitamin B,CP00000874,C2,9606,associate
vitamin B,CP00000874,TMPRSS5,9606,associate
vitamin B,CP00000874,NNMT,9606,associate
vitamin B,CP00000874,KLK1,9606,associate
vitamin B,CP00000874,BIRC5,9606,associate
vitamin B,CP00000874,E4F1,9606,associate
vitamin B,CP00000874,MMADHC,9606,associate
vitamin B,CP00000874,HSPB2,9606,associate
vitamin B,CP00000874,BCL2L1,9606,associate
vitamin B,CP00000874,AXIN2,9606,associate
vitamin B,CP00000874,CHSY3,9606,associate
vitamin B,CP00000874,KCNAB3,9606,associate
vitamin B,CP00000874,CTRB2,9606,associate
vitamin B,CP00000874,UBB,9606,associate
vitamin B,CP00000874,SLC25A33,9606,associate
vitamin B,CP00000874,PRSS27,9606,associate
vitamin B,CP00000874,CXCL8,9606,associate
vitamin B,CP00000874,ADH1B,9606,associate
vitamin B,CP00000874,PPM1D,9606,associate
vitamin B,CP00000874,TMPRSS11E,9606,associate
vitamin B,CP00000874,TADA3,9606,associate
vitamin B,CP00000874,F2,9606,associate
vitamin B,CP00000874,PRSS1,9606,associate
vitamin B,CP00000874,PLG,9606,associate
vitamin B,CP00000874,KLK6,9606,associate
vitamin B,CP00000874,SLC5A6,9606,associate
vitamin B,CP00000874,HSPA6,9606,associate
vitamin B,CP00000874,CASP3,9606,associate
vitamin B,CP00000874,RPL4,9606,associate
vitamin B,CP00000874,TNKS,9606,associate
vitamin B,CP00000874,KLK10,9606,associate
vitamin B,CP00000874,CTBP2,9606,associate
vitamin B,CP00000874,KLK2,9606,associate
vitamin B,CP00000874,KLK3,9606,associate
vitamin B,CP00000874,HSPH1,9606,associate
vitamin B,CP00000874,PRSS8,9606,associate
vitamin B,CP00000874,SLC9A9,9606,associate
vitamin B,CP00000874,EDC3,9606,associate
vitamin B,CP00000874,ME2,9606,associate
vitamin B,CP00000874,LPA,9606,associate
vitamin B,CP00000874,HIST1H2BC,9606,associate
vitamin B,CP00000874,RRS1,9606,associate
vitamin B,CP00000874,CSNK1D,9606,associate
vitamin B,CP00000874,PARP10,9606,associate
vitamin B,CP00000874,KLK4,9606,associate
vitamin B,CP00000874,NADSYN1,9606,associate
vitamin B,CP00000874,PRSS50,9606,associate
vitamin B,CP00000874,ASIC4,9606,associate
vitamin B,CP00000874,OVCH1,9606,associate
vitamin B,CP00000874,TAF1A,9606,associate
vitamin B,CP00000874,PRSS57,9606,associate
vitamin B,CP00000874,C1S,9606,associate
vitamin B,CP00000874,TSPO,9606,associate
vitamin B,CP00000874,SIRT7,9606,associate
vitamin B,CP00000874,SLC9A7,9606,associate
vitamin B,CP00000874,DDX59,9606,associate
vitamin B,CP00000874,TMPRSS11B,9606,associate
vitamin B,CP00000874,CFD,9606,associate
vitamin B,CP00000874,ALDH1A3,9606,associate
vitamin B,CP00000874,SDR42E1,9606,associate
vitamin B,CP00000874,SMAD3,9606,associate
vitamin B,CP00000874,KMT5A,9606,associate
vitamin B,CP00000874,PRSS55,9606,associate
vitamin B,CP00000874,RPS19BP1,9606,associate
vitamin B,CP00000874,F3,9606,associate
vitamin B,CP00000874,TMPRSS11A,9606,associate
vitamin B,CP00000874,TMPRSS6,9606,associate
vitamin B,CP00000874,ATP5IF1,9606,associate
vitamin B,CP00000874,PPP2R5E,9606,associate
vitamin B,CP00000874,KLK5,9606,associate
vitamin B,CP00000874,CELA3B,9606,associate
vitamin B,CP00000874,SRR,9606,associate
vitamin B,CP00000874,FOXO3,9606,associate
vitamin B,CP00000874,NMNAT3,9606,associate
vitamin B,CP00000874,EIF4EBP1,9606,associate
vitamin B,CP00000874,MRPL20,9606,associate
vitamin B,CP00000874,SDSL,9606,associate
vitamin B,CP00000874,SMAD4,9606,associate
vitamin B,CP00000874,DYRK2,9606,associate
vitamin B,CP00000874,HIST1H2BJ,9606,associate
vitamin B,CP00000874,UBE4B,9606,associate
vitamin B,CP00000874,TPSAB1,9606,associate
