Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
afrormosin,CP04450720,RAB9A,9606,associate
afrormosin,CP04450720,TP53,9606,associate
afrormosin,CP04450720,ATAD5,9606,associate
afrormosin,CP04450720,GMNN,9606,associate
afrormosin,CP04450720,SMPD1,9606,associate
afrormosin,CP04450720,BRCA1,9606,associate
afrormosin,CP04450720,IDH1,9606,associate
afrormosin,CP04450720,PTPN1,9606,associate
afrormosin,CP04450720,KLK7,9606,associate
afrormosin,CP04450720,PPCS,9606,associate
afrormosin,CP04450720,ABCC1,9606,associate
afrormosin,CP04450720,ABCB1,9606,associate
afrormosin,CP04450720,ABCC1,60711,associate
afrormosin,CP04450720,NPL,9606,associate
afrormosin,CP04450720,KCNJ3,9606,associate
afrormosin,CP04450720,IGFBP7,9606,associate
afrormosin,CP04450720,HOGA1,9606,associate
afrormosin,CP04450720,Txnrd1,10116,associate
afrormosin,CP04450720,PTPN1,9606,inhibit
afrormosin,CP04450720,ALOX12,9606,associate
afrormosin,CP04450720,ALDH2,9606,associate
afrormosin,CP04450720,PPARG,9606,associate
afrormosin,CP04450720,CA7,9606,associate
afrormosin,CP04450720,CA12,9606,associate
afrormosin,CP04450720,ACHE,9606,associate
afrormosin,CP04450720,CYP19A1,9606,associate
afrormosin,CP04450720,CA4,9606,associate
afrormosin,CP04450720,MIF,9606,associate
afrormosin,CP04450720,HSD17B2,9606,associate
afrormosin,CP04450720,ABCG2,9606,associate
afrormosin,CP04450720,MAOB,9606,associate
afrormosin,CP04450720,CA13,9606,associate
afrormosin,CP04450720,CYP1A1,9606,associate
afrormosin,CP04450720,EGFR,9606,associate
afrormosin,CP04450720,CYP1A2,9606,associate
afrormosin,CP04450720,PTGS1,9606,associate
afrormosin,CP04450720,MAOA,9606,associate
afrormosin,CP04450720,TNF,9606,associate
afrormosin,CP04450720,ALOX15,9606,associate
afrormosin,CP04450720,SLCO1B1,9606,associate
afrormosin,CP04450720,KIF11,9606,associate
afrormosin,CP04450720,GSK3B,9606,associate
afrormosin,CP04450720,CA3,9606,associate
afrormosin,CP04450720,CYP1B1,9606,associate
afrormosin,CP04450720,ACVR1,9606,associate
afrormosin,CP04450720,CTDSP1,9606,associate
afrormosin,CP04450720,MGAM,9606,associate
afrormosin,CP04450720,STAT1,9606,associate
afrormosin,CP04450720,PTGES,9606,associate
afrormosin,CP04450720,ESR2,9606,associate
afrormosin,CP04450720,CA5B,9606,associate
afrormosin,CP04450720,ESR1,9606,associate
afrormosin,CP04450720,TLR9,9606,associate
afrormosin,CP04450720,PTGS2,9606,associate
afrormosin,CP04450720,MCL1,9606,associate
afrormosin,CP04450720,HDAC2,9606,associate
afrormosin,CP04450720,PIK3CA,9606,associate
afrormosin,CP04450720,SENP7,9606,associate
afrormosin,CP04450720,CDK9,9606,associate
afrormosin,CP04450720,PPARA,9606,associate
afrormosin,CP04450720,CSNK1G1,9606,associate
afrormosin,CP04450720,CDK1,9606,associate
afrormosin,CP04450720,CA6,9606,associate
afrormosin,CP04450720,PLK3,9606,associate
afrormosin,CP04450720,DYRK1A,9606,associate
afrormosin,CP04450720,AURKB,9606,associate
afrormosin,CP04450720,CLK4,9606,associate
afrormosin,CP04450720,SIRT1,9606,associate
afrormosin,CP04450720,TGFBR2,9606,associate
afrormosin,CP04450720,STK4,9606,associate
afrormosin,CP04450720,VCAM1,9606,associate
afrormosin,CP04450720,ADCY1,9606,associate
afrormosin,CP04450720,ADAMTS4,9606,associate
afrormosin,CP04450720,CFTR,9606,associate
afrormosin,CP04450720,CYP11B2,9606,associate
afrormosin,CP04450720,GGPS1,9606,associate
afrormosin,CP04450720,CACNA1B,9606,associate
afrormosin,CP04450720,FGF1,9606,associate
afrormosin,CP04450720,FCER2,9606,associate
afrormosin,CP04450720,FOLR1,9606,associate
afrormosin,CP04450720,ALOX5AP,9606,associate
afrormosin,CP04450720,PDK2,9606,associate
afrormosin,CP04450720,PHOSPHO1,9606,associate
afrormosin,CP04450720,TMPRSS11D,9606,associate
afrormosin,CP04450720,TMPRSS6,9606,associate
afrormosin,CP04450720,PRKCE,9606,associate
afrormosin,CP04450720,ITGA4,9606,associate
afrormosin,CP04450720,SSTR3,9606,associate
afrormosin,CP04450720,STS,9606,associate
afrormosin,CP04450720,SSTR5,9606,associate
afrormosin,CP04450720,WNT3A,9606,associate
afrormosin,CP04450720,PDE1B,9606,associate
afrormosin,CP04450720,PLA2G4A,9606,associate
afrormosin,CP04450720,PLA2G2A,9606,associate
afrormosin,CP04450720,RELA,9606,associate
afrormosin,CP04450720,SERPINE1,9606,associate
afrormosin,CP04450720,TXK,9606,associate
afrormosin,CP04450720,NAMPT,9606,associate
afrormosin,CP04450720,CDK8,9606,associate
afrormosin,CP04450720,NR1H4,9606,associate
afrormosin,CP04450720,CHRNA3,9606,associate
afrormosin,CP04450720,CYP51A1,9606,associate
afrormosin,CP04450720,PKN2,9606,associate
afrormosin,CP04450720,POLB,9606,associate
afrormosin,CP04450720,EP300,9606,associate
afrormosin,CP04450720,TPSAB1,9606,associate
afrormosin,CP04450720,PIP4K2B,9606,associate
afrormosin,CP04450720,DLG4,9606,associate
afrormosin,CP04450720,CD74,9606,associate
afrormosin,CP04450720,PRF1,9606,associate
afrormosin,CP04450720,KDM4C,9606,associate
afrormosin,CP04450720,HTR7,9606,associate
afrormosin,CP04450720,BMP4,9606,associate
afrormosin,CP04450720,NEK4,9606,associate
afrormosin,CP04450720,CA1,9606,associate
afrormosin,CP04450720,GALR1,9606,associate
