Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
calycosin,CP04449849,KDM4E,9606,associate
calycosin,CP04449849,RAB9A,9606,associate
calycosin,CP04449849,MAPT,9606,associate
calycosin,CP04449849,NPC1,9606,associate
calycosin,CP04449849,POLB,9606,associate
calycosin,CP04449849,ATAD5,9606,associate
calycosin,CP04449849,POLI,9606,associate
calycosin,CP04449849,Dyrk1a,10116,associate
calycosin,CP04449849,POLK,9606,associate
calycosin,CP04449849,BRCA1,9606,associate
calycosin,CP04449849,APEX1,9606,associate
calycosin,CP04449849,MLANA,9606,associate
calycosin,CP04449849,LYST,9606,associate
calycosin,CP04449849,TACC3,9606,associate
calycosin,CP04449849,MAPK14,9606,associate
calycosin,CP04449849,PDGFRB,9606,associate
calycosin,CP04449849,KLHL31,9606,associate
calycosin,CP04449849,AKR1C2,9606,associate
calycosin,CP04449849,DBT,9606,associate
calycosin,CP04449849,abhd14b,48698,activate
calycosin,CP04449849,ACHE,60711,activate
calycosin,CP04449849,ACHE,60711,associate
calycosin,CP04449849,ALB,37040,associate
calycosin,CP04449849,BLVRB,60711,activate
calycosin,CP04449849,ccnb1,48698,activate
calycosin,CP04449849,Ccnd3,10029,inhibit
calycosin,CP04449849,CCNG1,9233,activate
calycosin,CP04449849,cdk7,48698,activate
calycosin,CP04449849,CDKN1A,9606,inhibit
calycosin,CP04449849,Cdkn1c,885580,inhibit
calycosin,CP04449849,CDKN2D,9606,inhibit
calycosin,CP04449849,Epo,885580,activate
calycosin,CP04449849,ERP29,9555,activate
calycosin,CP04449849,esr1,215358,associate
calycosin,CP04449849,ESR2,9233,associate
calycosin,CP04449849,flt1,48698,activate
calycosin,CP04449849,HIF1A,9555,associate
calycosin,CP04449849,HIF1A,9555,activate
calycosin,CP04449849,HMGB1,9606,inhibit
calycosin,CP04449849,LOC103151753,48698,associate
calycosin,CP04449849,IL1RL1,60711,associate
calycosin,CP04449849,IL33,60711,associate
calycosin,CP04449849,IL6,9978,associate
calycosin,CP04449849,KRT1,9555,activate
calycosin,CP04449849,LASP1,9606,activate
calycosin,CP04449849,MAPK1,8839,associate
calycosin,CP04449849,MAPK3,60711,associate
calycosin,CP04449849,MCM5,55661,inhibit
calycosin,CP04449849,Mcm6,64838,activate
calycosin,CP04449849,NFE2L2,8839,associate
calycosin,CP04449849,NME1,60711,activate
calycosin,CP04449849,PEBP1,9233,activate
calycosin,CP04449849,Pgam1,885580,activate
calycosin,CP04449849,pnpo,48698,activate
calycosin,CP04449849,LOC103140020,48698,activate
calycosin,CP04449849,Prdx2,885580,inhibit
calycosin,CP04449849,PRIMA1,9606,activate
calycosin,CP04449849,rad9a,48698,inhibit
calycosin,CP04449849,rbx1,48698,activate
calycosin,CP04449849,RELA,9606,associate
calycosin,CP04449849,SKP1,9233,activate
calycosin,CP04449849,SKP2,9606,inhibit
calycosin,CP04449849,stip1,48698,activate
calycosin,CP04449849,Tagln2,885580,activate
calycosin,CP04449849,TGFB1,9555,associate
calycosin,CP04449849,Tnf,885580,associate
calycosin,CP04449849,ube3a,48698,activate
calycosin,CP04449849,ugt1a1,48698,associate
calycosin,CP04449849,Ugt1a10,10090,associate
calycosin,CP04449849,UGT1A3,9555,associate
calycosin,CP04449849,ugt1a7,7955,associate
calycosin,CP04449849,UGT1A8,9555,associate
calycosin,CP04449849,UGT1A9,9606,associate
calycosin,CP04449849,UGT2B7,9606,associate
calycosin,CP04449849,VEGFA,9925,activate
calycosin,CP04449849,MAPK1,9606,associate
calycosin,CP04449849,MCM5,9606,associate
calycosin,CP04449849,RBX1,9606,associate
calycosin,CP04449849,RASL12,9606,associate
calycosin,CP04449849,RASD1,9606,associate
calycosin,CP04449849,RERGL,9606,associate
calycosin,CP04449849,SKP1,9606,associate
calycosin,CP04449849,RASL11A,9606,associate
calycosin,CP04449849,CDKN1A,9606,associate
calycosin,CP04449849,RASL11B,9606,associate
calycosin,CP04449849,KRT1,9606,associate
calycosin,CP04449849,EPO,9606,associate
calycosin,CP04449849,CCNB1,9606,associate
calycosin,CP04449849,CDK7,9606,associate
calycosin,CP04449849,PEBP1,9606,associate
calycosin,CP04449849,ERP29,9606,associate
calycosin,CP04449849,PRDX1,9606,associate
calycosin,CP04449849,MAPK3,9606,associate
calycosin,CP04449849,BLVRB,9606,associate
calycosin,CP04449849,MCM6,9606,associate
calycosin,CP04449849,SKP2,9606,associate
calycosin,CP04449849,NBL1,9606,associate
calycosin,CP04449849,ALOX15,9606,associate
calycosin,CP04449849,PRDX2,9606,associate
calycosin,CP04449849,NKIRAS2,9606,associate
calycosin,CP04449849,UGT1A1,9606,associate
calycosin,CP04449849,STIP1,9606,associate
calycosin,CP04449849,RAD9A,9606,associate
calycosin,CP04449849,LASP1,9606,associate
calycosin,CP04449849,DIRAS1,9606,associate
calycosin,CP04449849,CDKN2D,9606,associate
calycosin,CP04449849,HIF1A,9606,associate
calycosin,CP04449849,HMGB1,9606,associate
calycosin,CP04449849,UGT1A10,9606,associate
calycosin,CP04449849,CCNG1,9606,associate
calycosin,CP04449849,PIK3CG,9606,associate
calycosin,CP04449849,ABHD14B,9606,associate
calycosin,CP04449849,PLA2G4A,9606,associate
calycosin,CP04449849,TAGLN2,9606,associate
calycosin,CP04449849,PGAM1,9606,associate
calycosin,CP04449849,CCND3,9606,associate
calycosin,CP04449849,UGT1A7,9606,associate
calycosin,CP04449849,UGT1A8,9606,associate
calycosin,CP04449849,DIRAS2,9606,associate
calycosin,CP04449849,NKIRAS1,9606,associate
calycosin,CP04449849,CDKN1C,9606,associate
calycosin,CP04449849,UGT1A3,9606,associate
calycosin,CP04449849,Esr2,10116,associate
calycosin,CP04449849,ESR1,9606,associate
calycosin,CP04449849,ALDH2,9606,associate
calycosin,CP04449849,ESR2,9606,associate
calycosin,CP04449849,PPARG,9606,associate
calycosin,CP04449849,MIF,9606,associate
calycosin,CP04449849,ALOX12,9606,associate
calycosin,CP04449849,CA12,9606,associate
calycosin,CP04449849,CA7,9606,associate
calycosin,CP04449849,CA4,9606,associate
calycosin,CP04449849,ABCB1,9606,associate
calycosin,CP04449849,ACHE,9606,associate
calycosin,CP04449849,HTR2C,9606,associate
calycosin,CP04449849,MAOA,9606,associate
calycosin,CP04449849,ABCG2,9606,associate
calycosin,CP04449849,CYP1B1,9606,associate
calycosin,CP04449849,XDH,9606,associate
calycosin,CP04449849,TNF,9606,associate
calycosin,CP04449849,NOX4,9606,associate
calycosin,CP04449849,PPARA,9606,associate
calycosin,CP04449849,EGFR,9606,associate
calycosin,CP04449849,SLCO1B3,9606,associate
calycosin,CP04449849,ABL1,9606,associate
calycosin,CP04449849,CA1,9606,associate
calycosin,CP04449849,HSD17B2,9606,associate
calycosin,CP04449849,TERT,9606,associate
