Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
folate,CP00005468,HSD17B10,9606,associate
folate,CP00005468,KDM4E,9606,associate
folate,CP00005468,TSHR,9606,associate
folate,CP00005468,TDP1,9606,associate
folate,CP00005468,ALDH1A1,9606,associate
folate,CP00005468,HPGD,9606,associate
folate,CP00005468,FTCD,9606,associate
folate,CP00005468,SLC19A2,9606,associate
folate,CP00005468,DHFR,9606,associate
folate,CP00005468,FOLR1,9606,associate
folate,CP00005468,SLC19A1,9606,associate
folate,CP00005468,FOLR3,9606,associate
folate,CP00005468,GGH,9606,associate
folate,CP00005468,Tyms,10090,inhibit
folate,CP00005468,TYMS,9606,inhibit
folate,CP00005468,SLC22A1,9606,associate
folate,CP00005468,KMT2A,9606,associate
folate,CP00005468,FTL,9796,associate
folate,CP00005468,GAA,9606,associate
folate,CP00005468,POLB,9606,associate
folate,CP00005468,GBA,9606,associate
folate,CP00005468,NFE2L2,9606,associate
folate,CP00005468,USP1,9606,associate
folate,CP00005468,ABCC4,9606,associate
folate,CP00005468,Slc21a4,10116,inhibit
folate,CP00005468,SMPD1,9606,associate
folate,CP00005468,GLA,9606,associate
folate,CP00005468,GLP1R,9606,associate
folate,CP00005468,SNCA,9606,associate
folate,CP00005468,SLCO1B1,9606,associate
folate,CP00005468,SLCO1B3,9606,associate
folate,CP00005468,AR,9606,associate
folate,CP00005468,APEX1,9606,associate
folate,CP00005468,FOLR2,9606,associate
folate,CP00005468,a,7227,associate
folate,CP00005468,A4GALT,9555,inhibit
folate,CP00005468,aaas,48698,associate
folate,CP00005468,AACS,9606,associate
folate,CP00005468,AADAC,9233,associate
folate,CP00005468,aagab,48698,associate
folate,CP00005468,aak1,48698,inhibit
folate,CP00005468,AAMDC,9233,associate
folate,CP00005468,aamp,48698,associate
folate,CP00005468,AANAT,9233,associate
folate,CP00005468,AARD,9555,inhibit
folate,CP00005468,AARD,9555,associate
folate,CP00005468,Aars,10116,associate
folate,CP00005468,aarsd1,48698,activate
folate,CP00005468,LOC103146306,48698,inhibit
folate,CP00005468,ABAT,9555,associate
folate,CP00005468,ABCA1,9823,inhibit
folate,CP00005468,ABCA1,9823,associate
folate,CP00005468,ABCA1,9823,activate
folate,CP00005468,ABCA13,9606,inhibit
folate,CP00005468,ABCA5,9233,inhibit
folate,CP00005468,ABCA5,9233,associate
folate,CP00005468,ABCA7,8496,associate
folate,CP00005468,Abca8a,10090,associate
folate,CP00005468,abcb10,48698,associate
folate,CP00005468,ABCB11,60711,associate
folate,CP00005468,Abcb1a,28588,inhibit
folate,CP00005468,Abcb1b,10090,associate
folate,CP00005468,ABCB5,9606,inhibit
folate,CP00005468,ABCB6,9365,associate
folate,CP00005468,Abcb8,885580,associate
folate,CP00005468,Abcb8,885580,activate
folate,CP00005468,ABCB9,9606,associate
folate,CP00005468,ABCC1,60711,associate
folate,CP00005468,ABCC1,60711,inhibit
folate,CP00005468,ABCC12,60711,activate
folate,CP00005468,LOC106578442,8030,activate
folate,CP00005468,ABCC3,60711,associate
folate,CP00005468,ABCC4,54374,associate
folate,CP00005468,ABCC5,57412,inhibit
folate,CP00005468,ABCC5,57412,associate
folate,CP00005468,ABCC8,60711,associate
folate,CP00005468,ABCC9,9606,inhibit
folate,CP00005468,ABCD3,9555,associate
folate,CP00005468,ABCD4,9606,associate
folate,CP00005468,ABCE1,9555,associate
folate,CP00005468,abcf1,48698,associate
folate,CP00005468,ABCF2,9606,associate
folate,CP00005468,Abcg2,10029,associate
folate,CP00005468,Abcg2,10029,activate
folate,CP00005468,Abcg2,10029,inhibit
folate,CP00005468,Abcg4,885580,associate
folate,CP00005468,Abcg4,885580,inhibit
folate,CP00005468,ABHD10,9555,inhibit
folate,CP00005468,abhd11,48698,associate
folate,CP00005468,Abhd12,10020,associate
folate,CP00005468,ABHD12B,60711,inhibit
folate,CP00005468,ABHD13,9606,inhibit
folate,CP00005468,abhd15,48698,activate
folate,CP00005468,Abhd17a,885580,associate
folate,CP00005468,ABHD17B,9233,associate
folate,CP00005468,ABHD2,9606,associate
folate,CP00005468,Abhd5,885580,associate
folate,CP00005468,Abhd5,885580,inhibit
folate,CP00005468,ABHD6,9606,inhibit
folate,CP00005468,ABI1,9606,inhibit
folate,CP00005468,Abi2,10090,associate
folate,CP00005468,ABLIM2,9606,associate
folate,CP00005468,ABLIM3,9606,associate
folate,CP00005468,Abr,10181,associate
folate,CP00005468,ABRA,57421,inhibit
folate,CP00005468,abracl,48698,associate
folate,CP00005468,Abraxas2,885580,inhibit
folate,CP00005468,ABTB1,9244,associate
folate,CP00005468,Acaa1a,10116,associate
folate,CP00005468,Acaa1b,10116,activate
folate,CP00005468,acaa2,48698,associate
folate,CP00005468,ACACA,9606,inhibit
folate,CP00005468,ACACA,9606,activate
folate,CP00005468,ACACA,9606,associate
folate,CP00005468,acacb,48698,inhibit
folate,CP00005468,acacb,48698,associate
folate,CP00005468,Acad10,885580,associate
folate,CP00005468,acad9,48698,associate
folate,CP00005468,ACADL,94827,associate
folate,CP00005468,ACADL,94827,inhibit
folate,CP00005468,acadm,48698,associate
folate,CP00005468,acadm,48698,inhibit
folate,CP00005468,acads,48698,associate
folate,CP00005468,ACAP3,9555,associate
folate,CP00005468,Acat1,64838,associate
folate,CP00005468,ACAT2,9233,associate
folate,CP00005468,ACBD3,9606,associate
folate,CP00005468,ACBD3,9606,inhibit
folate,CP00005468,LOC103129794,48698,associate
folate,CP00005468,LOC103129794,48698,inhibit
folate,CP00005468,Acbd5,64838,associate
folate,CP00005468,ACBD6,175836,associate
folate,CP00005468,ACCN3,9031,activate
folate,CP00005468,ACE,9233,associate
