Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
formononetin,CP04449816,HSD17B10,9606,associate
formononetin,CP04449816,KDM4E,9606,associate
formononetin,CP04449816,LOC110245663,1720309,associate
formononetin,CP04449816,CYP2C19,9606,associate
formononetin,CP04449816,MAPT,9606,associate
formononetin,CP04449816,ALDH1A1,9606,associate
formononetin,CP04449816,HPGD,9606,associate
formononetin,CP04449816,TP53,9606,associate
formononetin,CP04449816,CYP3A4,9606,associate
formononetin,CP04449816,CYP2D6,9606,associate
formononetin,CP04449816,CYP2C9,9606,associate
formononetin,CP04449816,CYP1A1,9606,inhibit
formononetin,CP04449816,SLC5A1,9606,associate
formononetin,CP04449816,SLC5A2,9606,associate
formononetin,CP04449816,XDH,9913,associate
formononetin,CP04449816,PPARG,9606,associate
formononetin,CP04449816,PPARA,9606,associate
formononetin,CP04449816,KMT2A,9606,associate
formononetin,CP04449816,pxo1_107,1392,associate
formononetin,CP04449816,NFE2L2,9606,associate
formononetin,CP04449816,LARP6,9606,inhibit
formononetin,CP04449816,HSPA5,9606,associate
formononetin,CP04449816,GLS,9606,associate
formononetin,CP04449816,BRCA1,9606,associate
formononetin,CP04449816,PPARD,9606,associate
formononetin,CP04449816,SLCO1B1,9606,associate
formononetin,CP04449816,SLCO1B3,9606,associate
formononetin,CP04449816,AR,9606,associate
formononetin,CP04449816,PTH1R,9606,associate
formononetin,CP04449816,IL2,9606,associate
formononetin,CP04449816,RELA,9606,associate
formononetin,CP04449816,NFKB1,9606,associate
formononetin,CP04449816,cyp1b,7998,inhibit
formononetin,CP04449816,ABCB1,9823,associate
formononetin,CP04449816,ABCB1,9823,activate
formononetin,CP04449816,ABCC1,60711,associate
formononetin,CP04449816,ABCC1,60711,inhibit
formononetin,CP04449816,Abcc2,885580,associate
formononetin,CP04449816,Abcc2,885580,inhibit
formononetin,CP04449816,ABCC4,54374,associate
formononetin,CP04449816,AHR,9606,activate
formononetin,CP04449816,AHR,9606,associate
formononetin,CP04449816,ALB,37040,associate
formononetin,CP04449816,BAX,9925,associate
formononetin,CP04449816,BCL2,9606,inhibit
formononetin,CP04449816,BCL2,9606,associate
formononetin,CP04449816,Casp3,885580,associate
formononetin,CP04449816,Casp3,885580,activate
formononetin,CP04449816,CASP8,9606,associate
formononetin,CP04449816,CASP8,9606,activate
formononetin,CP04449816,CASP9,9555,associate
formononetin,CP04449816,CASP9,9555,activate
formononetin,CP04449816,ccnb1,48698,activate
formononetin,CP04449816,ccnb1,48698,associate
formononetin,CP04449816,CCND1,9233,activate
formononetin,CP04449816,CCND1,9233,associate
formononetin,CP04449816,CXCL8,9606,associate
formononetin,CP04449816,cyp19a1b,7955,activate
formononetin,CP04449816,LOC101001307,9555,associate
formononetin,CP04449816,LOC101001307,9555,activate
formononetin,CP04449816,CYP1A2,9685,inhibit
formononetin,CP04449816,LOC101014578,9555,associate
formononetin,CP04449816,LOC101014578,9555,activate
formononetin,CP04449816,CYP2D6,9606,inhibit
formononetin,CP04449816,Epo,885580,activate
formononetin,CP04449816,esr1,215358,activate
formononetin,CP04449816,esr1,215358,associate
formononetin,CP04449816,ESR2,9233,associate
formononetin,CP04449816,HAVCR1,9685,associate
formononetin,CP04449816,HIF1A,9555,associate
formononetin,CP04449816,HIF1A,9555,activate
formononetin,CP04449816,IL17A,9555,associate
formononetin,CP04449816,IL4,60711,activate
formononetin,CP04449816,mdm2,48698,activate
formononetin,CP04449816,MDM4,9606,activate
