Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
guanosine,CP00006117,RECQL,9606,associate
guanosine,CP00006117,43,12353,associate
guanosine,CP00006117,AHCY,9606,inhibit
guanosine,CP00006117,PNP,9606,associate
guanosine,CP00006117,POLE3,9606,associate
guanosine,CP00006117,STX4,9606,associate
guanosine,CP00006117,AGRN,9606,associate
guanosine,CP00006117,TUBGCP6,9606,associate
guanosine,CP00006117,PLPP4,9606,associate
guanosine,CP00006117,MAL,9606,associate
guanosine,CP00006117,CAMK2G,9606,associate
guanosine,CP00006117,GCGR,9606,associate
guanosine,CP00006117,TUBB6,9606,associate
guanosine,CP00006117,MAPK8,9606,activate
guanosine,CP00006117,PIK3R1,9606,associate
guanosine,CP00006117,MECP2,9606,associate
guanosine,CP00006117,NCKAP1,9606,associate
guanosine,CP00006117,MTNR1B,9606,associate
guanosine,CP00006117,ARL6,9606,associate
guanosine,CP00006117,FARSA,9606,associate
guanosine,CP00006117,PCK2,9606,associate
guanosine,CP00006117,PNP,9606,activate
guanosine,CP00006117,SUPT4H1,9606,associate
guanosine,CP00006117,POLH,9606,associate
guanosine,CP00006117,RANGAP1,9606,associate
guanosine,CP00006117,RAB34,9606,associate
guanosine,CP00006117,CASP8,9606,associate
guanosine,CP00006117,FAM184B,9606,associate
guanosine,CP00006117,CARD11,9606,associate
guanosine,CP00006117,GBP1,9606,associate
guanosine,CP00006117,PARD6A,9606,associate
guanosine,CP00006117,ACTG1,9606,associate
guanosine,CP00006117,CAVIN3,9606,associate
guanosine,CP00006117,ALDH7A1,9606,associate
guanosine,CP00006117,GUCA2A,9606,associate
guanosine,CP00006117,RELA,9606,associate
guanosine,CP00006117,PPARGC1A,9606,associate
guanosine,CP00006117,RGS7,9606,associate
guanosine,CP00006117,SUCLG1,9606,associate
guanosine,CP00006117,HDDC3,9606,associate
guanosine,CP00006117,NPPA,9606,associate
guanosine,CP00006117,ARHGEF25,9606,associate
guanosine,CP00006117,APP,9606,associate
guanosine,CP00006117,FFAR1,9606,associate
guanosine,CP00006117,PPP1R14A,9606,associate
guanosine,CP00006117,VAV2,9606,associate
guanosine,CP00006117,TNFSF4,9606,associate
guanosine,CP00006117,HGD,9606,associate
guanosine,CP00006117,SLC29A1,9606,associate
guanosine,CP00006117,DNM2,9606,associate
guanosine,CP00006117,GFM1,9606,associate
guanosine,CP00006117,EHHADH,9606,associate
guanosine,CP00006117,ADORA2B,9606,associate
guanosine,CP00006117,TMSB4X,9606,associate
guanosine,CP00006117,LCK,9606,associate
guanosine,CP00006117,HINT2,9606,associate
guanosine,CP00006117,MTOR,9606,associate
guanosine,CP00006117,RIC8B,9606,associate
guanosine,CP00006117,USP6NL,9606,associate
guanosine,CP00006117,TUBA1B,9606,associate
guanosine,CP00006117,TFRC,9606,associate
guanosine,CP00006117,GDI1,9606,associate
guanosine,CP00006117,MAPT,9606,associate
guanosine,CP00006117,UPP1,9606,activate
guanosine,CP00006117,SPOPL,9606,associate
guanosine,CP00006117,RAB40B,9606,associate
guanosine,CP00006117,RIC8A,9606,associate
guanosine,CP00006117,UBE2I,9606,associate
guanosine,CP00006117,RPS6KA3,9606,associate
guanosine,CP00006117,CYTH1,9606,associate
guanosine,CP00006117,ENTPD7,9606,associate
guanosine,CP00006117,GCG,9606,associate
guanosine,CP00006117,EEF1A1,9606,associate
guanosine,CP00006117,ARF5,9606,associate
guanosine,CP00006117,SNUPN,9606,associate
guanosine,CP00006117,RABL6,9606,associate
guanosine,CP00006117,UMPS,9606,associate
guanosine,CP00006117,KCNMA1,9606,associate
guanosine,CP00006117,RAC2,9606,associate
guanosine,CP00006117,TUBB,9606,associate
guanosine,CP00006117,F2R,9606,associate
guanosine,CP00006117,RAB35,9606,associate
guanosine,CP00006117,MCAM,9606,associate
guanosine,CP00006117,ADCY4,9606,associate
guanosine,CP00006117,TRUB1,9606,associate
guanosine,CP00006117,MMAA,9606,associate
guanosine,CP00006117,IMPDH1,9606,associate
guanosine,CP00006117,NF1,9606,associate
guanosine,CP00006117,STK40,9606,associate
guanosine,CP00006117,DOCK9,9606,associate
guanosine,CP00006117,TIAM1,9606,associate
guanosine,CP00006117,PLCXD1,9606,associate
guanosine,CP00006117,CYBA,9606,associate
guanosine,CP00006117,RAP2C,9606,associate
guanosine,CP00006117,SUPT7L,9606,associate
guanosine,CP00006117,MYLK3,9606,associate
guanosine,CP00006117,MAPK7,9606,associate
guanosine,CP00006117,RAB33B,9606,associate
guanosine,CP00006117,DIRAS3,9606,associate
guanosine,CP00006117,TWIST1,9606,associate
guanosine,CP00006117,TLR8,9606,associate
guanosine,CP00006117,KAT5,9606,associate
guanosine,CP00006117,AGTR2,9606,associate
guanosine,CP00006117,STK36,9606,associate
