Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
ononin,CP00369600,RAB9A,9606,associate
ononin,CP00369600,NPC1,9606,associate
ononin,CP00369600,ALDH2,9606,inhibit
ononin,CP00369600,NFE2L2,9606,associate
ononin,CP00369600,TP53,9606,associate
ononin,CP00369600,ATAD5,9606,associate
ononin,CP00369600,POLI,9606,associate
ononin,CP00369600,AKR1B1,9606,associate
ononin,CP00369600,BRCA1,9606,associate
ononin,CP00369600,IL2,9606,associate
ononin,CP00369600,ALB,37040,associate
ononin,CP00369600,Epo,885580,activate
ononin,CP00369600,HIF1A,9555,associate
ononin,CP00369600,HIF1A,9555,activate
ononin,CP00369600,CHRAC1,9606,associate
ononin,CP00369600,OAS3,9606,associate
ononin,CP00369600,UGT2A3,9606,associate
ononin,CP00369600,OASL,9606,associate
ononin,CP00369600,NT5E,9606,associate
ononin,CP00369600,UGT2B10,9606,associate
ononin,CP00369600,UGT3A1,9606,associate
ononin,CP00369600,UGT3A2,9606,associate
ononin,CP00369600,ALOX15,9606,associate
ononin,CP00369600,UGT1A6,9606,associate
ononin,CP00369600,UBB,9606,associate
ononin,CP00369600,UGT2B7,9606,associate
ononin,CP00369600,UGT1A1,9606,associate
ononin,CP00369600,UGT2B4,9606,associate
ononin,CP00369600,PSMA8,9606,associate
ononin,CP00369600,UGT8,9606,associate
ononin,CP00369600,UGT2B17,9606,associate
ononin,CP00369600,CTDNEP1,9606,associate
ononin,CP00369600,UBL4B,9606,associate
ononin,CP00369600,UGT2B28,9606,associate
ononin,CP00369600,ZFAND4,9606,associate
ononin,CP00369600,UGT2B15,9606,associate
ononin,CP00369600,OAS2,9606,associate
ononin,CP00369600,UGT1A10,9606,associate
ononin,CP00369600,UBC,9606,associate
ononin,CP00369600,NFYA,9606,associate
ononin,CP00369600,UGT1A9,9606,associate
ononin,CP00369600,PIK3CG,9606,associate
ononin,CP00369600,PLA2G4A,9606,associate
ononin,CP00369600,UBL4A,9606,associate
ononin,CP00369600,PSMA7,9606,associate
ononin,CP00369600,UGT1A4,9606,associate
ononin,CP00369600,UGT1A5,9606,associate
ononin,CP00369600,UGT1A7,9606,associate
ononin,CP00369600,UGT1A8,9606,associate
ononin,CP00369600,UBD,9606,associate
ononin,CP00369600,UGT2B11,9606,associate
ononin,CP00369600,OAS1,9606,associate
ononin,CP00369600,NFYC,9606,associate
ononin,CP00369600,UGT1A3,9606,associate
ononin,CP00369600,MAOB,9606,associate
ononin,CP00369600,AKR1B1,9606,inhibit
ononin,CP00369600,ALDH2,9606,associate
ononin,CP00369600,CA12,9606,associate
ononin,CP00369600,TNF,9606,associate
ononin,CP00369600,SLC5A2,9606,associate
ononin,CP00369600,CA7,9606,associate
ononin,CP00369600,CA9,9606,associate
ononin,CP00369600,CA1,9606,associate
ononin,CP00369600,CA2,9606,associate
ononin,CP00369600,TERT,9606,associate
ononin,CP00369600,CA4,9606,associate
ononin,CP00369600,LGALS3,9606,associate
ononin,CP00369600,PPARG,9606,associate
ononin,CP00369600,CYP19A1,9606,associate
ononin,CP00369600,SLC5A4,9606,associate
ononin,CP00369600,ABCB1,9606,associate
ononin,CP00369600,FGF2,9606,associate
ononin,CP00369600,KIF11,9606,associate
ononin,CP00369600,CDC42BPA,9606,associate
ononin,CP00369600,HTR2A,9606,associate
ononin,CP00369600,CYP3A4,9606,associate
ononin,CP00369600,PTGS1,9606,associate
ononin,CP00369600,MAOA,9606,associate
ononin,CP00369600,SLC5A1,9606,associate
ononin,CP00369600,CA5B,9606,associate
ononin,CP00369600,ERBB2,9606,associate
