Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
pratensein,CP04450814,SCARB1,9606,associate
pratensein,CP04450814,OSM,9606,associate
pratensein,CP04450814,AKR1C2,9606,associate
pratensein,CP04450814,AMH,9606,associate
pratensein,CP04450814,ABCA1,9606,associate
pratensein,CP04450814,MCAT,9606,associate
pratensein,CP04450814,ACHE,60711,activate
pratensein,CP04450814,ACHE,60711,associate
pratensein,CP04450814,PRIMA1,9606,activate
pratensein,CP04450814,UGT2A3,9606,associate
pratensein,CP04450814,UGT2B10,9606,associate
pratensein,CP04450814,UGT3A1,9606,associate
pratensein,CP04450814,UGT3A2,9606,associate
pratensein,CP04450814,UGT1A6,9606,associate
pratensein,CP04450814,UGT2B7,9606,associate
pratensein,CP04450814,UGT1A1,9606,associate
pratensein,CP04450814,UGT2B4,9606,associate
pratensein,CP04450814,LRTOMT,9606,associate
pratensein,CP04450814,PSMA8,9606,associate
pratensein,CP04450814,UGT8,9606,associate
pratensein,CP04450814,UGT2B17,9606,associate
pratensein,CP04450814,CTDNEP1,9606,associate
pratensein,CP04450814,UGT2B28,9606,associate
pratensein,CP04450814,UGT2B15,9606,associate
pratensein,CP04450814,UGT1A10,9606,associate
pratensein,CP04450814,UGT1A9,9606,associate
pratensein,CP04450814,PSMA7,9606,associate
pratensein,CP04450814,UGT1A4,9606,associate
pratensein,CP04450814,UGT1A5,9606,associate
pratensein,CP04450814,UGT1A7,9606,associate
pratensein,CP04450814,UGT1A8,9606,associate
pratensein,CP04450814,UGT2B11,9606,associate
pratensein,CP04450814,UGT1A3,9606,associate
pratensein,CP04450814,CA4,9606,associate
pratensein,CP04450814,CA12,9606,associate
pratensein,CP04450814,CA7,9606,associate
pratensein,CP04450814,EGFR,9606,associate
pratensein,CP04450814,HSD17B2,9606,associate
pratensein,CP04450814,CYP19A1,9606,associate
pratensein,CP04450814,ABCB1,9606,associate
pratensein,CP04450814,ABCG2,9606,associate
pratensein,CP04450814,ADORA2A,9606,associate
pratensein,CP04450814,SLCO1B1,9606,associate
pratensein,CP04450814,MAOA,9606,associate
pratensein,CP04450814,SLCO1B3,9606,associate
pratensein,CP04450814,HTR2A,9606,associate
pratensein,CP04450814,HTR2C,9606,associate
pratensein,CP04450814,MGAM,9606,associate
pratensein,CP04450814,TBXAS1,9606,associate
pratensein,CP04450814,ESRRB,9606,associate
pratensein,CP04450814,ABL1,9606,associate
pratensein,CP04450814,PPARG,9606,associate
pratensein,CP04450814,ESR1,9606,associate
pratensein,CP04450814,CYP1B1,9606,associate
pratensein,CP04450814,ALDH2,9606,associate
pratensein,CP04450814,ACHE,9606,associate
pratensein,CP04450814,ABCC1,9606,associate
pratensein,CP04450814,CYP1A1,9606,associate
pratensein,CP04450814,ESRRA,9606,associate
pratensein,CP04450814,CYP1A2,9606,associate
pratensein,CP04450814,ESR2,9606,associate
pratensein,CP04450814,ALOX12,9606,associate
pratensein,CP04450814,XDH,9606,associate
pratensein,CP04450814,AKR1B1,9606,associate
pratensein,CP04450814,GLO1,9606,associate
pratensein,CP04450814,HSD17B1,9606,associate
pratensein,CP04450814,ALOX5,9606,associate
pratensein,CP04450814,BACE1,9606,associate
pratensein,CP04450814,FLT3,9606,associate
pratensein,CP04450814,SYK,9606,associate
pratensein,CP04450814,TTR,9606,associate
pratensein,CP04450814,CA2,9606,associate
pratensein,CP04450814,NOX4,9606,associate
pratensein,CP04450814,CA9,9606,associate
pratensein,CP04450814,GPR35,9606,associate
pratensein,CP04450814,PKN1,9606,associate
pratensein,CP04450814,ALK,9606,associate
pratensein,CP04450814,SRC,9606,associate
pratensein,CP04450814,GSK3B,9606,associate
pratensein,CP04450814,CA1,9606,associate
pratensein,CP04450814,DRD4,9606,associate
pratensein,CP04450814,PIM1,9606,associate
pratensein,CP04450814,APOBEC3G,9606,associate
pratensein,CP04450814,APP,9606,associate
pratensein,CP04450814,PTPN1,9606,associate
pratensein,CP04450814,MCL1,9606,associate
pratensein,CP04450814,MMP2,9606,associate
pratensein,CP04450814,AURKB,9606,associate
pratensein,CP04450814,MMP13,9606,associate
pratensein,CP04450814,CDK8,9606,associate
pratensein,CP04450814,MIF,9606,associate
pratensein,CP04450814,AKT1,9606,associate
pratensein,CP04450814,TNFRSF1A,9606,associate
pratensein,CP04450814,MMP9,9606,associate
pratensein,CP04450814,CA3,9606,associate
pratensein,CP04450814,MAOB,9606,associate
pratensein,CP04450814,INSR,9606,associate
pratensein,CP04450814,NUAK1,9606,associate
pratensein,CP04450814,CTDSP1,9606,associate
pratensein,CP04450814,AHR,9606,associate
pratensein,CP04450814,TNF,9606,associate
pratensein,CP04450814,AR,9606,associate
pratensein,CP04450814,TLR9,9606,associate
pratensein,CP04450814,CDC25B,9606,associate
pratensein,CP04450814,AURKA,9606,associate
pratensein,CP04450814,CYP2D6,9606,associate
pratensein,CP04450814,CYP2C9,9606,associate
pratensein,CP04450814,RPS6KA3,9606,associate
pratensein,CP04450814,KDR,9606,associate
pratensein,CP04450814,HDAC8,9606,associate
pratensein,CP04450814,CA14,9606,associate
pratensein,CP04450814,CDK1,9606,associate
pratensein,CP04450814,ADORA3,9606,associate
pratensein,CP04450814,CSNK2A1,9606,associate
pratensein,CP04450814,NQO2,9606,associate
pratensein,CP04450814,PDE4D,9606,associate
pratensein,CP04450814,TYR,9606,associate
pratensein,CP04450814,TNKS2,9606,associate
pratensein,CP04450814,DAPK1,9606,associate
pratensein,CP04450814,AXL,9606,associate
pratensein,CP04450814,CXCR1,9606,associate
pratensein,CP04450814,TGFBR2,9606,associate
pratensein,CP04450814,STK4,9606,associate
pratensein,CP04450814,VCAM1,9606,associate
pratensein,CP04450814,ADCY1,9606,associate
pratensein,CP04450814,ADAMTS4,9606,associate
pratensein,CP04450814,CFTR,9606,associate
pratensein,CP04450814,CYP11B2,9606,associate
