Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
sissotrin,CP04450076,RPL6,9606,associate
sissotrin,CP04450076,SLC35A2,9606,associate
sissotrin,CP04450076,UGT2A3,9606,associate
sissotrin,CP04450076,NT5E,9606,associate
sissotrin,CP04450076,BRD4,9606,associate
sissotrin,CP04450076,CNTN3,9606,associate
sissotrin,CP04450076,UGT2B10,9606,associate
sissotrin,CP04450076,UGT3A1,9606,associate
sissotrin,CP04450076,UGT3A2,9606,associate
sissotrin,CP04450076,UGT1A6,9606,associate
sissotrin,CP04450076,UGT2B7,9606,associate
sissotrin,CP04450076,UGT1A1,9606,associate
sissotrin,CP04450076,UGT2B4,9606,associate
sissotrin,CP04450076,BRD3,9606,associate
sissotrin,CP04450076,UGT8,9606,associate
sissotrin,CP04450076,UGT2B17,9606,associate
sissotrin,CP04450076,UGT2B28,9606,associate
sissotrin,CP04450076,UGT2B15,9606,associate
sissotrin,CP04450076,CNTN6,9606,associate
sissotrin,CP04450076,UGT1A10,9606,associate
sissotrin,CP04450076,UGT1A9,9606,associate
sissotrin,CP04450076,BRDT,9606,associate
sissotrin,CP04450076,UGT1A4,9606,associate
sissotrin,CP04450076,UGT1A5,9606,associate
sissotrin,CP04450076,UGT1A7,9606,associate
sissotrin,CP04450076,UGT1A8,9606,associate
sissotrin,CP04450076,BRD2,9606,associate
sissotrin,CP04450076,CNTN4,9606,associate
sissotrin,CP04450076,UGT2B11,9606,associate
sissotrin,CP04450076,UGT1A3,9606,associate
sissotrin,CP04450076,CA12,9606,associate
sissotrin,CP04450076,ALDH2,9606,associate
sissotrin,CP04450076,CA7,9606,associate
sissotrin,CP04450076,TNF,9606,associate
sissotrin,CP04450076,CYP19A1,9606,associate
sissotrin,CP04450076,SLC5A2,9606,associate
sissotrin,CP04450076,ABCB1,9606,associate
sissotrin,CP04450076,CA4,9606,associate
sissotrin,CP04450076,HSD17B2,9606,associate
sissotrin,CP04450076,SLC5A1,9606,associate
sissotrin,CP04450076,CA2,9606,associate
sissotrin,CP04450076,EGFR,9606,associate
sissotrin,CP04450076,HTR2C,9606,associate
sissotrin,CP04450076,SLCO1B1,9606,associate
sissotrin,CP04450076,SLCO1B3,9606,associate
sissotrin,CP04450076,ABCG2,9606,associate
sissotrin,CP04450076,ESR1,9606,associate
sissotrin,CP04450076,ACHE,9606,associate
sissotrin,CP04450076,ADORA2A,9606,associate
sissotrin,CP04450076,TBXAS1,9606,associate
sissotrin,CP04450076,ABL1,9606,associate
sissotrin,CP04450076,ESRRA,9606,associate
sissotrin,CP04450076,CA1,9606,associate
sissotrin,CP04450076,AKR1B1,9606,associate
sissotrin,CP04450076,HTR2A,9606,associate
sissotrin,CP04450076,NOX4,9606,associate
sissotrin,CP04450076,SLC5A4,9606,associate
