Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
sucrose,CP00005425,Pmp22,10116,associate
sucrose,CP00005425,CA9,9606,associate
sucrose,CP00005425,CA2,9606,associate
sucrose,CP00005425,A4GALT,9555,activate
sucrose,CP00005425,AACS,9606,associate
sucrose,CP00005425,AACS,9606,activate
sucrose,CP00005425,Aadacl3,885580,activate
sucrose,CP00005425,AADACL4,9555,activate
sucrose,CP00005425,AATK,9365,associate
sucrose,CP00005425,AATK,9365,activate
sucrose,CP00005425,Abca17,10116,associate
sucrose,CP00005425,Abca17,10116,activate
sucrose,CP00005425,abca2,48698,associate
sucrose,CP00005425,Abca4,10020,inhibit
sucrose,CP00005425,Abca8b,10090,associate
sucrose,CP00005425,Abcb1a,28588,associate
sucrose,CP00005425,ABCB9,9606,associate
sucrose,CP00005425,ABCG5,60711,inhibit
sucrose,CP00005425,ABHD3,100784,activate
sucrose,CP00005425,Acaa1a,10116,associate
sucrose,CP00005425,Acaa1b,10116,associate
sucrose,CP00005425,ACACA,9606,associate
sucrose,CP00005425,acacb,48698,associate
sucrose,CP00005425,ACAD11,118200,associate
sucrose,CP00005425,acadm,48698,associate
sucrose,CP00005425,LOC103129794,48698,associate
sucrose,CP00005425,ACBD7,8496,activate
sucrose,CP00005425,ACLY,9606,associate
sucrose,CP00005425,acod1,48698,activate
sucrose,CP00005425,ACOT11,60711,associate
sucrose,CP00005425,acot13,48698,associate
sucrose,CP00005425,Acot3,10090,associate
sucrose,CP00005425,ACOT4,9555,associate
sucrose,CP00005425,Acot5,10116,associate
sucrose,CP00005425,Acot8,885580,associate
sucrose,CP00005425,acox1,48698,associate
sucrose,CP00005425,ACR,9365,activate
sucrose,CP00005425,ACSL4,9233,associate
sucrose,CP00005425,ACSL5,9233,associate
sucrose,CP00005425,ACSM3,9555,associate
sucrose,CP00005425,LOC103132135,48698,associate
sucrose,CP00005425,ACTA2,9233,associate
sucrose,CP00005425,Actbl2,885580,activate
sucrose,CP00005425,Actl11,10116,activate
sucrose,CP00005425,ACTN3,9606,activate
sucrose,CP00005425,ADAMDEC1,60711,associate
sucrose,CP00005425,ADAMDEC1,60711,activate
sucrose,CP00005425,Adamts15,885580,associate
sucrose,CP00005425,Adamts15,885580,activate
sucrose,CP00005425,ADAMTS19,9365,activate
sucrose,CP00005425,Adamts4,885580,activate
sucrose,CP00005425,ADCY1,57068,activate
sucrose,CP00005425,ADCY10,9606,associate
sucrose,CP00005425,Adcy2,64838,associate
sucrose,CP00005425,Adcy2,64838,activate
sucrose,CP00005425,Adcyap1,10181,associate
sucrose,CP00005425,Adcyap1,10181,activate
sucrose,CP00005425,add2,48698,associate
sucrose,CP00005425,add2,48698,activate
sucrose,CP00005425,ADGRL3,9365,activate
sucrose,CP00005425,Adipoq,885580,associate
sucrose,CP00005425,ADM2,60711,activate
sucrose,CP00005425,adrb1,48698,activate
sucrose,CP00005425,LOC103151738,48698,associate
sucrose,CP00005425,aebp2,48698,associate
sucrose,CP00005425,aebp2,48698,activate
sucrose,CP00005425,Agbl1,10116,associate
sucrose,CP00005425,Agbl1,10116,activate
sucrose,CP00005425,AGBL2,9606,activate
sucrose,CP00005425,Ager,885580,associate
sucrose,CP00005425,AGPAT1,9606,associate
sucrose,CP00005425,LOC103129141,48698,activate
sucrose,CP00005425,AHR,9606,associate
sucrose,CP00005425,AHSP,9555,associate
sucrose,CP00005425,AHSP,9555,activate
sucrose,CP00005425,AIFM3,60711,activate
sucrose,CP00005425,Akr1c14,10116,associate
sucrose,CP00005425,LOC103145381,48698,associate
sucrose,CP00005425,LOC103138946,48698,associate
sucrose,CP00005425,ALDH1A1,60711,associate
sucrose,CP00005425,aldh2,48698,associate
sucrose,CP00005425,Aldh3a2,885580,associate
sucrose,CP00005425,ALOX12E,9913,activate
sucrose,CP00005425,ALOX15,9555,activate
sucrose,CP00005425,ALPK1,60711,activate
sucrose,CP00005425,Alpk3,885580,activate
sucrose,CP00005425,ALX1,60711,associate
sucrose,CP00005425,ALX1,60711,activate
sucrose,CP00005425,ALX3,9555,activate
sucrose,CP00005425,ALX4,9555,activate
sucrose,CP00005425,angptl4,48698,associate
sucrose,CP00005425,ANKAR,9365,activate
sucrose,CP00005425,ankk1,48698,activate
sucrose,CP00005425,ankrd29,48698,activate
sucrose,CP00005425,ankrd55,7955,activate
sucrose,CP00005425,ANKRD6,55661,activate
sucrose,CP00005425,ANO7,8496,activate
sucrose,CP00005425,Aox3,10090,associate
sucrose,CP00005425,Apc2,10116,activate
sucrose,CP00005425,APLN,60711,associate
sucrose,CP00005425,Apoa4,885580,associate
sucrose,CP00005425,Apoa5,10029,associate
sucrose,CP00005425,Apoc3,10029,associate
sucrose,CP00005425,Apol7a,10090,associate
sucrose,CP00005425,Apol7c,10090,associate
sucrose,CP00005425,APOLD1,9555,associate
sucrose,CP00005425,Apom,10029,associate
sucrose,CP00005425,Aqp2,885580,activate
sucrose,CP00005425,LOC104921067,215358,associate
sucrose,CP00005425,AR,9606,associate
sucrose,CP00005425,arid3a,48698,activate
sucrose,CP00005425,LOC108941756,113540,activate
sucrose,CP00005425,ARMC12,60711,activate
sucrose,CP00005425,arnt2,48698,activate
sucrose,CP00005425,arntl,48698,associate
sucrose,CP00005425,Arr3,10116,activate
sucrose,CP00005425,Arrdc5,885580,activate
sucrose,CP00005425,LOC103129282,48698,associate
sucrose,CP00005425,LOC103129282,48698,activate
sucrose,CP00005425,Art5,10029,activate
sucrose,CP00005425,ASAH2,97097,activate
sucrose,CP00005425,asb1,48698,activate
sucrose,CP00005425,ASB10,9606,activate
sucrose,CP00005425,asb14,48698,associate
sucrose,CP00005425,asb14,48698,activate
sucrose,CP00005425,ASB18,60711,activate
sucrose,CP00005425,ASB7,9606,associate
sucrose,CP00005425,ASNS,9233,activate
sucrose,CP00005425,Atcay,10181,activate
sucrose,CP00005425,ATF4,9233,associate
sucrose,CP00005425,ATG5,100784,associate
sucrose,CP00005425,ATG7,9555,associate
sucrose,CP00005425,ATG9B,60711,activate
sucrose,CP00005425,ATP10A,60711,activate
sucrose,CP00005425,ATP4A,9365,associate
sucrose,CP00005425,ATP4A,9365,activate
sucrose,CP00005425,Atp6v1g2,885580,activate
sucrose,CP00005425,ATP6V1G3,9233,associate
sucrose,CP00005425,ATP6V1G3,9233,activate
sucrose,CP00005425,AVPR1B,9233,associate
sucrose,CP00005425,AVPR1B,9233,activate
