Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
aegelinol,CP00995258,CCND1,9606,associate
aegelinol,CP00995258,ENPEP,9606,associate
aegelinol,CP00995258,CDK2,9606,associate
aegelinol,CP00995258,CDKN1B,9606,associate
aegelinol,CP00995258,WNT3A,9606,associate
aegelinol,CP00995258,CDK4,9606,associate
aegelinol,CP00995258,CREB1,9606,associate
aegelinol,CP00995258,PARP1,9606,associate
aegelinol,CP00995258,CDK6,9606,associate
aegelinol,CP00995258,IFI27,9606,associate
aegelinol,CP00995258,AR,9606,associate
aegelinol,CP00995258,KCNH1,9606,associate
aegelinol,CP00995258,MSMP,9606,associate
aegelinol,CP00995258,ACHE,9606,associate
aegelinol,CP00995258,KCNG1,9606,associate
aegelinol,CP00995258,PROS1,9606,associate
aegelinol,CP00995258,CA9,9606,associate
aegelinol,CP00995258,CA7,9606,associate
aegelinol,CP00995258,CA12,9606,associate
aegelinol,CP00995258,CA1,9606,associate
aegelinol,CP00995258,HIF1A,9606,associate
aegelinol,CP00995258,CA14,9606,associate
aegelinol,CP00995258,CA13,9606,associate
aegelinol,CP00995258,CA5B,9606,associate
aegelinol,CP00995258,CA4,9606,associate
aegelinol,CP00995258,ABCB1,9606,associate
aegelinol,CP00995258,PGR,9606,associate
aegelinol,CP00995258,CNR2,9606,associate
aegelinol,CP00995258,SLCO1B3,9606,associate
aegelinol,CP00995258,CA3,9606,associate
aegelinol,CP00995258,PTGS2,9606,associate
aegelinol,CP00995258,SLCO1B1,9606,associate
aegelinol,CP00995258,MAOB,9606,associate
aegelinol,CP00995258,NR1I2,9606,associate
aegelinol,CP00995258,CA5A,9606,associate
aegelinol,CP00995258,MCL1,9606,associate
aegelinol,CP00995258,SHBG,9606,associate
aegelinol,CP00995258,CTSD,9606,associate
aegelinol,CP00995258,CA6,9606,associate
aegelinol,CP00995258,DNMT1,9606,associate
aegelinol,CP00995258,POLB,9606,associate
aegelinol,CP00995258,MIF,9606,associate
aegelinol,CP00995258,NISCH,9606,associate
aegelinol,CP00995258,PDE10A,9606,associate
aegelinol,CP00995258,HTR1B,9606,associate
aegelinol,CP00995258,PRKCH,9606,associate
aegelinol,CP00995258,NFKB1,9606,associate
aegelinol,CP00995258,PSMB5,9606,associate
aegelinol,CP00995258,PRKCB,9606,associate
aegelinol,CP00995258,SIGMAR1,9606,associate
aegelinol,CP00995258,MAOA,9606,associate
aegelinol,CP00995258,CNR1,9606,associate
aegelinol,CP00995258,ESR2,9606,associate
aegelinol,CP00995258,ABCC9,9606,associate
aegelinol,CP00995258,HDAC4,9606,associate
aegelinol,CP00995258,ADORA2B,9606,associate
aegelinol,CP00995258,PTPN1,9606,associate
aegelinol,CP00995258,SLC6A4,9606,associate
aegelinol,CP00995258,OPRM1,9606,associate
aegelinol,CP00995258,NR4A1,9606,associate
aegelinol,CP00995258,IKBKB,9606,associate
aegelinol,CP00995258,CHEK2,9606,associate
aegelinol,CP00995258,HDAC2,9606,associate
aegelinol,CP00995258,CYP2D6,9606,associate
aegelinol,CP00995258,HDAC6,9606,associate
aegelinol,CP00995258,HDAC8,9606,associate
aegelinol,CP00995258,GSR,9606,associate
aegelinol,CP00995258,S1PR1,9606,associate
aegelinol,CP00995258,CHRM4,9606,associate
aegelinol,CP00995258,MET,9606,associate
aegelinol,CP00995258,GPR55,9606,associate
aegelinol,CP00995258,TRPA1,9606,associate
aegelinol,CP00995258,PTGER3,9606,associate
aegelinol,CP00995258,BACE1,9606,associate
aegelinol,CP00995258,DYRK1A,9606,associate
aegelinol,CP00995258,SMAD3,9606,associate
aegelinol,CP00995258,HTR2B,9606,associate
aegelinol,CP00995258,NR3C2,9606,associate
aegelinol,CP00995258,TGFBR2,9606,associate
aegelinol,CP00995258,STK4,9606,associate
aegelinol,CP00995258,VCAM1,9606,associate
aegelinol,CP00995258,ADCY1,9606,associate
aegelinol,CP00995258,ADAMTS4,9606,associate
aegelinol,CP00995258,CFTR,9606,associate
aegelinol,CP00995258,CYP11B2,9606,associate
aegelinol,CP00995258,GGPS1,9606,associate
aegelinol,CP00995258,CACNA1B,9606,associate
aegelinol,CP00995258,FGF1,9606,associate
aegelinol,CP00995258,FCER2,9606,associate
aegelinol,CP00995258,FOLR1,9606,associate
aegelinol,CP00995258,ALOX5AP,9606,associate
aegelinol,CP00995258,PDK2,9606,associate
aegelinol,CP00995258,PHOSPHO1,9606,associate
aegelinol,CP00995258,TMPRSS11D,9606,associate
aegelinol,CP00995258,TMPRSS6,9606,associate
aegelinol,CP00995258,PRKCE,9606,associate
aegelinol,CP00995258,ITGA4,9606,associate
aegelinol,CP00995258,SSTR3,9606,associate
aegelinol,CP00995258,STS,9606,associate
aegelinol,CP00995258,SSTR5,9606,associate
aegelinol,CP00995258,PDE1B,9606,associate
aegelinol,CP00995258,PLA2G4A,9606,associate
aegelinol,CP00995258,PLA2G2A,9606,associate
aegelinol,CP00995258,RELA,9606,associate
aegelinol,CP00995258,KIF11,9606,associate
aegelinol,CP00995258,SERPINE1,9606,associate
aegelinol,CP00995258,TXK,9606,associate
aegelinol,CP00995258,NAMPT,9606,associate
aegelinol,CP00995258,CDK8,9606,associate
aegelinol,CP00995258,NR1H4,9606,associate
aegelinol,CP00995258,CHRNA3,9606,associate
aegelinol,CP00995258,CYP51A1,9606,associate
