Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
asparagine,CP00000224,TCF15,9606,associate
asparagine,CP00000224,GLUD2,9606,associate
asparagine,CP00000224,SLC38A2,9606,associate
asparagine,CP00000224,RNPEP,9606,associate
asparagine,CP00000224,HAO1,9606,associate
asparagine,CP00000224,GLUL,9606,associate
asparagine,CP00000224,BIRC7,9606,associate
asparagine,CP00000224,EREG,9606,associate
asparagine,CP00000224,FH,9606,associate
asparagine,CP00000224,SEC23B,9606,associate
asparagine,CP00000224,QRSL1,9606,associate
asparagine,CP00000224,GLS,9606,associate
asparagine,CP00000224,GLS2,9606,associate
asparagine,CP00000224,ADSL,9606,associate
asparagine,CP00000224,GLUD1,9606,associate
asparagine,CP00000224,AGA,9606,associate
asparagine,CP00000224,ASRGL1,9606,associate
asparagine,CP00000224,CPOX,9606,associate
asparagine,CP00000224,AZIN2,9606,associate
asparagine,CP00000224,ASPG,9606,associate
asparagine,CP00000224,CHL1,9606,associate
asparagine,CP00000224,CPA1,9606,associate
asparagine,CP00000224,NARS2,9606,associate
asparagine,CP00000224,CRNKL1,9606,associate
asparagine,CP00000224,SLC1A5,9606,associate
asparagine,CP00000224,CA10,9606,associate
asparagine,CP00000224,SLC3A2,9606,associate
asparagine,CP00000224,GATB,9606,associate
asparagine,CP00000224,HDAC4,9606,associate
asparagine,CP00000224,CMAS,9606,associate
asparagine,CP00000224,ODC1,9606,associate
asparagine,CP00000224,BOC,9606,associate
asparagine,CP00000224,NARS,9606,associate
asparagine,CP00000224,SLC38A1,9606,associate
asparagine,CP00000224,SLC38A5,9606,associate
asparagine,CP00000224,ASNS,9606,associate
asparagine,CP00000224,ADSS,9606,associate
asparagine,CP00000224,TEP1,9606,associate
asparagine,CP00000224,HAL,9606,associate
asparagine,CP00000224,SLC6A15,9606,associate
asparagine,CP00000224,ASPA,9606,associate
asparagine,CP00000224,DSG4,9606,associate
asparagine,CP00000224,SAMHD1,9606,associate
asparagine,CP00000224,PTRH1,9606,associate
asparagine,CP00000224,SLC1A4,9606,associate
asparagine,CP00000224,SLC16A10,9606,associate
asparagine,CP00000224,ENGASE,9606,associate
asparagine,CP00000224,SLC7A8,9606,associate
asparagine,CP00000224,M6PR,9606,associate
asparagine,CP00000224,CD4,9606,associate
asparagine,CP00000224,PSMC4,9606,associate
asparagine,CP00000224,ERLEC1,9606,associate
asparagine,CP00000224,OXCT1,9606,associate
asparagine,CP00000224,DIMT1,9606,associate
asparagine,CP00000224,GLG1,9606,associate
asparagine,CP00000224,XYLB,9606,associate
asparagine,CP00000224,CDC6,9606,associate
asparagine,CP00000224,TECR,9606,associate
asparagine,CP00000224,PMM1,9606,associate
asparagine,CP00000224,TUBB1,9606,associate
asparagine,CP00000224,RAB40AL,9606,associate
asparagine,CP00000224,NME3,9606,associate
asparagine,CP00000224,CTSH,9606,associate
asparagine,CP00000224,TG,9606,associate
asparagine,CP00000224,DECR1,9606,associate
asparagine,CP00000224,STXBP2,9606,associate
asparagine,CP00000224,CLASRP,9606,associate
asparagine,CP00000224,CD79A,9606,associate
asparagine,CP00000224,CRX,9606,associate
asparagine,CP00000224,GCDH,9606,associate
asparagine,CP00000224,PSENEN,9606,associate
asparagine,CP00000224,OGDH,9606,associate
asparagine,CP00000224,ACTA2,9606,associate
asparagine,CP00000224,NAGLU,9606,associate
asparagine,CP00000224,GAPDH,9606,associate
asparagine,CP00000224,ENO2,9606,associate
asparagine,CP00000224,NANOG,9606,associate
asparagine,CP00000224,TMEM30A,9606,associate
asparagine,CP00000224,LNPEP,9606,associate
asparagine,CP00000224,NR3C1,9606,associate
asparagine,CP00000224,EHHADH,9606,associate
asparagine,CP00000224,SLC30A3,9606,associate
asparagine,CP00000224,GRIN3B,9606,associate
asparagine,CP00000224,ENO1,9606,associate
asparagine,CP00000224,OPRD1,9606,associate
asparagine,CP00000224,CTSD,9606,associate
asparagine,CP00000224,TTR,9606,associate
asparagine,CP00000224,RPN2,9606,associate
asparagine,CP00000224,SERPINB10,9606,associate
asparagine,CP00000224,GSC,9606,associate
asparagine,CP00000224,ALG5,9606,associate
asparagine,CP00000224,NAA50,9606,associate
asparagine,CP00000224,CAT,9606,associate
asparagine,CP00000224,RASL11A,9606,associate
asparagine,CP00000224,FAAH,9606,associate
asparagine,CP00000224,SEC61A1,9606,associate
asparagine,CP00000224,SNRPA,9606,associate
asparagine,CP00000224,AARS2,9606,associate
asparagine,CP00000224,CLPP,9606,associate
asparagine,CP00000224,CAPNS1,9606,associate
asparagine,CP00000224,FFAR1,9606,associate
asparagine,CP00000224,CANX,9606,associate
asparagine,CP00000224,RASL11B,9606,associate
asparagine,CP00000224,AMOTL2,9606,associate
asparagine,CP00000224,COPB1,9606,associate
asparagine,CP00000224,MPDU1,9606,associate
asparagine,CP00000224,CMA1,9606,associate
asparagine,CP00000224,EGLN3,9606,associate
asparagine,CP00000224,DAD1,9606,associate
asparagine,CP00000224,CDY2A,9606,associate
asparagine,CP00000224,LMAN1,9606,associate
asparagine,CP00000224,EPO,9606,associate
asparagine,CP00000224,EIF2S3,9606,associate
asparagine,CP00000224,FSHB,9606,associate
asparagine,CP00000224,EEFSEC,9606,associate
asparagine,CP00000224,GUCY2D,9606,associate
asparagine,CP00000224,AP3B1,9606,associate
asparagine,CP00000224,VHL,9606,associate
asparagine,CP00000224,TSHB,9606,associate
asparagine,CP00000224,AP4B1,9606,associate
asparagine,CP00000224,PDGFRA,9606,associate
asparagine,CP00000224,CARS2,9606,associate
asparagine,CP00000224,CDK4,9606,associate
asparagine,CP00000224,GNS,9606,associate
asparagine,CP00000224,BCO1,9606,associate
asparagine,CP00000224,UGGT1,9606,associate
asparagine,CP00000224,TUBB2B,9606,associate
asparagine,CP00000224,MNS1,9606,associate
asparagine,CP00000224,SATB2,9606,associate
asparagine,CP00000224,EPYC,9606,associate
asparagine,CP00000224,LYZ,9606,associate
asparagine,CP00000224,PSMC1,9606,associate
asparagine,CP00000224,CASQ2,9606,associate
asparagine,CP00000224,MAN2A1,9606,associate
asparagine,CP00000224,COX10,9606,associate
asparagine,CP00000224,KPNA3,9606,associate
asparagine,CP00000224,PSMD11,9606,associate
asparagine,CP00000224,NAA25,9606,associate
asparagine,CP00000224,AARS,9606,associate
asparagine,CP00000224,ARG2,9606,associate
asparagine,CP00000224,SLC30A4,9606,associate
asparagine,CP00000224,LACTB,9606,associate
asparagine,CP00000224,RPE65,9606,associate
asparagine,CP00000224,CREBBP,9606,associate
asparagine,CP00000224,ALG1,9606,associate
asparagine,CP00000224,ITGA2B,9606,associate
asparagine,CP00000224,RPL8,9606,associate
asparagine,CP00000224,RAB2A,9606,associate
asparagine,CP00000224,PRDX1,9606,associate
asparagine,CP00000224,EP300,9606,associate
asparagine,CP00000224,TYR,9606,associate
asparagine,CP00000224,KDR,9606,associate
asparagine,CP00000224,TUBB4A,9606,associate
asparagine,CP00000224,GPSM2,9606,associate
asparagine,CP00000224,DARS,9606,associate
asparagine,CP00000224,PPAT,9606,associate
asparagine,CP00000224,SRD5A3,9606,associate
asparagine,CP00000224,IL1RL2,9606,associate
asparagine,CP00000224,PIKFYVE,9606,associate
asparagine,CP00000224,BCHE,9606,associate
asparagine,CP00000224,THRA,9606,associate
asparagine,CP00000224,DNAJC27,9606,associate
asparagine,CP00000224,GRPEL1,9606,associate
asparagine,CP00000224,GOLPH3,9606,associate
asparagine,CP00000224,SUB1,9606,associate
asparagine,CP00000224,ENPEP,9606,associate
asparagine,CP00000224,EGF,9606,associate
asparagine,CP00000224,CREM,9606,associate
asparagine,CP00000224,CPVL,9606,associate
asparagine,CP00000224,GAL,9606,associate
asparagine,CP00000224,ITIH4,9606,associate
asparagine,CP00000224,ALG10,9606,associate
asparagine,CP00000224,AK7,9606,associate
asparagine,CP00000224,ITPK1,9606,associate
asparagine,CP00000224,DUOXA1,9606,associate
asparagine,CP00000224,CYP11A1,9606,associate
asparagine,CP00000224,ABAT,9606,associate
asparagine,CP00000224,PMM2,9606,associate
asparagine,CP00000224,TP53,9606,associate
asparagine,CP00000224,SLC6A3,9606,associate
asparagine,CP00000224,PGD,9606,associate
asparagine,CP00000224,PRUNE1,9606,associate
asparagine,CP00000224,RPS27A,9606,associate
asparagine,CP00000224,CORIN,9606,associate
asparagine,CP00000224,YIPF5,9606,associate
asparagine,CP00000224,NGLY1,9606,associate
asparagine,CP00000224,SLC2A13,9606,associate
asparagine,CP00000224,ACAD8,9606,associate
asparagine,CP00000224,MGAT5,9606,associate
asparagine,CP00000224,RIOK2,9606,associate
asparagine,CP00000224,GTF2E1,9606,associate
asparagine,CP00000224,TMPRSS11D,9606,associate
asparagine,CP00000224,FLCN,9606,associate
asparagine,CP00000224,RPL30,9606,associate
asparagine,CP00000224,NODAL,9606,associate
asparagine,CP00000224,PRKAG2,9606,associate
asparagine,CP00000224,MRPL17,9606,associate
asparagine,CP00000224,ACTR1B,9606,associate
asparagine,CP00000224,EIF5B,9606,associate
asparagine,CP00000224,RAP1GAP,9606,associate
asparagine,CP00000224,ACTC1,9606,associate
asparagine,CP00000224,MCAT,9606,associate
asparagine,CP00000224,ALDH4A1,9606,associate
asparagine,CP00000224,UBR1,9606,associate
asparagine,CP00000224,CYP11B1,9606,associate
asparagine,CP00000224,PSMC2,9606,associate
asparagine,CP00000224,NAGS,9606,associate
asparagine,CP00000224,CELA1,9606,associate
asparagine,CP00000224,DRAXIN,9606,associate
asparagine,CP00000224,TMCO4,9606,associate
asparagine,CP00000224,PDHA2,9606,associate
asparagine,CP00000224,ALPPL2,9606,associate
asparagine,CP00000224,STT3B,9606,associate
asparagine,CP00000224,COX18,9606,associate
asparagine,CP00000224,ALB,9606,associate
asparagine,CP00000224,RPN1,9606,associate
asparagine,CP00000224,RHO,9606,associate
asparagine,CP00000224,RFT1,9606,associate
asparagine,CP00000224,METAP1,9606,associate
asparagine,CP00000224,MON1A,9606,associate
asparagine,CP00000224,TLR3,9606,associate
asparagine,CP00000224,WDFY2,9606,associate
asparagine,CP00000224,PRDX3,9606,associate
asparagine,CP00000224,AK8,9606,associate
asparagine,CP00000224,TRUB1,9606,associate
asparagine,CP00000224,PSMC3,9606,associate
asparagine,CP00000224,PTER,9606,associate
asparagine,CP00000224,IKBIP,9606,associate
asparagine,CP00000224,HIF1AN,9606,associate
asparagine,CP00000224,POLL,9606,associate
asparagine,CP00000224,TPP1,9606,associate
asparagine,CP00000224,SERPINB2,9606,associate
asparagine,CP00000224,CHRNA5,9606,associate
asparagine,CP00000224,ALG8,9606,associate
asparagine,CP00000224,CLPX,9606,associate
asparagine,CP00000224,RRM1,9606,associate
asparagine,CP00000224,LALBA,9606,associate
asparagine,CP00000224,PRDX2,9606,associate
asparagine,CP00000224,ECI1,9606,associate
asparagine,CP00000224,SDHAF2,9606,associate
asparagine,CP00000224,HNRNPUL2,9606,associate
asparagine,CP00000224,GUSB,9606,associate
asparagine,CP00000224,CDY1,9606,associate
asparagine,CP00000224,SCGB1D1,9606,associate
asparagine,CP00000224,MAT2A,9606,associate
asparagine,CP00000224,CDY1B,9606,associate
asparagine,CP00000224,DCXR,9606,associate
asparagine,CP00000224,TRH,9606,associate
asparagine,CP00000224,UBB,9606,associate
asparagine,CP00000224,IRS1,9606,associate
asparagine,CP00000224,ADRB2,9606,associate
asparagine,CP00000224,GLB1,9606,associate
asparagine,CP00000224,EGLN2,9606,associate
asparagine,CP00000224,QARS,9606,associate
asparagine,CP00000224,PCMTD2,9606,associate
asparagine,CP00000224,AMZ1,9606,associate
asparagine,CP00000224,LEMD3,9606,associate
asparagine,CP00000224,PRSS1,9606,associate
asparagine,CP00000224,GMPPB,9606,associate
asparagine,CP00000224,HRAS,9606,associate
asparagine,CP00000224,ALG10B,9606,associate
asparagine,CP00000224,PSMC5,9606,associate
asparagine,CP00000224,CTSW,9606,associate
asparagine,CP00000224,FUT1,9606,associate
asparagine,CP00000224,CRYGS,9606,associate
asparagine,CP00000224,SEC13,9606,associate
asparagine,CP00000224,DTD2,9606,associate
asparagine,CP00000224,MRPL46,9606,associate
asparagine,CP00000224,LEP,9606,associate
asparagine,CP00000224,PRKDC,9606,associate
asparagine,CP00000224,PFAS,9606,associate
asparagine,CP00000224,LGALS7B,9606,associate
asparagine,CP00000224,DNAJA2,9606,associate
asparagine,CP00000224,MBOAT4,9606,associate
asparagine,CP00000224,GBA,9606,associate
asparagine,CP00000224,ALDH5A1,9606,associate
asparagine,CP00000224,CREG2,9606,associate
asparagine,CP00000224,TYMS,9606,associate
asparagine,CP00000224,GMPPA,9606,associate
asparagine,CP00000224,HSD11B2,9606,associate
asparagine,CP00000224,CAPN6,9606,associate
asparagine,CP00000224,MCFD2,9606,associate
asparagine,CP00000224,OS9,9606,associate
asparagine,CP00000224,RUVBL1,9606,associate
asparagine,CP00000224,TUBB6,9606,associate
asparagine,CP00000224,SHMT1,9606,associate
