Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
cis-chlorogenic acid,CP01484736,SLC7A11,9606,associate
cis-chlorogenic acid,CP01484736,AKR1B10,9606,associate
cis-chlorogenic acid,CP01484736,AKR1B1,9606,associate
cis-chlorogenic acid,CP01484736,APP,9606,associate
cis-chlorogenic acid,CP01484736,MMP2,9606,associate
cis-chlorogenic acid,CP01484736,MMP13,9606,associate
cis-chlorogenic acid,CP01484736,MMP12,9606,associate
cis-chlorogenic acid,CP01484736,MMP9,9606,associate
cis-chlorogenic acid,CP01484736,MMP1,9606,associate
cis-chlorogenic acid,CP01484736,PRKCQ,9606,associate
cis-chlorogenic acid,CP01484736,MAOB,9606,associate
cis-chlorogenic acid,CP01484736,GCGR,9606,associate
cis-chlorogenic acid,CP01484736,CA5B,9606,associate
cis-chlorogenic acid,CP01484736,CA2,9606,associate
cis-chlorogenic acid,CP01484736,ESR1,9606,associate
cis-chlorogenic acid,CP01484736,CA9,9606,associate
cis-chlorogenic acid,CP01484736,MARK3,9606,associate
cis-chlorogenic acid,CP01484736,SELP,9606,associate
cis-chlorogenic acid,CP01484736,FUCA1,9606,associate
cis-chlorogenic acid,CP01484736,CHRM5,9606,associate
cis-chlorogenic acid,CP01484736,CA6,9606,associate
cis-chlorogenic acid,CP01484736,GBA,9606,associate
cis-chlorogenic acid,CP01484736,TAOK1,9606,associate
cis-chlorogenic acid,CP01484736,TBXA2R,9606,associate
cis-chlorogenic acid,CP01484736,TGFBR2,9606,associate
cis-chlorogenic acid,CP01484736,SLCO1B1,9606,associate
cis-chlorogenic acid,CP01484736,STK4,9606,associate
cis-chlorogenic acid,CP01484736,VCAM1,9606,associate
cis-chlorogenic acid,CP01484736,ADCY1,9606,associate
cis-chlorogenic acid,CP01484736,ADAMTS4,9606,associate
cis-chlorogenic acid,CP01484736,CFTR,9606,associate
cis-chlorogenic acid,CP01484736,CYP11B2,9606,associate
cis-chlorogenic acid,CP01484736,GGPS1,9606,associate
cis-chlorogenic acid,CP01484736,CACNA1B,9606,associate
cis-chlorogenic acid,CP01484736,FGF1,9606,associate
cis-chlorogenic acid,CP01484736,FCER2,9606,associate
cis-chlorogenic acid,CP01484736,FOLR1,9606,associate
cis-chlorogenic acid,CP01484736,ALOX5AP,9606,associate
cis-chlorogenic acid,CP01484736,PDK2,9606,associate
cis-chlorogenic acid,CP01484736,PHOSPHO1,9606,associate
cis-chlorogenic acid,CP01484736,TMPRSS11D,9606,associate
cis-chlorogenic acid,CP01484736,TMPRSS6,9606,associate
cis-chlorogenic acid,CP01484736,PRKCE,9606,associate
cis-chlorogenic acid,CP01484736,ITGA4,9606,associate
cis-chlorogenic acid,CP01484736,SSTR3,9606,associate
cis-chlorogenic acid,CP01484736,STS,9606,associate
cis-chlorogenic acid,CP01484736,SSTR5,9606,associate
cis-chlorogenic acid,CP01484736,WNT3A,9606,associate
cis-chlorogenic acid,CP01484736,PDE1B,9606,associate
cis-chlorogenic acid,CP01484736,PLA2G4A,9606,associate
cis-chlorogenic acid,CP01484736,PLA2G2A,9606,associate
cis-chlorogenic acid,CP01484736,RELA,9606,associate
cis-chlorogenic acid,CP01484736,KIF11,9606,associate
cis-chlorogenic acid,CP01484736,SERPINE1,9606,associate
cis-chlorogenic acid,CP01484736,TXK,9606,associate
cis-chlorogenic acid,CP01484736,NAMPT,9606,associate
cis-chlorogenic acid,CP01484736,CDK8,9606,associate
cis-chlorogenic acid,CP01484736,NR1H4,9606,associate
cis-chlorogenic acid,CP01484736,CHRNA3,9606,associate
cis-chlorogenic acid,CP01484736,CYP51A1,9606,associate
cis-chlorogenic acid,CP01484736,PKN2,9606,associate
cis-chlorogenic acid,CP01484736,POLB,9606,associate
cis-chlorogenic acid,CP01484736,EP300,9606,associate
cis-chlorogenic acid,CP01484736,TPSAB1,9606,associate
cis-chlorogenic acid,CP01484736,PIP4K2B,9606,associate
cis-chlorogenic acid,CP01484736,DLG4,9606,associate
cis-chlorogenic acid,CP01484736,MIF,9606,associate
cis-chlorogenic acid,CP01484736,CD74,9606,associate
cis-chlorogenic acid,CP01484736,PRF1,9606,associate
cis-chlorogenic acid,CP01484736,KDM4C,9606,associate
cis-chlorogenic acid,CP01484736,HTR7,9606,associate
cis-chlorogenic acid,CP01484736,GSK3B,9606,associate
cis-chlorogenic acid,CP01484736,BMP4,9606,associate
cis-chlorogenic acid,CP01484736,NEK4,9606,associate
cis-chlorogenic acid,CP01484736,CA1,9606,associate
cis-chlorogenic acid,CP01484736,GALR1,9606,associate
cis-chlorogenic acid,CP01484736,AKT1,9606,associate
cis-chlorogenic acid,CP01484736,FES,9606,associate
cis-chlorogenic acid,CP01484736,KCNA5,9606,associate
cis-chlorogenic acid,CP01484736,LDHB,9606,associate
cis-chlorogenic acid,CP01484736,SCARB1,9606,associate
cis-chlorogenic acid,CP01484736,MLYCD,9606,associate
cis-chlorogenic acid,CP01484736,CDC42BPA,9606,associate
cis-chlorogenic acid,CP01484736,S1PR4,9606,associate
cis-chlorogenic acid,CP01484736,FPR1,9606,associate
cis-chlorogenic acid,CP01484736,CA7,9606,associate
cis-chlorogenic acid,CP01484736,HLA-A,9606,associate
cis-chlorogenic acid,CP01484736,P2RY14,9606,associate
cis-chlorogenic acid,CP01484736,TNFRSF1A,9606,associate
cis-chlorogenic acid,CP01484736,TAOK3,9606,associate
cis-chlorogenic acid,CP01484736,DCTPP1,9606,associate
cis-chlorogenic acid,CP01484736,RAD51,9606,associate
cis-chlorogenic acid,CP01484736,F10,9606,associate
cis-chlorogenic acid,CP01484736,PDGFRB,9606,associate
cis-chlorogenic acid,CP01484736,ITGAL,9606,associate
cis-chlorogenic acid,CP01484736,F9,9606,associate
cis-chlorogenic acid,CP01484736,TRPM8,9606,associate
cis-chlorogenic acid,CP01484736,THRB,9606,associate
cis-chlorogenic acid,CP01484736,WDR5,9606,associate
cis-chlorogenic acid,CP01484736,ALOX12,9606,associate
