Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
decursin,CP00369083,ACHE,9606,inhibit
decursin,CP00369083,BACE1,9606,inhibit
decursin,CP00369083,BACE1,9606,associate
decursin,CP00369083,LOC110237936,1720309,inhibit
decursin,CP00369083,ACHE,60711,inhibit
decursin,CP00369083,AR,9606,associate
decursin,CP00369083,CAT,118200,associate
decursin,CP00369083,CCL2,9796,associate
decursin,CP00369083,CCL4,9823,associate
decursin,CP00369083,LOC103152473,48698,associate
decursin,CP00369083,CXCL2,9606,associate
decursin,CP00369083,ICAM1,9555,associate
decursin,CP00369083,IFNG,9233,associate
decursin,CP00369083,IKBKG,9606,associate
decursin,CP00369083,LOC103151753,48698,associate
decursin,CP00369083,IL6,9978,associate
decursin,CP00369083,KLK3,9555,associate
decursin,CP00369083,KLK3,9555,inhibit
decursin,CP00369083,MAPK1,8839,associate
decursin,CP00369083,MAPK3,60711,associate
decursin,CP00369083,NFKBIA,9238,associate
decursin,CP00369083,Nos1,10181,associate
decursin,CP00369083,NOS2,9365,associate
decursin,CP00369083,Nos3,885580,associate
decursin,CP00369083,PARP1,9606,associate
decursin,CP00369083,PTGS2,100784,associate
decursin,CP00369083,RELA,9606,associate
decursin,CP00369083,sod1,215358,associate
decursin,CP00369083,sod2,215358,associate
decursin,CP00369083,Tnf,885580,associate
decursin,CP00369083,APEX1,9606,associate
decursin,CP00369083,HNRNPH3,9606,associate
decursin,CP00369083,KLK3,9606,associate
decursin,CP00369083,ANGPT2,9606,associate
decursin,CP00369083,HNRNPF,9606,associate
decursin,CP00369083,MAOA,9606,associate
decursin,CP00369083,XRCC3,9606,associate
decursin,CP00369083,CTNNB1,9606,associate
decursin,CP00369083,HNRNPH1,9606,associate
decursin,CP00369083,MMP9,9606,associate
decursin,CP00369083,HNRNPH2,9606,associate
decursin,CP00369083,APEX2,9606,associate
decursin,CP00369083,MAOB,9606,associate
decursin,CP00369083,VLDLR,9606,associate
decursin,CP00369083,SP1,9606,associate
decursin,CP00369083,MAOA,9606,inhibit
decursin,CP00369083,CA9,9606,associate
decursin,CP00369083,CA1,9606,associate
decursin,CP00369083,CA7,9606,associate
decursin,CP00369083,CA12,9606,associate
decursin,CP00369083,HIF1A,9606,associate
decursin,CP00369083,CA5B,9606,associate
decursin,CP00369083,ABCC9,9606,associate
decursin,CP00369083,CA13,9606,associate
decursin,CP00369083,CA4,9606,associate
decursin,CP00369083,ABCB1,9606,associate
decursin,CP00369083,CA14,9606,associate
decursin,CP00369083,SLCO1B3,9606,associate
decursin,CP00369083,CNR2,9606,associate
decursin,CP00369083,SLCO1B1,9606,associate
decursin,CP00369083,CA3,9606,associate
decursin,CP00369083,PGR,9606,associate
decursin,CP00369083,CYP3A4,9606,associate
decursin,CP00369083,NR1I2,9606,associate
decursin,CP00369083,HDAC4,9606,associate
decursin,CP00369083,DRD2,9606,associate
decursin,CP00369083,SLC6A4,9606,associate
decursin,CP00369083,PTGS2,9606,associate
decursin,CP00369083,OPRD1,9606,associate
decursin,CP00369083,IDO1,9606,associate
decursin,CP00369083,PRKCA,9606,associate
decursin,CP00369083,CA6,9606,associate
decursin,CP00369083,DNMT1,9606,associate
decursin,CP00369083,ADORA3,9606,associate
decursin,CP00369083,PDE4D,9606,associate
decursin,CP00369083,KDM4C,9606,associate
decursin,CP00369083,AKT1,9606,associate
decursin,CP00369083,RXRA,9606,associate
decursin,CP00369083,CASP3,9606,associate
decursin,CP00369083,CASP6,9606,associate
decursin,CP00369083,DYRK1B,9606,associate
decursin,CP00369083,INSR,9606,associate
decursin,CP00369083,LCK,9606,associate
decursin,CP00369083,ACHE,9606,associate
decursin,CP00369083,KIT,9606,associate
decursin,CP00369083,CDK5,9606,associate
decursin,CP00369083,TYK2,9606,associate
decursin,CP00369083,MTOR,9606,associate
decursin,CP00369083,CTDSP1,9606,associate
decursin,CP00369083,PRKDC,9606,associate
decursin,CP00369083,PRKCB,9606,associate
decursin,CP00369083,OPRK1,9606,associate
decursin,CP00369083,XBP1,9606,associate
decursin,CP00369083,CNR1,9606,associate
decursin,CP00369083,RXRB,9606,associate
decursin,CP00369083,RARB,9606,associate
decursin,CP00369083,CA2,9606,associate
decursin,CP00369083,ESR1,9606,associate
decursin,CP00369083,ADORA2B,9606,associate
decursin,CP00369083,PTPN1,9606,associate
decursin,CP00369083,SRD5A1,9606,associate
decursin,CP00369083,IRAK4,9606,associate
decursin,CP00369083,TAAR1,9606,associate
decursin,CP00369083,PFKFB3,9606,associate
decursin,CP00369083,CDK7,9606,associate
decursin,CP00369083,OPRM1,9606,associate
decursin,CP00369083,MCL1,9606,associate
decursin,CP00369083,NR4A1,9606,associate
decursin,CP00369083,PDPK1,9606,associate
decursin,CP00369083,CYP2D6,9606,associate
decursin,CP00369083,PIK3CA,9606,associate
decursin,CP00369083,MARK3,9606,associate
decursin,CP00369083,HDAC6,9606,associate
decursin,CP00369083,NTSR1,9606,associate
decursin,CP00369083,IKBKE,9606,associate
decursin,CP00369083,HDAC8,9606,associate
decursin,CP00369083,ADORA2A,9606,associate
decursin,CP00369083,CSF1R,9606,associate
decursin,CP00369083,TGM2,9606,associate
decursin,CP00369083,S1PR1,9606,associate
decursin,CP00369083,CTSD,9606,associate
decursin,CP00369083,CASP1,9606,associate
decursin,CP00369083,RASGRP3,9606,associate
decursin,CP00369083,GRK4,9606,associate
decursin,CP00369083,CDC7,9606,associate
decursin,CP00369083,PLAT,9606,associate
decursin,CP00369083,PRKACA,9606,associate
decursin,CP00369083,PTK2,9606,associate
decursin,CP00369083,CDK1,9606,associate
decursin,CP00369083,MET,9606,associate
decursin,CP00369083,GPR55,9606,associate
decursin,CP00369083,PDE4A,9606,associate
decursin,CP00369083,TRPA1,9606,associate
decursin,CP00369083,HTR1A,9606,associate
decursin,CP00369083,ADORA1,9606,associate
decursin,CP00369083,MAPKAPK5,9606,associate
decursin,CP00369083,DYRK1A,9606,associate
decursin,CP00369083,HK1,9606,associate
decursin,CP00369083,HTR2B,9606,associate
decursin,CP00369083,CAMKK2,9606,associate
decursin,CP00369083,CLK4,9606,associate
decursin,CP00369083,FER,9606,associate
decursin,CP00369083,ABCG2,9606,associate
decursin,CP00369083,SIRT2,9606,associate
decursin,CP00369083,TGFBR2,9606,associate
