Compound name,Compoundid,Gene Symbol,ncbitaxid,RelationSign
gamma-aminobutyric acid (GABA,CP00000114,SLC6A1,9606,inhibit
gamma-aminobutyric acid (GABA,CP00000114,SLC6A11,9606,inhibit
gamma-aminobutyric acid (GABA,CP00000114,GABBR1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GABRR1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,LMNA,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,KMT2A,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,TSHR,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,THRB,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,BLM,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,NPSR1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,CYP1A2,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GATM,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,ABAT,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GAD2,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GAD1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,AZIN2,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GLUL,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,EARS2,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GABARAPL2,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GABBR2,9606,inhibit
gamma-aminobutyric acid (GABA,CP00000114,Gabbr2,10116,inhibit
gamma-aminobutyric acid (GABA,CP00000114,Slc6a12,10116,inhibit
gamma-aminobutyric acid (GABA,CP00000114,GABRA6,9606,inhibit
gamma-aminobutyric acid (GABA,CP00000114,Gabra6,10090,associate
gamma-aminobutyric acid (GABA,CP00000114,Slc6a13,10116,inhibit
gamma-aminobutyric acid (GABA,CP00000114,SLC6A12,9606,inhibit
gamma-aminobutyric acid (GABA,CP00000114,Slc6a12,10116,associate
gamma-aminobutyric acid (GABA,CP00000114,Gabrg1,10116,inhibit
gamma-aminobutyric acid (GABA,CP00000114,GABRB3,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GABRA2,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GABRA3,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GABRA4,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GABRA5,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GABRA6,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,Slc6a1,10116,inhibit
gamma-aminobutyric acid (GABA,CP00000114,GABRG2,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,Gabra6,10116,associate
gamma-aminobutyric acid (GABA,CP00000114,Gabra1,10116,associate
gamma-aminobutyric acid (GABA,CP00000114,Gabra4,10116,associate
gamma-aminobutyric acid (GABA,CP00000114,Gabra5,10116,associate
gamma-aminobutyric acid (GABA,CP00000114,HDAC10,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,HDAC10,9606,inhibit
gamma-aminobutyric acid (GABA,CP00000114,Hsf1,10090,associate
gamma-aminobutyric acid (GABA,CP00000114,FTL,9796,associate
gamma-aminobutyric acid (GABA,CP00000114,ATAD5,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,KAT2A,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,DRD1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,EHMT2,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,BAZ2B,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,Slc6a1,10090,inhibit
gamma-aminobutyric acid (GABA,CP00000114,Slc6a13,10090,inhibit
gamma-aminobutyric acid (GABA,CP00000114,Slc6a11,10090,inhibit
gamma-aminobutyric acid (GABA,CP00000114,RGS4,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,SLC36A1,9606,inhibit
gamma-aminobutyric acid (GABA,CP00000114,Pmp22,10116,associate
gamma-aminobutyric acid (GABA,CP00000114,GMNN,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,ERG,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,Gabrb2,10116,associate
gamma-aminobutyric acid (GABA,CP00000114,GABBR2,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,TARDBP,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,SLCO1B3,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,SLCO1B1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,ARSA,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,Gabra2,10090,inhibit
gamma-aminobutyric acid (GABA,CP00000114,GABBR1,9606,activate
gamma-aminobutyric acid (GABA,CP00000114,GLRA2,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GPR17,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,SLC18A3,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,SLC36A3,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,PORCN,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,TERF2IP,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GABRB2,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,ATF4,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,SLC17A8,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GABRA1,9606,activate
gamma-aminobutyric acid (GABA,CP00000114,GRHL3,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,ELL,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,CXCR6,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,CCL20,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,CCL25,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,CLCNKB,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,NLE1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,CALB1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,SLC6A13,9606,activate
gamma-aminobutyric acid (GABA,CP00000114,NEUROG2,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,BEST4,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,PCCA,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,HCRT,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GABRB1,9606,activate
gamma-aminobutyric acid (GABA,CP00000114,DAO,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,SLC6A1,9606,activate
gamma-aminobutyric acid (GABA,CP00000114,GABRA1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GALR3,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,OAT,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,KCNK3,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GABRG2,9606,activate
gamma-aminobutyric acid (GABA,CP00000114,ADORA1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,NRTN,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,ACACB,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,THPO,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,MFGE8,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,FGGY,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GABRA6,9606,activate
gamma-aminobutyric acid (GABA,CP00000114,GARS,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GPR18,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,CHRNB3,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GABRB2,9606,activate
gamma-aminobutyric acid (GABA,CP00000114,CXCL9,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GPR55,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,PNOC,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,CHAT,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GABRB2,9606,inhibit
gamma-aminobutyric acid (GABA,CP00000114,AKR7A2,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GLRA4,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,SMS,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,TACR1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GABRA4,9606,activate
gamma-aminobutyric acid (GABA,CP00000114,GABBR2,9606,activate
gamma-aminobutyric acid (GABA,CP00000114,ARSE,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GABRB3,9606,activate
gamma-aminobutyric acid (GABA,CP00000114,PVALB,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,SLC12A2,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GNRHR,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GAD2,9606,activate
gamma-aminobutyric acid (GABA,CP00000114,ZMYND10,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,CHRNE,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,DRD4,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,ALDH4A1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GRIK2,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,CCL5,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,FAM32A,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,NTS,9606,inhibit
gamma-aminobutyric acid (GABA,CP00000114,HEBP1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,SLC6A1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,EDA,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,SYN1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,FOS,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,CHRM1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,TPH1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,SLC6A11,9606,activate
gamma-aminobutyric acid (GABA,CP00000114,SLC25A4,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GLRA3,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,ALB,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,DCN,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,CGA,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,WDR37,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,CALB2,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,NTS,9606,activate
gamma-aminobutyric acid (GABA,CP00000114,MED12,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,SLC6A11,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,SCN1A,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,EGR1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,FSIP1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,MGAT3,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,PLOD2,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,TRAK1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,FUCA1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,VAMP1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,HTR3A,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GRM2,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,CLNS1A,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,SLC1A1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,GRIN2B,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,LPAR2,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,PENK,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,TSPO,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,CRYGD,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,NDOR1,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,APP,9606,associate
gamma-aminobutyric acid (GABA,CP00000114,SSTR2,9606,associate
